date,base,quote,rate
2020-12-19,AED,CHF,0.240426
2020-12-20,AED,CHF,0.240472
2020-12-21,AED,CHF,0.241364
2020-12-22,AED,CHF,0.24158
2020-12-23,AED,CHF,0.241952
2020-12-24,AED,CHF,0.242141
2020-12-25,AED,CHF,0.242644
2020-12-26,AED,CHF,0.24265
2020-12-27,AED,CHF,0.242619
2020-12-28,AED,CHF,0.242194
2020-12-29,AED,CHF,0.241178
2020-12-30,AED,CHF,0.240386
2020-12-31,AED,CHF,0.240256
2021-01-01,AED,CHF,0.240902
2021-01-02,AED,CHF,0.2409
2021-01-03,AED,CHF,0.240872
2021-01-04,AED,CHF,0.240018
2021-01-05,AED,CHF,0.23949
2021-01-06,AED,CHF,0.239162
2021-01-07,AED,CHF,0.2402
2021-01-08,AED,CHF,0.241085
2021-01-09,AED,CHF,0.24103
2021-01-10,AED,CHF,0.24105
2021-01-11,AED,CHF,0.24212
2021-01-12,AED,CHF,0.242146
2021-01-13,AED,CHF,0.2415
2021-01-14,AED,CHF,0.241791
2021-01-15,AED,CHF,0.242064
2021-01-16,AED,CHF,0.242665
2021-01-17,AED,CHF,0.242658
2021-01-18,AED,CHF,0.242626
2021-01-19,AED,CHF,0.242072
2021-01-20,AED,CHF,0.242043
2021-01-21,AED,CHF,0.241524
2021-01-22,AED,CHF,0.241026
2021-01-23,AED,CHF,0.24108
2021-01-24,AED,CHF,0.241078
2021-01-25,AED,CHF,0.24144
2021-01-26,AED,CHF,0.241743
2021-01-27,AED,CHF,0.241757
2021-01-28,AED,CHF,0.242066
2021-01-29,AED,CHF,0.242198
2021-01-30,AED,CHF,0.242478
2021-01-31,AED,CHF,0.24249
2021-02-01,AED,CHF,0.243492
2021-02-02,AED,CHF,0.244323
2021-02-03,AED,CHF,0.244654
2021-02-04,AED,CHF,0.245556
2021-02-05,AED,CHF,0.24555
2021-02-06,AED,CHF,0.244767
2021-02-07,AED,CHF,0.24477
2021-02-08,AED,CHF,0.244935
2021-02-09,AED,CHF,0.243534
2021-02-10,AED,CHF,0.242552
2021-02-11,AED,CHF,0.242357
2021-02-12,AED,CHF,0.242719
2021-02-13,AED,CHF,0.242824
2021-02-14,AED,CHF,0.24282
2021-02-15,AED,CHF,0.242492
2021-02-16,AED,CHF,0.242388
2021-02-17,AED,CHF,0.243958
2021-02-18,AED,CHF,0.24431
2021-02-19,AED,CHF,0.243851
2021-02-20,AED,CHF,0.244036
2021-02-21,AED,CHF,0.244042
2021-02-22,AED,CHF,0.244268
2021-02-23,AED,CHF,0.245013
2021-02-24,AED,CHF,0.246913
2021-02-25,AED,CHF,0.246551
2021-02-26,AED,CHF,0.24682
2021-02-27,AED,CHF,0.24738
2021-02-28,AED,CHF,0.24737
2021-03-01,AED,CHF,0.248292
2021-03-02,AED,CHF,0.249378
2021-03-03,AED,CHF,0.249664
2021-03-04,AED,CHF,0.251509
2021-03-05,AED,CHF,0.25307
2021-03-06,AED,CHF,0.253351
2021-03-07,AED,CHF,0.25335
2021-03-08,AED,CHF,0.254181
2021-03-09,AED,CHF,0.253779
2021-03-10,AED,CHF,0.253192
2021-03-11,AED,CHF,0.252324
2021-03-12,AED,CHF,0.252826
2021-03-13,AED,CHF,0.253056
2021-03-14,AED,CHF,0.253048
2021-03-15,AED,CHF,0.25288
2021-03-16,AED,CHF,0.25215
2021-03-17,AED,CHF,0.252032
2021-03-18,AED,CHF,0.252142
2021-03-19,AED,CHF,0.252811
2021-03-20,AED,CHF,0.252967
2021-03-21,AED,CHF,0.25298
2021-03-22,AED,CHF,0.252191
2021-03-23,AED,CHF,0.253064
2021-03-24,AED,CHF,0.25462
2021-03-25,AED,CHF,0.25517
2021-03-26,AED,CHF,0.255884
2021-03-27,AED,CHF,0.255664
2021-03-28,AED,CHF,0.255667
2021-03-29,AED,CHF,0.255662
2021-03-30,AED,CHF,0.256298
2021-03-31,AED,CHF,0.256804
2021-04-01,AED,CHF,0.25698
2021-04-02,AED,CHF,0.256453
2021-04-03,AED,CHF,0.256705
2021-04-04,AED,CHF,0.2567
2021-04-05,AED,CHF,0.255886
2021-04-06,AED,CHF,0.254596
2021-04-07,AED,CHF,0.253082
2021-04-08,AED,CHF,0.25233
2021-04-09,AED,CHF,0.251866
2021-04-10,AED,CHF,0.251696
2021-04-11,AED,CHF,0.251722
2021-04-12,AED,CHF,0.251555
2021-04-13,AED,CHF,0.251238
2021-04-14,AED,CHF,0.250881
2021-04-15,AED,CHF,0.251192
2021-04-16,AED,CHF,0.2506
2021-04-17,AED,CHF,0.250459
2021-04-18,AED,CHF,0.250468
2021-04-19,AED,CHF,0.24958
2021-04-20,AED,CHF,0.249179
2021-04-21,AED,CHF,0.249646
2021-04-22,AED,CHF,0.249575
2021-04-23,AED,CHF,0.249204
2021-04-24,AED,CHF,0.248754
2021-04-25,AED,CHF,0.248754
2021-04-26,AED,CHF,0.24885
2021-04-27,AED,CHF,0.248991
2021-04-28,AED,CHF,0.248731
2021-04-29,AED,CHF,0.247588
2021-04-30,AED,CHF,0.247934
2021-05-01,AED,CHF,0.248588
2021-05-02,AED,CHF,0.248582
2021-05-03,AED,CHF,0.248406
2021-05-04,AED,CHF,0.248736
2021-05-05,AED,CHF,0.248738
2021-05-06,AED,CHF,0.247826
2021-05-07,AED,CHF,0.246334
2021-05-08,AED,CHF,0.245167
2021-05-09,AED,CHF,0.245171
2021-05-10,AED,CHF,0.245176
2021-05-11,AED,CHF,0.245618
2021-05-12,AED,CHF,0.24677
2021-05-13,AED,CHF,0.246996
2021-05-14,AED,CHF,0.245976
2021-05-15,AED,CHF,0.245446
2021-05-16,AED,CHF,0.24545
2021-05-17,AED,CHF,0.245576
2021-05-18,AED,CHF,0.244708
2021-05-19,AED,CHF,0.24517
2021-05-20,AED,CHF,0.245221
2021-05-21,AED,CHF,0.24435
2021-05-22,AED,CHF,0.244445
2021-05-23,AED,CHF,0.244444
2021-05-24,AED,CHF,0.2443
2021-05-25,AED,CHF,0.243838
2021-05-26,AED,CHF,0.24398
2021-05-27,AED,CHF,0.244406
2021-05-28,AED,CHF,0.244803
2021-05-29,AED,CHF,0.244994
2021-05-30,AED,CHF,0.244988
2021-05-31,AED,CHF,0.244872
2021-06-01,AED,CHF,0.244428
2021-06-02,AED,CHF,0.244634
2021-06-03,AED,CHF,0.245387
2021-06-04,AED,CHF,0.24554
