date,base,quote,rate
2020-12-19,AED,CNY,1.77973
2020-12-20,AED,CNY,1.77974
2020-12-21,AED,CNY,1.78315
2020-12-22,AED,CNY,1.78204
2020-12-23,AED,CNY,1.7811
2020-12-24,AED,CNY,1.77814
2020-12-25,AED,CNY,1.77927
2020-12-26,AED,CNY,1.78113
2020-12-27,AED,CNY,1.78113
2020-12-28,AED,CNY,1.77958
2020-12-29,AED,CNY,1.77834
2020-12-30,AED,CNY,1.7767
2020-12-31,AED,CNY,1.77852
2021-01-01,AED,CNY,1.77792
2021-01-02,AED,CNY,1.77788
2021-01-03,AED,CNY,1.7779
2021-01-04,AED,CNY,1.76154
2021-01-05,AED,CNY,1.75827
2021-01-06,AED,CNY,1.7584
2021-01-07,AED,CNY,1.76082
2021-01-08,AED,CNY,1.76158
2021-01-09,AED,CNY,1.76292
2021-01-10,AED,CNY,1.76292
2021-01-11,AED,CNY,1.76432
2021-01-12,AED,CNY,1.76037
2021-01-13,AED,CNY,1.76002
2021-01-14,AED,CNY,1.76156
2021-01-15,AED,CNY,1.76286
2021-01-16,AED,CNY,1.76444
2021-01-17,AED,CNY,1.76444
2021-01-18,AED,CNY,1.76688
2021-01-19,AED,CNY,1.76496
2021-01-20,AED,CNY,1.76098
2021-01-21,AED,CNY,1.75931
2021-01-22,AED,CNY,1.76328
2021-01-23,AED,CNY,1.76472
2021-01-24,AED,CNY,1.76472
2021-01-25,AED,CNY,1.76383
2021-01-26,AED,CNY,1.76132
2021-01-27,AED,CNY,1.76228
2021-01-28,AED,CNY,1.76038
2021-01-29,AED,CNY,1.75372
2021-01-30,AED,CNY,1.74996
2021-01-31,AED,CNY,1.74996
2021-02-01,AED,CNY,1.75942
2021-02-02,AED,CNY,1.75834
2021-02-03,AED,CNY,1.75866
2021-02-04,AED,CNY,1.76018
2021-02-05,AED,CNY,1.76153
2021-02-06,AED,CNY,1.76058
2021-02-07,AED,CNY,1.76058
2021-02-08,AED,CNY,1.75714
2021-02-09,AED,CNY,1.75353
2021-02-10,AED,CNY,1.75522
2021-02-11,AED,CNY,1.75815
2021-02-12,AED,CNY,1.75824
2021-02-13,AED,CNY,1.75827
2021-02-14,AED,CNY,1.75827
2021-02-15,AED,CNY,1.7583
2021-02-16,AED,CNY,1.75818
2021-02-17,AED,CNY,1.75834
2021-02-18,AED,CNY,1.76184
2021-02-19,AED,CNY,1.76612
2021-02-20,AED,CNY,1.76606
2021-02-21,AED,CNY,1.76606
2021-02-22,AED,CNY,1.761
2021-02-23,AED,CNY,1.75978
2021-02-24,AED,CNY,1.75792
2021-02-25,AED,CNY,1.75699
2021-02-26,AED,CNY,1.76128
2021-02-27,AED,CNY,1.7634
2021-02-28,AED,CNY,1.7634
2021-03-01,AED,CNY,1.76032
2021-03-02,AED,CNY,1.7617
2021-03-03,AED,CNY,1.76046
2021-03-04,AED,CNY,1.76128
2021-03-05,AED,CNY,1.76589
2021-03-06,AED,CNY,1.76878
2021-03-07,AED,CNY,1.76878
2021-03-08,AED,CNY,1.77496
2021-03-09,AED,CNY,1.77378
2021-03-10,AED,CNY,1.77191
2021-03-11,AED,CNY,1.7681
2021-03-12,AED,CNY,1.77017
2021-03-13,AED,CNY,1.77196
2021-03-14,AED,CNY,1.77196
2021-03-15,AED,CNY,1.77021
2021-03-16,AED,CNY,1.77016
2021-03-17,AED,CNY,1.77055
2021-03-18,AED,CNY,1.77038
2021-03-19,AED,CNY,1.77214
2021-03-20,AED,CNY,1.7721
2021-03-21,AED,CNY,1.7721
2021-03-22,AED,CNY,1.7719
2021-03-23,AED,CNY,1.77316
2021-03-24,AED,CNY,1.77589
2021-03-25,AED,CNY,1.78043
2021-03-26,AED,CNY,1.7811
2021-03-27,AED,CNY,1.78094
2021-03-28,AED,CNY,1.78094
2021-03-29,AED,CNY,1.78611
2021-03-30,AED,CNY,1.78888
2021-03-31,AED,CNY,1.785
2021-04-01,AED,CNY,1.788
2021-04-02,AED,CNY,1.78734
2021-04-03,AED,CNY,1.78802
2021-04-04,AED,CNY,1.78802
2021-04-05,AED,CNY,1.7879
2021-04-06,AED,CNY,1.78272
2021-04-07,AED,CNY,1.7811
2021-04-08,AED,CNY,1.78306
2021-04-09,AED,CNY,1.78438
2021-04-10,AED,CNY,1.78408
2021-04-11,AED,CNY,1.78408
2021-04-12,AED,CNY,1.78336
2021-04-13,AED,CNY,1.78238
2021-04-14,AED,CNY,1.77882
2021-04-15,AED,CNY,1.7773
2021-04-16,AED,CNY,1.77594
2021-04-17,AED,CNY,1.77526
2021-04-18,AED,CNY,1.77526
2021-04-19,AED,CNY,1.7735
2021-04-20,AED,CNY,1.76932
2021-04-21,AED,CNY,1.76822
2021-04-22,AED,CNY,1.76672
2021-04-23,AED,CNY,1.76811
2021-04-24,AED,CNY,1.76832
2021-04-25,AED,CNY,1.76832
2021-04-26,AED,CNY,1.76611
