date,base,quote,rate
2020-12-19,AED,RUB,19.9913
2020-12-20,AED,RUB,19.9957
2020-12-21,AED,RUB,20.32
2020-12-22,AED,RUB,20.5145
2020-12-23,AED,RUB,20.5161
2020-12-24,AED,RUB,20.2835
2020-12-25,AED,RUB,20.1553
2020-12-26,AED,RUB,20.1644
2020-12-27,AED,RUB,20.1606
2020-12-28,AED,RUB,20.1088
2020-12-29,AED,RUB,20.1028
2020-12-30,AED,RUB,20.2076
2020-12-31,AED,RUB,20.2528
2021-01-01,AED,RUB,20.1405
2021-01-02,AED,RUB,20.1352
2021-01-03,AED,RUB,20.1356
2021-01-04,AED,RUB,20.1314
2021-01-05,AED,RUB,20.247
2021-01-06,AED,RUB,20.1224
2021-01-07,AED,RUB,20.2306
2021-01-08,AED,RUB,20.2274
2021-01-09,AED,RUB,20.1692
2021-01-10,AED,RUB,20.1692
2021-01-11,AED,RUB,20.302
2021-01-12,AED,RUB,20.1683
2021-01-13,AED,RUB,20.0547
2021-01-14,AED,RUB,20.0057
2021-01-15,AED,RUB,20.0058
2021-01-16,AED,RUB,20.0174
2021-01-17,AED,RUB,20.0194
2021-01-18,AED,RUB,20.14
2021-01-19,AED,RUB,20.0888
2021-01-20,AED,RUB,20.0246
2021-01-21,AED,RUB,20.0527
2021-01-22,AED,RUB,20.3328
2021-01-23,AED,RUB,20.4958
2021-01-24,AED,RUB,20.4976
2021-01-25,AED,RUB,20.5123
2021-01-26,AED,RUB,20.4988
2021-01-27,AED,RUB,20.5382
2021-01-28,AED,RUB,20.7031
2021-01-29,AED,RUB,20.6752
2021-01-30,AED,RUB,20.6768
2021-01-31,AED,RUB,20.6758
2021-02-01,AED,RUB,20.6595
2021-02-02,AED,RUB,20.6688
2021-02-03,AED,RUB,20.6924
2021-02-04,AED,RUB,20.6064
2021-02-05,AED,RUB,20.4189
2021-02-06,AED,RUB,20.3236
2021-02-07,AED,RUB,20.3239
2021-02-08,AED,RUB,20.2664
2021-02-09,AED,RUB,20.1653
2021-02-10,AED,RUB,20.1068
