date,base,quote,rate
2020-12-20,BYN,CNY,2.60463
2020-12-21,BYN,CNY,2.6009
2020-12-22,BYN,CNY,2.57803
2020-12-23,BYN,CNY,2.53172
2020-12-24,BYN,CNY,2.52708
2020-12-25,BYN,CNY,2.52561
2020-12-26,BYN,CNY,2.52814
2020-12-27,BYN,CNY,2.52814
2020-12-28,BYN,CNY,2.53492
2020-12-29,BYN,CNY,2.54243
2020-12-30,BYN,CNY,2.53076
2020-12-31,BYN,CNY,2.51326
2021-01-01,BYN,CNY,2.48824
2021-01-02,BYN,CNY,2.48712
2021-01-03,BYN,CNY,2.48715
2021-01-04,BYN,CNY,2.48902
2021-01-05,BYN,CNY,2.49605
2021-01-06,BYN,CNY,2.50522
2021-01-07,BYN,CNY,2.51115
2021-01-08,BYN,CNY,2.51717
2021-01-09,BYN,CNY,2.52502
2021-01-10,BYN,CNY,2.52502
2021-01-11,BYN,CNY,2.51277
2021-01-12,BYN,CNY,2.50692
2021-01-13,BYN,CNY,2.51552
2021-01-14,BYN,CNY,2.5153
2021-01-15,BYN,CNY,2.52786
2021-01-16,BYN,CNY,2.5377
2021-01-17,BYN,CNY,2.5377
2021-01-18,BYN,CNY,2.53673
2021-01-19,BYN,CNY,2.543
2021-01-20,BYN,CNY,2.54386
2021-01-21,BYN,CNY,2.54581
2021-01-22,BYN,CNY,2.54769
2021-01-23,BYN,CNY,2.54149
2021-01-24,BYN,CNY,2.54149
2021-01-25,BYN,CNY,2.53447
2021-01-26,BYN,CNY,2.52018
2021-01-27,BYN,CNY,2.50672
2021-01-28,BYN,CNY,2.47712
2021-01-29,BYN,CNY,2.46042
2021-01-30,BYN,CNY,2.45766
2021-01-31,BYN,CNY,2.45766
2021-02-01,BYN,CNY,2.4651
2021-02-02,BYN,CNY,2.45796
2021-02-03,BYN,CNY,2.4525
2021-02-04,BYN,CNY,2.45328
2021-02-05,BYN,CNY,2.4569
2021-02-06,BYN,CNY,2.46149
2021-02-07,BYN,CNY,2.46149
2021-02-08,BYN,CNY,2.46566
2021-02-09,BYN,CNY,2.47375
2021-02-10,BYN,CNY,2.49358
2021-02-11,BYN,CNY,2.50261
2021-02-12,BYN,CNY,2.4935
2021-02-13,BYN,CNY,2.48568
2021-02-14,BYN,CNY,2.48568
2021-02-15,BYN,CNY,2.49507
2021-02-16,BYN,CNY,2.50323
2021-02-17,BYN,CNY,2.48934
2021-02-18,BYN,CNY,2.49213
2021-02-19,BYN,CNY,2.50424
2021-02-20,BYN,CNY,2.50445
2021-02-21,BYN,CNY,2.50445
2021-02-22,BYN,CNY,2.49195
2021-02-23,BYN,CNY,2.48998
2021-02-24,BYN,CNY,2.48142
2021-02-25,BYN,CNY,2.47674
2021-02-26,BYN,CNY,2.48313
2021-02-27,BYN,CNY,2.48613
2021-02-28,BYN,CNY,2.48613
2021-03-01,BYN,CNY,2.47933
2021-03-02,BYN,CNY,2.48131
2021-03-03,BYN,CNY,2.48328
2021-03-04,BYN,CNY,2.47811
2021-03-05,BYN,CNY,2.47916
2021-03-06,BYN,CNY,2.49048
2021-03-07,BYN,CNY,2.49048
2021-03-08,BYN,CNY,2.49838
2021-03-09,BYN,CNY,2.498
2021-03-10,BYN,CNY,2.49814
2021-03-11,BYN,CNY,2.49875
2021-03-12,BYN,CNY,2.50552
2021-03-13,BYN,CNY,2.5092
2021-03-14,BYN,CNY,2.5092
2021-03-15,BYN,CNY,2.50786
2021-03-16,BYN,CNY,2.50966
2021-03-17,BYN,CNY,2.50313
2021-03-18,BYN,CNY,2.49858
2021-03-19,BYN,CNY,2.50182
2021-03-20,BYN,CNY,2.50502
2021-03-21,BYN,CNY,2.50496
2021-03-22,BYN,CNY,2.50248
2021-03-23,BYN,CNY,2.49376
2021-03-24,BYN,CNY,2.47936
2021-03-25,BYN,CNY,2.4849
2021-03-26,BYN,CNY,2.48538
2021-03-27,BYN,CNY,2.48696
2021-03-28,BYN,CNY,2.48696
2021-03-29,BYN,CNY,2.49485
2021-03-30,BYN,CNY,2.50159
2021-03-31,BYN,CNY,2.49833
2021-04-01,BYN,CNY,2.49585
2021-04-02,BYN,CNY,2.49614
2021-04-03,BYN,CNY,2.49742
2021-04-04,BYN,CNY,2.49742
2021-04-05,BYN,CNY,2.49337
2021-04-06,BYN,CNY,2.48032
