date,base,quote,rate
2025-06-24,BYN,INR,26.4386
2025-06-25,BYN,INR,26.2938
2025-06-26,BYN,INR,26.2826
2025-06-27,BYN,INR,26.1176
2025-06-28,BYN,INR,26.1368
2025-06-29,BYN,INR,26.1364
2025-06-30,BYN,INR,26.1776
2025-07-01,BYN,INR,26.1573
2025-07-02,BYN,INR,26.1724
2025-07-03,BYN,INR,26.1447
2025-07-04,BYN,INR,26.1037
2025-07-05,BYN,INR,26.1759
2025-07-06,BYN,INR,26.1758
2025-07-07,BYN,INR,26.211
2025-07-08,BYN,INR,26.2217
2025-07-09,BYN,INR,26.1994
2025-07-10,BYN,INR,26.2136
2025-07-11,BYN,INR,26.2188
2025-07-12,BYN,INR,26.2339
2025-07-13,BYN,INR,26.2338
2025-07-14,BYN,INR,26.2536
2025-07-15,BYN,INR,26.22
2025-07-16,BYN,INR,26.1763
2025-07-17,BYN,INR,26.2876
2025-07-18,BYN,INR,26.3626
2025-07-19,BYN,INR,26.3352
2025-07-20,BYN,INR,26.3352
2025-07-21,BYN,INR,26.3503
2025-07-22,BYN,INR,26.422
2025-07-23,BYN,INR,26.4384
2025-07-24,BYN,INR,26.4354
2025-07-25,BYN,INR,26.4284
2025-07-26,BYN,INR,26.4139
2025-07-27,BYN,INR,26.4138
2025-07-28,BYN,INR,26.506
2025-07-29,BYN,INR,26.5439
2025-07-30,BYN,INR,26.7092
2025-07-31,BYN,INR,26.762
2025-08-01,BYN,INR,26.7024
2025-08-02,BYN,INR,26.6605
2025-08-03,BYN,INR,26.6624
2025-08-04,BYN,INR,26.9042
2025-08-05,BYN,INR,26.7414
2025-08-06,BYN,INR,26.6707
2025-08-07,BYN,INR,26.5912
2025-08-08,BYN,INR,26.5294
2025-08-09,BYN,INR,26.5841
2025-08-10,BYN,INR,26.5814
2025-08-11,BYN,INR,26.5798
2025-08-12,BYN,INR,26.5448
2025-08-13,BYN,INR,26.4778
2025-08-14,BYN,INR,26.4066
2025-08-15,BYN,INR,26.2922
2025-08-16,BYN,INR,26.2414
