date,base,quote,rate
2025-06-22,BYN,KZT,159.148
2025-06-23,BYN,KZT,159.532
2025-06-24,BYN,KZT,159.18
2025-06-25,BYN,KZT,158.482
2025-06-26,BYN,KZT,158.69
2025-06-27,BYN,KZT,158.707
2025-06-28,BYN,KZT,158.798
2025-06-29,BYN,KZT,158.798
2025-06-30,BYN,KZT,158.912
2025-07-01,BYN,KZT,158.678
2025-07-02,BYN,KZT,158.51
2025-07-03,BYN,KZT,158.754
2025-07-04,BYN,KZT,158.698
2025-07-05,BYN,KZT,158.744
2025-07-06,BYN,KZT,158.744
2025-07-07,BYN,KZT,158.71
2025-07-08,BYN,KZT,158.824
2025-07-09,BYN,KZT,158.602
2025-07-10,BYN,KZT,158.62
2025-07-11,BYN,KZT,159.322
2025-07-12,BYN,KZT,159.892
2025-07-13,BYN,KZT,159.892
2025-07-14,BYN,KZT,160.072
2025-07-15,BYN,KZT,160.414
2025-07-16,BYN,KZT,160.844
2025-07-17,BYN,KZT,162.426
2025-07-18,BYN,KZT,163.042
2025-07-19,BYN,KZT,162.776
2025-07-20,BYN,KZT,162.777
2025-07-21,BYN,KZT,162.295
2025-07-22,BYN,KZT,162.822
2025-07-23,BYN,KZT,164.213
2025-07-24,BYN,KZT,165.515
2025-07-25,BYN,KZT,166.294
2025-07-26,BYN,KZT,166.46
2025-07-27,BYN,KZT,166.46
2025-07-28,BYN,KZT,166.207
2025-07-29,BYN,KZT,165.958
2025-07-30,BYN,KZT,166.074
2025-07-31,BYN,KZT,165.435
2025-08-01,BYN,KZT,165.668
2025-08-02,BYN,KZT,165.905
2025-08-03,BYN,KZT,165.79
2025-08-04,BYN,KZT,165.654
2025-08-05,BYN,KZT,164.003
2025-08-06,BYN,KZT,163.379
2025-08-07,BYN,KZT,163.382
2025-08-08,BYN,KZT,163.516
2025-08-09,BYN,KZT,163.796
2025-08-10,BYN,KZT,163.796
2025-08-11,BYN,KZT,164.546
2025-08-12,BYN,KZT,164.28
2025-08-13,BYN,KZT,163.152
2025-08-14,BYN,KZT,162.454
2025-08-15,BYN,KZT,162.322
2025-08-16,BYN,KZT,162.272
2025-08-17,BYN,KZT,162.274
2025-08-18,BYN,KZT,161.636
2025-08-19,BYN,KZT,160.826
2025-08-20,BYN,KZT,160.419
2025-08-21,BYN,KZT,159.935
2025-08-22,BYN,KZT,159.537
2025-08-23,BYN,KZT,159.628
2025-08-24,BYN,KZT,159.628
2025-08-25,BYN,KZT,159.122
2025-08-26,BYN,KZT,157.997
2025-08-27,BYN,KZT,158.34
2025-08-28,BYN,KZT,158.341
2025-08-29,BYN,KZT,158.278
2025-08-30,BYN,KZT,158.284
2025-08-31,BYN,KZT,158.283
2025-09-01,BYN,KZT,159.172
2025-09-02,BYN,KZT,159.916
2025-09-03,BYN,KZT,159.966
2025-09-04,BYN,KZT,159.888
2025-09-05,BYN,KZT,159.244
2025-09-06,BYN,KZT,158.852
2025-09-07,BYN,KZT,158.852
2025-09-08,BYN,KZT,158.605
2025-09-09,BYN,KZT,158.628
2025-09-10,BYN,KZT,158.814
2025-09-11,BYN,KZT,159.232
2025-09-12,BYN,KZT,159.652
2025-09-13,BYN,KZT,159.638
2025-09-14,BYN,KZT,159.638
2025-09-15,BYN,KZT,159.674
2025-09-16,BYN,KZT,159.662
2025-09-17,BYN,KZT,159.945
2025-09-18,BYN,KZT,159.745
2025-09-19,BYN,KZT,159.708
2025-09-20,BYN,KZT,159.84
2025-09-21,BYN,KZT,159.84
2025-09-22,BYN,KZT,160.223
2025-09-23,BYN,KZT,160.713
2025-09-24,BYN,KZT,160.293
2025-09-25,BYN,KZT,160.043
2025-09-26,BYN,KZT,160.444
2025-09-27,BYN,KZT,161.012
2025-09-28,BYN,KZT,161.012
2025-09-29,BYN,KZT,161.683
2025-09-30,BYN,KZT,162.024
2025-10-01,BYN,KZT,161.912
2025-10-02,BYN,KZT,161.564
2025-10-03,BYN,KZT,161.412
2025-10-04,BYN,KZT,161.374
2025-10-05,BYN,KZT,161.374
2025-10-06,BYN,KZT,160.778
2025-10-07,BYN,KZT,159.677
2025-10-08,BYN,KZT,158.918
2025-10-09,BYN,KZT,159.021
2025-10-10,BYN,KZT,158.432
2025-10-11,BYN,KZT,158.246
2025-10-12,BYN,KZT,158.263
2025-10-13,BYN,KZT,158.196
