date,base,quote,rate
2020-12-20,BYN,RUB,29.2636
2020-12-21,BYN,RUB,29.6389
2020-12-22,BYN,RUB,29.6778
2020-12-23,BYN,RUB,29.1624
2020-12-24,BYN,RUB,28.8268
2020-12-25,BYN,RUB,28.6096
2020-12-26,BYN,RUB,28.6213
2020-12-27,BYN,RUB,28.616
2020-12-28,BYN,RUB,28.6441
2020-12-29,BYN,RUB,28.7401
2020-12-30,BYN,RUB,28.7841
2020-12-31,BYN,RUB,28.6195
2021-01-01,BYN,RUB,28.1871
2021-01-02,BYN,RUB,28.1677
2021-01-03,BYN,RUB,28.1682
2021-01-04,BYN,RUB,28.4452
2021-01-05,BYN,RUB,28.7428
2021-01-06,BYN,RUB,28.6686
2021-01-07,BYN,RUB,28.8515
2021-01-08,BYN,RUB,28.9034
2021-01-09,BYN,RUB,28.8881
2021-01-10,BYN,RUB,28.8881
2021-01-11,BYN,RUB,28.9144
2021-01-12,BYN,RUB,28.7214
2021-01-13,BYN,RUB,28.6634
2021-01-14,BYN,RUB,28.566
2021-01-15,BYN,RUB,28.6874
2021-01-16,BYN,RUB,28.79
2021-01-17,BYN,RUB,28.7932
2021-01-18,BYN,RUB,28.9152
2021-01-19,BYN,RUB,28.9446
2021-01-20,BYN,RUB,28.9269
2021-01-21,BYN,RUB,29.0172
2021-01-22,BYN,RUB,29.3782
2021-01-23,BYN,RUB,29.5174
2021-01-24,BYN,RUB,29.52
2021-01-25,BYN,RUB,29.4744
2021-01-26,BYN,RUB,29.3307
2021-01-27,BYN,RUB,29.2142
2021-01-28,BYN,RUB,29.1324
2021-01-29,BYN,RUB,29.0065
2021-01-30,BYN,RUB,29.0388
2021-01-31,BYN,RUB,29.0372
2021-02-01,BYN,RUB,28.9456
2021-02-02,BYN,RUB,28.8926
2021-02-03,BYN,RUB,28.8562
2021-02-04,BYN,RUB,28.7206
2021-02-05,BYN,RUB,28.4793
2021-02-06,BYN,RUB,28.4146
2021-02-07,BYN,RUB,28.4152
2021-02-08,BYN,RUB,28.4382
2021-02-09,BYN,RUB,28.4477
2021-02-10,BYN,RUB,28.565
2021-02-11,BYN,RUB,28.5808
2021-02-12,BYN,RUB,28.5274
2021-02-13,BYN,RUB,28.3479
2021-02-14,BYN,RUB,28.3479
2021-02-15,BYN,RUB,28.3522
2021-02-16,BYN,RUB,28.4854
2021-02-17,BYN,RUB,28.4454
