date,base,quote,rate
2020-12-20,BYN,USD,0.398444
2020-12-21,BYN,USD,0.397106
2020-12-22,BYN,USD,0.393859
2020-12-23,BYN,USD,0.386996
2020-12-24,BYN,USD,0.386922
2020-12-25,BYN,USD,0.386469
2020-12-26,BYN,USD,0.38646
2020-12-27,BYN,USD,0.38646
2020-12-28,BYN,USD,0.387816
2020-12-29,BYN,USD,0.389238
2020-12-30,BYN,USD,0.387812
2020-12-31,BYN,USD,0.384722
2021-01-01,BYN,USD,0.38101
2021-01-02,BYN,USD,0.380847
2021-01-03,BYN,USD,0.380847
2021-01-04,BYN,USD,0.384682
2021-01-05,BYN,USD,0.386487
2021-01-06,BYN,USD,0.387878
2021-01-07,BYN,USD,0.388262
2021-01-08,BYN,USD,0.389024
2021-01-09,BYN,USD,0.38994
2021-01-10,BYN,USD,0.38994
2021-01-11,BYN,USD,0.387738
2021-01-12,BYN,USD,0.387706
2021-01-13,BYN,USD,0.389115
2021-01-14,BYN,USD,0.388742
2021-01-15,BYN,USD,0.390396
2021-01-16,BYN,USD,0.391572
2021-01-17,BYN,USD,0.391572
2021-01-18,BYN,USD,0.390872
2021-01-19,BYN,USD,0.392266
2021-01-20,BYN,USD,0.393286
2021-01-21,BYN,USD,0.393962
2021-01-22,BYN,USD,0.393366
2021-01-23,BYN,USD,0.39209
2021-01-24,BYN,USD,0.39209
2021-01-25,BYN,USD,0.391198
2021-01-26,BYN,USD,0.38955
2021-01-27,BYN,USD,0.387259
2021-01-28,BYN,USD,0.3831
2021-01-29,BYN,USD,0.381958
2021-01-30,BYN,USD,0.382354
2021-01-31,BYN,USD,0.382354
2021-02-01,BYN,USD,0.381445
2021-02-02,BYN,USD,0.380576
2021-02-03,BYN,USD,0.379661
2021-02-04,BYN,USD,0.379454
2021-02-05,BYN,USD,0.379721
2021-02-06,BYN,USD,0.380641
2021-02-07,BYN,USD,0.380641
2021-02-08,BYN,USD,0.382023
2021-02-09,BYN,USD,0.384074
2021-02-10,BYN,USD,0.386776
2021-02-11,BYN,USD,0.387526
2021-02-12,BYN,USD,0.386099
2021-02-13,BYN,USD,0.384888
2021-02-14,BYN,USD,0.384888
2021-02-15,BYN,USD,0.386328
2021-02-16,BYN,USD,0.387627
2021-02-17,BYN,USD,0.385436
2021-02-18,BYN,USD,0.385098
2021-02-19,BYN,USD,0.38603
2021-02-20,BYN,USD,0.386078
2021-02-21,BYN,USD,0.386078
2021-02-22,BYN,USD,0.385257
2021-02-23,BYN,USD,0.385217
2021-02-24,BYN,USD,0.384301
2021-02-25,BYN,USD,0.383777
2021-02-26,BYN,USD,0.383829
2021-02-27,BYN,USD,0.383836
2021-02-28,BYN,USD,0.383836
2021-03-01,BYN,USD,0.38345
2021-03-02,BYN,USD,0.383455
2021-03-03,BYN,USD,0.384033
2021-03-04,BYN,USD,0.383051
2021-03-05,BYN,USD,0.382218
2021-03-06,BYN,USD,0.383338
2021-03-07,BYN,USD,0.383338
2021-03-08,BYN,USD,0.383209
2021-03-09,BYN,USD,0.383409
2021-03-10,BYN,USD,0.383834
2021-03-11,BYN,USD,0.384756
2021-03-12,BYN,USD,0.385348
2021-03-13,BYN,USD,0.385526
2021-03-14,BYN,USD,0.385526
2021-03-15,BYN,USD,0.385698
2021-03-16,BYN,USD,0.385986
2021-03-17,BYN,USD,0.384896
2021-03-18,BYN,USD,0.384236
2021-03-19,BYN,USD,0.38435
2021-03-20,BYN,USD,0.384855
2021-03-21,BYN,USD,0.384844
2021-03-22,BYN,USD,0.384502
2021-03-23,BYN,USD,0.38289
2021-03-24,BYN,USD,0.380095
2021-03-25,BYN,USD,0.379978
2021-03-26,BYN,USD,0.379908
2021-03-27,BYN,USD,0.380182
2021-03-28,BYN,USD,0.380182
2021-03-29,BYN,USD,0.380284
2021-03-30,BYN,USD,0.380713
2021-03-31,BYN,USD,0.381047
2021-04-01,BYN,USD,0.380034
2021-04-02,BYN,USD,0.380218
2021-04-03,BYN,USD,0.38027
2021-04-04,BYN,USD,0.38027
2021-04-05,BYN,USD,0.379675
2021-04-06,BYN,USD,0.378788
2021-04-07,BYN,USD,0.376603
2021-04-08,BYN,USD,0.375151
2021-04-09,BYN,USD,0.378364
2021-04-10,BYN,USD,0.379219
2021-04-11,BYN,USD,0.379219
2021-04-12,BYN,USD,0.379062
2021-04-13,BYN,USD,0.379004
2021-04-14,BYN,USD,0.380814
2021-04-15,BYN,USD,0.382898
2021-04-16,BYN,USD,0.384358
2021-04-17,BYN,USD,0.38511
2021-04-18,BYN,USD,0.385072
2021-04-19,BYN,USD,0.385066
2021-04-20,BYN,USD,0.3862
2021-04-21,BYN,USD,0.385645
2021-04-22,BYN,USD,0.38566
2021-04-23,BYN,USD,0.388584
2021-04-24,BYN,USD,0.390668
2021-04-25,BYN,USD,0.390668
2021-04-26,BYN,USD,0.391086
