date,base,quote,rate
2025-06-24,CHF,CNY,8.8752
2025-06-25,CHF,CNY,8.90658
2025-06-26,CHF,CNY,8.9515
2025-06-27,CHF,CNY,8.96728
2025-06-28,CHF,CNY,8.97702
2025-06-29,CHF,CNY,8.97743
2025-06-30,CHF,CNY,8.99981
2025-07-01,CHF,CNY,9.05299
2025-07-02,CHF,CNY,9.04817
2025-07-03,CHF,CNY,9.02932
2025-07-04,CHF,CNY,9.02667
2025-07-05,CHF,CNY,9.02194
2025-07-06,CHF,CNY,9.02178
2025-07-07,CHF,CNY,9.00222
2025-07-08,CHF,CNY,9.00428
2025-07-09,CHF,CNY,9.02024
2025-07-10,CHF,CNY,9.0233
2025-07-11,CHF,CNY,8.99988
2025-07-12,CHF,CNY,8.99972
2025-07-13,CHF,CNY,8.99907
2025-07-14,CHF,CNY,8.99209
2025-07-15,CHF,CNY,8.97807
2025-07-16,CHF,CNY,8.95302
2025-07-17,CHF,CNY,8.93208
2025-07-18,CHF,CNY,8.95552
2025-07-19,CHF,CNY,8.95304
2025-07-20,CHF,CNY,8.95402
2025-07-21,CHF,CNY,8.97406
2025-07-22,CHF,CNY,9.01414
2025-07-23,CHF,CNY,9.03404
2025-07-24,CHF,CNY,9.0148
2025-07-25,CHF,CNY,8.99638
2025-07-26,CHF,CNY,9.01
2025-07-27,CHF,CNY,9.00919
2025-07-28,CHF,CNY,8.96142
2025-07-29,CHF,CNY,8.9129
2025-07-30,CHF,CNY,8.88218
2025-07-31,CHF,CNY,8.84586
2025-08-01,CHF,CNY,8.8888
2025-08-02,CHF,CNY,8.95769
2025-08-03,CHF,CNY,8.95828
2025-08-04,CHF,CNY,8.90434
2025-08-05,CHF,CNY,8.88169
2025-08-06,CHF,CNY,8.90359
2025-08-07,CHF,CNY,8.90388
2025-08-08,CHF,CNY,8.89376
2025-08-09,CHF,CNY,8.885
2025-08-10,CHF,CNY,8.88543
2025-08-11,CHF,CNY,8.86906
2025-08-12,CHF,CNY,8.87774
2025-08-13,CHF,CNY,8.91513
2025-08-14,CHF,CNY,8.89438
2025-08-15,CHF,CNY,8.90572
2025-08-16,CHF,CNY,8.9008
2025-08-17,CHF,CNY,8.90119
2025-08-18,CHF,CNY,8.90064
2025-08-19,CHF,CNY,8.9028
2025-08-20,CHF,CNY,8.90398
2025-08-21,CHF,CNY,8.89765
2025-08-22,CHF,CNY,8.90334
2025-08-23,CHF,CNY,8.94378
2025-08-24,CHF,CNY,8.94304
2025-08-25,CHF,CNY,8.90802
2025-08-26,CHF,CNY,8.89154
2025-08-27,CHF,CNY,8.89576
2025-08-28,CHF,CNY,8.91565
2025-08-29,CHF,CNY,8.90826
2025-08-30,CHF,CNY,8.90772
2025-08-31,CHF,CNY,8.9078
2025-09-01,CHF,CNY,8.91348
2025-09-02,CHF,CNY,8.88466
2025-09-03,CHF,CNY,8.87756
2025-09-04,CHF,CNY,8.86906
2025-09-05,CHF,CNY,8.90918
2025-09-06,CHF,CNY,8.93818
2025-09-07,CHF,CNY,8.9373
2025-09-08,CHF,CNY,8.96588
2025-09-09,CHF,CNY,8.96725
2025-09-10,CHF,CNY,8.92583
2025-09-11,CHF,CNY,8.92659
2025-09-12,CHF,CNY,8.93908
2025-09-13,CHF,CNY,8.94314
2025-09-14,CHF,CNY,8.94321
2025-09-15,CHF,CNY,8.95381
2025-09-16,CHF,CNY,9.00739
2025-09-17,CHF,CNY,9.03026
2025-09-18,CHF,CNY,8.98843
2025-09-19,CHF,CNY,8.95374
2025-09-20,CHF,CNY,8.94474
2025-09-21,CHF,CNY,8.94476
2025-09-22,CHF,CNY,8.95588
2025-09-23,CHF,CNY,8.98096
2025-09-24,CHF,CNY,8.96939
2025-09-25,CHF,CNY,8.94117
2025-09-26,CHF,CNY,8.93053
2025-09-27,CHF,CNY,8.93804
2025-09-28,CHF,CNY,8.93877
2025-09-29,CHF,CNY,8.94048
2025-09-30,CHF,CNY,8.93718
2025-10-01,CHF,CNY,8.93838
2025-10-02,CHF,CNY,8.9322
2025-10-03,CHF,CNY,8.93993
2025-10-04,CHF,CNY,8.95282
2025-10-05,CHF,CNY,8.95016
2025-10-06,CHF,CNY,8.94027
2025-10-07,CHF,CNY,8.93125
2025-10-08,CHF,CNY,8.88854
2025-10-09,CHF,CNY,8.86697
2025-10-10,CHF,CNY,8.86434
2025-10-11,CHF,CNY,8.91526
2025-10-12,CHF,CNY,8.91161
2025-10-13,CHF,CNY,8.86993
2025-10-14,CHF,CNY,8.88624
2025-10-15,CHF,CNY,8.92563
2025-10-16,CHF,CNY,8.96146
2025-10-17,CHF,CNY,9.00324
2025-10-18,CHF,CNY,8.98071
