date,base,quote,rate
2025-06-24,CHF,EUR,1.06556
2025-06-25,CHF,EUR,1.0681
2025-06-26,CHF,EUR,1.0666
2025-06-27,CHF,EUR,1.06805
2025-06-28,CHF,EUR,1.06822
2025-06-29,CHF,EUR,1.06812
2025-06-30,CHF,EUR,1.06933
2025-07-01,CHF,EUR,1.07158
2025-07-02,CHF,EUR,1.07125
2025-07-03,CHF,EUR,1.06998
2025-07-04,CHF,EUR,1.0699
2025-07-05,CHF,EUR,1.06918
2025-07-06,CHF,EUR,1.06914
2025-07-07,CHF,EUR,1.06938
2025-07-08,CHF,EUR,1.07003
2025-07-09,CHF,EUR,1.07274
2025-07-10,CHF,EUR,1.0731
2025-07-11,CHF,EUR,1.07382
2025-07-12,CHF,EUR,1.07386
2025-07-13,CHF,EUR,1.07398
2025-07-14,CHF,EUR,1.07424
2025-07-15,CHF,EUR,1.07495
2025-07-16,CHF,EUR,1.0735
2025-07-17,CHF,EUR,1.07239
2025-07-18,CHF,EUR,1.07232
2025-07-19,CHF,EUR,1.073
2025-07-20,CHF,EUR,1.07304
2025-07-21,CHF,EUR,1.07243
2025-07-22,CHF,EUR,1.07269
2025-07-23,CHF,EUR,1.07339
2025-07-24,CHF,EUR,1.07082
2025-07-25,CHF,EUR,1.07034
2025-07-26,CHF,EUR,1.07126
2025-07-27,CHF,EUR,1.07099
2025-07-28,CHF,EUR,1.07182
2025-07-29,CHF,EUR,1.07423
2025-07-30,CHF,EUR,1.07499
2025-07-31,CHF,EUR,1.07634
2025-08-01,CHF,EUR,1.07454
2025-08-02,CHF,EUR,1.07332
2025-08-03,CHF,EUR,1.07332
2025-08-04,CHF,EUR,1.07046
2025-08-05,CHF,EUR,1.06968
2025-08-06,CHF,EUR,1.06704
2025-08-07,CHF,EUR,1.06358
2025-08-08,CHF,EUR,1.0628
2025-08-09,CHF,EUR,1.06262
2025-08-10,CHF,EUR,1.06266
2025-08-11,CHF,EUR,1.06116
2025-08-12,CHF,EUR,1.06138
2025-08-13,CHF,EUR,1.06154
2025-08-14,CHF,EUR,1.06192
2025-08-15,CHF,EUR,1.0613
2025-08-16,CHF,EUR,1.05902
2025-08-17,CHF,EUR,1.059
2025-08-18,CHF,EUR,1.06094
2025-08-19,CHF,EUR,1.06274
2025-08-20,CHF,EUR,1.06486
2025-08-21,CHF,EUR,1.06572
2025-08-22,CHF,EUR,1.065
2025-08-23,CHF,EUR,1.06453
2025-08-24,CHF,EUR,1.06449
2025-08-25,CHF,EUR,1.06568
2025-08-26,CHF,EUR,1.06772
2025-08-27,CHF,EUR,1.07028
2025-08-28,CHF,EUR,1.06988
2025-08-29,CHF,EUR,1.0687
2025-08-30,CHF,EUR,1.06896
2025-08-31,CHF,EUR,1.06891
2025-09-01,CHF,EUR,1.06704
2025-09-02,CHF,EUR,1.06747
2025-09-03,CHF,EUR,1.06696
2025-09-04,CHF,EUR,1.06604
2025-09-05,CHF,EUR,1.0668
2025-09-06,CHF,EUR,1.06916
2025-09-07,CHF,EUR,1.0691
2025-09-08,CHF,EUR,1.07126
2025-09-09,CHF,EUR,1.07176
