date,base,quote,rate
2025-06-24,CHF,HKD,9.70922
2025-06-25,CHF,HKD,9.747
2025-06-26,CHF,HKD,9.79791
2025-06-27,CHF,HKD,9.81749
2025-06-28,CHF,HKD,9.82494
2025-06-29,CHF,HKD,9.82538
2025-06-30,CHF,HKD,9.85709
2025-07-01,CHF,HKD,9.9196
2025-07-02,CHF,HKD,9.91173
2025-07-03,CHF,HKD,9.8913
2025-07-04,CHF,HKD,9.88876
2025-07-05,CHF,HKD,9.88295
2025-07-06,CHF,HKD,9.88286
2025-07-07,CHF,HKD,9.85414
2025-07-08,CHF,HKD,9.85228
2025-07-09,CHF,HKD,9.86457
2025-07-10,CHF,HKD,9.86808
2025-07-11,CHF,HKD,9.85125
2025-07-12,CHF,HKD,9.85477
2025-07-13,CHF,HKD,9.85408
2025-07-14,CHF,HKD,9.84692
2025-07-15,CHF,HKD,9.82786
2025-07-16,CHF,HKD,9.793
2025-07-17,CHF,HKD,9.7641
2025-07-18,CHF,HKD,9.7891
2025-07-19,CHF,HKD,9.78832
2025-07-20,CHF,HKD,9.78934
2025-07-21,CHF,HKD,9.81705
2025-07-22,CHF,HKD,9.86321
2025-07-23,CHF,HKD,9.89666
2025-07-24,CHF,HKD,9.88748
2025-07-25,CHF,HKD,9.862
2025-07-26,CHF,HKD,9.87454
2025-07-27,CHF,HKD,9.87367
2025-07-28,CHF,HKD,9.81298
2025-07-29,CHF,HKD,9.74798
2025-07-30,CHF,HKD,9.70918
2025-07-31,CHF,HKD,9.65779
2025-08-01,CHF,HKD,9.68818
2025-08-02,CHF,HKD,9.76264
2025-08-03,CHF,HKD,9.76258
2025-08-04,CHF,HKD,9.72359
2025-08-05,CHF,HKD,9.70706
2025-08-06,CHF,HKD,9.72754
2025-08-07,CHF,HKD,9.73238
2025-08-08,CHF,HKD,9.72089
2025-08-09,CHF,HKD,9.71284
2025-08-10,CHF,HKD,9.71328
2025-08-11,CHF,HKD,9.69078
2025-08-12,CHF,HKD,9.69859
2025-08-13,CHF,HKD,9.75066
2025-08-14,CHF,HKD,9.71968
2025-08-15,CHF,HKD,9.7059
2025-08-16,CHF,HKD,9.69828
2025-08-17,CHF,HKD,9.69872
2025-08-18,CHF,HKD,9.69312
2025-08-19,CHF,HKD,9.66868
2025-08-20,CHF,HKD,9.68672
2025-08-21,CHF,HKD,9.6845
2025-08-22,CHF,HKD,9.69719
2025-08-23,CHF,HKD,9.7522
2025-08-24,CHF,HKD,9.7515
2025-08-25,CHF,HKD,9.71922
2025-08-26,CHF,HKD,9.69568
2025-08-27,CHF,HKD,9.6788
2025-08-28,CHF,HKD,9.72464
2025-08-29,CHF,HKD,9.72658
2025-08-30,CHF,HKD,9.73884
2025-08-31,CHF,HKD,9.73876
2025-09-01,CHF,HKD,9.74135
2025-09-02,CHF,HKD,9.71391
2025-09-03,CHF,HKD,9.69946
2025-09-04,CHF,HKD,9.6864
2025-09-05,CHF,HKD,9.73526
2025-09-06,CHF,HKD,9.77164
2025-09-07,CHF,HKD,9.77042
2025-09-08,CHF,HKD,9.79868
2025-09-09,CHF,HKD,9.80192
2025-09-10,CHF,HKD,9.76222
2025-09-11,CHF,HKD,9.76432
2025-09-12,CHF,HKD,9.76834
2025-09-13,CHF,HKD,9.76516
2025-09-14,CHF,HKD,9.76539
2025-09-15,CHF,HKD,9.77869
2025-09-16,CHF,HKD,9.8475
2025-09-17,CHF,HKD,9.87927
2025-09-18,CHF,HKD,9.83446
2025-09-19,CHF,HKD,9.78648
2025-09-20,CHF,HKD,9.77458
2025-09-21,CHF,HKD,9.7745
2025-09-22,CHF,HKD,9.78141
2025-09-23,CHF,HKD,9.8156
2025-09-24,CHF,HKD,9.79491
2025-09-25,CHF,HKD,9.75421
2025-09-26,CHF,HKD,9.73893
2025-09-27,CHF,HKD,9.74652
2025-09-28,CHF,HKD,9.7474
2025-09-29,CHF,HKD,9.76412
2025-09-30,CHF,HKD,9.7669
2025-10-01,CHF,HKD,9.76905
2025-10-02,CHF,HKD,9.7624
2025-10-03,CHF,HKD,9.77064
2025-10-04,CHF,HKD,9.78492
2025-10-05,CHF,HKD,9.78202
2025-10-06,CHF,HKD,9.77162
2025-10-07,CHF,HKD,9.76265
2025-10-08,CHF,HKD,9.71549
2025-10-09,CHF,HKD,9.6842
2025-10-10,CHF,HKD,9.67988
2025-10-11,CHF,HKD,9.73842
2025-10-12,CHF,HKD,9.73413
2025-10-13,CHF,HKD,9.68499
2025-10-14,CHF,HKD,9.68618
2025-10-15,CHF,HKD,9.73105
2025-10-16,CHF,HKD,9.77452
2025-10-17,CHF,HKD,9.8152
2025-10-18,CHF,HKD,9.78781
2025-10-19,CHF,HKD,9.78813
2025-10-20,CHF,HKD,9.80075
2025-10-21,CHF,HKD,9.77982
2025-10-22,CHF,HKD,9.76235
2025-10-23,CHF,HKD,9.7563
2025-10-24,CHF,HKD,9.76582
2025-10-25,CHF,HKD,9.76348
2025-10-26,CHF,HKD,9.76269
2025-10-27,CHF,HKD,9.76016
2025-10-28,CHF,HKD,9.78603
2025-10-29,CHF,HKD,9.75403
2025-10-30,CHF,HKD,9.70578
2025-10-31,CHF,HKD,9.67546
2025-11-01,CHF,HKD,9.65817
2025-11-02,CHF,HKD,9.65806
2025-11-03,CHF,HKD,9.63633
2025-11-04,CHF,HKD,9.60683
2025-11-05,CHF,HKD,9.59778
2025-11-06,CHF,HKD,9.62083
2025-11-07,CHF,HKD,9.64744
2025-11-08,CHF,HKD,9.66232
2025-11-09,CHF,HKD,9.66092
2025-11-10,CHF,HKD,9.64976
