date,base,quote,rate
2025-06-22,CHF,INR,105.868
2025-06-23,CHF,INR,106.208
2025-06-24,CHF,INR,106.437
2025-06-25,CHF,INR,106.788
2025-06-26,CHF,INR,107.027
2025-06-27,CHF,INR,106.958
2025-06-28,CHF,INR,107.01
2025-06-29,CHF,INR,107.014
2025-06-30,CHF,INR,107.557
2025-07-01,CHF,INR,108.184
2025-07-02,CHF,INR,108.148
2025-07-03,CHF,INR,107.684
2025-07-04,CHF,INR,107.676
2025-07-05,CHF,INR,107.821
2025-07-06,CHF,INR,107.819
2025-07-07,CHF,INR,107.705
2025-07-08,CHF,INR,107.602
2025-07-09,CHF,INR,107.743
2025-07-10,CHF,INR,107.716
2025-07-11,CHF,INR,107.698
2025-07-12,CHF,INR,107.755
2025-07-13,CHF,INR,107.747
2025-07-14,CHF,INR,107.764
2025-07-15,CHF,INR,107.56
2025-07-16,CHF,INR,107.187
2025-07-17,CHF,INR,106.984
2025-07-18,CHF,INR,107.428
2025-07-19,CHF,INR,107.458
2025-07-20,CHF,INR,107.468
2025-07-21,CHF,INR,107.864
2025-07-22,CHF,INR,108.469
2025-07-23,CHF,INR,108.902
2025-07-24,CHF,INR,108.814
2025-07-25,CHF,INR,108.69
2025-07-26,CHF,INR,108.83
2025-07-27,CHF,INR,108.82
2025-07-28,CHF,INR,108.308
2025-07-29,CHF,INR,107.94
2025-07-30,CHF,INR,108.176
2025-07-31,CHF,INR,107.748
2025-08-01,CHF,INR,107.81
2025-08-02,CHF,INR,108.476
2025-08-03,CHF,INR,108.483
2025-08-04,CHF,INR,108.547
2025-08-05,CHF,INR,108.596
2025-08-06,CHF,INR,108.716
2025-08-07,CHF,INR,108.574
2025-08-08,CHF,INR,108.478
2025-08-09,CHF,INR,108.52
2025-08-10,CHF,INR,108.514
2025-08-11,CHF,INR,108.174
2025-08-12,CHF,INR,108.28
2025-08-13,CHF,INR,108.712
2025-08-14,CHF,INR,108.566
2025-08-15,CHF,INR,108.573
2025-08-16,CHF,INR,108.455
2025-08-17,CHF,INR,108.462
2025-08-18,CHF,INR,108.283
2025-08-19,CHF,INR,107.972
2025-08-20,CHF,INR,107.97
2025-08-21,CHF,INR,108.07
2025-08-22,CHF,INR,108.42
2025-08-23,CHF,INR,109.002
2025-08-24,CHF,INR,108.995
2025-08-25,CHF,INR,108.894
2025-08-26,CHF,INR,108.957
2025-08-27,CHF,INR,109.062
2025-08-28,CHF,INR,109.316
2025-08-29,CHF,INR,109.866
2025-08-30,CHF,INR,110.135
2025-08-31,CHF,INR,110.14
2025-09-01,CHF,INR,110.118
2025-09-02,CHF,INR,109.608
2025-09-03,CHF,INR,109.464
2025-09-04,CHF,INR,109.472
2025-09-05,CHF,INR,110.084
2025-09-06,CHF,INR,110.522
2025-09-07,CHF,INR,110.51
2025-09-08,CHF,INR,110.685
2025-09-09,CHF,INR,110.93
2025-09-10,CHF,INR,110.424
2025-09-11,CHF,INR,110.674
2025-09-12,CHF,INR,110.828
2025-09-13,CHF,INR,110.812
2025-09-14,CHF,INR,110.814
2025-09-15,CHF,INR,110.87
2025-09-16,CHF,INR,111.407
2025-09-17,CHF,INR,111.562
2025-09-18,CHF,INR,111.418
2025-09-19,CHF,INR,110.951
2025-09-20,CHF,INR,110.765
2025-09-21,CHF,INR,110.764
2025-09-22,CHF,INR,111.104
2025-09-23,CHF,INR,111.966
2025-09-24,CHF,INR,111.782
2025-09-25,CHF,INR,111.246
2025-09-26,CHF,INR,111.027
2025-09-27,CHF,INR,111.093
2025-09-28,CHF,INR,111.102
2025-09-29,CHF,INR,111.322
2025-09-30,CHF,INR,111.464
2025-10-01,CHF,INR,111.36
2025-10-02,CHF,INR,111.322
2025-10-03,CHF,INR,111.444
2025-10-04,CHF,INR,111.588
2025-10-05,CHF,INR,111.554
2025-10-06,CHF,INR,111.44
2025-10-07,CHF,INR,111.316
2025-10-08,CHF,INR,110.818
2025-10-09,CHF,INR,110.54
2025-10-10,CHF,INR,110.358
2025-10-11,CHF,INR,111.061
2025-10-12,CHF,INR,111.016
2025-10-13,CHF,INR,110.424
2025-10-14,CHF,INR,110.584
2025-10-15,CHF,INR,110.342
2025-10-16,CHF,INR,110.551
2025-10-17,CHF,INR,111.154
2025-10-18,CHF,INR,110.891
2025-10-19,CHF,INR,110.892
2025-10-20,CHF,INR,110.913
2025-10-21,CHF,INR,110.746
2025-10-22,CHF,INR,110.244
2025-10-23,CHF,INR,110.266
2025-10-24,CHF,INR,110.34
2025-10-25,CHF,INR,110.356
2025-10-26,CHF,INR,110.35
2025-10-27,CHF,INR,110.745
2025-10-28,CHF,INR,111.175
2025-10-29,CHF,INR,110.816
2025-10-30,CHF,INR,110.66
2025-10-31,CHF,INR,110.482
2025-11-01,CHF,INR,110.32
2025-11-02,CHF,INR,110.319
2025-11-03,CHF,INR,110.036
2025-11-04,CHF,INR,109.595
2025-11-05,CHF,INR,109.436
2025-11-06,CHF,INR,109.67
2025-11-07,CHF,INR,110.012
2025-11-08,CHF,INR,110.151
2025-11-09,CHF,INR,110.136
2025-11-10,CHF,INR,110.094
2025-11-11,CHF,INR,110.39
2025-11-12,CHF,INR,110.881
2025-11-13,CHF,INR,111.541
2025-11-14,CHF,INR,111.952
2025-11-15,CHF,INR,111.708
2025-11-16,CHF,INR,111.704
2025-11-17,CHF,INR,111.452
2025-11-18,CHF,INR,111.138
2025-11-19,CHF,INR,110.303
2025-11-20,CHF,INR,109.988
2025-11-21,CHF,INR,110.667
2025-11-22,CHF,INR,110.854
2025-11-23,CHF,INR,110.851
2025-11-24,CHF,INR,110.409
2025-11-25,CHF,INR,110.296
2025-11-26,CHF,INR,110.722
2025-11-27,CHF,INR,110.986
2025-11-28,CHF,INR,111.098
2025-11-29,CHF,INR,111.138
2025-11-30,CHF,INR,111.137
2025-12-01,CHF,INR,111.464
2025-12-02,CHF,INR,111.74
2025-12-03,CHF,INR,112.548
2025-12-04,CHF,INR,112.306
2025-12-05,CHF,INR,111.906
2025-12-06,CHF,INR,111.796
2025-12-07,CHF,INR,111.794
2025-12-08,CHF,INR,111.878
2025-12-09,CHF,INR,111.537
2025-12-10,CHF,INR,111.83
2025-12-11,CHF,INR,113.206
2025-12-12,CHF,INR,113.74
2025-12-13,CHF,INR,113.766
2025-12-14,CHF,INR,113.762
2025-12-15,CHF,INR,113.9
2025-12-16,CHF,INR,114.286
2025-12-17,CHF,INR,113.664
2025-12-18,CHF,INR,113.552
