date,base,quote,rate
2020-12-20,CHF,KZT,475.104
2020-12-21,CHF,KZT,474.704
2020-12-22,CHF,KZT,473.685
2020-12-23,CHF,KZT,474.484
2020-12-24,CHF,KZT,472.879
2020-12-25,CHF,KZT,471.45
2020-12-26,CHF,KZT,471.394
2020-12-27,CHF,KZT,471.448
2020-12-28,CHF,KZT,472.212
2020-12-29,CHF,KZT,474.452
2020-12-30,CHF,KZT,476.724
2020-12-31,CHF,KZT,477.236
2021-01-01,CHF,KZT,477.364
2021-01-02,CHF,KZT,477.342
2021-01-03,CHF,KZT,477.364
2021-01-04,CHF,KZT,478.294
2021-01-05,CHF,KZT,479.716
2021-01-06,CHF,KZT,477.928
2021-01-07,CHF,KZT,475.264
2021-01-08,CHF,KZT,473.588
2021-01-09,CHF,KZT,473.626
2021-01-10,CHF,KZT,473.588
2021-01-11,CHF,KZT,472.56
2021-01-12,CHF,KZT,472.486
2021-01-13,CHF,KZT,472.291
2021-01-14,CHF,KZT,472.455
2021-01-15,CHF,KZT,471.902
2021-01-16,CHF,KZT,470.53
2021-01-17,CHF,KZT,470.542
2021-01-18,CHF,KZT,472.03
2021-01-19,CHF,KZT,472.496
2021-01-20,CHF,KZT,471.461
2021-01-21,CHF,KZT,472.116
2021-01-22,CHF,KZT,474.326
2021-01-23,CHF,KZT,475.392
2021-01-24,CHF,KZT,475.396
2021-01-25,CHF,KZT,474.716
2021-01-26,CHF,KZT,475.098
2021-01-27,CHF,KZT,475.334
2021-01-28,CHF,KZT,476.453
2021-01-29,CHF,KZT,476.362
2021-01-30,CHF,KZT,475.418
2021-01-31,CHF,KZT,475.396
2021-02-01,CHF,KZT,474.224
2021-02-02,CHF,KZT,472.267
2021-02-03,CHF,KZT,471.228
2021-02-04,CHF,KZT,468.204
2021-02-05,CHF,KZT,467.003
2021-02-06,CHF,KZT,467.723
2021-02-07,CHF,KZT,467.717
2021-02-08,CHF,KZT,465.688
2021-02-09,CHF,KZT,467.676
2021-02-10,CHF,KZT,469.23
2021-02-11,CHF,KZT,469.676
2021-02-12,CHF,KZT,469.999
2021-02-13,CHF,KZT,470.23
2021-02-14,CHF,KZT,470.233
2021-02-15,CHF,KZT,469.108
2021-02-16,CHF,KZT,468.216
2021-02-17,CHF,KZT,466.028
2021-02-18,CHF,KZT,464.466
2021-02-19,CHF,KZT,465.617
2021-02-20,CHF,KZT,465.732
2021-02-21,CHF,KZT,465.724
2021-02-22,CHF,KZT,464.944
2021-02-23,CHF,KZT,461.892
2021-02-24,CHF,KZT,457.896
2021-02-25,CHF,KZT,458.522
2021-02-26,CHF,KZT,459.704
2021-02-27,CHF,KZT,459.608
2021-02-28,CHF,KZT,459.626
2021-03-01,CHF,KZT,458.704
2021-03-02,CHF,KZT,458.226
2021-03-03,CHF,KZT,457.346
2021-03-04,CHF,KZT,454.565
2021-03-05,CHF,KZT,452.124
2021-03-06,CHF,KZT,450.388
2021-03-07,CHF,KZT,450.39
2021-03-08,CHF,KZT,449.835
2021-03-09,CHF,KZT,450.712
2021-03-10,CHF,KZT,451.846
2021-03-11,CHF,KZT,452.708
2021-03-12,CHF,KZT,451.328
2021-03-13,CHF,KZT,450.714
2021-03-14,CHF,KZT,450.77
2021-03-15,CHF,KZT,450.991
2021-03-16,CHF,KZT,452.311
2021-03-17,CHF,KZT,452.77
2021-03-18,CHF,KZT,452.73
2021-03-19,CHF,KZT,452.988
2021-03-20,CHF,KZT,452.913
2021-03-21,CHF,KZT,452.897
2021-03-22,CHF,KZT,454.746
2021-03-23,CHF,KZT,452.845
2021-03-24,CHF,KZT,450.584
2021-03-25,CHF,KZT,451.606
2021-03-26,CHF,KZT,451.691
2021-03-27,CHF,KZT,451.898
2021-03-28,CHF,KZT,451.892
2021-03-29,CHF,KZT,451.874
2021-03-30,CHF,KZT,451.222
2021-03-31,CHF,KZT,451.088
2021-04-01,CHF,KZT,452.278
2021-04-02,CHF,KZT,452.934
2021-04-03,CHF,KZT,452.592
2021-04-04,CHF,KZT,452.598
2021-04-05,CHF,KZT,454.688
2021-04-06,CHF,KZT,458.268
2021-04-07,CHF,KZT,463.976
2021-04-08,CHF,KZT,467.926
2021-04-09,CHF,KZT,468.004
2021-04-10,CHF,KZT,468.618
2021-04-11,CHF,KZT,468.572
2021-04-12,CHF,KZT,468.988
2021-04-13,CHF,KZT,469.994
2021-04-14,CHF,KZT,468.862
2021-04-15,CHF,KZT,467.804
2021-04-16,CHF,KZT,467.926
2021-04-17,CHF,KZT,467.676
2021-04-18,CHF,KZT,467.696
2021-04-19,CHF,KZT,470.086
2021-04-20,CHF,KZT,470.37
2021-04-21,CHF,KZT,470.719
2021-04-22,CHF,KZT,471.414
2021-04-23,CHF,KZT,470.878
2021-04-24,CHF,KZT,471.096
2021-04-25,CHF,KZT,471.096
2021-04-26,CHF,KZT,470.84
2021-04-27,CHF,KZT,470.19
2021-04-28,CHF,KZT,470.169
2021-04-29,CHF,KZT,470.583
2021-04-30,CHF,KZT,471.497
2021-05-01,CHF,KZT,470.981
2021-05-02,CHF,KZT,470.991
2021-05-03,CHF,KZT,472.134
2021-05-04,CHF,KZT,469.556
2021-05-05,CHF,KZT,467.538
2021-05-06,CHF,KZT,468.808
2021-05-07,CHF,KZT,471.654
2021-05-08,CHF,KZT,473.656
2021-05-09,CHF,KZT,473.648
2021-05-10,CHF,KZT,472.708
2021-05-11,CHF,KZT,473.578
2021-05-12,CHF,KZT,471.137
2021-05-13,CHF,KZT,472.076
2021-05-14,CHF,KZT,474.204
2021-05-15,CHF,KZT,475.006
2021-05-16,CHF,KZT,474.986
2021-05-17,CHF,KZT,474.134
2021-05-18,CHF,KZT,475.04
2021-05-19,CHF,KZT,475.002
2021-05-20,CHF,KZT,475.992
2021-05-21,CHF,KZT,477.73
2021-05-22,CHF,KZT,477.468
2021-05-23,CHF,KZT,477.468
2021-05-24,CHF,KZT,477.378
2021-05-25,CHF,KZT,477.147
2021-05-26,CHF,KZT,477.444
2021-05-27,CHF,KZT,477.967
2021-05-28,CHF,KZT,476.856
2021-05-29,CHF,KZT,476.114
2021-05-30,CHF,KZT,476.124
2021-05-31,CHF,KZT,476.221
2021-06-01,CHF,KZT,476.46
2021-06-02,CHF,KZT,476.89
2021-06-03,CHF,KZT,474.71
2021-06-04,CHF,KZT,474.802
2021-06-05,CHF,KZT,475.518
2021-06-06,CHF,KZT,475.502
2021-06-07,CHF,KZT,475.086
2021-06-08,CHF,KZT,476.492
2021-06-09,CHF,KZT,476.95
2021-06-10,CHF,KZT,477.342
2021-06-11,CHF,KZT,476.611
2021-06-12,CHF,KZT,475.902
2021-06-13,CHF,KZT,475.886
2021-06-14,CHF,KZT,475.776
2021-06-15,CHF,KZT,475.349
2021-06-16,CHF,KZT,473.44
2021-06-17,CHF,KZT,468.781
2021-06-18,CHF,KZT,465.314
2021-06-19,CHF,KZT,463.972
2021-06-20,CHF,KZT,463.974
2021-06-21,CHF,KZT,465.374
2021-06-22,CHF,KZT,465.038
2021-06-23,CHF,KZT,465.596
2021-06-24,CHF,KZT,466.086
2021-06-25,CHF,KZT,465.854
2021-06-26,CHF,KZT,465.324
2021-06-27,CHF,KZT,465.316
2021-06-28,CHF,KZT,464.482
2021-06-29,CHF,KZT,465.132
2021-06-30,CHF,KZT,463.331
2021-07-01,CHF,KZT,461.464
2021-07-02,CHF,KZT,462.005
2021-07-03,CHF,KZT,463.526
2021-07-04,CHF,KZT,463.476
2021-07-05,CHF,KZT,462.137
2021-07-06,CHF,KZT,462.186
2021-07-07,CHF,KZT,462.881
2021-07-08,CHF,KZT,468.05
2021-07-09,CHF,KZT,469.489
2021-07-10,CHF,KZT,469.192
2021-07-11,CHF,KZT,469.168
2021-07-12,CHF,KZT,468.464
2021-07-13,CHF,KZT,466.974
2021-07-14,CHF,KZT,465.788
2021-07-15,CHF,KZT,465.209
2021-07-16,CHF,KZT,464.305
2021-07-17,CHF,KZT,464.347
2021-07-18,CHF,KZT,464.368
2021-07-19,CHF,KZT,465.435
2021-07-20,CHF,KZT,465.338
2021-07-21,CHF,KZT,465.226
2021-07-22,CHF,KZT,464.6
2021-07-23,CHF,KZT,463.144
2021-07-24,CHF,KZT,463.196
2021-07-25,CHF,KZT,463.196
2021-07-26,CHF,KZT,464.369
2021-07-27,CHF,KZT,464.876
2021-07-28,CHF,KZT,465.632
2021-07-29,CHF,KZT,468.534
2021-07-30,CHF,KZT,469.528
2021-07-31,CHF,KZT,469.971
2021-08-01,CHF,KZT,469.934
2021-08-02,CHF,KZT,469.742
2021-08-03,CHF,KZT,469.546
2021-08-04,CHF,KZT,469.328
2021-08-05,CHF,KZT,469.194
2021-08-06,CHF,KZT,466.818
2021-08-07,CHF,KZT,464.158
2021-08-08,CHF,KZT,464.144
2021-08-09,CHF,KZT,464.946
2021-08-10,CHF,KZT,462.708
2021-08-11,CHF,KZT,462.036
2021-08-12,CHF,KZT,460.769
2021-08-13,CHF,KZT,462.286
2021-08-14,CHF,KZT,464.367
2021-08-15,CHF,KZT,464.338
2021-08-16,CHF,KZT,465.13
2021-08-17,CHF,KZT,465.849
2021-08-18,CHF,KZT,464.905
2021-08-19,CHF,KZT,464.572
2021-08-20,CHF,KZT,466.005
2021-08-21,CHF,KZT,466.508
2021-08-22,CHF,KZT,466.494
2021-08-23,CHF,KZT,466.01
2021-08-24,CHF,KZT,465.475
2021-08-25,CHF,KZT,465.583
2021-08-26,CHF,KZT,465.138
2021-08-27,CHF,KZT,467.252
2021-08-28,CHF,KZT,469.134
2021-08-29,CHF,KZT,469.118
2021-08-30,CHF,KZT,466.744
2021-08-31,CHF,KZT,466.178
2021-09-01,CHF,KZT,465.533
2021-09-02,CHF,KZT,464.997
2021-09-03,CHF,KZT,465.231
2021-09-04,CHF,KZT,465.548
2021-09-05,CHF,KZT,465.551
2021-09-06,CHF,KZT,464.786
2021-09-07,CHF,KZT,464.887
2021-09-08,CHF,KZT,463.23
2021-09-09,CHF,KZT,464.188
2021-09-10,CHF,KZT,464.96
2021-09-11,CHF,KZT,464.445
2021-09-12,CHF,KZT,464.434
2021-09-13,CHF,KZT,463.197
2021-09-14,CHF,KZT,462.742
2021-09-15,CHF,KZT,463.853
2021-09-16,CHF,KZT,460.924
2021-09-17,CHF,KZT,458.086
2021-09-18,CHF,KZT,456.422
2021-09-19,CHF,KZT,456.435
2021-09-20,CHF,KZT,458.828
2021-09-21,CHF,KZT,460.814
2021-09-22,CHF,KZT,461.23
2021-09-23,CHF,KZT,460.538
2021-09-24,CHF,KZT,459.872
2021-09-25,CHF,KZT,460.326
2021-09-26,CHF,KZT,460.308
2021-09-27,CHF,KZT,459.094
2021-09-28,CHF,KZT,457.831
2021-09-29,CHF,KZT,456.721
2021-09-30,CHF,KZT,456.679
2021-10-01,CHF,KZT,458.126
2021-10-02,CHF,KZT,458.386
2021-10-03,CHF,KZT,458.428
2021-10-04,CHF,KZT,459.175
2021-10-05,CHF,KZT,458.9
2021-10-06,CHF,KZT,457.858
2021-10-07,CHF,KZT,458.683
2021-10-08,CHF,KZT,458.5
2021-10-09,CHF,KZT,458.836
2021-10-10,CHF,KZT,458.836
2021-10-11,CHF,KZT,458.306
2021-10-12,CHF,KZT,458.05
2021-10-13,CHF,KZT,459.575
2021-10-14,CHF,KZT,461.344
2021-10-15,CHF,KZT,461.494
2021-10-16,CHF,KZT,461.618
2021-10-17,CHF,KZT,461.584
2021-10-18,CHF,KZT,460.955
2021-10-19,CHF,KZT,462.0
2021-10-20,CHF,KZT,462.714
2021-10-21,CHF,KZT,463.832
2021-10-22,CHF,KZT,464.344
2021-10-23,CHF,KZT,464.002
2021-10-24,CHF,KZT,463.981
2021-10-25,CHF,KZT,463.193
2021-10-26,CHF,KZT,462.79
2021-10-27,CHF,KZT,464.558
2021-10-28,CHF,KZT,466.896
2021-10-29,CHF,KZT,467.688
2021-10-30,CHF,KZT,467.163
2021-10-31,CHF,KZT,467.157
2021-11-01,CHF,KZT,469.244
2021-11-02,CHF,KZT,468.878
2021-11-03,CHF,KZT,470.025
2021-11-04,CHF,KZT,470.335
2021-11-05,CHF,KZT,470.38
2021-11-06,CHF,KZT,470.904
2021-11-07,CHF,KZT,470.899
2021-11-08,CHF,KZT,469.663
2021-11-09,CHF,KZT,470.481
2021-11-10,CHF,KZT,469.266
2021-11-11,CHF,KZT,467.332
2021-11-12,CHF,KZT,467.322
2021-11-13,CHF,KZT,468.076
2021-11-14,CHF,KZT,468.082
2021-11-15,CHF,KZT,467.716
2021-11-16,CHF,KZT,465.317
2021-11-17,CHF,KZT,465.541
2021-11-18,CHF,KZT,467.676
2021-11-19,CHF,KZT,467.064
2021-11-20,CHF,KZT,466.528
2021-11-21,CHF,KZT,466.566
2021-11-22,CHF,KZT,466.36
2021-11-23,CHF,KZT,465.59
2021-11-24,CHF,KZT,463.634
2021-11-25,CHF,KZT,463.221
2021-11-26,CHF,KZT,468.964
2021-11-27,CHF,KZT,472.516
2021-11-28,CHF,KZT,472.477
2021-11-29,CHF,KZT,472.65
2021-11-30,CHF,KZT,477.183
2021-12-01,CHF,KZT,476.122
2021-12-02,CHF,KZT,475.638
2021-12-03,CHF,KZT,477.134
2021-12-04,CHF,KZT,477.794
2021-12-05,CHF,KZT,477.768
2021-12-06,CHF,KZT,475.19
2021-12-07,CHF,KZT,473.1
2021-12-08,CHF,KZT,473.478
2021-12-09,CHF,KZT,472.711
2021-12-10,CHF,KZT,472.726
2021-12-11,CHF,KZT,473.404
2021-12-12,CHF,KZT,473.39
2021-12-13,CHF,KZT,472.348
2021-12-14,CHF,KZT,473.728
2021-12-15,CHF,KZT,473.872
2021-12-16,CHF,KZT,474.229
2021-12-17,CHF,KZT,475.208
2021-12-18,CHF,KZT,473.869
2021-12-19,CHF,KZT,473.874
2021-12-20,CHF,KZT,476.188
2021-12-21,CHF,KZT,474.704
2021-12-22,CHF,KZT,473.908
2021-12-23,CHF,KZT,473.996
2021-12-24,CHF,KZT,472.791
2021-12-25,CHF,KZT,471.837
2021-12-26,CHF,KZT,471.824
2021-12-27,CHF,KZT,472.363
2021-12-28,CHF,KZT,473.344
2021-12-29,CHF,KZT,475.309
2021-12-30,CHF,KZT,476.92
2021-12-31,CHF,KZT,477.526
2022-01-01,CHF,KZT,476.982
2022-01-02,CHF,KZT,477.013
2022-01-03,CHF,KZT,474.818
2022-01-04,CHF,KZT,474.85
2022-01-05,CHF,KZT,475.15
2022-01-06,CHF,KZT,473.84
2022-01-07,CHF,KZT,473.284
2022-01-08,CHF,KZT,474.144
2022-01-09,CHF,KZT,474.122
2022-01-10,CHF,KZT,470.926
2022-01-11,CHF,KZT,470.236
2022-01-12,CHF,KZT,472.544
2022-01-13,CHF,KZT,476.018
2022-01-14,CHF,KZT,477.367
2022-01-15,CHF,KZT,476.236
2022-01-16,CHF,KZT,476.234
2022-01-17,CHF,KZT,476.723
2022-01-18,CHF,KZT,475.844
2022-01-19,CHF,KZT,477.054
2022-01-20,CHF,KZT,476.122
2022-01-21,CHF,KZT,477.79
2022-01-22,CHF,KZT,478.322
2022-01-23,CHF,KZT,478.309
2022-01-24,CHF,KZT,477.884
2022-01-25,CHF,KZT,475.425
2022-01-26,CHF,KZT,473.078
2022-01-27,CHF,KZT,468.416
2022-01-28,CHF,KZT,466.862
2022-01-29,CHF,KZT,467.058
2022-01-30,CHF,KZT,467.041
2022-01-31,CHF,KZT,467.178
2022-02-01,CHF,KZT,470.276
2022-02-02,CHF,KZT,471.612
2022-02-03,CHF,KZT,471.985
2022-02-04,CHF,KZT,467.88
2022-02-05,CHF,KZT,466.806
2022-02-06,CHF,KZT,466.81
2022-02-07,CHF,KZT,466.612
2022-02-08,CHF,KZT,463.966
2022-02-09,CHF,KZT,461.962
2022-02-10,CHF,KZT,461.716
2022-02-11,CHF,KZT,463.363
2022-02-12,CHF,KZT,465.03
2022-02-13,CHF,KZT,465.025
2022-02-14,CHF,KZT,466.084
2022-02-15,CHF,KZT,465.274
2022-02-16,CHF,KZT,463.726
2022-02-17,CHF,KZT,465.339
2022-02-18,CHF,KZT,465.444
2022-02-19,CHF,KZT,465.046
2022-02-20,CHF,KZT,465.068
2022-02-21,CHF,KZT,466.309
2022-02-22,CHF,KZT,472.145
2022-02-23,CHF,KZT,475.922
2022-02-24,CHF,KZT,496.408
2022-02-25,CHF,KZT,500.059
2022-02-26,CHF,KZT,495.998
2022-02-27,CHF,KZT,495.94
2022-02-28,CHF,KZT,522.816
2022-03-01,CHF,KZT,533.062
2022-03-02,CHF,KZT,536.242
2022-03-03,CHF,KZT,539.772
2022-03-04,CHF,KZT,550.855
2022-03-05,CHF,KZT,559.118
2022-03-06,CHF,KZT,559.06
2022-03-07,CHF,KZT,554.398
2022-03-08,CHF,KZT,549.34
2022-03-09,CHF,KZT,550.526
2022-03-10,CHF,KZT,556.09
2022-03-11,CHF,KZT,561.599
2022-03-12,CHF,KZT,560.748
2022-03-13,CHF,KZT,560.764
2022-03-14,CHF,KZT,557.45
2022-03-15,CHF,KZT,549.121
2022-03-16,CHF,KZT,544.21
2022-03-17,CHF,KZT,542.077
2022-03-18,CHF,KZT,543.802
2022-03-19,CHF,KZT,545.808
2022-03-20,CHF,KZT,545.762
2022-03-21,CHF,KZT,545.263
2022-03-22,CHF,KZT,544.558
2022-03-23,CHF,KZT,544.459
2022-03-24,CHF,KZT,535.942
2022-03-25,CHF,KZT,531.586
2022-03-26,CHF,KZT,530.09
2022-03-27,CHF,KZT,530.058
2022-03-28,CHF,KZT,519.477
2022-03-29,CHF,KZT,506.318
2022-03-30,CHF,KZT,502.478
2022-03-31,CHF,KZT,506.973
2022-04-01,CHF,KZT,512.885
2022-04-02,CHF,KZT,514.154
2022-04-03,CHF,KZT,514.13
2022-04-04,CHF,KZT,508.426
2022-04-05,CHF,KZT,503.804
2022-04-06,CHF,KZT,500.106
2022-04-07,CHF,KZT,491.585
2022-04-08,CHF,KZT,479.412
2022-04-09,CHF,KZT,475.128
2022-04-10,CHF,KZT,475.17
2022-04-11,CHF,KZT,480.636
2022-04-12,CHF,KZT,482.85
2022-04-13,CHF,KZT,481.74
2022-04-14,CHF,KZT,481.148
2022-04-15,CHF,KZT,483.523
2022-04-16,CHF,KZT,483.967
2022-04-17,CHF,KZT,483.979
2022-04-18,CHF,KZT,479.42
2022-04-19,CHF,KZT,473.411
2022-04-20,CHF,KZT,468.015
2022-04-21,CHF,KZT,466.83
2022-04-22,CHF,KZT,464.988
2022-04-23,CHF,KZT,463.755
2022-04-24,CHF,KZT,463.768
2022-04-25,CHF,KZT,467.392
2022-04-26,CHF,KZT,470.2
2022-04-27,CHF,KZT,465.208
2022-04-28,CHF,KZT,460.986
2022-04-29,CHF,KZT,458.598
2022-04-30,CHF,KZT,457.007
2022-05-01,CHF,KZT,457.039
2022-05-02,CHF,KZT,456.169
2022-05-03,CHF,KZT,451.063
2022-05-04,CHF,KZT,447.734
2022-05-05,CHF,KZT,439.628
2022-05-06,CHF,KZT,441.349
2022-05-07,CHF,KZT,444.356
2022-05-08,CHF,KZT,444.359
2022-05-09,CHF,KZT,443.561
2022-05-10,CHF,KZT,441.682
2022-05-11,CHF,KZT,443.87
2022-05-12,CHF,KZT,437.02
2022-05-13,CHF,KZT,431.796
2022-05-14,CHF,KZT,430.756
2022-05-15,CHF,KZT,430.754
2022-05-16,CHF,KZT,430.502
2022-05-17,CHF,KZT,435.082
2022-05-18,CHF,KZT,436.596
2022-05-19,CHF,KZT,440.687
2022-05-20,CHF,KZT,439.382
2022-05-21,CHF,KZT,438.057
2022-05-22,CHF,KZT,438.346
2022-05-23,CHF,KZT,438.451
2022-05-24,CHF,KZT,437.228
2022-05-25,CHF,KZT,432.461
2022-05-26,CHF,KZT,438.16
2022-05-27,CHF,KZT,450.352
2022-05-28,CHF,KZT,454.344
2022-05-29,CHF,KZT,454.328
2022-05-30,CHF,KZT,446.742
2022-05-31,CHF,KZT,442.562
2022-06-01,CHF,KZT,444.773
2022-06-02,CHF,KZT,451.934
2022-06-03,CHF,KZT,451.556
2022-06-04,CHF,KZT,451.497
2022-06-05,CHF,KZT,451.505
2022-06-06,CHF,KZT,448.754
2022-06-07,CHF,KZT,443.69
2022-06-08,CHF,KZT,443.718
2022-06-09,CHF,KZT,444.964
2022-06-10,CHF,KZT,444.203
2022-06-11,CHF,KZT,441.584
2022-06-12,CHF,KZT,441.528
