date,base,quote,rate
2025-06-22,CHF,RUB,95.9724
2025-06-23,CHF,RUB,96.2103
2025-06-24,CHF,RUB,97.0524
2025-06-25,CHF,RUB,97.2221
2025-06-26,CHF,RUB,97.982
2025-06-27,CHF,RUB,98.3104
2025-06-28,CHF,RUB,98.2448
2025-06-29,CHF,RUB,98.2559
2025-06-30,CHF,RUB,98.4557
2025-07-01,CHF,RUB,99.0512
2025-07-02,CHF,RUB,99.4212
2025-07-03,CHF,RUB,99.5023
2025-07-04,CHF,RUB,99.449
2025-07-05,CHF,RUB,99.1596
2025-07-06,CHF,RUB,99.1637
2025-07-07,CHF,RUB,98.8398
2025-07-08,CHF,RUB,98.462
2025-07-09,CHF,RUB,98.3376
2025-07-10,CHF,RUB,97.0274
2025-07-11,CHF,RUB,97.722
2025-07-12,CHF,RUB,97.924
2025-07-13,CHF,RUB,97.9334
2025-07-14,CHF,RUB,97.969
2025-07-15,CHF,RUB,97.6854
2025-07-16,CHF,RUB,97.5269
2025-07-17,CHF,RUB,97.1937
2025-07-18,CHF,RUB,97.6683
2025-07-19,CHF,RUB,97.918
2025-07-20,CHF,RUB,97.9378
2025-07-21,CHF,RUB,97.9714
2025-07-22,CHF,RUB,98.4154
2025-07-23,CHF,RUB,98.9152
2025-07-24,CHF,RUB,99.4875
2025-07-25,CHF,RUB,99.8055
2025-07-26,CHF,RUB,99.8246
2025-07-27,CHF,RUB,99.7971
2025-07-28,CHF,RUB,100.37
2025-07-29,CHF,RUB,101.39
2025-07-30,CHF,RUB,100.586
2025-07-31,CHF,RUB,99.3128
2025-08-01,CHF,RUB,99.2396
2025-08-02,CHF,RUB,99.4982
2025-08-03,CHF,RUB,99.4359
2025-08-04,CHF,RUB,98.8012
2025-08-05,CHF,RUB,98.8878
2025-08-06,CHF,RUB,99.2255
2025-08-07,CHF,RUB,98.554
2025-08-08,CHF,RUB,98.6728
2025-08-09,CHF,RUB,98.9898
2025-08-10,CHF,RUB,98.9576
2025-08-11,CHF,RUB,98.3526
2025-08-12,CHF,RUB,98.3756
2025-08-13,CHF,RUB,98.783
2025-08-14,CHF,RUB,98.7424
2025-08-15,CHF,RUB,99.2068
2025-08-16,CHF,RUB,99.2985
2025-08-17,CHF,RUB,99.2636
2025-08-18,CHF,RUB,99.4788
2025-08-19,CHF,RUB,99.9756
2025-08-20,CHF,RUB,99.8878
2025-08-21,CHF,RUB,99.8354
2025-08-22,CHF,RUB,99.9722
2025-08-23,CHF,RUB,100.515
2025-08-24,CHF,RUB,100.405
2025-08-25,CHF,RUB,100.174
2025-08-26,CHF,RUB,100.09
2025-08-27,CHF,RUB,99.9513
2025-08-28,CHF,RUB,100.331
2025-08-29,CHF,RUB,100.365
2025-08-30,CHF,RUB,100.014
2025-08-31,CHF,RUB,99.9194
2025-09-01,CHF,RUB,100.606
2025-09-02,CHF,RUB,100.302
2025-09-03,CHF,RUB,100.468
2025-09-04,CHF,RUB,100.834
2025-09-05,CHF,RUB,101.496
2025-09-06,CHF,RUB,101.802
2025-09-07,CHF,RUB,101.79
2025-09-08,CHF,RUB,103.068
2025-09-09,CHF,RUB,104.796
2025-09-10,CHF,RUB,105.736
2025-09-11,CHF,RUB,106.21
2025-09-12,CHF,RUB,105.637
2025-09-13,CHF,RUB,105.444
2025-09-14,CHF,RUB,105.388
2025-09-15,CHF,RUB,104.373
2025-09-16,CHF,RUB,105.031
2025-09-17,CHF,RUB,106.042
2025-09-18,CHF,RUB,105.524
2025-09-19,CHF,RUB,104.976
2025-09-20,CHF,RUB,104.99
2025-09-21,CHF,RUB,105.007
2025-09-22,CHF,RUB,105.306
2025-09-23,CHF,RUB,105.568
2025-09-24,CHF,RUB,105.466
2025-09-25,CHF,RUB,105.116
2025-09-26,CHF,RUB,104.702
2025-09-27,CHF,RUB,104.448
2025-09-28,CHF,RUB,104.45
2025-09-29,CHF,RUB,104.275
2025-09-30,CHF,RUB,103.909
2025-10-01,CHF,RUB,103.09
2025-10-02,CHF,RUB,102.844
2025-10-03,CHF,RUB,103.244
2025-10-04,CHF,RUB,103.418
2025-10-05,CHF,RUB,103.4
2025-10-06,CHF,RUB,103.994
2025-10-07,CHF,RUB,103.26
2025-10-08,CHF,RUB,101.941
2025-10-09,CHF,RUB,101.198
2025-10-10,CHF,RUB,101.229
2025-10-11,CHF,RUB,102.14
2025-10-12,CHF,RUB,101.984
2025-10-13,CHF,RUB,100.728
2025-10-14,CHF,RUB,99.7117
2025-10-15,CHF,RUB,98.7966
2025-10-16,CHF,RUB,100.136
2025-10-17,CHF,RUB,102.334
2025-10-18,CHF,RUB,102.267
2025-10-19,CHF,RUB,102.292
2025-10-20,CHF,RUB,102.253
2025-10-21,CHF,RUB,102.146
2025-10-22,CHF,RUB,102.448
2025-10-23,CHF,RUB,102.187
2025-10-24,CHF,RUB,101.31
2025-10-25,CHF,RUB,100.207
2025-10-26,CHF,RUB,100.214
2025-10-27,CHF,RUB,100.14
2025-10-28,CHF,RUB,100.114
2025-10-29,CHF,RUB,99.9604
2025-10-30,CHF,RUB,99.9777
2025-10-31,CHF,RUB,100.266
2025-11-01,CHF,RUB,100.428
2025-11-02,CHF,RUB,100.433
2025-11-03,CHF,RUB,100.36
2025-11-04,CHF,RUB,100.055
2025-11-05,CHF,RUB,100.222
2025-11-06,CHF,RUB,100.6
2025-11-07,CHF,RUB,100.591
2025-11-08,CHF,RUB,100.571
2025-11-09,CHF,RUB,100.573
2025-11-10,CHF,RUB,100.719
2025-11-11,CHF,RUB,101.174
2025-11-12,CHF,RUB,101.58
2025-11-13,CHF,RUB,101.676
2025-11-14,CHF,RUB,102.018
2025-11-15,CHF,RUB,101.84
2025-11-16,CHF,RUB,101.844
2025-11-17,CHF,RUB,102.076
2025-11-18,CHF,RUB,101.783
2025-11-19,CHF,RUB,100.646
2025-11-20,CHF,RUB,99.614
2025-11-21,CHF,RUB,98.4148
2025-11-22,CHF,RUB,97.8212
2025-11-23,CHF,RUB,97.8155
2025-11-24,CHF,RUB,97.3866
2025-11-25,CHF,RUB,97.4323
2025-11-26,CHF,RUB,97.6272
2025-11-27,CHF,RUB,97.2152
2025-11-28,CHF,RUB,96.6566
2025-11-29,CHF,RUB,96.3787
2025-11-30,CHF,RUB,96.4051
2025-12-01,CHF,RUB,96.7212
2025-12-02,CHF,RUB,96.4458
2025-12-03,CHF,RUB,96.4554
2025-12-04,CHF,RUB,95.6007
2025-12-05,CHF,RUB,94.9464
2025-12-06,CHF,RUB,95.0496
2025-12-07,CHF,RUB,95.0619
2025-12-08,CHF,RUB,95.1392
2025-12-09,CHF,RUB,95.3361
2025-12-10,CHF,RUB,96.7658
2025-12-11,CHF,RUB,99.4594
2025-12-12,CHF,RUB,100.24
2025-12-13,CHF,RUB,100.57
2025-12-14,CHF,RUB,100.54
2025-12-15,CHF,RUB,99.7574
2025-12-16,CHF,RUB,99.8462
2025-12-17,CHF,RUB,100.53
2025-12-18,CHF,RUB,100.809
