date,base,quote,rate
2025-06-22,CHF,USD,1.2225
2025-06-23,CHF,USD,1.22577
2025-06-24,CHF,USD,1.23685
2025-06-25,CHF,USD,1.24168
2025-06-26,CHF,USD,1.24822
2025-06-27,CHF,USD,1.25066
2025-06-28,CHF,USD,1.25158
2025-06-29,CHF,USD,1.25165
2025-06-30,CHF,USD,1.2557
2025-07-01,CHF,USD,1.26368
2025-07-02,CHF,USD,1.26267
2025-07-03,CHF,USD,1.26009
2025-07-04,CHF,USD,1.2598
2025-07-05,CHF,USD,1.2591
2025-07-06,CHF,USD,1.25908
2025-07-07,CHF,USD,1.25532
2025-07-08,CHF,USD,1.25508
2025-07-09,CHF,USD,1.25664
2025-07-10,CHF,USD,1.25709
2025-07-11,CHF,USD,1.25496
2025-07-12,CHF,USD,1.25542
2025-07-13,CHF,USD,1.25532
2025-07-14,CHF,USD,1.25439
2025-07-15,CHF,USD,1.25197
2025-07-16,CHF,USD,1.24754
2025-07-17,CHF,USD,1.24398
2025-07-18,CHF,USD,1.24729
2025-07-19,CHF,USD,1.24732
2025-07-20,CHF,USD,1.24744
2025-07-21,CHF,USD,1.25064
2025-07-22,CHF,USD,1.25648
2025-07-23,CHF,USD,1.26074
2025-07-24,CHF,USD,1.2596
2025-07-25,CHF,USD,1.2564
2025-07-26,CHF,USD,1.25798
2025-07-27,CHF,USD,1.25787
2025-07-28,CHF,USD,1.25012
2025-07-29,CHF,USD,1.2418
2025-07-30,CHF,USD,1.23686
2025-07-31,CHF,USD,1.23032
2025-08-01,CHF,USD,1.23418
2025-08-02,CHF,USD,1.2437
2025-08-03,CHF,USD,1.24369
2025-08-04,CHF,USD,1.23869
2025-08-05,CHF,USD,1.23659
2025-08-06,CHF,USD,1.2392
2025-08-07,CHF,USD,1.23985
2025-08-08,CHF,USD,1.23836
2025-08-09,CHF,USD,1.23734
2025-08-10,CHF,USD,1.23739
2025-08-11,CHF,USD,1.2345
2025-08-12,CHF,USD,1.23551
2025-08-13,CHF,USD,1.24216
2025-08-14,CHF,USD,1.23962
2025-08-15,CHF,USD,1.24022
2025-08-16,CHF,USD,1.23932
2025-08-17,CHF,USD,1.23936
2025-08-18,CHF,USD,1.23928
2025-08-19,CHF,USD,1.23941
2025-08-20,CHF,USD,1.24025
2025-08-21,CHF,USD,1.23964
2025-08-22,CHF,USD,1.24076
2025-08-23,CHF,USD,1.24784
2025-08-24,CHF,USD,1.24774
2025-08-25,CHF,USD,1.2443
2025-08-26,CHF,USD,1.24292
2025-08-27,CHF,USD,1.24334
2025-08-28,CHF,USD,1.24781
2025-08-29,CHF,USD,1.248
2025-08-30,CHF,USD,1.2492
2025-08-31,CHF,USD,1.2492
2025-09-01,CHF,USD,1.24962
2025-09-02,CHF,USD,1.24466
2025-09-03,CHF,USD,1.243
2025-09-04,CHF,USD,1.24186
2025-09-05,CHF,USD,1.24824
2025-09-06,CHF,USD,1.2531
2025-09-07,CHF,USD,1.25294
2025-09-08,CHF,USD,1.25721
2025-09-09,CHF,USD,1.25846
2025-09-10,CHF,USD,1.25329
2025-09-11,CHF,USD,1.25362
2025-09-12,CHF,USD,1.25518
2025-09-13,CHF,USD,1.25525
