date,base,quote,rate
2020-12-20,CNY,AED,0.561882
2020-12-21,CNY,AED,0.560806
2020-12-22,CNY,AED,0.561154
2020-12-23,CNY,AED,0.561454
2020-12-24,CNY,AED,0.562386
2020-12-25,CNY,AED,0.562029
2020-12-26,CNY,AED,0.561442
2020-12-27,CNY,AED,0.561441
2020-12-28,CNY,AED,0.561932
2020-12-29,CNY,AED,0.562322
2020-12-30,CNY,AED,0.562842
2020-12-31,CNY,AED,0.562266
2021-01-01,CNY,AED,0.562456
2021-01-02,CNY,AED,0.562468
2021-01-03,CNY,AED,0.562461
2021-01-04,CNY,AED,0.567685
2021-01-05,CNY,AED,0.568741
2021-01-06,CNY,AED,0.568698
2021-01-07,CNY,AED,0.567918
2021-01-08,CNY,AED,0.567669
2021-01-09,CNY,AED,0.567239
2021-01-10,CNY,AED,0.567239
2021-01-11,CNY,AED,0.566792
2021-01-12,CNY,AED,0.568063
2021-01-13,CNY,AED,0.568176
2021-01-14,CNY,AED,0.567682
2021-01-15,CNY,AED,0.56726
2021-01-16,CNY,AED,0.566755
2021-01-17,CNY,AED,0.566755
2021-01-18,CNY,AED,0.565968
2021-01-19,CNY,AED,0.566584
2021-01-20,CNY,AED,0.567866
2021-01-21,CNY,AED,0.568404
2021-01-22,CNY,AED,0.567126
2021-01-23,CNY,AED,0.566663
2021-01-24,CNY,AED,0.566663
2021-01-25,CNY,AED,0.566948
2021-01-26,CNY,AED,0.567756
2021-01-27,CNY,AED,0.567448
2021-01-28,CNY,AED,0.56806
2021-01-29,CNY,AED,0.570214
2021-01-30,CNY,AED,0.57144
2021-01-31,CNY,AED,0.57144
2021-02-01,CNY,AED,0.568368
2021-02-02,CNY,AED,0.568718
2021-02-03,CNY,AED,0.568617
2021-02-04,CNY,AED,0.568122
2021-02-05,CNY,AED,0.567688
2021-02-06,CNY,AED,0.567994
2021-02-07,CNY,AED,0.567994
2021-02-08,CNY,AED,0.569104
2021-02-09,CNY,AED,0.57028
2021-02-10,CNY,AED,0.569728
2021-02-11,CNY,AED,0.568779
2021-02-12,CNY,AED,0.568749
2021-02-13,CNY,AED,0.56874
2021-02-14,CNY,AED,0.56874
2021-02-15,CNY,AED,0.568731
2021-02-16,CNY,AED,0.568772
2021-02-17,CNY,AED,0.568718
2021-02-18,CNY,AED,0.56759
2021-02-19,CNY,AED,0.566215
2021-02-20,CNY,AED,0.566234
2021-02-21,CNY,AED,0.566233
2021-02-22,CNY,AED,0.567858
2021-02-23,CNY,AED,0.568253
2021-02-24,CNY,AED,0.568854
2021-02-25,CNY,AED,0.569154
2021-02-26,CNY,AED,0.56777
2021-02-27,CNY,AED,0.567087
2021-02-28,CNY,AED,0.567087
2021-03-01,CNY,AED,0.568076
2021-03-02,CNY,AED,0.567633
2021-03-03,CNY,AED,0.568034
2021-03-04,CNY,AED,0.567767
2021-03-05,CNY,AED,0.566288
2021-03-06,CNY,AED,0.565364
2021-03-07,CNY,AED,0.565364
2021-03-08,CNY,AED,0.563392
2021-03-09,CNY,AED,0.563768
2021-03-10,CNY,AED,0.564362
2021-03-11,CNY,AED,0.565578
2021-03-12,CNY,AED,0.564916
2021-03-13,CNY,AED,0.564347
2021-03-14,CNY,AED,0.564346
2021-03-15,CNY,AED,0.564904
2021-03-16,CNY,AED,0.564921
2021-03-17,CNY,AED,0.564796
2021-03-18,CNY,AED,0.56485
2021-03-19,CNY,AED,0.56429
2021-03-20,CNY,AED,0.564304
2021-03-21,CNY,AED,0.564304
2021-03-22,CNY,AED,0.564368
2021-03-23,CNY,AED,0.563964
2021-03-24,CNY,AED,0.563098
2021-03-25,CNY,AED,0.561663
2021-03-26,CNY,AED,0.561452
2021-03-27,CNY,AED,0.5615
2021-03-28,CNY,AED,0.5615
2021-03-29,CNY,AED,0.559876
2021-03-30,CNY,AED,0.559008
2021-03-31,CNY,AED,0.560226
2021-04-01,CNY,AED,0.559284
2021-04-02,CNY,AED,0.55949
2021-04-03,CNY,AED,0.559277
2021-04-04,CNY,AED,0.559277
2021-04-05,CNY,AED,0.559318
2021-04-06,CNY,AED,0.560943
2021-04-07,CNY,AED,0.561448
2021-04-08,CNY,AED,0.560836
2021-04-09,CNY,AED,0.560421
2021-04-10,CNY,AED,0.560516
2021-04-11,CNY,AED,0.560516
2021-04-12,CNY,AED,0.560742
2021-04-13,CNY,AED,0.561048
2021-04-14,CNY,AED,0.562172
2021-04-15,CNY,AED,0.562649
2021-04-16,CNY,AED,0.563081
2021-04-17,CNY,AED,0.563296
2021-04-18,CNY,AED,0.563296
2021-04-19,CNY,AED,0.563859
2021-04-20,CNY,AED,0.56519
2021-04-21,CNY,AED,0.565541
2021-04-22,CNY,AED,0.566022
2021-04-23,CNY,AED,0.565576
2021-04-24,CNY,AED,0.565508
2021-04-25,CNY,AED,0.565508
2021-04-26,CNY,AED,0.566216
2021-04-27,CNY,AED,0.56645
2021-04-28,CNY,AED,0.566599
2021-04-29,CNY,AED,0.567577
2021-04-30,CNY,AED,0.567624
2021-05-01,CNY,AED,0.56731
2021-05-02,CNY,AED,0.56731
2021-05-03,CNY,AED,0.567386
2021-05-04,CNY,AED,0.567384
2021-05-05,CNY,AED,0.567394
2021-05-06,CNY,AED,0.5676
2021-05-07,CNY,AED,0.569749
2021-05-08,CNY,AED,0.571014
2021-05-09,CNY,AED,0.571014
2021-05-10,CNY,AED,0.572084
2021-05-11,CNY,AED,0.571562
2021-05-12,CNY,AED,0.569843
2021-05-13,CNY,AED,0.569188
2021-05-14,CNY,AED,0.570442
2021-05-15,CNY,AED,0.570614
2021-05-16,CNY,AED,0.570614
2021-05-17,CNY,AED,0.570415
2021-05-18,CNY,AED,0.57153
2021-05-19,CNY,AED,0.570984
2021-05-20,CNY,AED,0.57065
2021-05-21,CNY,AED,0.570926
2021-05-22,CNY,AED,0.570864
2021-05-23,CNY,AED,0.570864
2021-05-24,CNY,AED,0.571556
2021-05-25,CNY,AED,0.573024
2021-05-26,CNY,AED,0.57439
2021-05-27,CNY,AED,0.575459
2021-05-28,CNY,AED,0.576566
2021-05-29,CNY,AED,0.576786
2021-05-30,CNY,AED,0.576784
2021-05-31,CNY,AED,0.576761
2021-06-01,CNY,AED,0.575916
2021-06-02,CNY,AED,0.57544
2021-06-03,CNY,AED,0.574366
2021-06-04,CNY,AED,0.57381
2021-06-05,CNY,AED,0.574345
2021-06-06,CNY,AED,0.574345
2021-06-07,CNY,AED,0.57411
2021-06-08,CNY,AED,0.57418
2021-06-09,CNY,AED,0.574788
2021-06-10,CNY,AED,0.574796
2021-06-11,CNY,AED,0.574503
2021-06-12,CNY,AED,0.574031
2021-06-13,CNY,AED,0.574031
2021-06-14,CNY,AED,0.574042
2021-06-15,CNY,AED,0.573593
2021-06-16,CNY,AED,0.573982
2021-06-17,CNY,AED,0.570808
2021-06-18,CNY,AED,0.569661
2021-06-19,CNY,AED,0.569192
2021-06-20,CNY,AED,0.569192
2021-06-21,CNY,AED,0.5681
2021-06-22,CNY,AED,0.567342
2021-06-23,CNY,AED,0.56707
2021-06-24,CNY,AED,0.567455
2021-06-25,CNY,AED,0.568766
2021-06-26,CNY,AED,0.568914
2021-06-27,CNY,AED,0.568916
2021-06-28,CNY,AED,0.56879
2021-06-29,CNY,AED,0.568429
2021-06-30,CNY,AED,0.56878
2021-07-01,CNY,AED,0.568054
2021-07-02,CNY,AED,0.56723
2021-07-03,CNY,AED,0.567442
2021-07-04,CNY,AED,0.567442
2021-07-05,CNY,AED,0.56827
2021-07-06,CNY,AED,0.567766
2021-07-07,CNY,AED,0.567657
2021-07-08,CNY,AED,0.566401
2021-07-09,CNY,AED,0.566594
2021-07-10,CNY,AED,0.566948
2021-07-11,CNY,AED,0.566948
2021-07-12,CNY,AED,0.567268
2021-07-13,CNY,AED,0.567867
2021-07-14,CNY,AED,0.567811
2021-07-15,CNY,AED,0.568409
2021-07-16,CNY,AED,0.56756
2021-07-17,CNY,AED,0.566884
2021-07-18,CNY,AED,0.566883
2021-07-19,CNY,AED,0.566299
2021-07-20,CNY,AED,0.566457
2021-07-21,CNY,AED,0.567504
2021-07-22,CNY,AED,0.567873
2021-07-23,CNY,AED,0.567094
2021-07-24,CNY,AED,0.566704
2021-07-25,CNY,AED,0.566704
2021-07-26,CNY,AED,0.566562
2021-07-27,CNY,AED,0.5652
2021-07-28,CNY,AED,0.565246
2021-07-29,CNY,AED,0.568194
2021-07-30,CNY,AED,0.568565
2021-07-31,CNY,AED,0.568475
2021-08-01,CNY,AED,0.568475
2021-08-02,CNY,AED,0.568376
2021-08-03,CNY,AED,0.568001
2021-08-04,CNY,AED,0.568262
2021-08-05,CNY,AED,0.568382
2021-08-06,CNY,AED,0.567393
2021-08-07,CNY,AED,0.566537
2021-08-08,CNY,AED,0.566537
2021-08-09,CNY,AED,0.566707
2021-08-10,CNY,AED,0.566526
2021-08-11,CNY,AED,0.566674
2021-08-12,CNY,AED,0.567034
2021-08-13,CNY,AED,0.566956
2021-08-14,CNY,AED,0.567055
2021-08-15,CNY,AED,0.567055
2021-08-16,CNY,AED,0.5672
2021-08-17,CNY,AED,0.566636
2021-08-18,CNY,AED,0.566582
2021-08-19,CNY,AED,0.565703
2021-08-20,CNY,AED,0.565044
2021-08-21,CNY,AED,0.56494
2021-08-22,CNY,AED,0.56494
2021-08-23,CNY,AED,0.566244
2021-08-24,CNY,AED,0.567189
2021-08-25,CNY,AED,0.567176
2021-08-26,CNY,AED,0.566674
2021-08-27,CNY,AED,0.567032
2021-08-28,CNY,AED,0.567548
2021-08-29,CNY,AED,0.567548
2021-08-30,CNY,AED,0.5679
2021-08-31,CNY,AED,0.568371
2021-09-01,CNY,AED,0.568384
2021-09-02,CNY,AED,0.568688
2021-09-03,CNY,AED,0.56922
2021-09-04,CNY,AED,0.56918
2021-09-05,CNY,AED,0.56918
2021-09-06,CNY,AED,0.568916
2021-09-07,CNY,AED,0.568382
2021-09-08,CNY,AED,0.568427
2021-09-09,CNY,AED,0.568832
2021-09-10,CNY,AED,0.569988
2021-09-11,CNY,AED,0.569966
2021-09-12,CNY,AED,0.569966
2021-09-13,CNY,AED,0.569249
2021-09-14,CNY,AED,0.570032
2021-09-15,CNY,AED,0.570742
