date,base,quote,rate
2020-12-20,CNY,EUR,0.12484
2020-12-21,CNY,EUR,0.125081
2020-12-22,CNY,EUR,0.125164
2020-12-23,CNY,EUR,0.125436
2020-12-24,CNY,EUR,0.125555
2020-12-25,CNY,EUR,0.125582
2020-12-26,CNY,EUR,0.125453
2020-12-27,CNY,EUR,0.125444
2020-12-28,CNY,EUR,0.12525
2020-12-29,CNY,EUR,0.125022
2020-12-30,CNY,EUR,0.124755
2020-12-31,CNY,EUR,0.124812
2021-01-01,CNY,EUR,0.125352
2021-01-02,CNY,EUR,0.125354
2021-01-03,CNY,EUR,0.125334
2021-01-04,CNY,EUR,0.126018
2021-01-05,CNY,EUR,0.126109
2021-01-06,CNY,EUR,0.125733
2021-01-07,CNY,EUR,0.125824
2021-01-08,CNY,EUR,0.126243
2021-01-09,CNY,EUR,0.126366
2021-01-10,CNY,EUR,0.126376
2021-01-11,CNY,EUR,0.126816
2021-01-12,CNY,EUR,0.127124
2021-01-13,CNY,EUR,0.126969
2021-01-14,CNY,EUR,0.127197
2021-01-15,CNY,EUR,0.12745
2021-01-16,CNY,EUR,0.127738
2021-01-17,CNY,EUR,0.127738
2021-01-18,CNY,EUR,0.127627
2021-01-19,CNY,EUR,0.127322
2021-01-20,CNY,EUR,0.127536
2021-01-21,CNY,EUR,0.127436
2021-01-22,CNY,EUR,0.126867
2021-01-23,CNY,EUR,0.126749
2021-01-24,CNY,EUR,0.126752
2021-01-25,CNY,EUR,0.126986
2021-01-26,CNY,EUR,0.127258
2021-01-27,CNY,EUR,0.12739
2021-01-28,CNY,EUR,0.127702
2021-01-29,CNY,EUR,0.12805
2021-01-30,CNY,EUR,0.128178
2021-01-31,CNY,EUR,0.128186
2021-02-01,CNY,EUR,0.127932
2021-02-02,CNY,EUR,0.128486
2021-02-03,CNY,EUR,0.128672
2021-02-04,CNY,EUR,0.128971
2021-02-05,CNY,EUR,0.128809
2021-02-06,CNY,EUR,0.128342
2021-02-07,CNY,EUR,0.128346
2021-02-08,CNY,EUR,0.128676
2021-02-09,CNY,EUR,0.128372
2021-02-10,CNY,EUR,0.127921
2021-02-11,CNY,EUR,0.127678
2021-02-12,CNY,EUR,0.127796
2021-02-13,CNY,EUR,0.127754
2021-02-14,CNY,EUR,0.127752
2021-02-15,CNY,EUR,0.12763
2021-02-16,CNY,EUR,0.127664
2021-02-17,CNY,EUR,0.128364
2021-02-18,CNY,EUR,0.12806
2021-02-19,CNY,EUR,0.127248
2021-02-20,CNY,EUR,0.127209
2021-02-21,CNY,EUR,0.127206
2021-02-22,CNY,EUR,0.127382
2021-02-23,CNY,EUR,0.127258
2021-02-24,CNY,EUR,0.127435
2021-02-25,CNY,EUR,0.127074
2021-02-26,CNY,EUR,0.127531
2021-02-27,CNY,EUR,0.127892
2021-02-28,CNY,EUR,0.127885
2021-03-01,CNY,EUR,0.128241
2021-03-02,CNY,EUR,0.128298
2021-03-03,CNY,EUR,0.128071
2021-03-04,CNY,EUR,0.128527
2021-03-05,CNY,EUR,0.129188
2021-03-06,CNY,EUR,0.129205
2021-03-07,CNY,EUR,0.129196
2021-03-08,CNY,EUR,0.129124
2021-03-09,CNY,EUR,0.129169
2021-03-10,CNY,EUR,0.129132
2021-03-11,CNY,EUR,0.128801
2021-03-12,CNY,EUR,0.128724
2021-03-13,CNY,EUR,0.128546
2021-03-14,CNY,EUR,0.12855
2021-03-15,CNY,EUR,0.12888
2021-03-16,CNY,EUR,0.129038
2021-03-17,CNY,EUR,0.128984
2021-03-18,CNY,EUR,0.128788
2021-03-19,CNY,EUR,0.129026
2021-03-20,CNY,EUR,0.129058
2021-03-21,CNY,EUR,0.129086
2021-03-22,CNY,EUR,0.12897
2021-03-23,CNY,EUR,0.129154
2021-03-24,CNY,EUR,0.12959
2021-03-25,CNY,EUR,0.129608
2021-03-26,CNY,EUR,0.129691
2021-03-27,CNY,EUR,0.129612
2021-03-28,CNY,EUR,0.129618
2021-03-29,CNY,EUR,0.129436
2021-03-30,CNY,EUR,0.12965
2021-03-31,CNY,EUR,0.130052
2021-04-01,CNY,EUR,0.129598
2021-04-02,CNY,EUR,0.129422
2021-04-03,CNY,EUR,0.129475
2021-04-04,CNY,EUR,0.129474
2021-04-05,CNY,EUR,0.12925
2021-04-06,CNY,EUR,0.129061
2021-04-07,CNY,EUR,0.128687
2021-04-08,CNY,EUR,0.128409
2021-04-09,CNY,EUR,0.128238
2021-04-10,CNY,EUR,0.12824
2021-04-11,CNY,EUR,0.12824
2021-04-12,CNY,EUR,0.128266
2021-04-13,CNY,EUR,0.128162
2021-04-14,CNY,EUR,0.127888
2021-04-15,CNY,EUR,0.127938
2021-04-16,CNY,EUR,0.128018
2021-04-17,CNY,EUR,0.127984
2021-04-18,CNY,EUR,0.127996
2021-04-19,CNY,EUR,0.127818
2021-04-20,CNY,EUR,0.12773
2021-04-21,CNY,EUR,0.128038
2021-04-22,CNY,EUR,0.128105
2021-04-23,CNY,EUR,0.127686
2021-04-24,CNY,EUR,0.127266
2021-04-25,CNY,EUR,0.127272
2021-04-26,CNY,EUR,0.12747
2021-04-27,CNY,EUR,0.127683
2021-04-28,CNY,EUR,0.127606
2021-04-29,CNY,EUR,0.127448
2021-04-30,CNY,EUR,0.127999
2021-05-01,CNY,EUR,0.128496
2021-05-02,CNY,EUR,0.128486
2021-05-03,CNY,EUR,0.128226
2021-05-04,CNY,EUR,0.128464
2021-05-05,CNY,EUR,0.128656
2021-05-06,CNY,EUR,0.128361
2021-05-07,CNY,EUR,0.128092
2021-05-08,CNY,EUR,0.127813
2021-05-09,CNY,EUR,0.127804
2021-05-10,CNY,EUR,0.128138
2021-05-11,CNY,EUR,0.128054
2021-05-12,CNY,EUR,0.128146
2021-05-13,CNY,EUR,0.128286
2021-05-14,CNY,EUR,0.128152
2021-05-15,CNY,EUR,0.127905
2021-05-16,CNY,EUR,0.127904
2021-05-17,CNY,EUR,0.12785
2021-05-18,CNY,EUR,0.127518
2021-05-19,CNY,EUR,0.127317
2021-05-20,CNY,EUR,0.127316
2021-05-21,CNY,EUR,0.127348
2021-05-22,CNY,EUR,0.127584
2021-05-23,CNY,EUR,0.127587
2021-05-24,CNY,EUR,0.127512
2021-05-25,CNY,EUR,0.127424
2021-05-26,CNY,EUR,0.127911
2021-05-27,CNY,EUR,0.128472
2021-05-28,CNY,EUR,0.128823
2021-05-29,CNY,EUR,0.128793
2021-05-30,CNY,EUR,0.128789
2021-05-31,CNY,EUR,0.128629
2021-06-01,CNY,EUR,0.12823
2021-06-02,CNY,EUR,0.128347
2021-06-03,CNY,EUR,0.128532
2021-06-04,CNY,EUR,0.12868
2021-06-05,CNY,EUR,0.128522
2021-06-06,CNY,EUR,0.128526
