date,base,quote,rate
2020-12-20,CNY,GBP,0.113206
2020-12-21,CNY,GBP,0.114359
2020-12-22,CNY,GBP,0.114073
2020-12-23,CNY,GBP,0.113653
2020-12-24,CNY,GBP,0.11292
2020-12-25,CNY,GBP,0.112814
2020-12-26,CNY,GBP,0.112698
2020-12-27,CNY,GBP,0.112704
2020-12-28,CNY,GBP,0.113258
2020-12-29,CNY,GBP,0.113462
2020-12-30,CNY,GBP,0.112857
2020-12-31,CNY,GBP,0.112144
2021-01-01,CNY,GBP,0.112051
2021-01-02,CNY,GBP,0.112054
2021-01-03,CNY,GBP,0.112053
2021-01-04,CNY,GBP,0.113358
2021-01-05,CNY,GBP,0.113872
2021-01-06,CNY,GBP,0.11371
2021-01-07,CNY,GBP,0.113828
2021-01-08,CNY,GBP,0.113856
2021-01-09,CNY,GBP,0.113818
2021-01-10,CNY,GBP,0.113832
2021-01-11,CNY,GBP,0.114272
2021-01-12,CNY,GBP,0.113809
2021-01-13,CNY,GBP,0.113213
2021-01-14,CNY,GBP,0.113154
2021-01-15,CNY,GBP,0.113283
2021-01-16,CNY,GBP,0.113551
2021-01-17,CNY,GBP,0.11355
2021-01-18,CNY,GBP,0.113571
2021-01-19,CNY,GBP,0.1133
2021-01-20,CNY,GBP,0.113182
2021-01-21,CNY,GBP,0.11287
2021-01-22,CNY,GBP,0.112826
2021-01-23,CNY,GBP,0.11275
2021-01-24,CNY,GBP,0.11275
2021-01-25,CNY,GBP,0.112796
2021-01-26,CNY,GBP,0.112902
2021-01-27,CNY,GBP,0.11264
2021-01-28,CNY,GBP,0.112984
2021-01-29,CNY,GBP,0.113244
2021-01-30,CNY,GBP,0.113515
2021-01-31,CNY,GBP,0.113518
2021-02-01,CNY,GBP,0.11293
2021-02-02,CNY,GBP,0.113273
2021-02-03,CNY,GBP,0.113392
2021-02-04,CNY,GBP,0.113416
2021-02-05,CNY,GBP,0.11278
2021-02-06,CNY,GBP,0.112563
2021-02-07,CNY,GBP,0.112568
2021-02-08,CNY,GBP,0.11288
2021-02-09,CNY,GBP,0.112627
2021-02-10,CNY,GBP,0.112124
2021-02-11,CNY,GBP,0.111996
2021-02-12,CNY,GBP,0.112074
2021-02-13,CNY,GBP,0.111795
2021-02-14,CNY,GBP,0.111788
2021-02-15,CNY,GBP,0.111382
2021-02-16,CNY,GBP,0.11125
2021-02-17,CNY,GBP,0.111638
2021-02-18,CNY,GBP,0.111012
2021-02-19,CNY,GBP,0.110155
2021-02-20,CNY,GBP,0.110023
2021-02-21,CNY,GBP,0.11002
2021-02-22,CNY,GBP,0.110122
2021-02-23,CNY,GBP,0.109814
2021-02-24,CNY,GBP,0.109512
2021-02-25,CNY,GBP,0.109784
2021-02-26,CNY,GBP,0.110804
2021-02-27,CNY,GBP,0.110853
2021-02-28,CNY,GBP,0.11084
2021-03-01,CNY,GBP,0.110861
2021-03-02,CNY,GBP,0.11102
2021-03-03,CNY,GBP,0.110766
2021-03-04,CNY,GBP,0.110904
2021-03-05,CNY,GBP,0.111335
2021-03-06,CNY,GBP,0.111264
2021-03-07,CNY,GBP,0.111257
2021-03-08,CNY,GBP,0.110911
2021-03-09,CNY,GBP,0.110654
2021-03-10,CNY,GBP,0.110586
2021-03-11,CNY,GBP,0.110322
2021-03-12,CNY,GBP,0.110373
2021-03-13,CNY,GBP,0.110372
2021-03-14,CNY,GBP,0.110369
2021-03-15,CNY,GBP,0.110549
2021-03-16,CNY,GBP,0.110844
2021-03-17,CNY,GBP,0.110546
2021-03-18,CNY,GBP,0.110269
2021-03-19,CNY,GBP,0.110562
2021-03-20,CNY,GBP,0.110786
2021-03-21,CNY,GBP,0.110812
2021-03-22,CNY,GBP,0.110922
2021-03-23,CNY,GBP,0.111296
2021-03-24,CNY,GBP,0.111822
2021-03-25,CNY,GBP,0.11151
2021-03-26,CNY,GBP,0.110958
2021-03-27,CNY,GBP,0.110836
2021-03-28,CNY,GBP,0.110837
2021-03-29,CNY,GBP,0.110559
2021-03-30,CNY,GBP,0.110696
2021-03-31,CNY,GBP,0.110791
2021-04-01,CNY,GBP,0.110333
2021-04-02,CNY,GBP,0.110108
2021-04-03,CNY,GBP,0.110054
2021-04-04,CNY,GBP,0.110064
2021-04-05,CNY,GBP,0.109782
2021-04-06,CNY,GBP,0.110219
2021-04-07,CNY,GBP,0.110888
2021-04-08,CNY,GBP,0.111071
2021-04-09,CNY,GBP,0.111211
2021-04-10,CNY,GBP,0.11134
2021-04-11,CNY,GBP,0.111338
2021-04-12,CNY,GBP,0.111186
2021-04-13,CNY,GBP,0.111144
2021-04-14,CNY,GBP,0.111091
2021-04-15,CNY,GBP,0.111136
2021-04-16,CNY,GBP,0.11113
2021-04-17,CNY,GBP,0.110793
2021-04-18,CNY,GBP,0.110806
2021-04-19,CNY,GBP,0.1103
2021-04-20,CNY,GBP,0.110164
2021-04-21,CNY,GBP,0.110534
2021-04-22,CNY,GBP,0.110978
2021-04-23,CNY,GBP,0.111037
2021-04-24,CNY,GBP,0.110953
2021-04-25,CNY,GBP,0.110954
2021-04-26,CNY,GBP,0.110913
2021-04-27,CNY,GBP,0.110972
2021-04-28,CNY,GBP,0.110974
2021-04-29,CNY,GBP,0.110769
2021-04-30,CNY,GBP,0.111314
2021-05-01,CNY,GBP,0.111778
2021-05-02,CNY,GBP,0.111778
2021-05-03,CNY,GBP,0.111364
2021-05-04,CNY,GBP,0.111292
2021-05-05,CNY,GBP,0.111096
2021-05-06,CNY,GBP,0.111184
2021-05-07,CNY,GBP,0.111244
2021-05-08,CNY,GBP,0.111154
2021-05-09,CNY,GBP,0.111122
2021-05-10,CNY,GBP,0.110505
2021-05-11,CNY,GBP,0.110076
2021-05-12,CNY,GBP,0.110006
2021-05-13,CNY,GBP,0.110314
2021-05-14,CNY,GBP,0.110344
2021-05-15,CNY,GBP,0.110202
2021-05-16,CNY,GBP,0.110198
2021-05-17,CNY,GBP,0.110052
2021-05-18,CNY,GBP,0.109674
2021-05-19,CNY,GBP,0.109788
2021-05-20,CNY,GBP,0.109823
2021-05-21,CNY,GBP,0.109646
2021-05-22,CNY,GBP,0.109844
2021-05-23,CNY,GBP,0.109845
2021-05-24,CNY,GBP,0.109977
2021-05-25,CNY,GBP,0.11017
2021-05-26,CNY,GBP,0.110577
2021-05-27,CNY,GBP,0.110678
2021-05-28,CNY,GBP,0.110658
2021-05-29,CNY,GBP,0.110655
2021-05-30,CNY,GBP,0.110658
2021-05-31,CNY,GBP,0.110638
2021-06-01,CNY,GBP,0.110503
2021-06-02,CNY,GBP,0.110648
2021-06-03,CNY,GBP,0.11058
2021-06-04,CNY,GBP,0.110504
2021-06-05,CNY,GBP,0.110432
2021-06-06,CNY,GBP,0.110432
2021-06-07,CNY,GBP,0.110374
2021-06-08,CNY,GBP,0.110456
2021-06-09,CNY,GBP,0.110635
2021-06-10,CNY,GBP,0.110722
2021-06-11,CNY,GBP,0.110599
2021-06-12,CNY,GBP,0.110781
2021-06-13,CNY,GBP,0.110774
2021-06-14,CNY,GBP,0.110776
