date,base,quote,rate
2020-12-20,CNY,HKD,1.1859
2020-12-21,CNY,HKD,1.18372
2020-12-22,CNY,HKD,1.18444
2020-12-23,CNY,HKD,1.18508
2020-12-24,CNY,HKD,1.18707
2020-12-25,CNY,HKD,1.18644
2020-12-26,CNY,HKD,1.18522
2020-12-27,CNY,HKD,1.18522
2020-12-28,CNY,HKD,1.18616
2020-12-29,CNY,HKD,1.18705
2020-12-30,CNY,HKD,1.18801
2020-12-31,CNY,HKD,1.18676
2021-01-01,CNY,HKD,1.1871
2021-01-02,CNY,HKD,1.18712
2021-01-03,CNY,HKD,1.18712
2021-01-04,CNY,HKD,1.19826
2021-01-05,CNY,HKD,1.20048
2021-01-06,CNY,HKD,1.20039
2021-01-07,CNY,HKD,1.19876
2021-01-08,CNY,HKD,1.19838
2021-01-09,CNY,HKD,1.19783
2021-01-10,CNY,HKD,1.19782
2021-01-11,CNY,HKD,1.19665
2021-01-12,CNY,HKD,1.19931
2021-01-13,CNY,HKD,1.19941
2021-01-14,CNY,HKD,1.19832
2021-01-15,CNY,HKD,1.19746
2021-01-16,CNY,HKD,1.1964
2021-01-17,CNY,HKD,1.1964
2021-01-18,CNY,HKD,1.19468
2021-01-19,CNY,HKD,1.19582
2021-01-20,CNY,HKD,1.19842
2021-01-21,CNY,HKD,1.19958
2021-01-22,CNY,HKD,1.19692
2021-01-23,CNY,HKD,1.19596
2021-01-24,CNY,HKD,1.19596
2021-01-25,CNY,HKD,1.19648
2021-01-26,CNY,HKD,1.19822
2021-01-27,CNY,HKD,1.19758
2021-01-28,CNY,HKD,1.19901
2021-01-29,CNY,HKD,1.20359
2021-01-30,CNY,HKD,1.20622
2021-01-31,CNY,HKD,1.20622
2021-02-01,CNY,HKD,1.19968
2021-02-02,CNY,HKD,1.20029
2021-02-03,CNY,HKD,1.19996
2021-02-04,CNY,HKD,1.19907
2021-02-05,CNY,HKD,1.1982
2021-02-06,CNY,HKD,1.19893
2021-02-07,CNY,HKD,1.19892
2021-02-08,CNY,HKD,1.20116
2021-02-09,CNY,HKD,1.20356
2021-02-10,CNY,HKD,1.20245
2021-02-11,CNY,HKD,1.2005
2021-02-12,CNY,HKD,1.20048
2021-02-13,CNY,HKD,1.20049
2021-02-14,CNY,HKD,1.2005
2021-02-15,CNY,HKD,1.20041
2021-02-16,CNY,HKD,1.20047
2021-02-17,CNY,HKD,1.20036
2021-02-18,CNY,HKD,1.19798
2021-02-19,CNY,HKD,1.19516
2021-02-20,CNY,HKD,1.1952
2021-02-21,CNY,HKD,1.19521
2021-02-22,CNY,HKD,1.19868
2021-02-23,CNY,HKD,1.19953
2021-02-24,CNY,HKD,1.20096
2021-02-25,CNY,HKD,1.20151
2021-02-26,CNY,HKD,1.19889
2021-02-27,CNY,HKD,1.19752
2021-02-28,CNY,HKD,1.19752
2021-03-01,CNY,HKD,1.19966
2021-03-02,CNY,HKD,1.19881
2021-03-03,CNY,HKD,1.1996
2021-03-04,CNY,HKD,1.19924
2021-03-05,CNY,HKD,1.1968
2021-03-06,CNY,HKD,1.19494
2021-03-07,CNY,HKD,1.19494
2021-03-08,CNY,HKD,1.19144
2021-03-09,CNY,HKD,1.19168
2021-03-10,CNY,HKD,1.19263
2021-03-11,CNY,HKD,1.19484
2021-03-12,CNY,HKD,1.19387
2021-03-13,CNY,HKD,1.19274
2021-03-14,CNY,HKD,1.19275
2021-03-15,CNY,HKD,1.19413
2021-03-16,CNY,HKD,1.19432
2021-03-17,CNY,HKD,1.19413
2021-03-18,CNY,HKD,1.19408
2021-03-19,CNY,HKD,1.19305
2021-03-20,CNY,HKD,1.19296
2021-03-21,CNY,HKD,1.19298
2021-03-22,CNY,HKD,1.19322
2021-03-23,CNY,HKD,1.19254
2021-03-24,CNY,HKD,1.19092
2021-03-25,CNY,HKD,1.18798
2021-03-26,CNY,HKD,1.18756
2021-03-27,CNY,HKD,1.18766
2021-03-28,CNY,HKD,1.18766
2021-03-29,CNY,HKD,1.18478
2021-03-30,CNY,HKD,1.1832
2021-03-31,CNY,HKD,1.18576
2021-04-01,CNY,HKD,1.18392
2021-04-02,CNY,HKD,1.18442
2021-04-03,CNY,HKD,1.18405
2021-04-04,CNY,HKD,1.18404
2021-04-05,CNY,HKD,1.18406
2021-04-06,CNY,HKD,1.18758
2021-04-07,CNY,HKD,1.18967
2021-04-08,CNY,HKD,1.18786
2021-04-09,CNY,HKD,1.18673
2021-04-10,CNY,HKD,1.18694
2021-04-11,CNY,HKD,1.18694
2021-04-12,CNY,HKD,1.18702
2021-04-13,CNY,HKD,1.18734
2021-04-14,CNY,HKD,1.18892
2021-04-15,CNY,HKD,1.18977
2021-04-16,CNY,HKD,1.19108
2021-04-17,CNY,HKD,1.19178
2021-04-18,CNY,HKD,1.19178
2021-04-19,CNY,HKD,1.19248
2021-04-20,CNY,HKD,1.1946
2021-04-21,CNY,HKD,1.19526
2021-04-22,CNY,HKD,1.19588
2021-04-23,CNY,HKD,1.195
2021-04-24,CNY,HKD,1.1946
2021-04-25,CNY,HKD,1.19462
2021-04-26,CNY,HKD,1.19622
2021-04-27,CNY,HKD,1.19694
2021-04-28,CNY,HKD,1.19744
2021-04-29,CNY,HKD,1.19955
2021-04-30,CNY,HKD,1.20005
2021-05-01,CNY,HKD,1.19969
2021-05-02,CNY,HKD,1.19968
2021-05-03,CNY,HKD,1.19974
2021-05-04,CNY,HKD,1.1998
2021-05-05,CNY,HKD,1.20009
2021-05-06,CNY,HKD,1.20046
2021-05-07,CNY,HKD,1.20472
2021-05-08,CNY,HKD,1.20731
2021-05-09,CNY,HKD,1.20732
2021-05-10,CNY,HKD,1.20954
2021-05-11,CNY,HKD,1.20863
2021-05-12,CNY,HKD,1.2049
2021-05-13,CNY,HKD,1.20366
2021-05-14,CNY,HKD,1.20622
2021-05-15,CNY,HKD,1.20666
2021-05-16,CNY,HKD,1.20667
2021-05-17,CNY,HKD,1.20616
2021-05-18,CNY,HKD,1.20832
2021-05-19,CNY,HKD,1.20701
2021-05-20,CNY,HKD,1.2061
2021-05-21,CNY,HKD,1.20677
2021-05-22,CNY,HKD,1.20668
2021-05-23,CNY,HKD,1.20668
2021-05-24,CNY,HKD,1.20826
2021-05-25,CNY,HKD,1.21106
2021-05-26,CNY,HKD,1.21386
2021-05-27,CNY,HKD,1.21594
2021-05-28,CNY,HKD,1.21818
2021-05-29,CNY,HKD,1.21876
2021-05-30,CNY,HKD,1.21876
2021-05-31,CNY,HKD,1.21871
2021-06-01,CNY,HKD,1.21664
2021-06-02,CNY,HKD,1.21557
2021-06-03,CNY,HKD,1.21315
2021-06-04,CNY,HKD,1.21185
2021-06-05,CNY,HKD,1.21294
2021-06-06,CNY,HKD,1.21293
2021-06-07,CNY,HKD,1.21261
2021-06-08,CNY,HKD,1.21294
2021-06-09,CNY,HKD,1.21426
2021-06-10,CNY,HKD,1.21433
2021-06-11,CNY,HKD,1.21376
2021-06-12,CNY,HKD,1.21294
2021-06-13,CNY,HKD,1.21294
2021-06-14,CNY,HKD,1.213
2021-06-15,CNY,HKD,1.21216
2021-06-16,CNY,HKD,1.21294
2021-06-17,CNY,HKD,1.20659
2021-06-18,CNY,HKD,1.20405
2021-06-19,CNY,HKD,1.20292
2021-06-20,CNY,HKD,1.20293
2021-06-21,CNY,HKD,1.20088
2021-06-22,CNY,HKD,1.19948
2021-06-23,CNY,HKD,1.19884
2021-06-24,CNY,HKD,1.19946
2021-06-25,CNY,HKD,1.20188
2021-06-26,CNY,HKD,1.20217
2021-06-27,CNY,HKD,1.20218
2021-06-28,CNY,HKD,1.202
