date,base,quote,rate
2020-12-20,CNY,INR,11.2446
2020-12-21,CNY,INR,11.2674
2020-12-22,CNY,INR,11.2898
2020-12-23,CNY,INR,11.2802
2020-12-24,CNY,INR,11.2633
2020-12-25,CNY,INR,11.2525
2020-12-26,CNY,INR,11.241
2020-12-27,CNY,INR,11.2412
2020-12-28,CNY,INR,11.2456
2020-12-29,CNY,INR,11.2328
2020-12-30,CNY,INR,11.2196
2020-12-31,CNY,INR,11.1781
2021-01-01,CNY,INR,11.18
2021-01-02,CNY,INR,11.1802
2021-01-03,CNY,INR,11.18
2021-01-04,CNY,INR,11.2824
2021-01-05,CNY,INR,11.3238
2021-01-06,CNY,INR,11.322
2021-01-07,CNY,INR,11.3332
2021-01-08,CNY,INR,11.336
2021-01-09,CNY,INR,11.3314
2021-01-10,CNY,INR,11.3314
2021-01-11,CNY,INR,11.3374
2021-01-12,CNY,INR,11.3402
2021-01-13,CNY,INR,11.3206
2021-01-14,CNY,INR,11.3024
2021-01-15,CNY,INR,11.2958
2021-01-16,CNY,INR,11.3006
2021-01-17,CNY,INR,11.3006
2021-01-18,CNY,INR,11.2908
2021-01-19,CNY,INR,11.2938
2021-01-20,CNY,INR,11.2925
2021-01-21,CNY,INR,11.2934
2021-01-22,CNY,INR,11.275
2021-01-23,CNY,INR,11.2664
2021-01-24,CNY,INR,11.2664
2021-01-25,CNY,INR,11.2674
2021-01-26,CNY,INR,11.2842
2021-01-27,CNY,INR,11.2795
2021-01-28,CNY,INR,11.3039
2021-01-29,CNY,INR,11.3318
2021-01-30,CNY,INR,11.3572
2021-01-31,CNY,INR,11.3572
2021-02-01,CNY,INR,11.3171
2021-02-02,CNY,INR,11.3128
2021-02-03,CNY,INR,11.2943
2021-02-04,CNY,INR,11.2847
2021-02-05,CNY,INR,11.2692
2021-02-06,CNY,INR,11.2606
2021-02-07,CNY,INR,11.2606
2021-02-08,CNY,INR,11.3012
2021-02-09,CNY,INR,11.3224
2021-02-10,CNY,INR,11.3034
2021-02-11,CNY,INR,11.2698
2021-02-12,CNY,INR,11.2568
2021-02-13,CNY,INR,11.2439
2021-02-14,CNY,INR,11.2439
2021-02-15,CNY,INR,11.2482
2021-02-16,CNY,INR,11.2737
2021-02-17,CNY,INR,11.2763
2021-02-18,CNY,INR,11.2288
2021-02-19,CNY,INR,11.1837
2021-02-20,CNY,INR,11.1879
2021-02-21,CNY,INR,11.1879
2021-02-22,CNY,INR,11.2078
2021-02-23,CNY,INR,11.2074
2021-02-24,CNY,INR,11.2068
2021-02-25,CNY,INR,11.2538
2021-02-26,CNY,INR,11.3784
2021-02-27,CNY,INR,11.3956
2021-02-28,CNY,INR,11.3956
2021-03-01,CNY,INR,11.3699
2021-03-02,CNY,INR,11.3402
2021-03-03,CNY,INR,11.2946
2021-03-04,CNY,INR,11.269
2021-03-05,CNY,INR,11.2668
2021-03-06,CNY,INR,11.264
2021-03-07,CNY,INR,11.264
2021-03-08,CNY,INR,11.2406
2021-03-09,CNY,INR,11.2063
2021-03-10,CNY,INR,11.1892
2021-03-11,CNY,INR,11.1878
2021-03-12,CNY,INR,11.1901
2021-03-13,CNY,INR,11.1751
2021-03-14,CNY,INR,11.1751
2021-03-15,CNY,INR,11.1756
2021-03-16,CNY,INR,11.1692
2021-03-17,CNY,INR,11.1658
2021-03-18,CNY,INR,11.1772
2021-03-19,CNY,INR,11.1621
2021-03-20,CNY,INR,11.1529
2021-03-21,CNY,INR,11.1528
2021-03-22,CNY,INR,11.1464
2021-03-23,CNY,INR,11.1533
2021-03-24,CNY,INR,11.1684
2021-03-25,CNY,INR,11.1358
2021-03-26,CNY,INR,11.106
2021-03-27,CNY,INR,11.102
2021-03-28,CNY,INR,11.102
2021-03-29,CNY,INR,11.0983
2021-03-30,CNY,INR,11.156
2021-03-31,CNY,INR,11.1794
2021-04-01,CNY,INR,11.1651
2021-04-02,CNY,INR,11.1749
2021-04-03,CNY,INR,11.178
2021-04-04,CNY,INR,11.178
2021-04-05,CNY,INR,11.1648
2021-04-06,CNY,INR,11.2084
2021-04-07,CNY,INR,11.3404
2021-04-08,CNY,INR,11.3788
2021-04-09,CNY,INR,11.3966
2021-04-10,CNY,INR,11.3998
2021-04-11,CNY,INR,11.3998
2021-04-12,CNY,INR,11.4449
2021-04-13,CNY,INR,11.4966
2021-04-14,CNY,INR,11.5036
2021-04-15,CNY,INR,11.4872
2021-04-16,CNY,INR,11.4346
2021-04-17,CNY,INR,11.4404
2021-04-18,CNY,INR,11.4404
2021-04-19,CNY,INR,11.4948
2021-04-20,CNY,INR,11.5622
2021-04-21,CNY,INR,11.618
2021-04-22,CNY,INR,11.5798
2021-04-23,CNY,INR,11.5484
2021-04-24,CNY,INR,11.5331
2021-04-25,CNY,INR,11.5331
2021-04-26,CNY,INR,11.5376
2021-04-27,CNY,INR,11.5185
2021-04-28,CNY,INR,11.4923
2021-04-29,CNY,INR,11.4577
2021-04-30,CNY,INR,11.4558
2021-05-01,CNY,INR,11.459
2021-05-02,CNY,INR,11.459
2021-05-03,CNY,INR,11.4661
2021-05-04,CNY,INR,11.4505
2021-05-05,CNY,INR,11.4333
2021-05-06,CNY,INR,11.4053
2021-05-07,CNY,INR,11.3966
2021-05-08,CNY,INR,11.3999
2021-05-09,CNY,INR,11.3999
2021-05-10,CNY,INR,11.4394
2021-05-11,CNY,INR,11.4312
2021-05-12,CNY,INR,11.4124
2021-05-13,CNY,INR,11.4051
2021-05-14,CNY,INR,11.391
2021-05-15,CNY,INR,11.3874
2021-05-16,CNY,INR,11.3874
2021-05-17,CNY,INR,11.3882
2021-05-18,CNY,INR,11.3835
2021-05-19,CNY,INR,11.3806
2021-05-20,CNY,INR,11.3612
2021-05-21,CNY,INR,11.3382
2021-05-22,CNY,INR,11.3324
2021-05-23,CNY,INR,11.3324
2021-05-24,CNY,INR,11.346
2021-05-25,CNY,INR,11.3606
2021-05-26,CNY,INR,11.3726
2021-05-27,CNY,INR,11.3796
2021-05-28,CNY,INR,11.3736
2021-05-29,CNY,INR,11.3686
2021-05-30,CNY,INR,11.3686
2021-05-31,CNY,INR,11.3853
2021-06-01,CNY,INR,11.4068
2021-06-02,CNY,INR,11.4336
2021-06-03,CNY,INR,11.4094
2021-06-04,CNY,INR,11.3872
2021-06-05,CNY,INR,11.3879
2021-06-06,CNY,INR,11.3879
2021-06-07,CNY,INR,11.3742
2021-06-08,CNY,INR,11.3884
2021-06-09,CNY,INR,11.4129
2021-06-10,CNY,INR,11.42
2021-06-11,CNY,INR,11.4266
2021-06-12,CNY,INR,11.4276
2021-06-13,CNY,INR,11.4276
2021-06-14,CNY,INR,11.4367
2021-06-15,CNY,INR,11.4453
2021-06-16,CNY,INR,11.4713
2021-06-17,CNY,INR,11.5014
2021-06-18,CNY,INR,11.4868
2021-06-19,CNY,INR,11.4796
2021-06-20,CNY,INR,11.4796
2021-06-21,CNY,INR,11.4639
2021-06-22,CNY,INR,11.4594
2021-06-23,CNY,INR,11.4531
2021-06-24,CNY,INR,11.4519
2021-06-25,CNY,INR,11.4776
2021-06-26,CNY,INR,11.4894
2021-06-27,CNY,INR,11.4894
2021-06-28,CNY,INR,11.4886
2021-06-29,CNY,INR,11.482
2021-06-30,CNY,INR,11.503
2021-07-01,CNY,INR,11.5117
2021-07-02,CNY,INR,11.5152
2021-07-03,CNY,INR,11.5027
2021-07-04,CNY,INR,11.5027
2021-07-05,CNY,INR,11.4998
2021-07-06,CNY,INR,11.5185
2021-07-07,CNY,INR,11.545
2021-07-08,CNY,INR,11.5225
2021-07-09,CNY,INR,11.4999
2021-07-10,CNY,INR,11.4927
2021-07-11,CNY,INR,11.4927
2021-07-12,CNY,INR,11.5054
2021-07-13,CNY,INR,11.5189
2021-07-14,CNY,INR,11.5184
2021-07-15,CNY,INR,11.5255
2021-07-16,CNY,INR,11.5189
2021-07-17,CNY,INR,11.5146
2021-07-18,CNY,INR,11.5146
2021-07-19,CNY,INR,11.5357
2021-07-20,CNY,INR,11.5111
2021-07-21,CNY,INR,11.505
2021-07-22,CNY,INR,11.4967
2021-07-23,CNY,INR,11.4798
2021-07-24,CNY,INR,11.4716
2021-07-25,CNY,INR,11.4716
2021-07-26,CNY,INR,11.4634
2021-07-27,CNY,INR,11.445
2021-07-28,CNY,INR,11.4432
2021-07-29,CNY,INR,11.4758
2021-07-30,CNY,INR,11.4942
2021-07-31,CNY,INR,11.4972
2021-08-01,CNY,INR,11.4972
2021-08-02,CNY,INR,11.4934
2021-08-03,CNY,INR,11.4707
2021-08-04,CNY,INR,11.4626
2021-08-05,CNY,INR,11.4588
2021-08-06,CNY,INR,11.4425
2021-08-07,CNY,INR,11.4344
2021-08-08,CNY,INR,11.4344
2021-08-09,CNY,INR,11.4566
2021-08-10,CNY,INR,11.468
2021-08-11,CNY,INR,11.4561
2021-08-12,CNY,INR,11.4501
2021-08-13,CNY,INR,11.4458
2021-08-14,CNY,INR,11.4427
2021-08-15,CNY,INR,11.4427
2021-08-16,CNY,INR,11.4454
2021-08-17,CNY,INR,11.4525
2021-08-18,CNY,INR,11.4458
2021-08-19,CNY,INR,11.4422
2021-08-20,CNY,INR,11.4282
2021-08-21,CNY,INR,11.4166
2021-08-22,CNY,INR,11.4166
2021-08-23,CNY,INR,11.428
2021-08-24,CNY,INR,11.4407
2021-08-25,CNY,INR,11.4462
2021-08-26,CNY,INR,11.4333
2021-08-27,CNY,INR,11.3811
2021-08-28,CNY,INR,11.352
2021-08-29,CNY,INR,11.352
2021-08-30,CNY,INR,11.3312
2021-08-31,CNY,INR,11.2994
2021-09-01,CNY,INR,11.2902
2021-09-02,CNY,INR,11.2962
2021-09-03,CNY,INR,11.3065
2021-09-04,CNY,INR,11.2988
2021-09-05,CNY,INR,11.2988
2021-09-06,CNY,INR,11.3118
2021-09-07,CNY,INR,11.3412
2021-09-08,CNY,INR,11.3876
2021-09-09,CNY,INR,11.3924
2021-09-10,CNY,INR,11.3902
2021-09-11,CNY,INR,11.396
2021-09-12,CNY,INR,11.396
2021-09-13,CNY,INR,11.3984
2021-09-14,CNY,INR,11.4184
2021-09-15,CNY,INR,11.4206
2021-09-16,CNY,INR,11.3921
2021-09-17,CNY,INR,11.3783
2021-09-18,CNY,INR,11.3813
2021-09-19,CNY,INR,11.3813
2021-09-20,CNY,INR,11.3881
2021-09-21,CNY,INR,11.3886
2021-09-22,CNY,INR,11.411
2021-09-23,CNY,INR,11.4122
2021-09-24,CNY,INR,11.4054
2021-09-25,CNY,INR,11.4069
2021-09-26,CNY,INR,11.407
2021-09-27,CNY,INR,11.4178
2021-09-28,CNY,INR,11.4631
2021-09-29,CNY,INR,11.4764
2021-09-30,CNY,INR,11.4913
2021-10-01,CNY,INR,11.4987
2021-10-02,CNY,INR,11.488
2021-10-03,CNY,INR,11.4879
2021-10-04,CNY,INR,11.5284
2021-10-05,CNY,INR,11.5546
2021-10-06,CNY,INR,11.5824
2021-10-07,CNY,INR,11.5988
2021-10-08,CNY,INR,11.6313
