date,base,quote,rate
2025-06-24,CNY,KZT,72.2042
2025-06-25,CNY,KZT,72.266
2025-06-26,CNY,KZT,72.1902
2025-06-27,CNY,KZT,72.4799
2025-06-28,CNY,KZT,72.4245
2025-06-29,CNY,KZT,72.4247
2025-06-30,CNY,KZT,72.5484
2025-07-01,CNY,KZT,72.4926
2025-07-02,CNY,KZT,72.3884
2025-07-03,CNY,KZT,72.4166
2025-07-04,CNY,KZT,72.5198
2025-07-05,CNY,KZT,72.4767
2025-07-06,CNY,KZT,72.4769
2025-07-07,CNY,KZT,72.4447
2025-07-08,CNY,KZT,72.3807
2025-07-09,CNY,KZT,72.3076
2025-07-10,CNY,KZT,72.2348
2025-07-11,CNY,KZT,72.716
2025-07-12,CNY,KZT,72.9746
2025-07-13,CNY,KZT,72.9746
2025-07-14,CNY,KZT,73.0693
2025-07-15,CNY,KZT,73.2951
2025-07-16,CNY,KZT,73.5645
2025-07-17,CNY,KZT,74.0059
2025-07-18,CNY,KZT,74.1884
2025-07-19,CNY,KZT,74.186
2025-07-20,CNY,KZT,74.1856
2025-07-21,CNY,KZT,74.0298
2025-07-22,CNY,KZT,74.1525
2025-07-23,CNY,KZT,74.8728
2025-07-24,CNY,KZT,75.5756
2025-07-25,CNY,KZT,76.0202
2025-07-26,CNY,KZT,76.1196
2025-07-27,CNY,KZT,76.12
2025-07-28,CNY,KZT,75.7858
2025-07-29,CNY,KZT,75.7172
2025-07-30,CNY,KZT,75.7266
2025-07-31,CNY,KZT,75.2975
2025-08-01,CNY,KZT,75.2493
2025-08-02,CNY,KZT,75.3574
2025-08-03,CNY,KZT,75.2998
2025-08-04,CNY,KZT,75.0582
2025-08-05,CNY,KZT,74.9866
2025-08-06,CNY,KZT,74.798
2025-08-07,CNY,KZT,74.9226
2025-08-08,CNY,KZT,75.178
2025-08-09,CNY,KZT,75.254
2025-08-10,CNY,KZT,75.254
2025-08-11,CNY,KZT,75.506
2025-08-12,CNY,KZT,75.4828
2025-08-13,CNY,KZT,75.1376
2025-08-14,CNY,KZT,75.0922
2025-08-15,CNY,KZT,75.267
2025-08-16,CNY,KZT,75.3488
2025-08-17,CNY,KZT,75.3495
2025-08-18,CNY,KZT,75.1472
2025-08-19,CNY,KZT,74.981
2025-08-20,CNY,KZT,74.9888
2025-08-21,CNY,KZT,74.9114
2025-08-22,CNY,KZT,74.954
2025-08-23,CNY,KZT,74.9818
2025-08-24,CNY,KZT,74.982
2025-08-25,CNY,KZT,74.7007
2025-08-26,CNY,KZT,74.8634
2025-08-27,CNY,KZT,75.125
2025-08-28,CNY,KZT,75.3272
2025-08-29,CNY,KZT,75.409
2025-08-30,CNY,KZT,75.5411
2025-08-31,CNY,KZT,75.5406
2025-09-01,CNY,KZT,75.4531
2025-09-02,CNY,KZT,75.5856
2025-09-03,CNY,KZT,75.5988
2025-09-04,CNY,KZT,75.5944
2025-09-05,CNY,KZT,75.4064
2025-09-06,CNY,KZT,75.2914
2025-09-07,CNY,KZT,75.2892
2025-09-08,CNY,KZT,75.0528
2025-09-09,CNY,KZT,75.1844
2025-09-10,CNY,KZT,75.6157
2025-09-11,CNY,KZT,75.7019
2025-09-12,CNY,KZT,75.7802
2025-09-13,CNY,KZT,75.9161
2025-09-14,CNY,KZT,75.9167
2025-09-15,CNY,KZT,75.9284
2025-09-16,CNY,KZT,75.9532
2025-09-17,CNY,KZT,76.0365
2025-09-18,CNY,KZT,76.1805
2025-09-19,CNY,KZT,76.1352
2025-09-20,CNY,KZT,76.0998
2025-09-21,CNY,KZT,76.0988
2025-09-22,CNY,KZT,76.3446
2025-09-23,CNY,KZT,76.5329
2025-09-24,CNY,KZT,76.2698
2025-09-25,CNY,KZT,76.0558
2025-09-26,CNY,KZT,76.3277
2025-09-27,CNY,KZT,76.2289
2025-09-28,CNY,KZT,76.2294
2025-09-29,CNY,KZT,76.713
2025-09-30,CNY,KZT,77.1032
2025-10-01,CNY,KZT,77.0356
2025-10-02,CNY,KZT,76.8731
2025-10-03,CNY,KZT,76.8678
2025-10-04,CNY,KZT,76.8823
2025-10-05,CNY,KZT,76.8823
2025-10-06,CNY,KZT,76.625
2025-10-07,CNY,KZT,76.081
2025-10-08,CNY,KZT,75.933
2025-10-09,CNY,KZT,76.0193
2025-10-10,CNY,KZT,75.7412
2025-10-11,CNY,KZT,75.3378
2025-10-12,CNY,KZT,75.344
2025-10-13,CNY,KZT,75.4146
2025-10-14,CNY,KZT,75.5556
2025-10-15,CNY,KZT,75.514
2025-10-16,CNY,KZT,75.4395
2025-10-17,CNY,KZT,75.3524
2025-10-18,CNY,KZT,75.6936
2025-10-19,CNY,KZT,75.6937
2025-10-20,CNY,KZT,75.5952
2025-10-21,CNY,KZT,75.6236
2025-10-22,CNY,KZT,75.6049
2025-10-23,CNY,KZT,75.4999
2025-10-24,CNY,KZT,75.4902
2025-10-25,CNY,KZT,75.5606
2025-10-26,CNY,KZT,75.5568
2025-10-27,CNY,KZT,75.5836
2025-10-28,CNY,KZT,75.3684
2025-10-29,CNY,KZT,74.769
2025-10-30,CNY,KZT,74.586
2025-10-31,CNY,KZT,74.5804
2025-11-01,CNY,KZT,74.5268
2025-11-02,CNY,KZT,74.5168
2025-11-03,CNY,KZT,74.0582
2025-11-04,CNY,KZT,73.6456
2025-11-05,CNY,KZT,73.631
2025-11-06,CNY,KZT,73.8346
2025-11-07,CNY,KZT,73.7824
2025-11-08,CNY,KZT,73.7094
2025-11-09,CNY,KZT,73.7086
2025-11-10,CNY,KZT,73.6061
2025-11-11,CNY,KZT,73.7138
2025-11-12,CNY,KZT,73.7588
2025-11-13,CNY,KZT,73.7429
2025-11-14,CNY,KZT,73.7053
2025-11-15,CNY,KZT,73.8125
2025-11-16,CNY,KZT,73.8172
2025-11-17,CNY,KZT,73.683
2025-11-18,CNY,KZT,73.3114
2025-11-19,CNY,KZT,73.046
2025-11-20,CNY,KZT,73.0377
2025-11-21,CNY,KZT,73.0834
2025-11-22,CNY,KZT,73.2546
2025-11-23,CNY,KZT,73.2572
2025-11-24,CNY,KZT,73.2008
2025-11-25,CNY,KZT,73.1741
2025-11-26,CNY,KZT,73.1489
2025-11-27,CNY,KZT,72.9863
2025-11-28,CNY,KZT,72.6462
2025-11-29,CNY,KZT,72.492
2025-11-30,CNY,KZT,72.4854
2025-12-01,CNY,KZT,72.3112
2025-12-02,CNY,KZT,71.9722
2025-12-03,CNY,KZT,71.3394
2025-12-04,CNY,KZT,71.277
2025-12-05,CNY,KZT,71.5162
2025-12-06,CNY,KZT,71.5023
2025-12-07,CNY,KZT,71.5055
2025-12-08,CNY,KZT,71.9425
2025-12-09,CNY,KZT,72.7232
2025-12-10,CNY,KZT,73.236
2025-12-11,CNY,KZT,73.4578
2025-12-12,CNY,KZT,73.8268
2025-12-13,CNY,KZT,73.9066
2025-12-14,CNY,KZT,73.9049
2025-12-15,CNY,KZT,73.4852
2025-12-16,CNY,KZT,73.1888
2025-12-17,CNY,KZT,73.103
2025-12-18,CNY,KZT,73.101
2025-12-19,CNY,KZT,73.413
2025-12-20,CNY,KZT,73.5012
