date,base,quote,rate
2025-06-24,CNY,USD,0.13936
2025-06-25,CNY,USD,0.139411
2025-06-26,CNY,USD,0.139442
2025-06-27,CNY,USD,0.13947
2025-06-28,CNY,USD,0.139422
2025-06-29,CNY,USD,0.139422
2025-06-30,CNY,USD,0.139526
2025-07-01,CNY,USD,0.139586
2025-07-02,CNY,USD,0.13955
2025-07-03,CNY,USD,0.139555
2025-07-04,CNY,USD,0.139564
2025-07-05,CNY,USD,0.13956
2025-07-06,CNY,USD,0.13956
2025-07-07,CNY,USD,0.139446
2025-07-08,CNY,USD,0.139387
2025-07-09,CNY,USD,0.139314
2025-07-10,CNY,USD,0.139316
2025-07-11,CNY,USD,0.139441
2025-07-12,CNY,USD,0.139495
2025-07-13,CNY,USD,0.139495
2025-07-14,CNY,USD,0.1395
2025-07-15,CNY,USD,0.139447
2025-07-16,CNY,USD,0.139344
2025-07-17,CNY,USD,0.139271
2025-07-18,CNY,USD,0.139276
2025-07-19,CNY,USD,0.139318
2025-07-20,CNY,USD,0.139316
2025-07-21,CNY,USD,0.139362
2025-07-22,CNY,USD,0.13939
2025-07-23,CNY,USD,0.139555
2025-07-24,CNY,USD,0.139726
2025-07-25,CNY,USD,0.139656
2025-07-26,CNY,USD,0.13962
2025-07-27,CNY,USD,0.13962
2025-07-28,CNY,USD,0.139501
2025-07-29,CNY,USD,0.139326
2025-07-30,CNY,USD,0.139252
2025-07-31,CNY,USD,0.139084
2025-08-01,CNY,USD,0.138846
2025-08-02,CNY,USD,0.138842
2025-08-03,CNY,USD,0.138832
2025-08-04,CNY,USD,0.13911
2025-08-05,CNY,USD,0.139229
2025-08-06,CNY,USD,0.13918
2025-08-07,CNY,USD,0.139248
2025-08-08,CNY,USD,0.139238
2025-08-09,CNY,USD,0.13926
2025-08-10,CNY,USD,0.13926
2025-08-11,CNY,USD,0.139192
2025-08-12,CNY,USD,0.13917
2025-08-13,CNY,USD,0.139332
2025-08-14,CNY,USD,0.139372
2025-08-15,CNY,USD,0.13926
2025-08-16,CNY,USD,0.139236
2025-08-17,CNY,USD,0.139236
2025-08-18,CNY,USD,0.139235
2025-08-19,CNY,USD,0.139216
2025-08-20,CNY,USD,0.139292
2025-08-21,CNY,USD,0.139323
2025-08-22,CNY,USD,0.139358
2025-08-23,CNY,USD,0.13952
2025-08-24,CNY,USD,0.13952
2025-08-25,CNY,USD,0.139684
2025-08-26,CNY,USD,0.139786
2025-08-27,CNY,USD,0.139767
2025-08-28,CNY,USD,0.139958
2025-08-29,CNY,USD,0.140095
2025-08-30,CNY,USD,0.140238
2025-08-31,CNY,USD,0.140238
2025-09-01,CNY,USD,0.140194
2025-09-02,CNY,USD,0.140092
2025-09-03,CNY,USD,0.140016
2025-09-04,CNY,USD,0.140022
2025-09-05,CNY,USD,0.140108
2025-09-06,CNY,USD,0.140196
2025-09-07,CNY,USD,0.140192
2025-09-08,CNY,USD,0.140222
2025-09-09,CNY,USD,0.14034
2025-09-10,CNY,USD,0.140412
2025-09-11,CNY,USD,0.140436
2025-09-12,CNY,USD,0.140416
2025-09-13,CNY,USD,0.140359
2025-09-14,CNY,USD,0.140359
2025-09-15,CNY,USD,0.140413
2025-09-16,CNY,USD,0.140514
2025-09-17,CNY,USD,0.140672
2025-09-18,CNY,USD,0.140688
2025-09-19,CNY,USD,0.140566
2025-09-20,CNY,USD,0.140558
2025-09-21,CNY,USD,0.140556
2025-09-22,CNY,USD,0.140568
2025-09-23,CNY,USD,0.140578
2025-09-24,CNY,USD,0.140416
2025-09-25,CNY,USD,0.140234
2025-09-26,CNY,USD,0.140164
2025-09-27,CNY,USD,0.140167
2025-09-28,CNY,USD,0.140168
2025-09-29,CNY,USD,0.140349
2025-09-30,CNY,USD,0.140444
2025-10-01,CNY,USD,0.140446
2025-10-02,CNY,USD,0.140453
2025-10-03,CNY,USD,0.140454
2025-10-04,CNY,USD,0.140459
2025-10-05,CNY,USD,0.140459
