date,base,quote,rate
2020-12-19,EUR,CHF,1.08235
2020-12-20,EUR,CHF,1.08235
2020-12-21,EUR,CHF,1.08215
2020-12-22,EUR,CHF,1.0831
2020-12-23,EUR,CHF,1.08298
2020-12-24,EUR,CHF,1.08453
2020-12-25,EUR,CHF,1.08539
2020-12-26,EUR,CHF,1.08539
2020-12-27,EUR,CHF,1.0854
2020-12-28,EUR,CHF,1.0866
2020-12-29,EUR,CHF,1.08477
2020-12-30,EUR,CHF,1.08454
2020-12-31,EUR,CHF,1.08233
2021-01-01,EUR,CHF,1.08091
2021-01-02,EUR,CHF,1.08091
2021-01-03,EUR,CHF,1.08096
2021-01-04,EUR,CHF,1.08123
2021-01-05,EUR,CHF,1.08008
2021-01-06,EUR,CHF,1.08174
2021-01-07,EUR,CHF,1.08416
2021-01-08,EUR,CHF,1.08408
2021-01-09,EUR,CHF,1.08213
2021-01-10,EUR,CHF,1.08213
2021-01-11,EUR,CHF,1.08214
2021-01-12,EUR,CHF,1.08203
2021-01-13,EUR,CHF,1.08069
2021-01-14,EUR,CHF,1.07911
2021-01-15,EUR,CHF,1.07736
2021-01-16,EUR,CHF,1.07621
2021-01-17,EUR,CHF,1.07622
2021-01-18,EUR,CHF,1.07593
2021-01-19,EUR,CHF,1.07721
2021-01-20,EUR,CHF,1.07771
2021-01-21,EUR,CHF,1.07727
2021-01-22,EUR,CHF,1.07742
2021-01-23,EUR,CHF,1.0776
2021-01-24,EUR,CHF,1.07759
2021-01-25,EUR,CHF,1.07794
2021-01-26,EUR,CHF,1.07852
2021-01-27,EUR,CHF,1.07688
2021-01-28,EUR,CHF,1.07679
2021-01-29,EUR,CHF,1.07853
2021-01-30,EUR,CHF,1.08112
2021-01-31,EUR,CHF,1.08106
2021-02-01,EUR,CHF,1.08177
2021-02-02,EUR,CHF,1.08144
2021-02-03,EUR,CHF,1.08115
2021-02-04,EUR,CHF,1.08168
2021-02-05,EUR,CHF,1.08218
2021-02-06,EUR,CHF,1.0833
2021-02-07,EUR,CHF,1.08327
2021-02-08,EUR,CHF,1.08329
2021-02-09,EUR,CHF,1.08184
2021-02-10,EUR,CHF,1.08026
2021-02-11,EUR,CHF,1.07963
2021-02-12,EUR,CHF,1.0802
2021-02-13,EUR,CHF,1.08101
2021-02-14,EUR,CHF,1.08101
2021-02-15,EUR,CHF,1.08056
2021-02-16,EUR,CHF,1.07989
2021-02-17,EUR,CHF,1.08085
2021-02-18,EUR,CHF,1.08282
2021-02-19,EUR,CHF,1.08507
2021-02-20,EUR,CHF,1.08629
2021-02-21,EUR,CHF,1.08634
2021-02-22,EUR,CHF,1.08892
2021-02-23,EUR,CHF,1.09406
2021-02-24,EUR,CHF,1.10218
2021-02-25,EUR,CHF,1.10426
2021-02-26,EUR,CHF,1.09883
2021-02-27,EUR,CHF,1.09688
2021-02-28,EUR,CHF,1.09688
2021-03-01,EUR,CHF,1.09988
2021-03-02,EUR,CHF,1.10332
2021-03-03,EUR,CHF,1.10734
2021-03-04,EUR,CHF,1.11103
2021-03-05,EUR,CHF,1.10934
2021-03-06,EUR,CHF,1.10893
2021-03-07,EUR,CHF,1.10896
2021-03-08,EUR,CHF,1.10904
2021-03-09,EUR,CHF,1.10763
