date,base,quote,rate
2020-12-19,EUR,GBP,0.90632
2020-12-20,EUR,GBP,0.906685
2020-12-21,EUR,GBP,0.914306
2020-12-22,EUR,GBP,0.911388
2020-12-23,EUR,GBP,0.906093
2020-12-24,EUR,GBP,0.89939
2020-12-25,EUR,GBP,0.898425
2020-12-26,EUR,GBP,0.898425
2020-12-27,EUR,GBP,0.898522
2020-12-28,EUR,GBP,0.90427
2020-12-29,EUR,GBP,0.907542
2020-12-30,EUR,GBP,0.904627
2020-12-31,EUR,GBP,0.898522
2021-01-01,EUR,GBP,0.894035
2021-01-02,EUR,GBP,0.894035
2021-01-03,EUR,GBP,0.894169
2021-01-04,EUR,GBP,0.899554
2021-01-05,EUR,GBP,0.902956
2021-01-06,EUR,GBP,0.904382
2021-01-07,EUR,GBP,0.904674
2021-01-08,EUR,GBP,0.90191
2021-01-09,EUR,GBP,0.90105
2021-01-10,EUR,GBP,0.90106
2021-01-11,EUR,GBP,0.901079
2021-01-12,EUR,GBP,0.895268
2021-01-13,EUR,GBP,0.891662
2021-01-14,EUR,GBP,0.889588
2021-01-15,EUR,GBP,0.888832
2021-01-16,EUR,GBP,0.88883
2021-01-17,EUR,GBP,0.888828
2021-01-18,EUR,GBP,0.889869
2021-01-19,EUR,GBP,0.889874
2021-01-20,EUR,GBP,0.887446
2021-01-21,EUR,GBP,0.885691
2021-01-22,EUR,GBP,0.889326
2021-01-23,EUR,GBP,0.88953
2021-01-24,EUR,GBP,0.889505
2021-01-25,EUR,GBP,0.88826
2021-01-26,EUR,GBP,0.887196
2021-01-27,EUR,GBP,0.884212
2021-01-28,EUR,GBP,0.884746
2021-01-29,EUR,GBP,0.884372
2021-01-30,EUR,GBP,0.88561
2021-01-31,EUR,GBP,0.885566
2021-02-01,EUR,GBP,0.882744
2021-02-02,EUR,GBP,0.881592
2021-02-03,EUR,GBP,0.881257
2021-02-04,EUR,GBP,0.879398
2021-02-05,EUR,GBP,0.875552
2021-02-06,EUR,GBP,0.877
2021-02-07,EUR,GBP,0.877008
2021-02-08,EUR,GBP,0.87725
2021-02-09,EUR,GBP,0.877344
2021-02-10,EUR,GBP,0.876515
2021-02-11,EUR,GBP,0.877176
2021-02-12,EUR,GBP,0.876978
2021-02-13,EUR,GBP,0.875075
2021-02-14,EUR,GBP,0.875038
2021-02-15,EUR,GBP,0.872704
2021-02-16,EUR,GBP,0.871436
2021-02-17,EUR,GBP,0.869708
