date,base,quote,rate
2020-12-19,EUR,HKD,9.50187
2020-12-20,EUR,HKD,9.50004
2020-12-21,EUR,HKD,9.46361
2020-12-22,EUR,HKD,9.46316
2020-12-23,EUR,HKD,9.44772
2020-12-24,EUR,HKD,9.4546
2020-12-25,EUR,HKD,9.4605
2020-12-26,EUR,HKD,9.4885
2020-12-27,EUR,HKD,9.48576
2020-12-28,EUR,HKD,9.47046
2020-12-29,EUR,HKD,9.49483
2020-12-30,EUR,HKD,9.52277
2020-12-31,EUR,HKD,9.51034
2021-01-01,EUR,HKD,9.45584
2021-01-02,EUR,HKD,9.46441
2021-01-03,EUR,HKD,9.46643
2021-01-04,EUR,HKD,9.50867
2021-01-05,EUR,HKD,9.51932
2021-01-06,EUR,HKD,9.54724
2021-01-07,EUR,HKD,9.52735
2021-01-08,EUR,HKD,9.49272
2021-01-09,EUR,HKD,9.47972
2021-01-10,EUR,HKD,9.47881
2021-01-11,EUR,HKD,9.43614
2021-01-12,EUR,HKD,9.4342
2021-01-13,EUR,HKD,9.4466
2021-01-14,EUR,HKD,9.421
2021-01-15,EUR,HKD,9.39556
2021-01-16,EUR,HKD,9.36602
2021-01-17,EUR,HKD,9.36602
2021-01-18,EUR,HKD,9.36081
2021-01-19,EUR,HKD,9.39218
2021-01-20,EUR,HKD,9.3968
2021-01-21,EUR,HKD,9.41318
2021-01-22,EUR,HKD,9.43458
2021-01-23,EUR,HKD,9.43634
2021-01-24,EUR,HKD,9.43601
2021-01-25,EUR,HKD,9.42219
2021-01-26,EUR,HKD,9.41564
2021-01-27,EUR,HKD,9.40084
2021-01-28,EUR,HKD,9.38916
2021-01-29,EUR,HKD,9.3995
2021-01-30,EUR,HKD,9.41099
2021-01-31,EUR,HKD,9.41031
2021-02-01,EUR,HKD,9.37752
2021-02-02,EUR,HKD,9.34177
2021-02-03,EUR,HKD,9.32574
2021-02-04,EUR,HKD,9.2972
2021-02-05,EUR,HKD,9.30205
2021-02-06,EUR,HKD,9.34116
2021-02-07,EUR,HKD,9.34091
2021-02-08,EUR,HKD,9.33508
2021-02-09,EUR,HKD,9.37554
2021-02-10,EUR,HKD,9.40027
2021-02-11,EUR,HKD,9.40263
2021-02-12,EUR,HKD,9.3938
2021-02-13,EUR,HKD,9.39674
2021-02-14,EUR,HKD,9.39692
2021-02-15,EUR,HKD,9.40546
2021-02-16,EUR,HKD,9.40343
2021-02-17,EUR,HKD,9.35138
2021-02-18,EUR,HKD,9.35494
2021-02-19,EUR,HKD,9.39241
2021-02-20,EUR,HKD,9.39551
2021-02-21,EUR,HKD,9.3957
2021-02-22,EUR,HKD,9.41012
2021-02-23,EUR,HKD,9.42596
2021-02-24,EUR,HKD,9.42404
2021-02-25,EUR,HKD,9.45518
2021-02-26,EUR,HKD,9.40094
2021-02-27,EUR,HKD,9.36399
2021-02-28,EUR,HKD,9.36446
2021-03-01,EUR,HKD,9.35477
2021-03-02,EUR,HKD,9.34394
2021-03-03,EUR,HKD,9.36677
2021-03-04,EUR,HKD,9.33072
2021-03-05,EUR,HKD,9.26416
2021-03-06,EUR,HKD,9.24988
2021-03-07,EUR,HKD,9.25044
2021-03-08,EUR,HKD,9.22718
2021-03-09,EUR,HKD,9.22584
2021-03-10,EUR,HKD,9.23583
2021-03-11,EUR,HKD,9.27665
2021-03-12,EUR,HKD,9.27468
2021-03-13,EUR,HKD,9.27832
2021-03-14,EUR,HKD,9.27812
2021-03-15,EUR,HKD,9.26548
2021-03-16,EUR,HKD,9.25561
2021-03-17,EUR,HKD,9.25804
2021-03-18,EUR,HKD,9.2717
2021-03-19,EUR,HKD,9.24658
2021-03-20,EUR,HKD,9.24352
2021-03-21,EUR,HKD,9.24158
2021-03-22,EUR,HKD,9.25196
2021-03-23,EUR,HKD,9.23352
2021-03-24,EUR,HKD,9.18995
2021-03-25,EUR,HKD,9.16602
2021-03-26,EUR,HKD,9.1568
2021-03-27,EUR,HKD,9.16242
2021-03-28,EUR,HKD,9.16224
2021-03-29,EUR,HKD,9.15346
2021-03-30,EUR,HKD,9.12619
2021-03-31,EUR,HKD,9.11776
2021-04-01,EUR,HKD,9.13546
2021-04-02,EUR,HKD,9.152
2021-04-03,EUR,HKD,9.14555
2021-04-04,EUR,HKD,9.1456
2021-04-05,EUR,HKD,9.1613
2021-04-06,EUR,HKD,9.20178
2021-04-07,EUR,HKD,9.24477
2021-04-08,EUR,HKD,9.25072
2021-04-09,EUR,HKD,9.2543
2021-04-10,EUR,HKD,9.2564
2021-04-11,EUR,HKD,9.2562
2021-04-12,EUR,HKD,9.25444
2021-04-13,EUR,HKD,9.2645
2021-04-14,EUR,HKD,9.29662
2021-04-15,EUR,HKD,9.2997
2021-04-16,EUR,HKD,9.30412
2021-04-17,EUR,HKD,9.31218
2021-04-18,EUR,HKD,9.31125
2021-04-19,EUR,HKD,9.32966
2021-04-20,EUR,HKD,9.35262
2021-04-21,EUR,HKD,9.33518
2021-04-22,EUR,HKD,9.33527
2021-04-23,EUR,HKD,9.35897
2021-04-24,EUR,HKD,9.38719
2021-04-25,EUR,HKD,9.38692
2021-04-26,EUR,HKD,9.38442
2021-04-27,EUR,HKD,9.37444
2021-04-28,EUR,HKD,9.384
2021-04-29,EUR,HKD,9.41214
2021-04-30,EUR,HKD,9.37554
2021-05-01,EUR,HKD,9.33626
2021-05-02,EUR,HKD,9.33697
2021-05-03,EUR,HKD,9.35663
2021-05-04,EUR,HKD,9.3397
2021-05-05,EUR,HKD,9.32798
2021-05-06,EUR,HKD,9.3523
2021-05-07,EUR,HKD,9.40518
2021-05-08,EUR,HKD,9.44624
2021-05-09,EUR,HKD,9.44677
2021-05-10,EUR,HKD,9.4394
2021-05-11,EUR,HKD,9.43848
2021-05-12,EUR,HKD,9.40266
2021-05-13,EUR,HKD,9.3827
2021-05-14,EUR,HKD,9.41246
2021-05-15,EUR,HKD,9.43412
2021-05-16,EUR,HKD,9.43418
2021-05-17,EUR,HKD,9.43433
2021-05-18,EUR,HKD,9.47586
2021-05-19,EUR,HKD,9.48043
2021-05-20,EUR,HKD,9.47332
2021-05-21,EUR,HKD,9.47618
2021-05-22,EUR,HKD,9.45772
2021-05-23,EUR,HKD,9.45758
2021-05-24,EUR,HKD,9.47576
2021-05-25,EUR,HKD,9.50429
2021-05-26,EUR,HKD,9.48992
2021-05-27,EUR,HKD,9.46459
2021-05-28,EUR,HKD,9.45643
2021-05-29,EUR,HKD,9.46409
2021-05-30,EUR,HKD,9.46422
2021-05-31,EUR,HKD,9.47476
2021-06-01,EUR,HKD,9.48807
2021-06-02,EUR,HKD,9.47107
2021-06-03,EUR,HKD,9.43852
2021-06-04,EUR,HKD,9.41768
2021-06-05,EUR,HKD,9.43756
2021-06-06,EUR,HKD,9.43734
2021-06-07,EUR,HKD,9.44581
2021-06-08,EUR,HKD,9.44982
2021-06-09,EUR,HKD,9.45392
2021-06-10,EUR,HKD,9.44502
2021-06-11,EUR,HKD,9.42261
2021-06-12,EUR,HKD,9.39788
2021-06-13,EUR,HKD,9.39794
2021-06-14,EUR,HKD,9.4026
2021-06-15,EUR,HKD,9.41148
2021-06-16,EUR,HKD,9.3871
2021-06-17,EUR,HKD,9.27516
2021-06-18,EUR,HKD,9.23182
2021-06-19,EUR,HKD,9.20994
2021-06-20,EUR,HKD,9.21044
2021-06-21,EUR,HKD,9.23471
2021-06-22,EUR,HKD,9.25192
2021-06-23,EUR,HKD,9.268
2021-06-24,EUR,HKD,9.2645
2021-06-25,EUR,HKD,9.26866
2021-06-26,EUR,HKD,9.26469
2021-06-27,EUR,HKD,9.26478
2021-06-28,EUR,HKD,9.25863
2021-06-29,EUR,HKD,9.24224
2021-06-30,EUR,HKD,9.22432
2021-07-01,EUR,HKD,9.20394
2021-07-02,EUR,HKD,9.20062
2021-07-03,EUR,HKD,9.21495
2021-07-04,EUR,HKD,9.2147
2021-07-05,EUR,HKD,9.21541
2021-07-06,EUR,HKD,9.19986
2021-07-07,EUR,HKD,9.1755
2021-07-08,EUR,HKD,9.18666
2021-07-09,EUR,HKD,9.2093
2021-07-10,EUR,HKD,9.22518
2021-07-11,EUR,HKD,9.2249
2021-07-12,EUR,HKD,9.21402
2021-07-13,EUR,HKD,9.18476
2021-07-14,EUR,HKD,9.1712
2021-07-15,EUR,HKD,9.18264
2021-07-16,EUR,HKD,9.1724
2021-07-17,EUR,HKD,9.17031
2021-07-18,EUR,HKD,9.17072
2021-07-19,EUR,HKD,9.16499
2021-07-20,EUR,HKD,9.15812
2021-07-21,EUR,HKD,9.15806
2021-07-22,EUR,HKD,9.15979
2021-07-23,EUR,HKD,9.14576
2021-07-24,EUR,HKD,9.14601
2021-07-25,EUR,HKD,9.14619
2021-07-26,EUR,HKD,9.16974
2021-07-27,EUR,HKD,9.18908
2021-07-28,EUR,HKD,9.19634
2021-07-29,EUR,HKD,9.22984
2021-07-30,EUR,HKD,9.23238
2021-07-31,EUR,HKD,9.2234
2021-08-01,EUR,HKD,9.22325
2021-08-02,EUR,HKD,9.23191
2021-08-03,EUR,HKD,9.23349
2021-08-04,EUR,HKD,9.21906
2021-08-05,EUR,HKD,9.20598
2021-08-06,EUR,HKD,9.17276
2021-08-07,EUR,HKD,9.15088
2021-08-08,EUR,HKD,9.15021
2021-08-09,EUR,HKD,9.1454
2021-08-10,EUR,HKD,9.12574
2021-08-11,EUR,HKD,9.12494
2021-08-12,EUR,HKD,9.13274
2021-08-13,EUR,HKD,9.15702
2021-08-14,EUR,HKD,9.18034
2021-08-15,EUR,HKD,9.18028
2021-08-16,EUR,HKD,9.17219
2021-08-17,EUR,HKD,9.14956
2021-08-18,EUR,HKD,9.12336
2021-08-19,EUR,HKD,9.10278
2021-08-20,EUR,HKD,9.10379
2021-08-21,EUR,HKD,9.11488
2021-08-22,EUR,HKD,9.11453
2021-08-23,EUR,HKD,9.13834
2021-08-24,EUR,HKD,9.14849
2021-08-25,EUR,HKD,9.1481
2021-08-26,EUR,HKD,9.15783
2021-08-27,EUR,HKD,9.169
2021-08-28,EUR,HKD,9.18586
2021-08-29,EUR,HKD,9.186
2021-08-30,EUR,HKD,9.18861
2021-08-31,EUR,HKD,9.19436
2021-09-01,EUR,HKD,9.19628
2021-09-02,EUR,HKD,9.2154
2021-09-03,EUR,HKD,9.23354
2021-09-04,EUR,HKD,9.23232
2021-09-05,EUR,HKD,9.23254
2021-09-06,EUR,HKD,9.22662
2021-09-07,EUR,HKD,9.22053
2021-09-08,EUR,HKD,9.19658
2021-09-09,EUR,HKD,9.1962
2021-09-10,EUR,HKD,9.19703
2021-09-11,EUR,HKD,9.18611
2021-09-12,EUR,HKD,9.18636
2021-09-13,EUR,HKD,9.17847
2021-09-14,EUR,HKD,9.19062
2021-09-15,EUR,HKD,9.19189
2021-09-16,EUR,HKD,9.16832
2021-09-17,EUR,HKD,9.14796
2021-09-18,EUR,HKD,9.12507
2021-09-19,EUR,HKD,9.12534
2021-09-20,EUR,HKD,9.12572
2021-09-21,EUR,HKD,9.13302
2021-09-22,EUR,HKD,9.12656
2021-09-23,EUR,HKD,9.1272
2021-09-24,EUR,HKD,9.1294
2021-09-25,EUR,HKD,9.12542
2021-09-26,EUR,HKD,9.1254
2021-09-27,EUR,HKD,9.11184
2021-09-28,EUR,HKD,9.09392
2021-09-29,EUR,HKD,9.06298
2021-09-30,EUR,HKD,9.02454
2021-10-01,EUR,HKD,9.02186
2021-10-02,EUR,HKD,9.02565
2021-10-03,EUR,HKD,9.02678
2021-10-04,EUR,HKD,9.04366
2021-10-05,EUR,HKD,9.03096
2021-10-06,EUR,HKD,9.00198
2021-10-07,EUR,HKD,8.99816
2021-10-08,EUR,HKD,9.00137
2021-10-09,EUR,HKD,9.00995
2021-10-10,EUR,HKD,9.00954
2021-10-11,EUR,HKD,8.99983
2021-10-12,EUR,HKD,8.9846
2021-10-13,EUR,HKD,8.9993
2021-10-14,EUR,HKD,9.02213
2021-10-15,EUR,HKD,9.02564
2021-10-16,EUR,HKD,9.02134
2021-10-17,EUR,HKD,9.02149
2021-10-18,EUR,HKD,9.02148
2021-10-19,EUR,HKD,9.05466
2021-10-20,EUR,HKD,9.05218
2021-10-21,EUR,HKD,9.05101
2021-10-22,EUR,HKD,9.0459
2021-10-23,EUR,HKD,9.05172
2021-10-24,EUR,HKD,9.05137
2021-10-25,EUR,HKD,9.03889
2021-10-26,EUR,HKD,9.02141
2021-10-27,EUR,HKD,9.02496
2021-10-28,EUR,HKD,9.05029
2021-10-29,EUR,HKD,9.03776
2021-10-30,EUR,HKD,8.99316
2021-10-31,EUR,HKD,8.99322
2021-11-01,EUR,HKD,9.00864
2021-11-02,EUR,HKD,9.02124
2021-11-03,EUR,HKD,9.01924
2021-11-04,EUR,HKD,9.00215
2021-11-05,EUR,HKD,8.99047
2021-11-06,EUR,HKD,9.00306
2021-11-07,EUR,HKD,9.00293
2021-11-08,EUR,HKD,9.01252
2021-11-09,EUR,HKD,9.02844
2021-11-10,EUR,HKD,8.9938
2021-11-11,EUR,HKD,8.93318
2021-11-12,EUR,HKD,8.91712
2021-11-13,EUR,HKD,8.91503
2021-11-14,EUR,HKD,8.91512
2021-11-15,EUR,HKD,8.903
2021-11-16,EUR,HKD,8.84242
2021-11-17,EUR,HKD,8.81128
2021-11-18,EUR,HKD,8.83572
2021-11-19,EUR,HKD,8.8177
2021-11-20,EUR,HKD,8.78932
2021-11-21,EUR,HKD,8.78934
2021-11-22,EUR,HKD,8.77464
2021-11-23,EUR,HKD,8.76586
2021-11-24,EUR,HKD,8.74556
2021-11-25,EUR,HKD,8.7435
2021-11-26,EUR,HKD,8.79001
2021-11-27,EUR,HKD,8.82567
2021-11-28,EUR,HKD,8.82448
2021-11-29,EUR,HKD,8.7971
2021-11-30,EUR,HKD,8.83178
2021-12-01,EUR,HKD,8.82778
2021-12-02,EUR,HKD,8.82045
2021-12-03,EUR,HKD,8.80736
2021-12-04,EUR,HKD,8.8201
2021-12-05,EUR,HKD,8.81961
2021-12-06,EUR,HKD,8.80382
2021-12-07,EUR,HKD,8.78775
2021-12-08,EUR,HKD,8.81776
2021-12-09,EUR,HKD,8.82043
2021-12-10,EUR,HKD,8.8116
2021-12-11,EUR,HKD,8.8257
2021-12-12,EUR,HKD,8.8256
2021-12-13,EUR,HKD,8.80563
2021-12-14,EUR,HKD,8.80144
2021-12-15,EUR,HKD,8.79214
2021-12-16,EUR,HKD,8.82494
2021-12-17,EUR,HKD,8.81716
2021-12-18,EUR,HKD,8.76915
2021-12-19,EUR,HKD,8.76914
2021-12-20,EUR,HKD,8.79106
2021-12-21,EUR,HKD,8.8006
2021-12-22,EUR,HKD,8.81504
2021-12-23,EUR,HKD,8.8343
2021-12-24,EUR,HKD,8.83247
2021-12-25,EUR,HKD,8.83034
2021-12-26,EUR,HKD,8.8302
2021-12-27,EUR,HKD,8.83015
2021-12-28,EUR,HKD,8.82756
2021-12-29,EUR,HKD,8.8249
2021-12-30,EUR,HKD,8.832
2021-12-31,EUR,HKD,8.84369
2022-01-01,EUR,HKD,8.86515
2022-01-02,EUR,HKD,8.86535
2022-01-03,EUR,HKD,8.83381
2022-01-04,EUR,HKD,8.80354
2022-01-05,EUR,HKD,8.81554
2022-01-06,EUR,HKD,8.81764
2022-01-07,EUR,HKD,8.8318
2022-01-08,EUR,HKD,8.85938
2022-01-09,EUR,HKD,8.85904
2022-01-10,EUR,HKD,8.83262
2022-01-11,EUR,HKD,8.84609
2022-01-12,EUR,HKD,8.88294
2022-01-13,EUR,HKD,8.92437
2022-01-14,EUR,HKD,8.91052
2022-01-15,EUR,HKD,8.88683
2022-01-16,EUR,HKD,8.88658
2022-01-17,EUR,HKD,8.88886
2022-01-18,EUR,HKD,8.8613
2022-01-19,EUR,HKD,8.83454
2022-01-20,EUR,HKD,8.83081
2022-01-21,EUR,HKD,8.82715
2022-01-22,EUR,HKD,8.83324
2022-01-23,EUR,HKD,8.83314
2022-01-24,EUR,HKD,8.81494
2022-01-25,EUR,HKD,8.7957
2022-01-26,EUR,HKD,8.78458
2022-01-27,EUR,HKD,8.71014
2022-01-28,EUR,HKD,8.68589
2022-01-29,EUR,HKD,8.68709
2022-01-30,EUR,HKD,8.68695
2022-01-31,EUR,HKD,8.72354
2022-02-01,EUR,HKD,8.77178
2022-02-02,EUR,HKD,8.80407
2022-02-03,EUR,HKD,8.84704
2022-02-04,EUR,HKD,8.9235
2022-02-05,EUR,HKD,8.9174
2022-02-06,EUR,HKD,8.91793
2022-02-07,EUR,HKD,8.91058
2022-02-08,EUR,HKD,8.90097
2022-02-09,EUR,HKD,8.90485
2022-02-10,EUR,HKD,8.91183
2022-02-11,EUR,HKD,8.87956
2022-02-12,EUR,HKD,8.85215
2022-02-13,EUR,HKD,8.8523
2022-02-14,EUR,HKD,8.83338
2022-02-15,EUR,HKD,8.84814
2022-02-16,EUR,HKD,8.86932
2022-02-17,EUR,HKD,8.86577
2022-02-18,EUR,HKD,8.85382
2022-02-19,EUR,HKD,8.83128
2022-02-20,EUR,HKD,8.83119
2022-02-21,EUR,HKD,8.84745
2022-02-22,EUR,HKD,8.83584
2022-02-23,EUR,HKD,8.83926
2022-02-24,EUR,HKD,8.75142
2022-02-25,EUR,HKD,8.76416
2022-02-26,EUR,HKD,8.80218
2022-02-27,EUR,HKD,8.79482
2022-02-28,EUR,HKD,8.74536
2022-03-01,EUR,HKD,8.72723
2022-03-02,EUR,HKD,8.68031
2022-03-03,EUR,HKD,8.65953
2022-03-04,EUR,HKD,8.57616
2022-03-05,EUR,HKD,8.538
2022-03-06,EUR,HKD,8.53652
2022-03-07,EUR,HKD,8.49508
2022-03-08,EUR,HKD,8.51498
2022-03-09,EUR,HKD,8.59444
2022-03-10,EUR,HKD,8.62688
2022-03-11,EUR,HKD,8.58444
2022-03-12,EUR,HKD,8.54337
2022-03-13,EUR,HKD,8.54477
2022-03-14,EUR,HKD,8.56875
2022-03-15,EUR,HKD,8.58714
2022-03-16,EUR,HKD,8.59919
2022-03-17,EUR,HKD,8.6517
2022-03-18,EUR,HKD,8.65074
2022-03-19,EUR,HKD,8.64644
2022-03-20,EUR,HKD,8.64639
2022-03-21,EUR,HKD,8.63728
2022-03-22,EUR,HKD,8.61802
2022-03-23,EUR,HKD,8.61528
2022-03-24,EUR,HKD,8.59966
2022-03-25,EUR,HKD,8.61489
2022-03-26,EUR,HKD,8.59734
2022-03-27,EUR,HKD,8.59744
2022-03-28,EUR,HKD,8.59053
2022-03-29,EUR,HKD,8.64936
2022-03-30,EUR,HKD,8.71668
2022-03-31,EUR,HKD,8.7036
2022-04-01,EUR,HKD,8.6593
2022-04-02,EUR,HKD,8.65386
2022-04-03,EUR,HKD,8.65348
2022-04-04,EUR,HKD,8.6249
2022-04-05,EUR,HKD,8.57636
2022-04-06,EUR,HKD,8.54551
2022-04-07,EUR,HKD,8.5406
2022-04-08,EUR,HKD,8.51834
2022-04-09,EUR,HKD,8.52586
2022-04-10,EUR,HKD,8.52806
2022-04-11,EUR,HKD,8.53674
2022-04-12,EUR,HKD,8.50945
2022-04-13,EUR,HKD,8.50504
2022-04-14,EUR,HKD,8.51891
2022-04-15,EUR,HKD,8.47904
2022-04-16,EUR,HKD,8.47981
2022-04-17,EUR,HKD,8.4799
2022-04-18,EUR,HKD,8.46452
2022-04-19,EUR,HKD,8.46048
2022-04-20,EUR,HKD,8.49716
2022-04-21,EUR,HKD,8.51914
2022-04-22,EUR,HKD,8.48268
2022-04-23,EUR,HKD,8.46983
2022-04-24,EUR,HKD,8.47095
2022-04-25,EUR,HKD,8.42714
2022-04-26,EUR,HKD,8.38114
2022-04-27,EUR,HKD,8.31056
2022-04-28,EUR,HKD,8.2506
2022-04-29,EUR,HKD,8.27314
2022-04-30,EUR,HKD,8.27365
2022-05-01,EUR,HKD,8.27376
2022-05-02,EUR,HKD,8.2547
2022-05-03,EUR,HKD,8.258
2022-05-04,EUR,HKD,8.27914
2022-05-05,EUR,HKD,8.29667
2022-05-06,EUR,HKD,8.28178
2022-05-07,EUR,HKD,8.27918
2022-05-08,EUR,HKD,8.27834
2022-05-09,EUR,HKD,8.27152
2022-05-10,EUR,HKD,8.28268
2022-05-11,EUR,HKD,8.27202
2022-05-12,EUR,HKD,8.19276
2022-05-13,EUR,HKD,8.16054
2022-05-14,EUR,HKD,8.17378
2022-05-15,EUR,HKD,8.17288
2022-05-16,EUR,HKD,8.17816
2022-05-17,EUR,HKD,8.24446
2022-05-18,EUR,HKD,8.24799
2022-05-19,EUR,HKD,8.26891
2022-05-20,EUR,HKD,8.29268
2022-05-21,EUR,HKD,8.28954
2022-05-22,EUR,HKD,8.29024
2022-05-23,EUR,HKD,8.35623
2022-05-24,EUR,HKD,8.40601
2022-05-25,EUR,HKD,8.38694
2022-05-26,EUR,HKD,8.40394
2022-05-27,EUR,HKD,8.4243
2022-05-28,EUR,HKD,8.42603
2022-05-29,EUR,HKD,8.42569
2022-05-30,EUR,HKD,8.44874
2022-05-31,EUR,HKD,8.4226
2022-06-01,EUR,HKD,8.38937
2022-06-02,EUR,HKD,8.39637
2022-06-03,EUR,HKD,8.42286
2022-06-04,EUR,HKD,8.40906
2022-06-05,EUR,HKD,8.40922
2022-06-06,EUR,HKD,8.40606
2022-06-07,EUR,HKD,8.3865
2022-06-08,EUR,HKD,8.40457
2022-06-09,EUR,HKD,8.38463
2022-06-10,EUR,HKD,8.29827
2022-06-11,EUR,HKD,8.2565
2022-06-12,EUR,HKD,8.25558
2022-06-13,EUR,HKD,8.20688
2022-06-14,EUR,HKD,8.18708
2022-06-15,EUR,HKD,8.19719
2022-06-16,EUR,HKD,8.22317
2022-06-17,EUR,HKD,8.24631
2022-06-18,EUR,HKD,8.2411
2022-06-19,EUR,HKD,8.24006
2022-06-20,EUR,HKD,8.25675
2022-06-21,EUR,HKD,8.27448
2022-06-22,EUR,HKD,8.272
2022-06-23,EUR,HKD,8.26692
2022-06-24,EUR,HKD,8.2736
2022-06-25,EUR,HKD,8.28474
2022-06-26,EUR,HKD,8.28524
2022-06-27,EUR,HKD,8.29963
2022-06-28,EUR,HKD,8.28271
2022-06-29,EUR,HKD,8.23244
2022-06-30,EUR,HKD,8.20006
2022-07-01,EUR,HKD,8.18962
2022-07-02,EUR,HKD,8.17964
2022-07-03,EUR,HKD,8.18024
2022-07-04,EUR,HKD,8.18622
2022-07-05,EUR,HKD,8.10277
2022-07-06,EUR,HKD,8.0156
2022-07-07,EUR,HKD,7.99032
2022-07-08,EUR,HKD,7.97443
2022-07-09,EUR,HKD,7.9938
2022-07-10,EUR,HKD,7.99299
2022-07-11,EUR,HKD,7.92602
2022-07-12,EUR,HKD,7.87616
2022-07-13,EUR,HKD,7.88814
2022-07-14,EUR,HKD,7.86375
2022-07-15,EUR,HKD,7.89286
2022-07-16,EUR,HKD,7.91546
2022-07-17,EUR,HKD,7.91568
2022-07-18,EUR,HKD,7.95648
2022-07-19,EUR,HKD,8.01293
2022-07-20,EUR,HKD,8.01724
2022-07-21,EUR,HKD,8.00843
2022-07-22,EUR,HKD,8.00349
2022-07-23,EUR,HKD,8.0161
2022-07-24,EUR,HKD,8.01601
2022-07-25,EUR,HKD,8.01986
2022-07-26,EUR,HKD,7.98154
2022-07-27,EUR,HKD,7.96958
2022-07-28,EUR,HKD,7.99253
2022-07-29,EUR,HKD,8.01346
2022-07-30,EUR,HKD,8.02732
2022-07-31,EUR,HKD,8.02629
2022-08-01,EUR,HKD,8.04381
2022-08-02,EUR,HKD,8.0229
2022-08-03,EUR,HKD,7.98302
2022-08-04,EUR,HKD,8.00703
2022-08-05,EUR,HKD,8.01117
2022-08-06,EUR,HKD,7.99388
2022-08-07,EUR,HKD,7.99304
2022-08-08,EUR,HKD,7.99958
2022-08-09,EUR,HKD,8.01758
2022-08-10,EUR,HKD,8.05608
2022-08-11,EUR,HKD,8.09436
2022-08-12,EUR,HKD,8.06004
2022-08-13,EUR,HKD,8.04044
2022-08-14,EUR,HKD,8.04058
2022-08-15,EUR,HKD,7.99716
2022-08-16,EUR,HKD,7.9657
2022-08-17,EUR,HKD,7.97662
2022-08-18,EUR,HKD,7.9546
2022-08-19,EUR,HKD,7.89307
2022-08-20,EUR,HKD,7.87615
2022-08-21,EUR,HKD,7.87602
2022-08-22,EUR,HKD,7.83682
2022-08-23,EUR,HKD,7.80726
2022-08-24,EUR,HKD,7.80873
2022-08-25,EUR,HKD,7.83228
2022-08-26,EUR,HKD,7.83268
2022-08-27,EUR,HKD,7.81948
2022-08-28,EUR,HKD,7.81826
2022-08-29,EUR,HKD,7.82504
2022-08-30,EUR,HKD,7.86006
2022-08-31,EUR,HKD,7.87107
2022-09-01,EUR,HKD,7.83898
2022-09-02,EUR,HKD,7.83006
2022-09-03,EUR,HKD,7.81412
2022-09-04,EUR,HKD,7.81084
2022-09-05,EUR,HKD,7.78762
2022-09-06,EUR,HKD,7.79377
2022-09-07,EUR,HKD,7.79656
2022-09-08,EUR,HKD,7.84252
2022-09-09,EUR,HKD,7.8947
2022-09-10,EUR,HKD,7.88212
2022-09-11,EUR,HKD,7.88558
2022-09-12,EUR,HKD,7.94406
2022-09-13,EUR,HKD,7.90574
2022-09-14,EUR,HKD,7.83976
2022-09-15,EUR,HKD,7.83724
2022-09-16,EUR,HKD,7.84469
2022-09-17,EUR,HKD,7.86204
2022-09-18,EUR,HKD,7.86202
2022-09-19,EUR,HKD,7.84986
2022-09-20,EUR,HKD,7.84786
2022-09-21,EUR,HKD,7.77478
2022-09-22,EUR,HKD,7.72442
2022-09-23,EUR,HKD,7.65759
2022-09-24,EUR,HKD,7.60364
2022-09-25,EUR,HKD,7.6038
