date,base,quote,rate
2025-06-22,EUR,INR,99.7413
2025-06-23,EUR,INR,99.8144
2025-06-24,EUR,INR,99.8888
2025-06-25,EUR,INR,99.9793
2025-06-26,EUR,INR,100.344
2025-06-27,EUR,INR,100.146
2025-06-28,EUR,INR,100.192
2025-06-29,EUR,INR,100.202
2025-06-30,EUR,INR,100.583
2025-07-01,EUR,INR,100.956
2025-07-02,EUR,INR,100.956
2025-07-03,EUR,INR,100.642
2025-07-04,EUR,INR,100.642
2025-07-05,EUR,INR,100.844
2025-07-06,EUR,INR,100.848
2025-07-07,EUR,INR,100.717
2025-07-08,EUR,INR,100.56
2025-07-09,EUR,INR,100.436
2025-07-10,EUR,INR,100.379
2025-07-11,EUR,INR,100.294
2025-07-12,EUR,INR,100.347
2025-07-13,EUR,INR,100.326
2025-07-14,EUR,INR,100.316
2025-07-15,EUR,INR,100.06
2025-07-16,EUR,INR,99.8483
2025-07-17,EUR,INR,99.762
2025-07-18,EUR,INR,100.183
2025-07-19,EUR,INR,100.156
2025-07-20,EUR,INR,100.159
2025-07-21,EUR,INR,100.58
2025-07-22,EUR,INR,101.119
2025-07-23,EUR,INR,101.454
2025-07-24,EUR,INR,101.618
2025-07-25,EUR,INR,101.547
2025-07-26,EUR,INR,101.58
2025-07-27,EUR,INR,101.596
2025-07-28,EUR,INR,101.052
2025-07-29,EUR,INR,100.48
2025-07-30,EUR,INR,100.612
2025-07-31,EUR,INR,100.102
2025-08-01,EUR,INR,100.334
2025-08-02,EUR,INR,101.064
2025-08-03,EUR,INR,101.072
2025-08-04,EUR,INR,101.402
2025-08-05,EUR,INR,101.524
2025-08-06,EUR,INR,101.886
2025-08-07,EUR,INR,102.084
2025-08-08,EUR,INR,102.065
2025-08-09,EUR,INR,102.102
2025-08-10,EUR,INR,102.097
2025-08-11,EUR,INR,101.94
2025-08-12,EUR,INR,102.018
2025-08-13,EUR,INR,102.41
2025-08-14,EUR,INR,102.236
2025-08-15,EUR,INR,102.305
2025-08-16,EUR,INR,102.432
2025-08-17,EUR,INR,102.44
2025-08-18,EUR,INR,102.064
2025-08-19,EUR,INR,101.598
2025-08-20,EUR,INR,101.394
2025-08-21,EUR,INR,101.406
2025-08-22,EUR,INR,101.806
2025-08-23,EUR,INR,102.394
2025-08-24,EUR,INR,102.39
2025-08-25,EUR,INR,102.184
2025-08-26,EUR,INR,102.046
2025-08-27,EUR,INR,101.902
2025-08-28,EUR,INR,102.176
2025-08-29,EUR,INR,102.804
2025-08-30,EUR,INR,103.028
2025-08-31,EUR,INR,103.036
2025-09-01,EUR,INR,103.2
2025-09-02,EUR,INR,102.68
2025-09-03,EUR,INR,102.594
2025-09-04,EUR,INR,102.691
2025-09-05,EUR,INR,103.19
2025-09-06,EUR,INR,103.352
2025-09-07,EUR,INR,103.348
2025-09-08,EUR,INR,103.323
2025-09-09,EUR,INR,103.502
2025-09-10,EUR,INR,103.136
2025-09-11,EUR,INR,103.402
2025-09-12,EUR,INR,103.552
2025-09-13,EUR,INR,103.596
2025-09-14,EUR,INR,103.592
2025-09-15,EUR,INR,103.616
2025-09-16,EUR,INR,104.034
2025-09-17,EUR,INR,104.026
2025-09-18,EUR,INR,103.983
2025-09-19,EUR,INR,103.668
2025-09-20,EUR,INR,103.484
2025-09-21,EUR,INR,103.48
2025-09-22,EUR,INR,103.859
2025-09-23,EUR,INR,104.676
2025-09-24,EUR,INR,104.406
2025-09-25,EUR,INR,103.888
2025-09-26,EUR,INR,103.644
2025-09-27,EUR,INR,103.752
2025-09-28,EUR,INR,103.756
2025-09-29,EUR,INR,104.034
2025-09-30,EUR,INR,104.227
2025-10-01,EUR,INR,104.142
2025-10-02,EUR,INR,104.091
2025-10-03,EUR,INR,104.144
2025-10-04,EUR,INR,104.204
2025-10-05,EUR,INR,104.176
2025-10-06,EUR,INR,103.865
2025-10-07,EUR,INR,103.608
2025-10-08,EUR,INR,103.186
2025-10-09,EUR,INR,103.028
2025-10-10,EUR,INR,102.8
2025-10-11,EUR,INR,103.148
2025-10-12,EUR,INR,103.134
2025-10-13,EUR,INR,102.783
2025-10-14,EUR,INR,102.81
2025-10-15,EUR,INR,102.532
2025-10-16,EUR,INR,102.572
2025-10-17,EUR,INR,102.792
2025-10-18,EUR,INR,102.532
2025-10-19,EUR,INR,102.539
2025-10-20,EUR,INR,102.468
2025-10-21,EUR,INR,102.228
2025-10-22,EUR,INR,101.836
2025-10-23,EUR,INR,101.926
2025-10-24,EUR,INR,102.012
2025-10-25,EUR,INR,102.104
2025-10-26,EUR,INR,102.112
2025-10-27,EUR,INR,102.565
2025-10-28,EUR,INR,102.877
2025-10-29,EUR,INR,102.688
2025-10-30,EUR,INR,102.693
2025-10-31,EUR,INR,102.497
2025-11-01,EUR,INR,102.392
2025-11-02,EUR,INR,102.39
2025-11-03,EUR,INR,102.279
2025-11-04,EUR,INR,101.975
2025-11-05,EUR,INR,101.832
2025-11-06,EUR,INR,102.138
2025-11-07,EUR,INR,102.462
2025-11-08,EUR,INR,102.548
2025-11-09,EUR,INR,102.538
2025-11-10,EUR,INR,102.539
2025-11-11,EUR,INR,102.498
2025-11-12,EUR,INR,102.61
2025-11-13,EUR,INR,103.05
2025-11-14,EUR,INR,103.158
2025-11-15,EUR,INR,103.07
2025-11-16,EUR,INR,103.066
2025-11-17,EUR,INR,102.802
2025-11-18,EUR,INR,102.656
2025-11-19,EUR,INR,102.346
2025-11-20,EUR,INR,102.2
2025-11-21,EUR,INR,102.844
2025-11-22,EUR,INR,103.187
2025-11-23,EUR,INR,103.184
2025-11-24,EUR,INR,102.824
2025-11-25,EUR,INR,102.939
2025-11-26,EUR,INR,103.338
2025-11-27,EUR,INR,103.556
