date,base,quote,rate
2020-12-19,EUR,RUB,89.9962
2020-12-20,EUR,RUB,89.9975
2020-12-21,EUR,RUB,91.1056
2020-12-22,EUR,RUB,91.9738
2020-12-23,EUR,RUB,91.8304
2020-12-24,EUR,RUB,90.8542
2020-12-25,EUR,RUB,90.2028
2020-12-26,EUR,RUB,90.2414
2020-12-27,EUR,RUB,90.2308
2020-12-28,EUR,RUB,90.2184
2020-12-29,EUR,RUB,90.418
2020-12-30,EUR,RUB,91.168
2020-12-31,EUR,RUB,91.2368
2021-01-01,EUR,RUB,90.3704
2021-01-02,EUR,RUB,90.347
2021-01-03,EUR,RUB,90.3628
2021-01-04,EUR,RUB,90.6877
2021-01-05,EUR,RUB,91.3121
2021-01-06,EUR,RUB,91.0149
2021-01-07,EUR,RUB,91.313
2021-01-08,EUR,RUB,90.9552
2021-01-09,EUR,RUB,90.5367
2021-01-10,EUR,RUB,90.5295
2021-01-11,EUR,RUB,90.7376
2021-01-12,EUR,RUB,90.1228
2021-01-13,EUR,RUB,89.7436
2021-01-14,EUR,RUB,89.2858
2021-01-15,EUR,RUB,89.0428
2021-01-16,EUR,RUB,88.8143
2021-01-17,EUR,RUB,88.8236
2021-01-18,EUR,RUB,89.3122
2021-01-19,EUR,RUB,89.3953
2021-01-20,EUR,RUB,89.1606
2021-01-21,EUR,RUB,89.4408
2021-01-22,EUR,RUB,90.8927
2021-01-23,EUR,RUB,91.6321
2021-01-24,EUR,RUB,91.6376
2021-01-25,EUR,RUB,91.5802
2021-01-26,EUR,RUB,91.4544
2021-01-27,EUR,RUB,91.4862
2021-01-28,EUR,RUB,92.0944
2021-01-29,EUR,RUB,92.0681
2021-01-30,EUR,RUB,92.1814
2021-01-31,EUR,RUB,92.17
2021-02-01,EUR,RUB,91.7848
2021-02-02,EUR,RUB,91.4856
2021-02-03,EUR,RUB,91.4424
2021-02-04,EUR,RUB,90.772
2021-02-05,EUR,RUB,89.99
2021-02-06,EUR,RUB,89.9448
2021-02-07,EUR,RUB,89.9434
2021-02-08,EUR,RUB,89.6339
2021-02-09,EUR,RUB,89.5816
2021-02-10,EUR,RUB,89.5505
2021-02-11,EUR,RUB,89.4463
2021-02-12,EUR,RUB,89.5236
2021-02-13,EUR,RUB,89.2695
2021-02-14,EUR,RUB,89.271
2021-02-15,EUR,RUB,89.0334
2021-02-16,EUR,RUB,89.136
2021-02-17,EUR,RUB,89.0199
2021-02-18,EUR,RUB,89.0536
2021-02-19,EUR,RUB,89.6277
2021-02-20,EUR,RUB,89.7156
2021-02-21,EUR,RUB,89.7245
2021-02-22,EUR,RUB,90.2498
2021-02-23,EUR,RUB,90.0731
2021-02-24,EUR,RUB,89.6484
2021-02-25,EUR,RUB,90.14
2021-02-26,EUR,RUB,90.4096
2021-02-27,EUR,RUB,90.0028
2021-02-28,EUR,RUB,90.0132
2021-03-01,EUR,RUB,89.503
2021-03-02,EUR,RUB,89.2642
2021-03-03,EUR,RUB,89.169
2021-03-04,EUR,RUB,88.9448
2021-03-05,EUR,RUB,88.829
2021-03-06,EUR,RUB,88.5818
2021-03-07,EUR,RUB,88.5843
2021-03-08,EUR,RUB,88.397
2021-03-09,EUR,RUB,88.0918
2021-03-10,EUR,RUB,87.8914
2021-03-11,EUR,RUB,87.8679
2021-03-12,EUR,RUB,87.7223
2021-03-13,EUR,RUB,87.564
2021-03-14,EUR,RUB,87.5752
2021-03-15,EUR,RUB,87.2496
2021-03-16,EUR,RUB,86.8158
2021-03-17,EUR,RUB,87.5495
2021-03-18,EUR,RUB,88.2866
2021-03-19,EUR,RUB,88.3152
2021-03-20,EUR,RUB,88.2008
2021-03-21,EUR,RUB,88.1824
2021-03-22,EUR,RUB,88.8908
2021-03-23,EUR,RUB,90.0466
2021-03-24,EUR,RUB,90.3302
2021-03-25,EUR,RUB,90.0082
2021-03-26,EUR,RUB,89.48
2021-03-27,EUR,RUB,89.4594
2021-03-28,EUR,RUB,89.446
2021-03-29,EUR,RUB,89.2698
2021-03-30,EUR,RUB,88.9941
2021-03-31,EUR,RUB,88.7176
2021-04-01,EUR,RUB,89.3233
2021-04-02,EUR,RUB,89.8118
2021-04-03,EUR,RUB,89.89
2021-04-04,EUR,RUB,89.8918
2021-04-05,EUR,RUB,89.9804
2021-04-06,EUR,RUB,90.86
2021-04-07,EUR,RUB,91.8254
2021-04-08,EUR,RUB,91.472
2021-04-09,EUR,RUB,91.8792
2021-04-10,EUR,RUB,92.1346
2021-04-11,EUR,RUB,92.1354
2021-04-12,EUR,RUB,92.1139
2021-04-13,EUR,RUB,91.5348
2021-04-14,EUR,RUB,90.7066
2021-04-15,EUR,RUB,91.5426
2021-04-16,EUR,RUB,90.8742
2021-04-17,EUR,RUB,90.5964
2021-04-18,EUR,RUB,90.595
2021-04-19,EUR,RUB,91.5416
2021-04-20,EUR,RUB,92.2341
2021-04-21,EUR,RUB,92.2866
2021-04-22,EUR,RUB,91.4445
2021-04-23,EUR,RUB,90.5726
2021-04-24,EUR,RUB,90.5736
2021-04-25,EUR,RUB,90.5741
2021-04-26,EUR,RUB,90.6108
2021-04-27,EUR,RUB,90.5084
2021-04-28,EUR,RUB,90.3104
2021-04-29,EUR,RUB,90.2926
2021-04-30,EUR,RUB,90.5398
2021-05-01,EUR,RUB,90.4998
2021-05-02,EUR,RUB,90.4873
2021-05-03,EUR,RUB,90.581
2021-05-04,EUR,RUB,90.1606
2021-05-05,EUR,RUB,89.7996
2021-05-06,EUR,RUB,89.7116
2021-05-07,EUR,RUB,89.6026
2021-05-08,EUR,RUB,89.7078
2021-05-09,EUR,RUB,89.7104
2021-05-10,EUR,RUB,89.9248
2021-05-11,EUR,RUB,90.1018
2021-05-12,EUR,RUB,90.0176
2021-05-13,EUR,RUB,89.7021
2021-05-14,EUR,RUB,89.6668
2021-05-15,EUR,RUB,89.8718
2021-05-16,EUR,RUB,89.8758
2021-05-17,EUR,RUB,89.8233
2021-05-18,EUR,RUB,89.9819
2021-05-19,EUR,RUB,90.0174
2021-05-20,EUR,RUB,89.8639
2021-05-21,EUR,RUB,89.7465
2021-05-22,EUR,RUB,89.6868
2021-05-23,EUR,RUB,89.6854
2021-05-24,EUR,RUB,89.7818
2021-05-25,EUR,RUB,89.9204
2021-05-26,EUR,RUB,89.8598
2021-05-27,EUR,RUB,89.6287
2021-05-28,EUR,RUB,89.4464
2021-05-29,EUR,RUB,89.2374
2021-05-30,EUR,RUB,89.2386
2021-05-31,EUR,RUB,89.5752
2021-06-01,EUR,RUB,89.8147
2021-06-02,EUR,RUB,89.5714
2021-06-03,EUR,RUB,89.0679
2021-06-04,EUR,RUB,88.6982
2021-06-05,EUR,RUB,88.6251
2021-06-06,EUR,RUB,88.6272
2021-06-07,EUR,RUB,88.696
2021-06-08,EUR,RUB,88.369
2021-06-09,EUR,RUB,87.9895
2021-06-10,EUR,RUB,87.7125
2021-06-11,EUR,RUB,87.2676
2021-06-12,EUR,RUB,87.123
2021-06-13,EUR,RUB,87.1304
