date,base,quote,rate
2025-06-24,EUR,USD,1.16076
2025-06-25,EUR,USD,1.16252
2025-06-26,EUR,USD,1.17028
2025-06-27,EUR,USD,1.171
2025-06-28,EUR,USD,1.17185
2025-06-29,EUR,USD,1.17198
2025-06-30,EUR,USD,1.17429
2025-07-01,EUR,USD,1.17924
2025-07-02,EUR,USD,1.1787
2025-07-03,EUR,USD,1.17768
2025-07-04,EUR,USD,1.17749
2025-07-05,EUR,USD,1.17762
2025-07-06,EUR,USD,1.17767
2025-07-07,EUR,USD,1.17388
2025-07-08,EUR,USD,1.17294
2025-07-09,EUR,USD,1.17142
2025-07-10,EUR,USD,1.17147
2025-07-11,EUR,USD,1.16869
2025-07-12,EUR,USD,1.16911
2025-07-13,EUR,USD,1.16886
2025-07-14,EUR,USD,1.1677
2025-07-15,EUR,USD,1.16468
2025-07-16,EUR,USD,1.16214
2025-07-17,EUR,USD,1.16001
2025-07-18,EUR,USD,1.16318
2025-07-19,EUR,USD,1.16255
2025-07-20,EUR,USD,1.16259
2025-07-21,EUR,USD,1.16618
2025-07-22,EUR,USD,1.17134
2025-07-23,EUR,USD,1.17454
2025-07-24,EUR,USD,1.1763
2025-07-25,EUR,USD,1.17382
2025-07-26,EUR,USD,1.17417
2025-07-27,EUR,USD,1.17436
2025-07-28,EUR,USD,1.16638
2025-07-29,EUR,USD,1.15598
2025-07-30,EUR,USD,1.15038
2025-07-31,EUR,USD,1.143
2025-08-01,EUR,USD,1.1486
2025-08-02,EUR,USD,1.15872
2025-08-03,EUR,USD,1.15872
2025-08-04,EUR,USD,1.15716
2025-08-05,EUR,USD,1.15606
2025-08-06,EUR,USD,1.16134
2025-08-07,EUR,USD,1.16574
2025-08-08,EUR,USD,1.16515
2025-08-09,EUR,USD,1.16416
2025-08-10,EUR,USD,1.16422
2025-08-11,EUR,USD,1.16337
2025-08-12,EUR,USD,1.16406
2025-08-13,EUR,USD,1.17016
2025-08-14,EUR,USD,1.16736
2025-08-15,EUR,USD,1.16862
2025-08-16,EUR,USD,1.1705
2025-08-17,EUR,USD,1.17056
2025-08-18,EUR,USD,1.16811
2025-08-19,EUR,USD,1.16624
2025-08-20,EUR,USD,1.16472
2025-08-21,EUR,USD,1.1632
2025-08-22,EUR,USD,1.16506
2025-08-23,EUR,USD,1.17219
2025-08-24,EUR,USD,1.17212
2025-08-25,EUR,USD,1.16762
2025-08-26,EUR,USD,1.16408
2025-08-27,EUR,USD,1.1617
2025-08-28,EUR,USD,1.16631
2025-08-29,EUR,USD,1.16778
2025-08-30,EUR,USD,1.16858
2025-08-31,EUR,USD,1.16864
2025-09-01,EUR,USD,1.17111
2025-09-02,EUR,USD,1.166
2025-09-03,EUR,USD,1.16498
2025-09-04,EUR,USD,1.16494
2025-09-05,EUR,USD,1.17006
2025-09-06,EUR,USD,1.1718
2025-09-07,EUR,USD,1.17174
2025-09-08,EUR,USD,1.17358
2025-09-09,EUR,USD,1.1742
2025-09-10,EUR,USD,1.17058
2025-09-11,EUR,USD,1.17124
2025-09-12,EUR,USD,1.17278
2025-09-13,EUR,USD,1.17352
2025-09-14,EUR,USD,1.17346
2025-09-15,EUR,USD,1.17498
2025-09-16,EUR,USD,1.18191
2025-09-17,EUR,USD,1.1845
2025-09-18,EUR,USD,1.18017
2025-09-19,EUR,USD,1.17596
2025-09-20,EUR,USD,1.1746
2025-09-21,EUR,USD,1.17456
2025-09-22,EUR,USD,1.17682
2025-09-23,EUR,USD,1.18034
2025-09-24,EUR,USD,1.17634
2025-09-25,EUR,USD,1.17094
