date,base,quote,rate
2020-12-19,GBP,CHF,1.19398
2020-12-20,GBP,CHF,1.19351
2020-12-21,GBP,CHF,1.18361
2020-12-22,GBP,CHF,1.18839
2020-12-23,GBP,CHF,1.19522
2020-12-24,GBP,CHF,1.20585
2020-12-25,GBP,CHF,1.20804
2020-12-26,GBP,CHF,1.20804
2020-12-27,GBP,CHF,1.2079
2020-12-28,GBP,CHF,1.20165
2020-12-29,GBP,CHF,1.19529
2020-12-30,GBP,CHF,1.19888
2020-12-31,GBP,CHF,1.20462
2021-01-01,GBP,CHF,1.20946
2021-01-02,GBP,CHF,1.20946
2021-01-03,GBP,CHF,1.20927
2021-01-04,GBP,CHF,1.20198
2021-01-05,GBP,CHF,1.19615
2021-01-06,GBP,CHF,1.19611
2021-01-07,GBP,CHF,1.1984
2021-01-08,GBP,CHF,1.20201
2021-01-09,GBP,CHF,1.20133
2021-01-10,GBP,CHF,1.20129
2021-01-11,GBP,CHF,1.20092
2021-01-12,GBP,CHF,1.20864
2021-01-13,GBP,CHF,1.212
2021-01-14,GBP,CHF,1.21304
2021-01-15,GBP,CHF,1.21212
2021-01-16,GBP,CHF,1.21106
2021-01-17,GBP,CHF,1.21106
2021-01-18,GBP,CHF,1.20908
2021-01-19,GBP,CHF,1.21054
2021-01-20,GBP,CHF,1.2144
2021-01-21,GBP,CHF,1.21632
2021-01-22,GBP,CHF,1.21154
2021-01-23,GBP,CHF,1.21162
2021-01-24,GBP,CHF,1.21162
2021-01-25,GBP,CHF,1.21354
2021-01-26,GBP,CHF,1.21566
2021-01-27,GBP,CHF,1.21791
2021-01-28,GBP,CHF,1.21706
2021-01-29,GBP,CHF,1.21955
2021-01-30,GBP,CHF,1.22076
2021-01-31,GBP,CHF,1.22078
2021-02-01,GBP,CHF,1.22548
2021-02-02,GBP,CHF,1.22668
2021-02-03,GBP,CHF,1.22684
2021-02-04,GBP,CHF,1.23004
2021-02-05,GBP,CHF,1.23596
2021-02-06,GBP,CHF,1.23482
2021-02-07,GBP,CHF,1.23481
2021-02-08,GBP,CHF,1.23486
2021-02-09,GBP,CHF,1.2331
2021-02-10,GBP,CHF,1.23246
2021-02-11,GBP,CHF,1.23081
2021-02-12,GBP,CHF,1.23174
2021-02-13,GBP,CHF,1.23534
2021-02-14,GBP,CHF,1.2354
