date,base,quote,rate
2025-06-22,GBP,CNY,9.65973
2025-06-23,GBP,CNY,9.66653
2025-06-24,GBP,CNY,9.75706
2025-06-25,GBP,CNY,9.777
2025-06-26,GBP,CNY,9.8429
2025-06-27,GBP,CNY,9.84098
2025-06-28,GBP,CNY,9.84106
2025-06-29,GBP,CNY,9.84095
2025-06-30,GBP,CNY,9.82911
2025-07-01,GBP,CNY,9.84571
2025-07-02,GBP,CNY,9.80106
2025-07-03,GBP,CNY,9.7794
2025-07-04,GBP,CNY,9.78366
2025-07-05,GBP,CNY,9.77898
2025-07-06,GBP,CNY,9.77947
2025-07-07,GBP,CNY,9.76485
2025-07-08,GBP,CNY,9.757
2025-07-09,GBP,CNY,9.75391
2025-07-10,GBP,CNY,9.75358
2025-07-11,GBP,CNY,9.69927
2025-07-12,GBP,CNY,9.67097
2025-07-13,GBP,CNY,9.67081
2025-07-14,GBP,CNY,9.65025
2025-07-15,GBP,CNY,9.6222
2025-07-16,GBP,CNY,9.6194
2025-07-17,GBP,CNY,9.6241
2025-07-18,GBP,CNY,9.64318
2025-07-19,GBP,CNY,9.62478
2025-07-20,GBP,CNY,9.62546
2025-07-21,GBP,CNY,9.6584
2025-07-22,GBP,CNY,9.68322
2025-07-23,GBP,CNY,9.70874
2025-07-24,GBP,CNY,9.6934
2025-07-25,GBP,CNY,9.63642
2025-07-26,GBP,CNY,9.62346
2025-07-27,GBP,CNY,9.62346
2025-07-28,GBP,CNY,9.60888
2025-07-29,GBP,CNY,9.57774
2025-07-30,GBP,CNY,9.56356
2025-07-31,GBP,CNY,9.51439
2025-08-01,GBP,CNY,9.52413
2025-08-02,GBP,CNY,9.56384
2025-08-03,GBP,CNY,9.56475
2025-08-04,GBP,CNY,9.55051
2025-08-05,GBP,CNY,9.54502
2025-08-06,GBP,CNY,9.57424
2025-08-07,GBP,CNY,9.62176
2025-08-08,GBP,CNY,9.65432
2025-08-09,GBP,CNY,9.65907
2025-08-10,GBP,CNY,9.65848
2025-08-11,GBP,CNY,9.6561
2025-08-12,GBP,CNY,9.67889
2025-08-13,GBP,CNY,9.72522
2025-08-14,GBP,CNY,9.72836
2025-08-15,GBP,CNY,9.73187
2025-08-16,GBP,CNY,9.7333
2025-08-17,GBP,CNY,9.73386
2025-08-18,GBP,CNY,9.7201
2025-08-19,GBP,CNY,9.69876
2025-08-20,GBP,CNY,9.6736
2025-08-21,GBP,CNY,9.64733
2025-08-22,GBP,CNY,9.65768
2025-08-23,GBP,CNY,9.69586
2025-08-24,GBP,CNY,9.69498
2025-08-25,GBP,CNY,9.65834
2025-08-26,GBP,CNY,9.63836
2025-08-27,GBP,CNY,9.63525
2025-08-28,GBP,CNY,9.65254
2025-08-29,GBP,CNY,9.63099
2025-08-30,GBP,CNY,9.62988
2025-08-31,GBP,CNY,9.62986
2025-09-01,GBP,CNY,9.65322
2025-09-02,GBP,CNY,9.58831
2025-09-03,GBP,CNY,9.57716
2025-09-04,GBP,CNY,9.59418
2025-09-05,GBP,CNY,9.62704
2025-09-06,GBP,CNY,9.6352
2025-09-07,GBP,CNY,9.63424
2025-09-08,GBP,CNY,9.6456
2025-09-09,GBP,CNY,9.65606
2025-09-10,GBP,CNY,9.63963
2025-09-11,GBP,CNY,9.64429
2025-09-12,GBP,CNY,9.65436
2025-09-13,GBP,CNY,9.66078
2025-09-14,GBP,CNY,9.66052
2025-09-15,GBP,CNY,9.67772
2025-09-16,GBP,CNY,9.70532
2025-09-17,GBP,CNY,9.70131
2025-09-18,GBP,CNY,9.6608
2025-09-19,GBP,CNY,9.60356
2025-09-20,GBP,CNY,9.58378
2025-09-21,GBP,CNY,9.58382
2025-09-22,GBP,CNY,9.59938
2025-09-23,GBP,CNY,9.61463
2025-09-24,GBP,CNY,9.59446
2025-09-25,GBP,CNY,9.55694
2025-09-26,GBP,CNY,9.54234
2025-09-27,GBP,CNY,9.5612
2025-09-28,GBP,CNY,9.56138
2025-09-29,GBP,CNY,9.57136
2025-09-30,GBP,CNY,9.57094
2025-10-01,GBP,CNY,9.59226
2025-10-02,GBP,CNY,9.58501
2025-10-03,GBP,CNY,9.58242
2025-10-04,GBP,CNY,9.59673
2025-10-05,GBP,CNY,9.59306
2025-10-06,GBP,CNY,9.5817
2025-10-07,GBP,CNY,9.57071
2025-10-08,GBP,CNY,9.54334
2025-10-09,GBP,CNY,9.51336
2025-10-10,GBP,CNY,9.48964
2025-10-11,GBP,CNY,9.51887
2025-10-12,GBP,CNY,9.51757
2025-10-13,GBP,CNY,9.50315
2025-10-14,GBP,CNY,9.49338
2025-10-15,GBP,CNY,9.53138
2025-10-16,GBP,CNY,9.56934
2025-10-17,GBP,CNY,9.57058
2025-10-18,GBP,CNY,9.56878
2025-10-19,GBP,CNY,9.56894
2025-10-20,GBP,CNY,9.5594
2025-10-21,GBP,CNY,9.52902
2025-10-22,GBP,CNY,9.51244
2025-10-23,GBP,CNY,9.50094
2025-10-24,GBP,CNY,9.48636
2025-10-25,GBP,CNY,9.47922
2025-10-26,GBP,CNY,9.48027
2025-10-27,GBP,CNY,9.48306
2025-10-28,GBP,CNY,9.4526
2025-10-29,GBP,CNY,9.38549
2025-10-30,GBP,CNY,9.36036
2025-10-31,GBP,CNY,9.34533
2025-11-01,GBP,CNY,9.34801
2025-11-02,GBP,CNY,9.34746
2025-11-03,GBP,CNY,9.35616
2025-11-04,GBP,CNY,9.3112
2025-11-05,GBP,CNY,9.28952
2025-11-06,GBP,CNY,9.32467
2025-11-07,GBP,CNY,9.3527
2025-11-08,GBP,CNY,9.37286
2025-11-09,GBP,CNY,9.3722
2025-11-10,GBP,CNY,9.37276
2025-11-11,GBP,CNY,9.36433
2025-11-12,GBP,CNY,9.34221
2025-11-13,GBP,CNY,9.34788
2025-11-14,GBP,CNY,9.34394
2025-11-15,GBP,CNY,9.35277
2025-11-16,GBP,CNY,9.35165
2025-11-17,GBP,CNY,9.34776
2025-11-18,GBP,CNY,9.34716
2025-11-19,GBP,CNY,9.3174
2025-11-20,GBP,CNY,9.29206
2025-11-21,GBP,CNY,9.30047
2025-11-22,GBP,CNY,9.3076
2025-11-23,GBP,CNY,9.30732
2025-11-24,GBP,CNY,9.30658
2025-11-25,GBP,CNY,9.32218
2025-11-26,GBP,CNY,9.34692
2025-11-27,GBP,CNY,9.37458
2025-11-28,GBP,CNY,9.3621
2025-11-29,GBP,CNY,9.3622
2025-11-30,GBP,CNY,9.3623
2025-12-01,GBP,CNY,9.3576
2025-12-02,GBP,CNY,9.34019
2025-12-03,GBP,CNY,9.39234
2025-12-04,GBP,CNY,9.43114
2025-12-05,GBP,CNY,9.4317
2025-12-06,GBP,CNY,9.42958
2025-12-07,GBP,CNY,9.42892
2025-12-08,GBP,CNY,9.4227
2025-12-09,GBP,CNY,9.41462
2025-12-10,GBP,CNY,9.41566
2025-12-11,GBP,CNY,9.45471
2025-12-12,GBP,CNY,9.44048
2025-12-13,GBP,CNY,9.43446
2025-12-14,GBP,CNY,9.4343
2025-12-15,GBP,CNY,9.42976
2025-12-16,GBP,CNY,9.4422
2025-12-17,GBP,CNY,9.42003
2025-12-18,GBP,CNY,9.42136
