date,base,quote,rate
2025-06-22,GBP,EUR,1.16751
2025-06-23,GBP,EUR,1.16801
2025-06-24,GBP,EUR,1.17141
2025-06-25,GBP,EUR,1.17248
2025-06-26,GBP,EUR,1.17281
2025-06-27,GBP,EUR,1.17206
2025-06-28,GBP,EUR,1.17067
2025-06-29,GBP,EUR,1.17054
2025-06-30,GBP,EUR,1.16784
2025-07-01,GBP,EUR,1.16542
2025-07-02,GBP,EUR,1.16036
2025-07-03,GBP,EUR,1.15886
2025-07-04,GBP,EUR,1.15954
2025-07-05,GBP,EUR,1.15844
2025-07-06,GBP,EUR,1.15852
2025-07-07,GBP,EUR,1.15996
2025-07-08,GBP,EUR,1.15946
2025-07-09,GBP,EUR,1.16001
2025-07-10,GBP,EUR,1.15994
2025-07-11,GBP,EUR,1.15726
2025-07-12,GBP,EUR,1.15404
2025-07-13,GBP,EUR,1.15425
2025-07-14,GBP,EUR,1.15286
2025-07-15,GBP,EUR,1.15206
2025-07-16,GBP,EUR,1.1534
2025-07-17,GBP,EUR,1.15546
2025-07-18,GBP,EUR,1.15466
2025-07-19,GBP,EUR,1.15347
2025-07-20,GBP,EUR,1.15352
2025-07-21,GBP,EUR,1.1542
2025-07-22,GBP,EUR,1.1523
2025-07-23,GBP,EUR,1.15355
2025-07-24,GBP,EUR,1.1514
2025-07-25,GBP,EUR,1.1465
2025-07-26,GBP,EUR,1.1444
2025-07-27,GBP,EUR,1.1442
2025-07-28,GBP,EUR,1.14924
2025-07-29,GBP,EUR,1.15436
2025-07-30,GBP,EUR,1.15766
2025-07-31,GBP,EUR,1.15773
2025-08-01,GBP,EUR,1.15132
2025-08-02,GBP,EUR,1.14603
2025-08-03,GBP,EUR,1.14606
2025-08-04,GBP,EUR,1.14814
2025-08-05,GBP,EUR,1.14954
2025-08-06,GBP,EUR,1.14741
2025-08-07,GBP,EUR,1.14931
2025-08-08,GBP,EUR,1.15363
2025-08-09,GBP,EUR,1.15486
2025-08-10,GBP,EUR,1.15479
2025-08-11,GBP,EUR,1.1553
2025-08-12,GBP,EUR,1.15716
2025-08-13,GBP,EUR,1.15798
2025-08-14,GBP,EUR,1.16147
2025-08-15,GBP,EUR,1.15974
2025-08-16,GBP,EUR,1.1581
2025-08-17,GBP,EUR,1.15806
2025-08-18,GBP,EUR,1.1586
2025-08-19,GBP,EUR,1.15775
2025-08-20,GBP,EUR,1.15688
2025-08-21,GBP,EUR,1.15542
2025-08-22,GBP,EUR,1.15512
2025-08-23,GBP,EUR,1.15388
2025-08-24,GBP,EUR,1.15386
2025-08-25,GBP,EUR,1.15543
2025-08-26,GBP,EUR,1.1574
2025-08-27,GBP,EUR,1.15924
2025-08-28,GBP,EUR,1.1583
2025-08-29,GBP,EUR,1.15538
2025-08-30,GBP,EUR,1.1556
2025-08-31,GBP,EUR,1.15554
2025-09-01,GBP,EUR,1.15558
2025-09-02,GBP,EUR,1.15198
2025-09-03,GBP,EUR,1.15104
2025-09-04,GBP,EUR,1.15318
2025-09-05,GBP,EUR,1.15278
2025-09-06,GBP,EUR,1.15278
2025-09-07,GBP,EUR,1.1527
2025-09-08,GBP,EUR,1.15246
2025-09-09,GBP,EUR,1.15406
2025-09-10,GBP,EUR,1.15627
2025-09-11,GBP,EUR,1.15638
2025-09-12,GBP,EUR,1.15588
2025-09-13,GBP,EUR,1.1554
2025-09-14,GBP,EUR,1.15544
2025-09-15,GBP,EUR,1.1565
2025-09-16,GBP,EUR,1.15384
2025-09-17,GBP,EUR,1.15213
2025-09-18,GBP,EUR,1.15165
2025-09-19,GBP,EUR,1.14792
2025-09-20,GBP,EUR,1.14684
2025-09-21,GBP,EUR,1.14686
2025-09-22,GBP,EUR,1.14662
2025-09-23,GBP,EUR,1.1451
2025-09-24,GBP,EUR,1.14526
2025-09-25,GBP,EUR,1.14454
2025-09-26,GBP,EUR,1.1446
2025-09-27,GBP,EUR,1.14531
2025-09-28,GBP,EUR,1.14529
2025-09-29,GBP,EUR,1.14556
2025-09-30,GBP,EUR,1.14526
2025-10-01,GBP,EUR,1.14752
2025-10-02,GBP,EUR,1.14762
2025-10-03,GBP,EUR,1.14699
2025-10-04,GBP,EUR,1.14785
2025-10-05,GBP,EUR,1.14771
2025-10-06,GBP,EUR,1.1499
2025-10-07,GBP,EUR,1.15132
2025-10-08,GBP,EUR,1.15307
2025-10-09,GBP,EUR,1.15112
2025-10-10,GBP,EUR,1.14922
2025-10-11,GBP,EUR,1.14946
2025-10-12,GBP,EUR,1.14949
2025-10-13,GBP,EUR,1.15102
2025-10-14,GBP,EUR,1.1491
2025-10-15,GBP,EUR,1.1492
2025-10-16,GBP,EUR,1.15089
2025-10-17,GBP,EUR,1.14946
2025-10-18,GBP,EUR,1.15214
2025-10-19,GBP,EUR,1.1521
2025-10-20,GBP,EUR,1.15132
2025-10-21,GBP,EUR,1.15178
2025-10-22,GBP,EUR,1.15058
2025-10-23,GBP,EUR,1.14912
2025-10-24,GBP,EUR,1.14608
2025-10-25,GBP,EUR,1.14502
2025-10-26,GBP,EUR,1.14507
2025-10-27,GBP,EUR,1.14559
2025-10-28,GBP,EUR,1.14179
2025-10-29,GBP,EUR,1.13678
2025-10-30,GBP,EUR,1.13656
2025-10-31,GBP,EUR,1.13749
2025-11-01,GBP,EUR,1.13996
2025-11-02,GBP,EUR,1.13989
2025-11-03,GBP,EUR,1.13996
2025-11-04,GBP,EUR,1.13688
2025-11-05,GBP,EUR,1.13473
2025-11-06,GBP,EUR,1.13606
2025-11-07,GBP,EUR,1.13689
2025-11-08,GBP,EUR,1.13813
2025-11-09,GBP,EUR,1.13816
2025-11-10,GBP,EUR,1.13876
2025-11-11,GBP,EUR,1.13682
2025-11-12,GBP,EUR,1.13374
2025-11-13,GBP,EUR,1.13284
2025-11-14,GBP,EUR,1.13135
2025-11-15,GBP,EUR,1.13358
2025-11-16,GBP,EUR,1.13351
2025-11-17,GBP,EUR,1.1348
2025-11-18,GBP,EUR,1.13486
2025-11-19,GBP,EUR,1.13352
2025-11-20,GBP,EUR,1.134
2025-11-21,GBP,EUR,1.13568
2025-11-22,GBP,EUR,1.1377
