date,base,quote,rate
2025-06-24,GBP,INR,117.013
2025-06-25,GBP,INR,117.224
2025-06-26,GBP,INR,117.686
2025-06-27,GBP,INR,117.38
2025-06-28,GBP,INR,117.31
2025-06-29,GBP,INR,117.307
2025-06-30,GBP,INR,117.468
2025-07-01,GBP,INR,117.657
2025-07-02,GBP,INR,117.146
2025-07-03,GBP,INR,116.63
2025-07-04,GBP,INR,116.706
2025-07-05,GBP,INR,116.868
2025-07-06,GBP,INR,116.874
2025-07-07,GBP,INR,116.829
2025-07-08,GBP,INR,116.596
2025-07-09,GBP,INR,116.506
2025-07-10,GBP,INR,116.434
2025-07-11,GBP,INR,116.067
2025-07-12,GBP,INR,115.792
2025-07-13,GBP,INR,115.79
2025-07-14,GBP,INR,115.652
2025-07-15,GBP,INR,115.276
2025-07-16,GBP,INR,115.164
2025-07-17,GBP,INR,115.272
2025-07-18,GBP,INR,115.676
2025-07-19,GBP,INR,115.52
2025-07-20,GBP,INR,115.528
2025-07-21,GBP,INR,116.09
2025-07-22,GBP,INR,116.52
2025-07-23,GBP,INR,117.035
2025-07-24,GBP,INR,117.006
2025-07-25,GBP,INR,116.424
2025-07-26,GBP,INR,116.24
2025-07-27,GBP,INR,116.24
2025-07-28,GBP,INR,116.134
2025-07-29,GBP,INR,115.992
2025-07-30,GBP,INR,116.474
2025-07-31,GBP,INR,115.892
2025-08-01,GBP,INR,115.516
2025-08-02,GBP,INR,115.816
2025-08-03,GBP,INR,115.827
2025-08-04,GBP,INR,116.424
2025-08-05,GBP,INR,116.706
2025-08-06,GBP,INR,116.905
2025-08-07,GBP,INR,117.328
2025-08-08,GBP,INR,117.754
2025-08-09,GBP,INR,117.974
2025-08-10,GBP,INR,117.954
2025-08-11,GBP,INR,117.774
2025-08-12,GBP,INR,118.052
2025-08-13,GBP,INR,118.59
2025-08-14,GBP,INR,118.745
2025-08-15,GBP,INR,118.645
2025-08-16,GBP,INR,118.598
2025-08-17,GBP,INR,118.608
2025-08-18,GBP,INR,118.252
2025-08-19,GBP,INR,117.626
2025-08-20,GBP,INR,117.302
2025-08-21,GBP,INR,117.176
2025-08-22,GBP,INR,117.606
2025-08-23,GBP,INR,118.168
2025-08-24,GBP,INR,118.159
2025-08-25,GBP,INR,118.066
2025-08-26,GBP,INR,118.108
2025-08-27,GBP,INR,118.129
2025-08-28,GBP,INR,118.35
2025-08-29,GBP,INR,118.78
2025-08-30,GBP,INR,119.064
2025-08-31,GBP,INR,119.068
2025-09-01,GBP,INR,119.256
2025-09-02,GBP,INR,118.288
2025-09-03,GBP,INR,118.091
2025-09-04,GBP,INR,118.422
2025-09-05,GBP,INR,118.954
2025-09-06,GBP,INR,119.142
2025-09-07,GBP,INR,119.128
2025-09-08,GBP,INR,119.076
2025-09-09,GBP,INR,119.45
2025-09-10,GBP,INR,119.254
2025-09-11,GBP,INR,119.572
2025-09-12,GBP,INR,119.695
2025-09-13,GBP,INR,119.704
2025-09-14,GBP,INR,119.702
2025-09-15,GBP,INR,119.834
2025-09-16,GBP,INR,120.039
2025-09-17,GBP,INR,119.852
2025-09-18,GBP,INR,119.754
2025-09-19,GBP,INR,119.004
2025-09-20,GBP,INR,118.678
2025-09-21,GBP,INR,118.677
2025-09-22,GBP,INR,119.086
2025-09-23,GBP,INR,119.866
2025-09-24,GBP,INR,119.573
2025-09-25,GBP,INR,118.908
2025-09-26,GBP,INR,118.634
2025-09-27,GBP,INR,118.839
2025-09-28,GBP,INR,118.84
2025-09-29,GBP,INR,119.178
2025-09-30,GBP,INR,119.368
2025-10-01,GBP,INR,119.507
2025-10-02,GBP,INR,119.458
2025-10-03,GBP,INR,119.454
2025-10-04,GBP,INR,119.614
2025-10-05,GBP,INR,119.566
2025-10-06,GBP,INR,119.436
2025-10-07,GBP,INR,119.286
2025-10-08,GBP,INR,118.982
2025-10-09,GBP,INR,118.598
2025-10-10,GBP,INR,118.142
2025-10-11,GBP,INR,118.581
2025-10-12,GBP,INR,118.564
2025-10-13,GBP,INR,118.306
2025-10-14,GBP,INR,118.14
2025-10-15,GBP,INR,117.83
2025-10-16,GBP,INR,118.05
2025-10-17,GBP,INR,118.159
2025-10-18,GBP,INR,118.152
2025-10-19,GBP,INR,118.152
2025-10-20,GBP,INR,117.974
2025-10-21,GBP,INR,117.745
2025-10-22,GBP,INR,117.172
2025-10-23,GBP,INR,117.126
2025-10-24,GBP,INR,116.913
2025-10-25,GBP,INR,116.898
2025-10-26,GBP,INR,116.913
2025-10-27,GBP,INR,117.498
2025-10-28,GBP,INR,117.465
2025-10-29,GBP,INR,116.735
2025-10-30,GBP,INR,116.717
2025-10-31,GBP,INR,116.59
2025-11-01,GBP,INR,116.72
2025-11-02,GBP,INR,116.711
2025-11-03,GBP,INR,116.594
2025-11-04,GBP,INR,115.935
2025-11-05,GBP,INR,115.552
2025-11-06,GBP,INR,116.035
2025-11-07,GBP,INR,116.488
2025-11-08,GBP,INR,116.702
2025-11-09,GBP,INR,116.694
2025-11-10,GBP,INR,116.768
2025-11-11,GBP,INR,116.524
2025-11-12,GBP,INR,116.334
2025-11-13,GBP,INR,116.74
2025-11-14,GBP,INR,116.708
2025-11-15,GBP,INR,116.831
2025-11-16,GBP,INR,116.822
2025-11-17,GBP,INR,116.661
2025-11-18,GBP,INR,116.501
2025-11-19,GBP,INR,116.012
2025-11-20,GBP,INR,115.896
2025-11-21,GBP,INR,116.799
2025-11-22,GBP,INR,117.394
