date,base,quote,rate
2020-12-19,GBP,KZT,567.391
2020-12-20,GBP,KZT,567.058
2020-12-21,GBP,KZT,561.869
2020-12-22,GBP,KZT,562.926
2020-12-23,GBP,KZT,567.13
2020-12-24,GBP,KZT,570.271
2020-12-25,GBP,KZT,569.904
2020-12-26,GBP,KZT,569.837
2020-12-27,GBP,KZT,569.802
2020-12-28,GBP,KZT,567.436
2020-12-29,GBP,KZT,567.104
2020-12-30,GBP,KZT,571.527
2020-12-31,GBP,KZT,574.877
2021-01-01,GBP,KZT,577.246
2021-01-02,GBP,KZT,577.218
2021-01-03,GBP,KZT,577.172
2021-01-04,GBP,KZT,574.899
2021-01-05,GBP,KZT,573.814
2021-01-06,GBP,KZT,571.656
2021-01-07,GBP,KZT,569.562
2021-01-08,GBP,KZT,569.255
2021-01-09,GBP,KZT,568.931
2021-01-10,GBP,KZT,568.866
2021-01-11,GBP,KZT,567.512
2021-01-12,GBP,KZT,571.067
2021-01-13,GBP,KZT,572.419
2021-01-14,GBP,KZT,573.107
2021-01-15,GBP,KZT,572.006
2021-01-16,GBP,KZT,569.902
2021-01-17,GBP,KZT,569.906
2021-01-18,GBP,KZT,570.728
2021-01-19,GBP,KZT,571.976
2021-01-20,GBP,KZT,572.542
2021-01-21,GBP,KZT,574.24
2021-01-22,GBP,KZT,574.66
2021-01-23,GBP,KZT,575.997
2021-01-24,GBP,KZT,576.001
2021-01-25,GBP,KZT,576.094
2021-01-26,GBP,KZT,577.558
2021-01-27,GBP,KZT,578.912
2021-01-28,GBP,KZT,579.872
2021-01-29,GBP,KZT,580.94
2021-01-30,GBP,KZT,580.316
2021-01-31,GBP,KZT,580.302
2021-02-01,GBP,KZT,581.15
2021-02-02,GBP,KZT,579.326
2021-02-03,GBP,KZT,578.12
2021-02-04,GBP,KZT,575.908
2021-02-05,GBP,KZT,577.212
2021-02-06,GBP,KZT,577.684
2021-02-07,GBP,KZT,577.661
2021-02-08,GBP,KZT,575.067
2021-02-09,GBP,KZT,576.698
2021-02-10,GBP,KZT,578.306
2021-02-11,GBP,KZT,578.088
2021-02-12,GBP,KZT,578.92
2021-02-13,GBP,KZT,580.892
2021-02-14,GBP,KZT,580.92
2021-02-15,GBP,KZT,580.846
2021-02-16,GBP,KZT,580.22
2021-02-17,GBP,KZT,579.176
2021-02-18,GBP,KZT,580.174
2021-02-19,GBP,KZT,583.62
2021-02-20,GBP,KZT,584.928
2021-02-21,GBP,KZT,584.948
2021-02-22,GBP,KZT,585.64
