date,base,quote,rate
2025-06-22,GBP,RUB,105.558
2025-06-23,GBP,RUB,105.61
2025-06-24,GBP,RUB,106.696
2025-06-25,GBP,RUB,106.724
2025-06-26,GBP,RUB,107.739
2025-06-27,GBP,RUB,107.889
2025-06-28,GBP,RUB,107.701
2025-06-29,GBP,RUB,107.707
2025-06-30,GBP,RUB,107.528
2025-07-01,GBP,RUB,107.724
2025-07-02,GBP,RUB,107.694
2025-07-03,GBP,RUB,107.768
2025-07-04,GBP,RUB,107.789
2025-07-05,GBP,RUB,107.48
2025-07-06,GBP,RUB,107.492
2025-07-07,GBP,RUB,107.213
2025-07-08,GBP,RUB,106.693
2025-07-09,GBP,RUB,106.336
2025-07-10,GBP,RUB,104.88
2025-07-11,GBP,RUB,105.316
2025-07-12,GBP,RUB,105.228
2025-07-13,GBP,RUB,105.244
2025-07-14,GBP,RUB,105.14
2025-07-15,GBP,RUB,104.694
2025-07-16,GBP,RUB,104.786
2025-07-17,GBP,RUB,104.724
2025-07-18,GBP,RUB,105.168
2025-07-19,GBP,RUB,105.264
2025-07-20,GBP,RUB,105.282
2025-07-21,GBP,RUB,105.442
2025-07-22,GBP,RUB,105.72
2025-07-23,GBP,RUB,106.302
2025-07-24,GBP,RUB,106.976
2025-07-25,GBP,RUB,106.906
2025-07-26,GBP,RUB,106.622
2025-07-27,GBP,RUB,106.601
2025-07-28,GBP,RUB,107.621
2025-07-29,GBP,RUB,108.954
2025-07-30,GBP,RUB,108.303
2025-07-31,GBP,RUB,106.818
2025-08-01,GBP,RUB,106.333
2025-08-02,GBP,RUB,106.231
2025-08-03,GBP,RUB,106.168
2025-08-04,GBP,RUB,105.971
2025-08-05,GBP,RUB,106.274
2025-08-06,GBP,RUB,106.7
2025-08-07,GBP,RUB,106.5
2025-08-08,GBP,RUB,107.111
2025-08-09,GBP,RUB,107.614
2025-08-10,GBP,RUB,107.567
2025-08-11,GBP,RUB,107.08
2025-08-12,GBP,RUB,107.253
2025-08-13,GBP,RUB,107.759
2025-08-14,GBP,RUB,108.001
2025-08-15,GBP,RUB,108.41
2025-08-16,GBP,RUB,108.586
2025-08-17,GBP,RUB,108.549
2025-08-18,GBP,RUB,108.638
2025-08-19,GBP,RUB,108.914
2025-08-20,GBP,RUB,108.522
2025-08-21,GBP,RUB,108.248
2025-08-22,GBP,RUB,108.442
2025-08-23,GBP,RUB,108.968
2025-08-24,GBP,RUB,108.847
2025-08-25,GBP,RUB,108.61
2025-08-26,GBP,RUB,108.496
2025-08-27,GBP,RUB,108.26
2025-08-28,GBP,RUB,108.624
2025-08-29,GBP,RUB,108.508
2025-08-30,GBP,RUB,108.122
2025-08-31,GBP,RUB,108.018
2025-09-01,GBP,RUB,108.956
2025-09-02,GBP,RUB,108.246
2025-09-03,GBP,RUB,108.385
2025-09-04,GBP,RUB,109.078
2025-09-05,GBP,RUB,109.674
2025-09-06,GBP,RUB,109.74
2025-09-07,GBP,RUB,109.728
2025-09-08,GBP,RUB,110.881
2025-09-09,GBP,RUB,112.846
2025-09-10,GBP,RUB,114.192
2025-09-11,GBP,RUB,114.749
2025-09-12,GBP,RUB,114.09
2025-09-13,GBP,RUB,113.905
2025-09-14,GBP,RUB,113.84
2025-09-15,GBP,RUB,112.812
2025-09-16,GBP,RUB,113.169
2025-09-17,GBP,RUB,113.922
2025-09-18,GBP,RUB,113.417
2025-09-19,GBP,RUB,112.594
2025-09-20,GBP,RUB,112.492
2025-09-21,GBP,RUB,112.509
2025-09-22,GBP,RUB,112.872
2025-09-23,GBP,RUB,113.017
2025-09-24,GBP,RUB,112.815
2025-09-25,GBP,RUB,112.355
2025-09-26,GBP,RUB,111.875
2025-09-27,GBP,RUB,111.73
2025-09-28,GBP,RUB,111.725
2025-09-29,GBP,RUB,111.633
2025-09-30,GBP,RUB,111.278
2025-10-01,GBP,RUB,110.63
2025-10-02,GBP,RUB,110.36
2025-10-03,GBP,RUB,110.664
2025-10-04,GBP,RUB,110.857
2025-10-05,GBP,RUB,110.828
2025-10-06,GBP,RUB,111.454
2025-10-07,GBP,RUB,110.654
2025-10-08,GBP,RUB,109.45
2025-10-09,GBP,RUB,108.575
2025-10-10,GBP,RUB,108.37
2025-10-11,GBP,RUB,109.056
2025-10-12,GBP,RUB,108.919
2025-10-13,GBP,RUB,107.918
2025-10-14,GBP,RUB,106.524
2025-10-15,GBP,RUB,105.502
2025-10-16,GBP,RUB,106.928
2025-10-17,GBP,RUB,108.784
2025-10-18,GBP,RUB,108.964
2025-10-19,GBP,RUB,108.988
2025-10-20,GBP,RUB,108.762
2025-10-21,GBP,RUB,108.602
2025-10-22,GBP,RUB,108.886
2025-10-23,GBP,RUB,108.544
2025-10-24,GBP,RUB,107.345
2025-10-25,GBP,RUB,106.146
2025-10-26,GBP,RUB,106.172
2025-10-27,GBP,RUB,106.245
2025-10-28,GBP,RUB,105.778
2025-10-29,GBP,RUB,105.299
2025-10-30,GBP,RUB,105.45
2025-10-31,GBP,RUB,105.81
2025-11-01,GBP,RUB,106.255
2025-11-02,GBP,RUB,106.252
2025-11-03,GBP,RUB,106.341
2025-11-04,GBP,RUB,105.843
2025-11-05,GBP,RUB,105.822
2025-11-06,GBP,RUB,106.438
2025-11-07,GBP,RUB,106.512
2025-11-08,GBP,RUB,106.552
2025-11-09,GBP,RUB,106.562
2025-11-10,GBP,RUB,106.825
2025-11-11,GBP,RUB,106.796
2025-11-12,GBP,RUB,106.575
2025-11-13,GBP,RUB,106.416
2025-11-14,GBP,RUB,106.352
2025-11-15,GBP,RUB,106.512
2025-11-16,GBP,RUB,106.51
2025-11-17,GBP,RUB,106.846
2025-11-18,GBP,RUB,106.694
2025-11-19,GBP,RUB,105.854
2025-11-20,GBP,RUB,104.964
2025-11-21,GBP,RUB,103.868
2025-11-22,GBP,RUB,103.592
2025-11-23,GBP,RUB,103.588
2025-11-24,GBP,RUB,103.093
2025-11-25,GBP,RUB,103.516
2025-11-26,GBP,RUB,103.832
2025-11-27,GBP,RUB,103.578
2025-11-28,GBP,RUB,102.904
2025-11-29,GBP,RUB,102.528
2025-11-30,GBP,RUB,102.555
2025-12-01,GBP,RUB,102.798
2025-12-02,GBP,RUB,102.438
2025-12-03,GBP,RUB,102.654
2025-12-04,GBP,RUB,102.21
2025-12-05,GBP,RUB,101.78
2025-12-06,GBP,RUB,101.963
2025-12-07,GBP,RUB,101.972
2025-12-08,GBP,RUB,102.096
2025-12-09,GBP,RUB,102.382
2025-12-10,GBP,RUB,103.672
2025-12-11,GBP,RUB,106.104
2025-12-12,GBP,RUB,106.65
2025-12-13,GBP,RUB,107.042
2025-12-14,GBP,RUB,107.006
2025-12-15,GBP,RUB,106.216
2025-12-16,GBP,RUB,106.45
2025-12-17,GBP,RUB,107.016
2025-12-18,GBP,RUB,107.194
