date,base,quote,rate
2020-12-19,GBP,USD,1.35209
2020-12-20,GBP,USD,1.3513
2020-12-21,GBP,USD,1.3351
2020-12-22,GBP,USD,1.33928
2020-12-23,GBP,USD,1.34496
2020-12-24,GBP,USD,1.35592
2020-12-25,GBP,USD,1.3564
2020-12-26,GBP,USD,1.3564
2020-12-27,GBP,USD,1.35634
2020-12-28,GBP,USD,1.3508
2020-12-29,GBP,USD,1.34932
2020-12-30,GBP,USD,1.35782
2020-12-31,GBP,USD,1.36501
2021-01-01,GBP,USD,1.36656
2021-01-02,GBP,USD,1.36656
2021-01-03,GBP,USD,1.36655
2021-01-04,GBP,USD,1.36339
2021-01-05,GBP,USD,1.35977
2021-01-06,GBP,USD,1.3616
2021-01-07,GBP,USD,1.35832
2021-01-08,GBP,USD,1.3574
2021-01-09,GBP,USD,1.35681
2021-01-10,GBP,USD,1.35666
2021-01-11,GBP,USD,1.35036
2021-01-12,GBP,USD,1.3589
2021-01-13,GBP,USD,1.36632
2021-01-14,GBP,USD,1.36584
2021-01-15,GBP,USD,1.36329
2021-01-16,GBP,USD,1.35888
2021-01-17,GBP,USD,1.35889
2021-01-18,GBP,USD,1.35673
2021-01-19,GBP,USD,1.36145
2021-01-20,GBP,USD,1.36596
2021-01-21,GBP,USD,1.37105
2021-01-22,GBP,USD,1.36848
2021-01-23,GBP,USD,1.3683
2021-01-24,GBP,USD,1.36831
2021-01-25,GBP,USD,1.36841
2021-01-26,GBP,USD,1.36908
2021-01-27,GBP,USD,1.37153
2021-01-28,GBP,USD,1.36883
2021-01-29,GBP,USD,1.37086
2021-01-30,GBP,USD,1.37054
2021-01-31,GBP,USD,1.3705
2021-02-01,GBP,USD,1.37021
2021-02-02,GBP,USD,1.36691
2021-02-03,GBP,USD,1.36522
2021-02-04,GBP,USD,1.36376
2021-02-05,GBP,USD,1.37039
2021-02-06,GBP,USD,1.3738
2021-02-07,GBP,USD,1.37374
2021-02-08,GBP,USD,1.37258
2021-02-09,GBP,USD,1.37854
2021-02-10,GBP,USD,1.38336
2021-02-11,GBP,USD,1.38262
2021-02-12,GBP,USD,1.38162
2021-02-13,GBP,USD,1.38506
2021-02-14,GBP,USD,1.38514
2021-02-15,GBP,USD,1.39014
2021-02-16,GBP,USD,1.39191
2021-02-17,GBP,USD,1.38693
2021-02-18,GBP,USD,1.39198
2021-02-19,GBP,USD,1.3994
2021-02-20,GBP,USD,1.40113
2021-02-21,GBP,USD,1.40118
2021-02-22,GBP,USD,1.4039
2021-02-23,GBP,USD,1.4088
2021-02-24,GBP,USD,1.4142
2021-02-25,GBP,USD,1.41143
2021-02-26,GBP,USD,1.39503
2021-02-27,GBP,USD,1.39276
2021-02-28,GBP,USD,1.39292
2021-03-01,GBP,USD,1.39507
2021-03-02,GBP,USD,1.39197
2021-03-03,GBP,USD,1.39616
2021-03-04,GBP,USD,1.39376
2021-03-05,GBP,USD,1.38476
2021-03-06,GBP,USD,1.38339
2021-03-07,GBP,USD,1.38348
2021-03-08,GBP,USD,1.38294
2021-03-09,GBP,USD,1.38709
2021-03-10,GBP,USD,1.3894
2021-03-11,GBP,USD,1.39573
2021-03-12,GBP,USD,1.39346
2021-03-13,GBP,USD,1.39206
2021-03-14,GBP,USD,1.3921
2021-03-15,GBP,USD,1.39119
2021-03-16,GBP,USD,1.38754
2021-03-17,GBP,USD,1.39098
2021-03-18,GBP,USD,1.3946
2021-03-19,GBP,USD,1.38952
2021-03-20,GBP,USD,1.38677
2021-03-21,GBP,USD,1.38642
2021-03-22,GBP,USD,1.3852
2021-03-23,GBP,USD,1.37956
2021-03-24,GBP,USD,1.37096
2021-03-25,GBP,USD,1.37131
2021-03-26,GBP,USD,1.37762
2021-03-27,GBP,USD,1.37925
2021-03-28,GBP,USD,1.37924
2021-03-29,GBP,USD,1.3787
2021-03-30,GBP,USD,1.37483
2021-03-31,GBP,USD,1.37666
2021-04-01,GBP,USD,1.38006
2021-04-02,GBP,USD,1.3834
2021-04-03,GBP,USD,1.38354
2021-04-04,GBP,USD,1.38342
2021-04-05,GBP,USD,1.38707
2021-04-06,GBP,USD,1.38558
