date,base,quote,rate
2020-12-19,HKD,CHF,0.113914
2020-12-20,HKD,CHF,0.113936
2020-12-21,HKD,CHF,0.11435
2020-12-22,HKD,CHF,0.114454
2020-12-23,HKD,CHF,0.11463
2020-12-24,HKD,CHF,0.114717
2020-12-25,HKD,CHF,0.114944
2020-12-26,HKD,CHF,0.114944
2020-12-27,HKD,CHF,0.114929
2020-12-28,HKD,CHF,0.114737
2020-12-29,HKD,CHF,0.114248
2020-12-30,HKD,CHF,0.113888
2020-12-31,HKD,CHF,0.113829
2021-01-01,HKD,CHF,0.11414
2021-01-02,HKD,CHF,0.11414
2021-01-03,HKD,CHF,0.114126
2021-01-04,HKD,CHF,0.113711
2021-01-05,HKD,CHF,0.113462
2021-01-06,HKD,CHF,0.113306
2021-01-07,HKD,CHF,0.113796
2021-01-08,HKD,CHF,0.114201
2021-01-09,HKD,CHF,0.114142
2021-01-10,HKD,CHF,0.114152
2021-01-11,HKD,CHF,0.11468
2021-01-12,HKD,CHF,0.114694
2021-01-13,HKD,CHF,0.114402
2021-01-14,HKD,CHF,0.114544
2021-01-15,HKD,CHF,0.114671
2021-01-16,HKD,CHF,0.114954
2021-01-17,HKD,CHF,0.114951
2021-01-18,HKD,CHF,0.114941
2021-01-19,HKD,CHF,0.114694
2021-01-20,HKD,CHF,0.11469
2021-01-21,HKD,CHF,0.114444
2021-01-22,HKD,CHF,0.114202
2021-01-23,HKD,CHF,0.114228
2021-01-24,HKD,CHF,0.114226
2021-01-25,HKD,CHF,0.114406
2021-01-26,HKD,CHF,0.114546
2021-01-27,HKD,CHF,0.114551
2021-01-28,HKD,CHF,0.114684
2021-01-29,HKD,CHF,0.114744
2021-01-30,HKD,CHF,0.114873
2021-01-31,HKD,CHF,0.114878
2021-02-01,HKD,CHF,0.115359
2021-02-02,HKD,CHF,0.115764
2021-02-03,HKD,CHF,0.115932
2021-02-04,HKD,CHF,0.116346
2021-02-05,HKD,CHF,0.116338
2021-02-06,HKD,CHF,0.115958
2021-02-07,HKD,CHF,0.11596
2021-02-08,HKD,CHF,0.11605
2021-02-09,HKD,CHF,0.115392
2021-02-10,HKD,CHF,0.114922
2021-02-11,HKD,CHF,0.114825
2021-02-12,HKD,CHF,0.114993
2021-02-13,HKD,CHF,0.11504
2021-02-14,HKD,CHF,0.115038
2021-02-15,HKD,CHF,0.114888
2021-02-16,HKD,CHF,0.11484
2021-02-17,HKD,CHF,0.115584
2021-02-18,HKD,CHF,0.11575
2021-02-19,HKD,CHF,0.115526
2021-02-20,HKD,CHF,0.115613
2021-02-21,HKD,CHF,0.115616
2021-02-22,HKD,CHF,0.115718
2021-02-23,HKD,CHF,0.11607
2021-02-24,HKD,CHF,0.116954
