date,base,quote,rate
2020-12-19,HKD,CNY,0.84324
2020-12-20,HKD,CNY,0.843238
2020-12-21,HKD,CNY,0.844794
2020-12-22,HKD,CNY,0.844278
2020-12-23,HKD,CNY,0.843828
2020-12-24,HKD,CNY,0.842412
2020-12-25,HKD,CNY,0.842858
2020-12-26,HKD,CNY,0.843721
2020-12-27,HKD,CNY,0.843722
2020-12-28,HKD,CNY,0.843055
2020-12-29,HKD,CNY,0.842422
2020-12-30,HKD,CNY,0.841744
2020-12-31,HKD,CNY,0.842628
2021-01-01,HKD,CNY,0.842389
2021-01-02,HKD,CNY,0.842373
2021-01-03,HKD,CNY,0.842377
2021-01-04,HKD,CNY,0.834546
2021-01-05,HKD,CNY,0.833006
2021-01-06,HKD,CNY,0.833062
2021-01-07,HKD,CNY,0.834194
2021-01-08,HKD,CNY,0.834456
2021-01-09,HKD,CNY,0.834844
2021-01-10,HKD,CNY,0.834856
2021-01-11,HKD,CNY,0.835666
2021-01-12,HKD,CNY,0.83381
2021-01-13,HKD,CNY,0.833742
2021-01-14,HKD,CNY,0.834504
2021-01-15,HKD,CNY,0.835104
2021-01-16,HKD,CNY,0.835836
2021-01-17,HKD,CNY,0.835836
2021-01-18,HKD,CNY,0.83704
2021-01-19,HKD,CNY,0.836241
2021-01-20,HKD,CNY,0.834428
2021-01-21,HKD,CNY,0.833628
2021-01-22,HKD,CNY,0.835473
2021-01-23,HKD,CNY,0.83615
2021-01-24,HKD,CNY,0.83615
2021-01-25,HKD,CNY,0.835784
2021-01-26,HKD,CNY,0.834577
2021-01-27,HKD,CNY,0.835014
2021-01-28,HKD,CNY,0.83402
2021-01-29,HKD,CNY,0.830847
2021-01-30,HKD,CNY,0.829038
2021-01-31,HKD,CNY,0.829039
2021-02-01,HKD,CNY,0.833556
2021-02-02,HKD,CNY,0.833132
2021-02-03,HKD,CNY,0.833362
2021-02-04,HKD,CNY,0.833982
2021-02-05,HKD,CNY,0.834588
2021-02-06,HKD,CNY,0.83408
2021-02-07,HKD,CNY,0.834082
2021-02-08,HKD,CNY,0.832534
2021-02-09,HKD,CNY,0.830868
2021-02-10,HKD,CNY,0.831634
2021-02-11,HKD,CNY,0.832987
2021-02-12,HKD,CNY,0.833002
2021-02-13,HKD,CNY,0.83299
2021-02-14,HKD,CNY,0.83299
2021-02-15,HKD,CNY,0.833049
2021-02-16,HKD,CNY,0.833004
2021-02-17,HKD,CNY,0.833079
2021-02-18,HKD,CNY,0.834734
2021-02-19,HKD,CNY,0.83671
2021-02-20,HKD,CNY,0.836674
2021-02-21,HKD,CNY,0.836674
2021-02-22,HKD,CNY,0.83425
2021-02-23,HKD,CNY,0.833658
2021-02-24,HKD,CNY,0.83267
2021-02-25,HKD,CNY,0.832288
2021-02-26,HKD,CNY,0.834106
2021-02-27,HKD,CNY,0.835058
2021-02-28,HKD,CNY,0.835058
2021-03-01,HKD,CNY,0.833567
2021-03-02,HKD,CNY,0.834161
2021-03-03,HKD,CNY,0.833607
2021-03-04,HKD,CNY,0.833857
2021-03-05,HKD,CNY,0.835566
