date,base,quote,rate
2020-12-19,HKD,EUR,0.105242
2020-12-20,HKD,EUR,0.105262
2020-12-21,HKD,EUR,0.105668
2020-12-22,HKD,EUR,0.105672
2020-12-23,HKD,EUR,0.105846
2020-12-24,HKD,EUR,0.105768
2020-12-25,HKD,EUR,0.105703
2020-12-26,HKD,EUR,0.105391
2020-12-27,HKD,EUR,0.105421
2020-12-28,HKD,EUR,0.105592
2020-12-29,HKD,EUR,0.10532
2020-12-30,HKD,EUR,0.105012
2020-12-31,HKD,EUR,0.105148
2021-01-01,HKD,EUR,0.105754
2021-01-02,HKD,EUR,0.105659
2021-01-03,HKD,EUR,0.105636
2021-01-04,HKD,EUR,0.105167
2021-01-05,HKD,EUR,0.10505
2021-01-06,HKD,EUR,0.104742
2021-01-07,HKD,EUR,0.104961
2021-01-08,HKD,EUR,0.105344
2021-01-09,HKD,EUR,0.105488
2021-01-10,HKD,EUR,0.105498
2021-01-11,HKD,EUR,0.105976
2021-01-12,HKD,EUR,0.105997
2021-01-13,HKD,EUR,0.105858
2021-01-14,HKD,EUR,0.106146
2021-01-15,HKD,EUR,0.106433
2021-01-16,HKD,EUR,0.106769
2021-01-17,HKD,EUR,0.106769
2021-01-18,HKD,EUR,0.106828
2021-01-19,HKD,EUR,0.106472
2021-01-20,HKD,EUR,0.106419
2021-01-21,HKD,EUR,0.106234
2021-01-22,HKD,EUR,0.105993
2021-01-23,HKD,EUR,0.105973
2021-01-24,HKD,EUR,0.105977
2021-01-25,HKD,EUR,0.106132
2021-01-26,HKD,EUR,0.106206
2021-01-27,HKD,EUR,0.106374
2021-01-28,HKD,EUR,0.106506
2021-01-29,HKD,EUR,0.106388
2021-01-30,HKD,EUR,0.106258
2021-01-31,HKD,EUR,0.106266
2021-02-01,HKD,EUR,0.106638
2021-02-02,HKD,EUR,0.107046
2021-02-03,HKD,EUR,0.10723
2021-02-04,HKD,EUR,0.10756
2021-02-05,HKD,EUR,0.107503
2021-02-06,HKD,EUR,0.107053
2021-02-07,HKD,EUR,0.107056
2021-02-08,HKD,EUR,0.107123
2021-02-09,HKD,EUR,0.10666
2021-02-10,HKD,EUR,0.10638
2021-02-11,HKD,EUR,0.106353
2021-02-12,HKD,EUR,0.106453
2021-02-13,HKD,EUR,0.10642
2021-02-14,HKD,EUR,0.106418
2021-02-15,HKD,EUR,0.106321
2021-02-16,HKD,EUR,0.106344
2021-02-17,HKD,EUR,0.106936
2021-02-18,HKD,EUR,0.106895
2021-02-19,HKD,EUR,0.106468
2021-02-20,HKD,EUR,0.106434
2021-02-21,HKD,EUR,0.106432
2021-02-22,HKD,EUR,0.106268
2021-02-23,HKD,EUR,0.10609
2021-02-24,HKD,EUR,0.106112
2021-02-25,HKD,EUR,0.105762
2021-02-26,HKD,EUR,0.106372
2021-02-27,HKD,EUR,0.106792
2021-02-28,HKD,EUR,0.106787
2021-03-01,HKD,EUR,0.106897
2021-03-02,HKD,EUR,0.107021
2021-03-03,HKD,EUR,0.10676
2021-03-04,HKD,EUR,0.107173
2021-03-05,HKD,EUR,0.107943
2021-03-06,HKD,EUR,0.10811
2021-03-07,HKD,EUR,0.108103
2021-03-08,HKD,EUR,0.108375
2021-03-09,HKD,EUR,0.108392
2021-03-10,HKD,EUR,0.108274
2021-03-11,HKD,EUR,0.107798
2021-03-12,HKD,EUR,0.10782
2021-03-13,HKD,EUR,0.107778
2021-03-14,HKD,EUR,0.10778
2021-03-15,HKD,EUR,0.107928
2021-03-16,HKD,EUR,0.108042
2021-03-17,HKD,EUR,0.108014
2021-03-18,HKD,EUR,0.107855
2021-03-19,HKD,EUR,0.108148
2021-03-20,HKD,EUR,0.108184
2021-03-21,HKD,EUR,0.108206
2021-03-22,HKD,EUR,0.108085
2021-03-23,HKD,EUR,0.108301
2021-03-24,HKD,EUR,0.108814
2021-03-25,HKD,EUR,0.109099
2021-03-26,HKD,EUR,0.109208
2021-03-27,HKD,EUR,0.109142
2021-03-28,HKD,EUR,0.109144
2021-03-29,HKD,EUR,0.109248
2021-03-30,HKD,EUR,0.109575
2021-03-31,HKD,EUR,0.109676
2021-04-01,HKD,EUR,0.109464
2021-04-02,HKD,EUR,0.109266
2021-04-03,HKD,EUR,0.109343
2021-04-04,HKD,EUR,0.109342
2021-04-05,HKD,EUR,0.109155
2021-04-06,HKD,EUR,0.108674
2021-04-07,HKD,EUR,0.10817
2021-04-08,HKD,EUR,0.1081
2021-04-09,HKD,EUR,0.108058
2021-04-10,HKD,EUR,0.108033
2021-04-11,HKD,EUR,0.108036
2021-04-12,HKD,EUR,0.108056
2021-04-13,HKD,EUR,0.107938
2021-04-14,HKD,EUR,0.107566
2021-04-15,HKD,EUR,0.10753
2021-04-16,HKD,EUR,0.10748
2021-04-17,HKD,EUR,0.107386
2021-04-18,HKD,EUR,0.107397
2021-04-19,HKD,EUR,0.107185
2021-04-20,HKD,EUR,0.106922
2021-04-21,HKD,EUR,0.107122
2021-04-22,HKD,EUR,0.107121
2021-04-23,HKD,EUR,0.10685
2021-04-24,HKD,EUR,0.106528
2021-04-25,HKD,EUR,0.106532
2021-04-26,HKD,EUR,0.10656
2021-04-27,HKD,EUR,0.106673
2021-04-28,HKD,EUR,0.106564
2021-04-29,HKD,EUR,0.106246
2021-04-30,HKD,EUR,0.10666
2021-05-01,HKD,EUR,0.10711
2021-05-02,HKD,EUR,0.107101
2021-05-03,HKD,EUR,0.106876
2021-05-04,HKD,EUR,0.10707
2021-05-05,HKD,EUR,0.107204
2021-05-06,HKD,EUR,0.106926
2021-05-07,HKD,EUR,0.106324
2021-05-08,HKD,EUR,0.105862
2021-05-09,HKD,EUR,0.105856
2021-05-10,HKD,EUR,0.105939
2021-05-11,HKD,EUR,0.105949
2021-05-12,HKD,EUR,0.106353
2021-05-13,HKD,EUR,0.106579
2021-05-14,HKD,EUR,0.106242
2021-05-15,HKD,EUR,0.105998
2021-05-16,HKD,EUR,0.105998
2021-05-17,HKD,EUR,0.105996
2021-05-18,HKD,EUR,0.105532
2021-05-19,HKD,EUR,0.10548
2021-05-20,HKD,EUR,0.10556
2021-05-21,HKD,EUR,0.105528
2021-05-22,HKD,EUR,0.105734
2021-05-23,HKD,EUR,0.105736
2021-05-24,HKD,EUR,0.105532
2021-05-25,HKD,EUR,0.105216
2021-05-26,HKD,EUR,0.105375
2021-05-27,HKD,EUR,0.105657
2021-05-28,HKD,EUR,0.105748
2021-05-29,HKD,EUR,0.105662
2021-05-30,HKD,EUR,0.105661
2021-05-31,HKD,EUR,0.105544
2021-06-01,HKD,EUR,0.105396
2021-06-02,HKD,EUR,0.105584
2021-06-03,HKD,EUR,0.105949
2021-06-04,HKD,EUR,0.106183
2021-06-05,HKD,EUR,0.10596
2021-06-06,HKD,EUR,0.105962
2021-06-07,HKD,EUR,0.105867
2021-06-08,HKD,EUR,0.105822
2021-06-09,HKD,EUR,0.105776
2021-06-10,HKD,EUR,0.105876
2021-06-11,HKD,EUR,0.106128
2021-06-12,HKD,EUR,0.106407
2021-06-13,HKD,EUR,0.106406
2021-06-14,HKD,EUR,0.106354
2021-06-15,HKD,EUR,0.106253
2021-06-16,HKD,EUR,0.106529
2021-06-17,HKD,EUR,0.107814
2021-06-18,HKD,EUR,0.108321
2021-06-19,HKD,EUR,0.108578
2021-06-20,HKD,EUR,0.108572
2021-06-21,HKD,EUR,0.108287
2021-06-22,HKD,EUR,0.108086
2021-06-23,HKD,EUR,0.107898
2021-06-24,HKD,EUR,0.107939
2021-06-25,HKD,EUR,0.10789
2021-06-26,HKD,EUR,0.107936
2021-06-27,HKD,EUR,0.107936
2021-06-28,HKD,EUR,0.108008
2021-06-29,HKD,EUR,0.108198
2021-06-30,HKD,EUR,0.108409
2021-07-01,HKD,EUR,0.108649
2021-07-02,HKD,EUR,0.108688
2021-07-03,HKD,EUR,0.10852
2021-07-04,HKD,EUR,0.108522
2021-07-05,HKD,EUR,0.108514
2021-07-06,HKD,EUR,0.108698
2021-07-07,HKD,EUR,0.108986
2021-07-08,HKD,EUR,0.108854
2021-07-09,HKD,EUR,0.108586
2021-07-10,HKD,EUR,0.108399
2021-07-11,HKD,EUR,0.108402
2021-07-12,HKD,EUR,0.10853
2021-07-13,HKD,EUR,0.108876
2021-07-14,HKD,EUR,0.109037
2021-07-15,HKD,EUR,0.108901
2021-07-16,HKD,EUR,0.109022
2021-07-17,HKD,EUR,0.109048
2021-07-18,HKD,EUR,0.109042
2021-07-19,HKD,EUR,0.10911
2021-07-20,HKD,EUR,0.109192
2021-07-21,HKD,EUR,0.109194
2021-07-22,HKD,EUR,0.109173
2021-07-23,HKD,EUR,0.10934
2021-07-24,HKD,EUR,0.109338
2021-07-25,HKD,EUR,0.109335
2021-07-26,HKD,EUR,0.109054
2021-07-27,HKD,EUR,0.108825
2021-07-28,HKD,EUR,0.108739
2021-07-29,HKD,EUR,0.108344
2021-07-30,HKD,EUR,0.108314
2021-07-31,HKD,EUR,0.10842
2021-08-01,HKD,EUR,0.108422
2021-08-02,HKD,EUR,0.10832
2021-08-03,HKD,EUR,0.108302
