date,base,quote,rate
2020-12-19,HKD,GBP,0.0954041
2020-12-20,HKD,GBP,0.09546
2020-12-21,HKD,GBP,0.0966101
2020-12-22,HKD,GBP,0.0963093
2020-12-23,HKD,GBP,0.0959038
2020-12-24,HKD,GBP,0.0951252
2020-12-25,HKD,GBP,0.0950858
2020-12-26,HKD,GBP,0.0950858
2020-12-27,HKD,GBP,0.0950905
2020-12-28,HKD,GBP,0.0954826
2020-12-29,HKD,GBP,0.0955829
2020-12-30,HKD,GBP,0.0949966
2020-12-31,HKD,GBP,0.0944956
2021-01-01,HKD,GBP,0.0943907
2021-01-02,HKD,GBP,0.0943907
2021-01-03,HKD,GBP,0.0943909
2021-01-04,HKD,GBP,0.094603
2021-01-05,HKD,GBP,0.0948558
2021-01-06,HKD,GBP,0.094728
2021-01-07,HKD,GBP,0.0949554
2021-01-08,HKD,GBP,0.0950086
2021-01-09,HKD,GBP,0.095021
2021-01-10,HKD,GBP,0.0950332
2021-01-11,HKD,GBP,0.0954926
2021-01-12,HKD,GBP,0.0948952
2021-01-13,HKD,GBP,0.0943904
2021-01-14,HKD,GBP,0.0944274
2021-01-15,HKD,GBP,0.094603
2021-01-16,HKD,GBP,0.09491
2021-01-17,HKD,GBP,0.0949091
2021-01-18,HKD,GBP,0.0950638
2021-01-19,HKD,GBP,0.0947463
2021-01-20,HKD,GBP,0.0944422
2021-01-21,HKD,GBP,0.0940909
2021-01-22,HKD,GBP,0.0942631
2021-01-23,HKD,GBP,0.0942759
2021-01-24,HKD,GBP,0.0942754
2021-01-25,HKD,GBP,0.0942728
2021-01-26,HKD,GBP,0.0942258
2021-01-27,HKD,GBP,0.0940558
2021-01-28,HKD,GBP,0.0942308
2021-01-29,HKD,GBP,0.094088
2021-01-30,HKD,GBP,0.0941084
2021-01-31,HKD,GBP,0.0941106
2021-02-01,HKD,GBP,0.0941338
2021-02-02,HKD,GBP,0.0943711
2021-02-03,HKD,GBP,0.0944968
2021-02-04,HKD,GBP,0.0945868
2021-02-05,HKD,GBP,0.0941251
2021-02-06,HKD,GBP,0.0938864
2021-02-07,HKD,GBP,0.0938902
2021-02-08,HKD,GBP,0.093977
2021-02-09,HKD,GBP,0.0935782
2021-02-10,HKD,GBP,0.0932467
2021-02-11,HKD,GBP,0.0932914
2021-02-12,HKD,GBP,0.0933574
2021-02-13,HKD,GBP,0.093124
2021-02-14,HKD,GBP,0.0931186
2021-02-15,HKD,GBP,0.0927868
2021-02-16,HKD,GBP,0.0926722
2021-02-17,HKD,GBP,0.0930035
2021-02-18,HKD,GBP,0.0926656
2021-02-19,HKD,GBP,0.0921678
2021-02-20,HKD,GBP,0.0920536
2021-02-21,HKD,GBP,0.0920506
2021-02-22,HKD,GBP,0.0918698
2021-02-23,HKD,GBP,0.0915478
2021-02-24,HKD,GBP,0.0911874
2021-02-25,HKD,GBP,0.091372
2021-02-26,HKD,GBP,0.092422
2021-02-27,HKD,GBP,0.0925686
2021-02-28,HKD,GBP,0.0925576
2021-03-01,HKD,GBP,0.0924102
2021-03-02,HKD,GBP,0.0926089
2021-03-03,HKD,GBP,0.0923358
2021-03-04,HKD,GBP,0.0924782
2021-03-05,HKD,GBP,0.0930278
2021-03-06,HKD,GBP,0.0931136
2021-03-07,HKD,GBP,0.0931065
2021-03-08,HKD,GBP,0.0930896
2021-03-09,HKD,GBP,0.092855
2021-03-10,HKD,GBP,0.0927242
2021-03-11,HKD,GBP,0.092332
2021-03-12,HKD,GBP,0.0924496
2021-03-13,HKD,GBP,0.092537
2021-03-14,HKD,GBP,0.0925334
2021-03-15,HKD,GBP,0.092577
2021-03-16,HKD,GBP,0.0928088
2021-03-17,HKD,GBP,0.092574
2021-03-18,HKD,GBP,0.0923465
2021-03-19,HKD,GBP,0.0926722
2021-03-20,HKD,GBP,0.0928655
2021-03-21,HKD,GBP,0.092888
2021-03-22,HKD,GBP,0.0929607
2021-03-23,HKD,GBP,0.0933272
2021-03-24,HKD,GBP,0.0938953
2021-03-25,HKD,GBP,0.0938647
2021-03-26,HKD,GBP,0.0934335
2021-03-27,HKD,GBP,0.0933232
2021-03-28,HKD,GBP,0.0933238
2021-03-29,HKD,GBP,0.0933166
2021-03-30,HKD,GBP,0.0935565
2021-03-31,HKD,GBP,0.0934347
2021-04-01,HKD,GBP,0.093193
2021-04-02,HKD,GBP,0.092963
2021-04-03,HKD,GBP,0.0929478
2021-04-04,HKD,GBP,0.0929564
2021-04-05,HKD,GBP,0.0927153
2021-04-06,HKD,GBP,0.0928092
2021-04-07,HKD,GBP,0.0932089
2021-04-08,HKD,GBP,0.0935048
2021-04-09,HKD,GBP,0.0937125
2021-04-10,HKD,GBP,0.0938042
2021-04-11,HKD,GBP,0.0938028
2021-04-12,HKD,GBP,0.0936676
2021-04-13,HKD,GBP,0.0936065
2021-04-14,HKD,GBP,0.0934387
2021-04-15,HKD,GBP,0.093409
2021-04-16,HKD,GBP,0.093302
2021-04-17,HKD,GBP,0.0929638
2021-04-18,HKD,GBP,0.0929748
2021-04-19,HKD,GBP,0.092496
2021-04-20,HKD,GBP,0.0922186
2021-04-21,HKD,GBP,0.092478
2021-04-22,HKD,GBP,0.0928
2021-04-23,HKD,GBP,0.092918
2021-04-24,HKD,GBP,0.0928788
2021-04-25,HKD,GBP,0.0928774
2021-04-26,HKD,GBP,0.092719
2021-04-27,HKD,GBP,0.0927134
2021-04-28,HKD,GBP,0.0926766
2021-04-29,HKD,GBP,0.092342
2021-04-30,HKD,GBP,0.0927579
2021-05-01,HKD,GBP,0.0931727
2021-05-02,HKD,GBP,0.093173
2021-05-03,HKD,GBP,0.0928229
2021-05-04,HKD,GBP,0.0927594
2021-05-05,HKD,GBP,0.0925732
2021-05-06,HKD,GBP,0.092617
2021-05-07,HKD,GBP,0.0923406
2021-05-08,HKD,GBP,0.0920671
2021-05-09,HKD,GBP,0.0920402
2021-05-10,HKD,GBP,0.0913614
2021-05-11,HKD,GBP,0.0910743
2021-05-12,HKD,GBP,0.0912995
2021-05-13,HKD,GBP,0.0916491
2021-05-14,HKD,GBP,0.0914787
2021-05-15,HKD,GBP,0.0913276
2021-05-16,HKD,GBP,0.0913251
2021-05-17,HKD,GBP,0.0912412
2021-05-18,HKD,GBP,0.0907657
2021-05-19,HKD,GBP,0.0909586
2021-05-20,HKD,GBP,0.0910562
2021-05-21,HKD,GBP,0.0908599
2021-05-22,HKD,GBP,0.0910298
2021-05-23,HKD,GBP,0.091031
2021-05-24,HKD,GBP,0.0910207
2021-05-25,HKD,GBP,0.0909704
2021-05-26,HKD,GBP,0.091096
2021-05-27,HKD,GBP,0.0910226
2021-05-28,HKD,GBP,0.0908386
2021-05-29,HKD,GBP,0.0907932
2021-05-30,HKD,GBP,0.0907958
2021-05-31,HKD,GBP,0.0907822
