date,base,quote,rate
2020-12-19,HKD,INR,9.4819
2020-12-20,HKD,INR,9.48189
2020-12-21,HKD,INR,9.51857
2020-12-22,HKD,INR,9.53176
2020-12-23,HKD,INR,9.51856
2020-12-24,HKD,INR,9.48835
2020-12-25,HKD,INR,9.48426
2020-12-26,HKD,INR,9.48426
2020-12-27,HKD,INR,9.48443
2020-12-28,HKD,INR,9.48068
2020-12-29,HKD,INR,9.4627
2020-12-30,HKD,INR,9.44402
2020-12-31,HKD,INR,9.41896
2021-01-01,HKD,INR,9.41786
2021-01-02,HKD,INR,9.41786
2021-01-03,HKD,INR,9.4178
2021-01-04,HKD,INR,9.41562
2021-01-05,HKD,INR,9.43286
2021-01-06,HKD,INR,9.43194
2021-01-07,HKD,INR,9.45403
2021-01-08,HKD,INR,9.45946
2021-01-09,HKD,INR,9.4599
2021-01-10,HKD,INR,9.46005
2021-01-11,HKD,INR,9.47428
2021-01-12,HKD,INR,9.45553
2021-01-13,HKD,INR,9.43844
2021-01-14,HKD,INR,9.43194
2021-01-15,HKD,INR,9.4332
2021-01-16,HKD,INR,9.44546
2021-01-17,HKD,INR,9.44545
2021-01-18,HKD,INR,9.45078
2021-01-19,HKD,INR,9.44436
2021-01-20,HKD,INR,9.4228
2021-01-21,HKD,INR,9.41451
2021-01-22,HKD,INR,9.42
2021-01-23,HKD,INR,9.42045
2021-01-24,HKD,INR,9.42045
2021-01-25,HKD,INR,9.41705
2021-01-26,HKD,INR,9.41752
2021-01-27,HKD,INR,9.41852
2021-01-28,HKD,INR,9.42771
2021-01-29,HKD,INR,9.41494
2021-01-30,HKD,INR,9.41559
2021-01-31,HKD,INR,9.4156
2021-02-01,HKD,INR,9.43342
2021-02-02,HKD,INR,9.42506
2021-02-03,HKD,INR,9.41222
2021-02-04,HKD,INR,9.41122
2021-02-05,HKD,INR,9.40514
2021-02-06,HKD,INR,9.39224
2021-02-07,HKD,INR,9.39226
2021-02-08,HKD,INR,9.40872
2021-02-09,HKD,INR,9.40738
2021-02-10,HKD,INR,9.4003
2021-02-11,HKD,INR,9.38766
2021-02-12,HKD,INR,9.37694
2021-02-13,HKD,INR,9.36606
2021-02-14,HKD,INR,9.36606
2021-02-15,HKD,INR,9.37024
2021-02-16,HKD,INR,9.39106
2021-02-17,HKD,INR,9.394
2021-02-18,HKD,INR,9.3731
2021-02-19,HKD,INR,9.3575
2021-02-20,HKD,INR,9.36066
2021-02-21,HKD,INR,9.36066
2021-02-22,HKD,INR,9.3501
2021-02-23,HKD,INR,9.34309
2021-02-24,HKD,INR,9.33152
2021-02-25,HKD,INR,9.36639
2021-02-26,HKD,INR,9.49074
2021-02-27,HKD,INR,9.51602
2021-02-28,HKD,INR,9.516
2021-03-01,HKD,INR,9.47757
2021-03-02,HKD,INR,9.45959
2021-03-03,HKD,INR,9.41521
2021-03-04,HKD,INR,9.39676
2021-03-05,HKD,INR,9.4142
2021-03-06,HKD,INR,9.4265
2021-03-07,HKD,INR,9.42642
2021-03-08,HKD,INR,9.43448
2021-03-09,HKD,INR,9.40376
2021-03-10,HKD,INR,9.38197
2021-03-11,HKD,INR,9.36354
2021-03-12,HKD,INR,9.37298
2021-03-13,HKD,INR,9.36925
2021-03-14,HKD,INR,9.36918
2021-03-15,HKD,INR,9.35876
2021-03-16,HKD,INR,9.35202
2021-03-17,HKD,INR,9.35055
2021-03-18,HKD,INR,9.36054
2021-03-19,HKD,INR,9.35592
2021-03-20,HKD,INR,9.34888
2021-03-21,HKD,INR,9.34882
2021-03-22,HKD,INR,9.34142
2021-03-23,HKD,INR,9.35262
2021-03-24,HKD,INR,9.37798
2021-03-25,HKD,INR,9.37372
2021-03-26,HKD,INR,9.35194
2021-03-27,HKD,INR,9.34786
2021-03-28,HKD,INR,9.34784
2021-03-29,HKD,INR,9.36743
2021-03-30,HKD,INR,9.4286
2021-03-31,HKD,INR,9.42803
2021-04-01,HKD,INR,9.43058
2021-04-02,HKD,INR,9.43487
2021-04-03,HKD,INR,9.44056
2021-04-04,HKD,INR,9.4406
2021-04-05,HKD,INR,9.42927
2021-04-06,HKD,INR,9.43794
2021-04-07,HKD,INR,9.53236
2021-04-08,HKD,INR,9.57916
2021-04-09,HKD,INR,9.60338
2021-04-10,HKD,INR,9.60442
2021-04-11,HKD,INR,9.60443
2021-04-12,HKD,INR,9.64172
2021-04-13,HKD,INR,9.68259
2021-04-14,HKD,INR,9.67571
2021-04-15,HKD,INR,9.65489
2021-04-16,HKD,INR,9.60012
2021-04-17,HKD,INR,9.59941
2021-04-18,HKD,INR,9.59946
2021-04-19,HKD,INR,9.63938
2021-04-20,HKD,INR,9.6788
2021-04-21,HKD,INR,9.72015
2021-04-22,HKD,INR,9.6831
2021-04-23,HKD,INR,9.6639
2021-04-24,HKD,INR,9.65435
2021-04-25,HKD,INR,9.65417
2021-04-26,HKD,INR,9.64501
2021-04-27,HKD,INR,9.62322
2021-04-28,HKD,INR,9.5974
