date,base,quote,rate
2025-06-24,HKD,KZT,66.0018
2025-06-25,HKD,KZT,66.035
2025-06-26,HKD,KZT,65.9539
2025-06-27,HKD,KZT,66.203
2025-06-28,HKD,KZT,66.174
2025-06-29,HKD,KZT,66.1743
2025-06-30,HKD,KZT,66.2388
2025-07-01,HKD,KZT,66.1594
2025-07-02,HKD,KZT,66.0816
2025-07-03,HKD,KZT,66.1058
2025-07-04,HKD,KZT,66.1977
2025-07-05,HKD,KZT,66.1625
2025-07-06,HKD,KZT,66.162
2025-07-07,HKD,KZT,66.1816
2025-07-08,HKD,KZT,66.1508
2025-07-09,HKD,KZT,66.1185
2025-07-10,HKD,KZT,66.051
2025-07-11,HKD,KZT,66.4316
2025-07-12,HKD,KZT,66.643
2025-07-13,HKD,KZT,66.6428
2025-07-14,HKD,KZT,66.726
2025-07-15,HKD,KZT,66.9574
2025-07-16,HKD,KZT,67.2546
2025-07-17,HKD,KZT,67.6998
2025-07-18,HKD,KZT,67.871
2025-07-19,HKD,KZT,67.8554
2025-07-20,HKD,KZT,67.8554
2025-07-21,HKD,KZT,67.673
2025-07-22,HKD,KZT,67.769
2025-07-23,HKD,KZT,68.3466
2025-07-24,HKD,KZT,68.9052
2025-07-25,HKD,KZT,69.3476
2025-07-26,HKD,KZT,69.4552
2025-07-27,HKD,KZT,69.4554
2025-07-28,HKD,KZT,69.2092
2025-07-29,HKD,KZT,69.2308
2025-07-30,HKD,KZT,69.2764
2025-07-31,HKD,KZT,68.9672
2025-08-01,HKD,KZT,69.0404
2025-08-02,HKD,KZT,69.144
2025-08-03,HKD,KZT,69.0961
2025-08-04,HKD,KZT,68.7342
2025-08-05,HKD,KZT,68.6106
2025-08-06,HKD,KZT,68.4623
2025-08-07,HKD,KZT,68.5446
2025-08-08,HKD,KZT,68.7812
2025-08-09,HKD,KZT,68.8402
2025-08-10,HKD,KZT,68.8402
2025-08-11,HKD,KZT,69.1036
2025-08-12,HKD,KZT,69.0942
2025-08-13,HKD,KZT,68.6992
2025-08-14,HKD,KZT,68.7162
2025-08-15,HKD,KZT,69.0618
2025-08-16,HKD,KZT,69.1529
2025-08-17,HKD,KZT,69.1535
2025-08-18,HKD,KZT,69.0034
2025-08-19,HKD,KZT,69.0415
2025-08-20,HKD,KZT,68.9293
2025-08-21,HKD,KZT,68.825
2025-08-22,HKD,KZT,68.818
2025-08-23,HKD,KZT,68.7662
2025-08-24,HKD,KZT,68.7656
2025-08-25,HKD,KZT,68.466
2025-08-26,HKD,KZT,68.6545
2025-08-27,HKD,KZT,69.0472
2025-08-28,HKD,KZT,69.0606
2025-08-29,HKD,KZT,69.0648
2025-08-30,HKD,KZT,69.0945
2025-08-31,HKD,KZT,69.0951
2025-09-01,HKD,KZT,69.0406
2025-09-02,HKD,KZT,69.133
2025-09-03,HKD,KZT,69.1928
2025-09-04,HKD,KZT,69.2158
2025-09-05,HKD,KZT,69.0078
2025-09-06,HKD,KZT,68.8696
2025-09-07,HKD,KZT,68.8694
2025-09-08,HKD,KZT,68.674
2025-09-09,HKD,KZT,68.7822
2025-09-10,HKD,KZT,69.1372
2025-09-11,HKD,KZT,69.207
2025-09-12,HKD,KZT,69.347
2025-09-13,HKD,KZT,69.5257
2025-09-14,HKD,KZT,69.5251
2025-09-15,HKD,KZT,69.5234
2025-09-16,HKD,KZT,69.4735
2025-09-17,HKD,KZT,69.502
2025-09-18,HKD,KZT,69.6269
2025-09-19,HKD,KZT,69.6568
2025-09-20,HKD,KZT,69.6391
2025-09-21,HKD,KZT,69.639
2025-09-22,HKD,KZT,69.9012
2025-09-23,HKD,KZT,70.0252
2025-09-24,HKD,KZT,69.8417
2025-09-25,HKD,KZT,69.7163
2025-09-26,HKD,KZT,69.992
2025-09-27,HKD,KZT,69.9058
2025-09-28,HKD,KZT,69.9054
2025-09-29,HKD,KZT,70.242
2025-09-30,HKD,KZT,70.553
2025-10-01,HKD,KZT,70.4852
2025-10-02,HKD,KZT,70.3358
2025-10-03,HKD,KZT,70.3324
2025-10-04,HKD,KZT,70.3442
2025-10-05,HKD,KZT,70.3443
2025-10-06,HKD,KZT,70.106
2025-10-07,HKD,KZT,69.6018
2025-10-08,HKD,KZT,69.4698
2025-10-09,HKD,KZT,69.6042
2025-10-10,HKD,KZT,69.3599
2025-10-11,HKD,KZT,68.9694
2025-10-12,HKD,KZT,68.9772
2025-10-13,HKD,KZT,69.0676
2025-10-14,HKD,KZT,69.3156
2025-10-15,HKD,KZT,69.264
2025-10-16,HKD,KZT,69.1643
2025-10-17,HKD,KZT,69.1188
2025-10-18,HKD,KZT,69.4519
2025-10-19,HKD,KZT,69.4516
2025-10-20,HKD,KZT,69.3208
2025-10-21,HKD,KZT,69.3048
2025-10-22,HKD,KZT,69.3138
2025-10-23,HKD,KZT,69.2174
2025-10-24,HKD,KZT,69.2073
2025-10-25,HKD,KZT,69.256
2025-10-26,HKD,KZT,69.2527
2025-10-27,HKD,KZT,69.2174
2025-10-28,HKD,KZT,68.9018
2025-10-29,HKD,KZT,68.2964
2025-10-30,HKD,KZT,68.1984
2025-10-31,HKD,KZT,68.2617
2025-11-01,HKD,KZT,68.178
2025-11-02,HKD,KZT,68.1707
2025-11-03,HKD,KZT,67.8608
2025-11-04,HKD,KZT,67.476
2025-11-05,HKD,KZT,67.4944
2025-11-06,HKD,KZT,67.6363
2025-11-07,HKD,KZT,67.552
2025-11-08,HKD,KZT,67.4876
2025-11-09,HKD,KZT,67.487
2025-11-10,HKD,KZT,67.407
2025-11-11,HKD,KZT,67.492
2025-11-12,HKD,KZT,67.532
2025-11-13,HKD,KZT,67.417
2025-11-14,HKD,KZT,67.3647
2025-11-15,HKD,KZT,67.4178
2025-11-16,HKD,KZT,67.4184
2025-11-17,HKD,KZT,67.3218
2025-11-18,HKD,KZT,66.9493
2025-11-19,HKD,KZT,66.6659
2025-11-20,HKD,KZT,66.7048
2025-11-21,HKD,KZT,66.7184
2025-11-22,HKD,KZT,66.8784
2025-11-23,HKD,KZT,66.878
2025-11-24,HKD,KZT,66.822
2025-11-25,HKD,KZT,66.738
2025-11-26,HKD,KZT,66.597
2025-11-27,HKD,KZT,66.4367
2025-11-28,HKD,KZT,66.0527
2025-11-29,HKD,KZT,65.888
2025-11-30,HKD,KZT,65.8813
2025-12-01,HKD,KZT,65.6776
2025-12-02,HKD,KZT,65.3702
2025-12-03,HKD,KZT,64.7736
2025-12-04,HKD,KZT,64.7372
2025-12-05,HKD,KZT,64.966
2025-12-06,HKD,KZT,64.9678
2025-12-07,HKD,KZT,64.968
2025-12-08,HKD,KZT,65.3768
2025-12-09,HKD,KZT,66.0638
2025-12-10,HKD,KZT,66.4891
2025-12-11,HKD,KZT,66.6632
2025-12-12,HKD,KZT,66.9292
2025-12-13,HKD,KZT,66.9867
2025-12-14,HKD,KZT,66.984
2025-12-15,HKD,KZT,66.5798
2025-12-16,HKD,KZT,66.2778
2025-12-17,HKD,KZT,66.1907
2025-12-18,HKD,KZT,66.1668
