date,base,quote,rate
2020-12-19,HKD,RUB,9.4719
2020-12-20,HKD,RUB,9.47395
2020-12-21,HKD,RUB,9.62696
2020-12-22,HKD,RUB,9.71917
2020-12-23,HKD,RUB,9.7199
2020-12-24,HKD,RUB,9.60954
2020-12-25,HKD,RUB,9.54776
2020-12-26,HKD,RUB,9.55184
2020-12-27,HKD,RUB,9.55006
2020-12-28,HKD,RUB,9.52635
2020-12-29,HKD,RUB,9.52292
2020-12-30,HKD,RUB,9.57374
2020-12-31,HKD,RUB,9.59536
2021-01-01,HKD,RUB,9.5427
2021-01-02,HKD,RUB,9.54022
2021-01-03,HKD,RUB,9.54032
2021-01-04,HKD,RUB,9.53742
2021-01-05,HKD,RUB,9.59232
2021-01-06,HKD,RUB,9.5332
2021-01-07,HKD,RUB,9.58435
2021-01-08,HKD,RUB,9.58164
2021-01-09,HKD,RUB,9.55125
2021-01-10,HKD,RUB,9.5514
2021-01-11,HKD,RUB,9.61601
2021-01-12,HKD,RUB,9.55284
2021-01-13,HKD,RUB,9.50017
2021-01-14,HKD,RUB,9.47736
2021-01-15,HKD,RUB,9.47717
2021-01-16,HKD,RUB,9.4825
2021-01-17,HKD,RUB,9.4835
2021-01-18,HKD,RUB,9.54111
2021-01-19,HKD,RUB,9.5181
2021-01-20,HKD,RUB,9.48849
2021-01-21,HKD,RUB,9.50172
2021-01-22,HKD,RUB,9.63409
2021-01-23,HKD,RUB,9.71124
2021-01-24,HKD,RUB,9.7121
2021-01-25,HKD,RUB,9.71967
2021-01-26,HKD,RUB,9.71308
2021-01-27,HKD,RUB,9.73158
2021-01-28,HKD,RUB,9.8086
2021-01-29,HKD,RUB,9.79508
2021-01-30,HKD,RUB,9.79559
2021-01-31,HKD,RUB,9.79508
2021-02-01,HKD,RUB,9.78778
2021-02-02,HKD,RUB,9.79321
2021-02-03,HKD,RUB,9.80538
2021-02-04,HKD,RUB,9.76342
2021-02-05,HKD,RUB,9.67418
2021-02-06,HKD,RUB,9.62834
2021-02-07,HKD,RUB,9.62852
2021-02-08,HKD,RUB,9.60222
