date,base,quote,rate
2020-12-19,HKD,USD,0.128995
2020-12-20,HKD,USD,0.128994
2020-12-21,HKD,USD,0.128984
2020-12-22,HKD,USD,0.128985
2020-12-23,HKD,USD,0.128986
2020-12-24,HKD,USD,0.128982
2020-12-25,HKD,USD,0.128974
2020-12-26,HKD,USD,0.128974
2020-12-27,HKD,USD,0.128974
2020-12-28,HKD,USD,0.128978
2020-12-29,HKD,USD,0.128972
2020-12-30,HKD,USD,0.128988
2020-12-31,HKD,USD,0.128988
2021-01-01,HKD,USD,0.12899
2021-01-02,HKD,USD,0.12899
2021-01-03,HKD,USD,0.12899
2021-01-04,HKD,USD,0.128981
2021-01-05,HKD,USD,0.128982
2021-01-06,HKD,USD,0.128982
2021-01-07,HKD,USD,0.128979
2021-01-08,HKD,USD,0.128964
2021-01-09,HKD,USD,0.128926
2021-01-10,HKD,USD,0.128927
2021-01-11,HKD,USD,0.12895
2021-01-12,HKD,USD,0.128953
2021-01-13,HKD,USD,0.128968
2021-01-14,HKD,USD,0.128973
2021-01-15,HKD,USD,0.128972
2021-01-16,HKD,USD,0.128971
2021-01-17,HKD,USD,0.128971
2021-01-18,HKD,USD,0.128976
2021-01-19,HKD,USD,0.128992
2021-01-20,HKD,USD,0.129004
2021-01-21,HKD,USD,0.129004
2021-01-22,HKD,USD,0.128998
2021-01-23,HKD,USD,0.128998
2021-01-24,HKD,USD,0.128998
2021-01-25,HKD,USD,0.129004
2021-01-26,HKD,USD,0.129002
2021-01-27,HKD,USD,0.129
2021-01-28,HKD,USD,0.128986
2021-01-29,HKD,USD,0.128982
2021-01-30,HKD,USD,0.128978
2021-01-31,HKD,USD,0.128979
2021-02-01,HKD,USD,0.128983
2021-02-02,HKD,USD,0.128997
2021-02-03,HKD,USD,0.129009
2021-02-04,HKD,USD,0.128994
2021-02-05,HKD,USD,0.128988
2021-02-06,HKD,USD,0.12898
2021-02-07,HKD,USD,0.128981
2021-02-08,HKD,USD,0.128991
2021-02-09,HKD,USD,0.129
2021-02-10,HKD,USD,0.128994
2021-02-11,HKD,USD,0.128987
2021-02-12,HKD,USD,0.128984
2021-02-13,HKD,USD,0.128982
2021-02-14,HKD,USD,0.128982
2021-02-15,HKD,USD,0.128987
2021-02-16,HKD,USD,0.128992
2021-02-17,HKD,USD,0.12899
2021-02-18,HKD,USD,0.128988
2021-02-19,HKD,USD,0.12898
2021-02-20,HKD,USD,0.128979
2021-02-21,HKD,USD,0.128979
2021-02-22,HKD,USD,0.128976
2021-02-23,HKD,USD,0.128972
2021-02-24,HKD,USD,0.128956
2021-02-25,HKD,USD,0.128965
2021-02-26,HKD,USD,0.128932
2021-02-27,HKD,USD,0.128926
2021-02-28,HKD,USD,0.128926
2021-03-01,HKD,USD,0.128918
2021-03-02,HKD,USD,0.128909
2021-03-03,HKD,USD,0.128916
2021-03-04,HKD,USD,0.128893
2021-03-05,HKD,USD,0.128821
2021-03-06,HKD,USD,0.128812
2021-03-07,HKD,USD,0.128812
2021-03-08,HKD,USD,0.128737
2021-03-09,HKD,USD,0.128798
2021-03-10,HKD,USD,0.128831
2021-03-11,HKD,USD,0.12887
2021-03-12,HKD,USD,0.128824
2021-03-13,HKD,USD,0.128817
2021-03-14,HKD,USD,0.128816
2021-03-15,HKD,USD,0.128792
2021-03-16,HKD,USD,0.128776
2021-03-17,HKD,USD,0.128768
2021-03-18,HKD,USD,0.128787
2021-03-19,HKD,USD,0.12877
2021-03-20,HKD,USD,0.128783
2021-03-21,HKD,USD,0.128782
2021-03-22,HKD,USD,0.128769
2021-03-23,HKD,USD,0.12875
2021-03-24,HKD,USD,0.128727
2021-03-25,HKD,USD,0.128718
2021-03-26,HKD,USD,0.128716
2021-03-27,HKD,USD,0.128716
2021-03-28,HKD,USD,0.128716
2021-03-29,HKD,USD,0.128655
2021-03-30,HKD,USD,0.128624
2021-03-31,HKD,USD,0.128627
2021-04-01,HKD,USD,0.128612
2021-04-02,HKD,USD,0.128604
2021-04-03,HKD,USD,0.128596
2021-04-04,HKD,USD,0.128598
2021-04-05,HKD,USD,0.128602
2021-04-06,HKD,USD,0.128595
2021-04-07,HKD,USD,0.128484
2021-04-08,HKD,USD,0.128538
2021-04-09,HKD,USD,0.128567
2021-04-10,HKD,USD,0.128568
2021-04-11,HKD,USD,0.128568
2021-04-12,HKD,USD,0.12861
2021-04-13,HKD,USD,0.128643
2021-04-14,HKD,USD,0.128732
2021-04-15,HKD,USD,0.128748
2021-04-16,HKD,USD,0.128704
2021-04-17,HKD,USD,0.128675
2021-04-18,HKD,USD,0.128676
2021-04-19,HKD,USD,0.12873
2021-04-20,HKD,USD,0.128807
2021-04-21,HKD,USD,0.128815
2021-04-22,HKD,USD,0.128858
2021-04-23,HKD,USD,0.12885
2021-04-24,HKD,USD,0.128876
2021-04-25,HKD,USD,0.128874
2021-04-26,HKD,USD,0.128865
2021-04-27,HKD,USD,0.128842
2021-04-28,HKD,USD,0.128822
2021-04-29,HKD,USD,0.128818
2021-04-30,HKD,USD,0.128774
2021-05-01,HKD,USD,0.128744
2021-05-02,HKD,USD,0.128744
2021-05-03,HKD,USD,0.128752
2021-05-04,HKD,USD,0.128746
2021-05-05,HKD,USD,0.128718
2021-05-06,HKD,USD,0.128724
2021-05-07,HKD,USD,0.128754
2021-05-08,HKD,USD,0.128766
2021-05-09,HKD,USD,0.128766
2021-05-10,HKD,USD,0.128768
2021-05-11,HKD,USD,0.128745
2021-05-12,HKD,USD,0.128756
2021-05-13,HKD,USD,0.12874
2021-05-14,HKD,USD,0.12875
2021-05-15,HKD,USD,0.128742
2021-05-16,HKD,USD,0.128743
2021-05-17,HKD,USD,0.128752
2021-05-18,HKD,USD,0.128772
2021-05-19,HKD,USD,0.128788
2021-05-20,HKD,USD,0.12881
2021-05-21,HKD,USD,0.128802
2021-05-22,HKD,USD,0.1288
2021-05-23,HKD,USD,0.1288
2021-05-24,HKD,USD,0.128786
2021-05-25,HKD,USD,0.128819
2021-05-26,HKD,USD,0.128826
2021-05-27,HKD,USD,0.128844
2021-05-28,HKD,USD,0.128852
2021-05-29,HKD,USD,0.12884
2021-05-30,HKD,USD,0.12884
2021-05-31,HKD,USD,0.128848
2021-06-01,HKD,USD,0.128876
2021-06-02,HKD,USD,0.128881
2021-06-03,HKD,USD,0.128896
2021-06-04,HKD,USD,0.128909
2021-06-05,HKD,USD,0.128916
2021-06-06,HKD,USD,0.128916
2021-06-07,HKD,USD,0.128896
2021-06-08,HKD,USD,0.128876
2021-06-09,HKD,USD,0.128874
2021-06-10,HKD,USD,0.128866
2021-06-11,HKD,USD,0.128864
2021-06-12,HKD,USD,0.128846
2021-06-13,HKD,USD,0.128846
2021-06-14,HKD,USD,0.128838
2021-06-15,HKD,USD,0.128826
2021-06-16,HKD,USD,0.12883
2021-06-17,HKD,USD,0.128794
2021-06-18,HKD,USD,0.128808
2021-06-19,HKD,USD,0.128824
2021-06-20,HKD,USD,0.128822
2021-06-21,HKD,USD,0.128792
2021-06-22,HKD,USD,0.128771
2021-06-23,HKD,USD,0.128776
2021-06-24,HKD,USD,0.128798
2021-06-25,HKD,USD,0.128838
2021-06-26,HKD,USD,0.128841
2021-06-27,HKD,USD,0.12884
2021-06-28,HKD,USD,0.128828
2021-06-29,HKD,USD,0.128812
2021-06-30,HKD,USD,0.12878
2021-07-01,HKD,USD,0.12878
2021-07-02,HKD,USD,0.128752
2021-07-03,HKD,USD,0.12876
2021-07-04,HKD,USD,0.12876
2021-07-05,HKD,USD,0.128742
