date,base,quote,rate
2021-01-28,HUF,AED,0.01236
2021-01-29,HUF,AED,0.0124312
2021-01-30,HUF,AED,0.0124714
2021-01-31,HUF,AED,0.012471
2021-02-01,HUF,AED,0.0124612
2021-02-02,HUF,AED,0.0124466
2021-02-03,HUF,AED,0.0124343
2021-02-04,HUF,AED,0.0123852
2021-02-05,HUF,AED,0.0123708
2021-02-06,HUF,AED,0.0124099
2021-02-07,HUF,AED,0.0124092
2021-02-08,HUF,AED,0.0123559
2021-02-09,HUF,AED,0.0123906
2021-02-10,HUF,AED,0.0124564
2021-02-11,HUF,AED,0.0124634
2021-02-12,HUF,AED,0.012408
2021-02-13,HUF,AED,0.0124134
2021-02-14,HUF,AED,0.0124134
2021-02-15,HUF,AED,0.0124401
2021-02-16,HUF,AED,0.0124414
2021-02-17,HUF,AED,0.0123434
2021-02-18,HUF,AED,0.012357
2021-02-19,HUF,AED,0.012409
2021-02-20,HUF,AED,0.012417
2021-02-21,HUF,AED,0.0124168
2021-02-22,HUF,AED,0.0124202
2021-02-23,HUF,AED,0.01244
2021-02-24,HUF,AED,0.0124244
2021-02-25,HUF,AED,0.012424
2021-02-26,HUF,AED,0.0123006
2021-02-27,HUF,AED,0.0122387
2021-02-28,HUF,AED,0.0122394
2021-03-01,HUF,AED,0.0121984
2021-03-02,HUF,AED,0.0121515
2021-03-03,HUF,AED,0.0121808
2021-03-04,HUF,AED,0.0121121
2021-03-05,HUF,AED,0.0119673
2021-03-06,HUF,AED,0.0119116
2021-03-07,HUF,AED,0.0119136
2021-03-08,HUF,AED,0.0118746
2021-03-09,HUF,AED,0.0118904
2021-03-10,HUF,AED,0.0119114
2021-03-11,HUF,AED,0.0120017
2021-03-12,HUF,AED,0.0119871
2021-03-13,HUF,AED,0.0119616
2021-03-14,HUF,AED,0.0119624
2021-03-15,HUF,AED,0.0119368
2021-03-16,HUF,AED,0.011919
2021-03-17,HUF,AED,0.011918
2021-03-18,HUF,AED,0.0119269
2021-03-19,HUF,AED,0.0118824
2021-03-20,HUF,AED,0.0118927
2021-03-21,HUF,AED,0.0118893
2021-03-22,HUF,AED,0.0119211
2021-03-23,HUF,AED,0.0119242
2021-03-24,HUF,AED,0.0118932
2021-03-25,HUF,AED,0.0118882
2021-03-26,HUF,AED,0.0119094
2021-03-27,HUF,AED,0.0119449
2021-03-28,HUF,AED,0.0119443
2021-03-29,HUF,AED,0.0119248
2021-03-30,HUF,AED,0.0118746
2021-03-31,HUF,AED,0.0118696
2021-04-01,HUF,AED,0.0119319
2021-04-02,HUF,AED,0.0119668
2021-04-03,HUF,AED,0.0119714
2021-04-04,HUF,AED,0.0119692
2021-04-05,HUF,AED,0.0119956
2021-04-06,HUF,AED,0.0120514
2021-04-07,HUF,AED,0.0121249
2021-04-08,HUF,AED,0.0121772
2021-04-09,HUF,AED,0.0122068
2021-04-10,HUF,AED,0.0122265
2021-04-11,HUF,AED,0.012226
2021-04-12,HUF,AED,0.0122414
2021-04-13,HUF,AED,0.0122096
2021-04-14,HUF,AED,0.0122493
2021-04-15,HUF,AED,0.012251
2021-04-16,HUF,AED,0.0121956
2021-04-17,HUF,AED,0.0121797
2021-04-18,HUF,AED,0.0121796
2021-04-19,HUF,AED,0.0122174
2021-04-20,HUF,AED,0.0122532
2021-04-21,HUF,AED,0.012199
2021-04-22,HUF,AED,0.0121632
2021-04-23,HUF,AED,0.0121829
2021-04-24,HUF,AED,0.0122326
2021-04-25,HUF,AED,0.0122306
2021-04-26,HUF,AED,0.012217
2021-04-27,HUF,AED,0.0122201
2021-04-28,HUF,AED,0.0122607
2021-04-29,HUF,AED,0.0123412
2021-04-30,HUF,AED,0.012319
2021-05-01,HUF,AED,0.0122638
2021-05-02,HUF,AED,0.0122644
2021-05-03,HUF,AED,0.0122958
2021-05-04,HUF,AED,0.0122698
2021-05-05,HUF,AED,0.012268
2021-05-06,HUF,AED,0.0123326
2021-05-07,HUF,AED,0.012412
2021-05-08,HUF,AED,0.0124506
2021-05-09,HUF,AED,0.0124557
2021-05-10,HUF,AED,0.012474
2021-05-11,HUF,AED,0.0124548
2021-05-12,HUF,AED,0.0124283
2021-05-13,HUF,AED,0.0124254
2021-05-14,HUF,AED,0.0125073
2021-05-15,HUF,AED,0.0125598
2021-05-16,HUF,AED,0.0125591
2021-05-17,HUF,AED,0.0126412
2021-05-18,HUF,AED,0.0127738
2021-05-19,HUF,AED,0.0127864
2021-05-20,HUF,AED,0.0128074
2021-05-21,HUF,AED,0.0128467
2021-05-22,HUF,AED,0.0128377
2021-05-23,HUF,AED,0.0128352
2021-05-24,HUF,AED,0.0128856
2021-05-25,HUF,AED,0.0129057
2021-05-26,HUF,AED,0.0128413
2021-05-27,HUF,AED,0.0128474
2021-05-28,HUF,AED,0.0128566
2021-05-29,HUF,AED,0.0128638
2021-05-30,HUF,AED,0.0128653
2021-05-31,HUF,AED,0.0128978
2021-06-01,HUF,AED,0.0129551
2021-06-02,HUF,AED,0.012949
2021-06-03,HUF,AED,0.0128902
2021-06-04,HUF,AED,0.0128687
2021-06-05,HUF,AED,0.0129166
2021-06-06,HUF,AED,0.0129167
2021-06-07,HUF,AED,0.0129165
2021-06-08,HUF,AED,0.0128592
2021-06-09,HUF,AED,0.0128822
2021-06-10,HUF,AED,0.012922
2021-06-11,HUF,AED,0.0128628
2021-06-12,HUF,AED,0.0127776
2021-06-13,HUF,AED,0.0127769
2021-06-14,HUF,AED,0.0127324
2021-06-15,HUF,AED,0.0126815
2021-06-16,HUF,AED,0.0126347
2021-06-17,HUF,AED,0.0123928
2021-06-18,HUF,AED,0.012281
2021-06-19,HUF,AED,0.0122505
2021-06-20,HUF,AED,0.0122507
2021-06-21,HUF,AED,0.0123293
2021-06-22,HUF,AED,0.0124149
2021-06-23,HUF,AED,0.0125236
2021-06-24,HUF,AED,0.012495
2021-06-25,HUF,AED,0.0124826
2021-06-26,HUF,AED,0.0124768
2021-06-27,HUF,AED,0.0124774
2021-06-28,HUF,AED,0.0124806
2021-06-29,HUF,AED,0.0124512
2021-06-30,HUF,AED,0.0124099
2021-07-01,HUF,AED,0.0123909
2021-07-02,HUF,AED,0.0123762
2021-07-03,HUF,AED,0.0123874
2021-07-04,HUF,AED,0.0123872
2021-07-05,HUF,AED,0.0123934
2021-07-06,HUF,AED,0.012323
2021-07-07,HUF,AED,0.0122008
2021-07-08,HUF,AED,0.0121462
2021-07-09,HUF,AED,0.0122277
2021-07-10,HUF,AED,0.0122698
2021-07-11,HUF,AED,0.0122699
2021-07-12,HUF,AED,0.0122569
2021-07-13,HUF,AED,0.0121872
2021-07-14,HUF,AED,0.0121088
2021-07-15,HUF,AED,0.0121
2021-07-16,HUF,AED,0.0120723
2021-07-17,HUF,AED,0.0120567
2021-07-18,HUF,AED,0.0120578
2021-07-19,HUF,AED,0.0120444
2021-07-20,HUF,AED,0.0120388
2021-07-21,HUF,AED,0.0120315
2021-07-22,HUF,AED,0.0120744
2021-07-23,HUF,AED,0.0120374
2021-07-24,HUF,AED,0.0120005
2021-07-25,HUF,AED,0.0120012
2021-07-26,HUF,AED,0.011991
2021-07-27,HUF,AED,0.012036
2021-07-28,HUF,AED,0.0120626
2021-07-29,HUF,AED,0.0121588
2021-07-30,HUF,AED,0.0121912
2021-07-31,HUF,AED,0.0121572
2021-08-01,HUF,AED,0.0121524
2021-08-02,HUF,AED,0.0122102
2021-08-03,HUF,AED,0.0122614
2021-08-04,HUF,AED,0.012273
2021-08-05,HUF,AED,0.012282
2021-08-06,HUF,AED,0.0122568
2021-08-07,HUF,AED,0.012209
