date,base,quote,rate
2021-01-28,HUF,GBP,0.00245833
2021-01-29,HUF,GBP,0.0024688
2021-01-30,HUF,GBP,0.0024774
2021-01-31,HUF,GBP,0.0024774
2021-02-01,HUF,GBP,0.00247595
2021-02-02,HUF,GBP,0.002479
2021-02-03,HUF,GBP,0.00247962
2021-02-04,HUF,GBP,0.00247248
2021-02-05,HUF,GBP,0.00245767
2021-02-06,HUF,GBP,0.00245935
2021-02-07,HUF,GBP,0.00245932
2021-02-08,HUF,GBP,0.00245077
2021-02-09,HUF,GBP,0.00244708
2021-02-10,HUF,GBP,0.00245146
2021-02-11,HUF,GBP,0.00245413
2021-02-12,HUF,GBP,0.00244503
2021-02-13,HUF,GBP,0.00244004
2021-02-14,HUF,GBP,0.00243992
2021-02-15,HUF,GBP,0.00243632
2021-02-16,HUF,GBP,0.00243352
2021-02-17,HUF,GBP,0.00242298
2021-02-18,HUF,GBP,0.00241685
2021-02-19,HUF,GBP,0.00241414
2021-02-20,HUF,GBP,0.0024127
2021-02-21,HUF,GBP,0.0024126
2021-02-22,HUF,GBP,0.0024086
2021-02-23,HUF,GBP,0.00240401
2021-02-24,HUF,GBP,0.00239187
2021-02-25,HUF,GBP,0.00239648
2021-02-26,HUF,GBP,0.00240054
2021-02-27,HUF,GBP,0.00239239
2021-02-28,HUF,GBP,0.00239224
2021-03-01,HUF,GBP,0.00238053
2021-03-02,HUF,GBP,0.00237665
2021-03-03,HUF,GBP,0.00237526
2021-03-04,HUF,GBP,0.00236591
2021-03-05,HUF,GBP,0.00235283
2021-03-06,HUF,GBP,0.00234424
2021-03-07,HUF,GBP,0.00234446
2021-03-08,HUF,GBP,0.00233766
2021-03-09,HUF,GBP,0.00233381
2021-03-10,HUF,GBP,0.00233402
2021-03-11,HUF,GBP,0.00234106
2021-03-12,HUF,GBP,0.00234202
2021-03-13,HUF,GBP,0.00233941
2021-03-14,HUF,GBP,0.00233948
2021-03-15,HUF,GBP,0.00233598
2021-03-16,HUF,GBP,0.00233863
2021-03-17,HUF,GBP,0.00233268
2021-03-18,HUF,GBP,0.00232834
2021-03-19,HUF,GBP,0.00232812
2021-03-20,HUF,GBP,0.0023348
2021-03-21,HUF,GBP,0.00233472
2021-03-22,HUF,GBP,0.002343
2021-03-23,HUF,GBP,0.0023532
