date,base,quote,rate
2021-01-28,HUF,HKD,0.0260884
2021-01-29,HUF,HKD,0.0262394
2021-01-30,HUF,HKD,0.026325
2021-01-31,HUF,HKD,0.0263244
2021-02-01,HUF,HKD,0.0263024
2021-02-02,HUF,HKD,0.0262687
2021-02-03,HUF,HKD,0.0262403
2021-02-04,HUF,HKD,0.0261399
2021-02-05,HUF,HKD,0.0261106
2021-02-06,HUF,HKD,0.026195
2021-02-07,HUF,HKD,0.0261934
2021-02-08,HUF,HKD,0.0260784
2021-02-09,HUF,HKD,0.0261501
2021-02-10,HUF,HKD,0.02629
2021-02-11,HUF,HKD,0.026306
2021-02-12,HUF,HKD,0.02619
2021-02-13,HUF,HKD,0.026202
2021-02-14,HUF,HKD,0.0262022
2021-02-15,HUF,HKD,0.0262571
2021-02-16,HUF,HKD,0.0262594
2021-02-17,HUF,HKD,0.0260526
2021-02-18,HUF,HKD,0.0260814
2021-02-19,HUF,HKD,0.0261929
2021-02-20,HUF,HKD,0.0262098
2021-02-21,HUF,HKD,0.0262094
2021-02-22,HUF,HKD,0.0262176
2021-02-23,HUF,HKD,0.0262596
2021-02-24,HUF,HKD,0.0262303
2021-02-25,HUF,HKD,0.0262277
2021-02-26,HUF,HKD,0.0259738
2021-02-27,HUF,HKD,0.0258445
2021-02-28,HUF,HKD,0.025846
2021-03-01,HUF,HKD,0.0257604
2021-03-02,HUF,HKD,0.0256633
2021-03-03,HUF,HKD,0.0257241
2021-03-04,HUF,HKD,0.0255834
2021-03-05,HUF,HKD,0.0252916
2021-03-06,HUF,HKD,0.025176
2021-03-07,HUF,HKD,0.0251804
2021-03-08,HUF,HKD,0.025112
2021-03-09,HUF,HKD,0.0251338
2021-03-10,HUF,HKD,0.0251717
2021-03-11,HUF,HKD,0.0253548
2021-03-12,HUF,HKD,0.025333
2021-03-13,HUF,HKD,0.0252808
2021-03-14,HUF,HKD,0.0252825
2021-03-15,HUF,HKD,0.0252328
2021-03-16,HUF,HKD,0.0251984
2021-03-17,HUF,HKD,0.025198
2021-03-18,HUF,HKD,0.0252132
2021-03-19,HUF,HKD,0.0251222
2021-03-20,HUF,HKD,0.0251418
2021-03-21,HUF,HKD,0.0251348
2021-03-22,HUF,HKD,0.0252042
2021-03-23,HUF,HKD,0.0252146
2021-03-24,HUF,HKD,0.0251534
2021-03-25,HUF,HKD,0.025145
2021-03-26,HUF,HKD,0.0251904
2021-03-27,HUF,HKD,0.0252653
2021-03-28,HUF,HKD,0.025264
2021-03-29,HUF,HKD,0.0252344
2021-03-30,HUF,HKD,0.0251339
2021-03-31,HUF,HKD,0.0251228
2021-04-01,HUF,HKD,0.025258
2021-04-02,HUF,HKD,0.0253334
2021-04-03,HUF,HKD,0.0253447
2021-04-04,HUF,HKD,0.0253401
2021-04-05,HUF,HKD,0.0253946
2021-04-06,HUF,HKD,0.0255141
2021-04-07,HUF,HKD,0.0256918
2021-04-08,HUF,HKD,0.0257917
2021-04-09,HUF,HKD,0.0258486
2021-04-10,HUF,HKD,0.0258906
2021-04-11,HUF,HKD,0.0258896
2021-04-12,HUF,HKD,0.0259134
2021-04-13,HUF,HKD,0.0258393
2021-04-14,HUF,HKD,0.0259056
2021-04-15,HUF,HKD,0.0259058
