date,base,quote,rate
2025-08-05,HUF,INR,0.254596
2025-08-06,HUF,INR,0.255942
2025-08-07,HUF,INR,0.256975
2025-08-08,HUF,INR,0.257843
2025-08-09,HUF,INR,0.258388
2025-08-10,HUF,INR,0.258361
2025-08-11,HUF,INR,0.257756
2025-08-12,HUF,INR,0.257881
2025-08-13,HUF,INR,0.259012
2025-08-14,HUF,INR,0.258642
2025-08-15,HUF,INR,0.258952
2025-08-16,HUF,INR,0.259252
2025-08-17,HUF,INR,0.259271
2025-08-18,HUF,INR,0.258305
2025-08-19,HUF,INR,0.257804
2025-08-20,HUF,INR,0.25711
2025-08-21,HUF,INR,0.256252
2025-08-22,HUF,INR,0.257126
2025-08-23,HUF,INR,0.258571
2025-08-24,HUF,INR,0.258623
2025-08-25,HUF,INR,0.257491
2025-08-26,HUF,INR,0.257188
2025-08-27,HUF,INR,0.256994
2025-08-28,HUF,INR,0.25753
2025-08-29,HUF,INR,0.259153
2025-08-30,HUF,INR,0.259771
2025-08-31,HUF,INR,0.259782
2025-09-01,HUF,INR,0.260854
2025-09-02,HUF,INR,0.259599
2025-09-03,HUF,INR,0.260264
2025-09-04,HUF,INR,0.2611
2025-09-05,HUF,INR,0.262683
2025-09-06,HUF,INR,0.263002
2025-09-07,HUF,INR,0.263
2025-09-08,HUF,INR,0.262776
2025-09-09,HUF,INR,0.263194
2025-09-10,HUF,INR,0.262261
2025-09-11,HUF,INR,0.263519
2025-09-12,HUF,INR,0.264798
2025-09-13,HUF,INR,0.265196
2025-09-14,HUF,INR,0.26517
2025-09-15,HUF,INR,0.265732
2025-09-16,HUF,INR,0.26704
2025-09-17,HUF,INR,0.266862
2025-09-18,HUF,INR,0.266976
2025-09-19,HUF,INR,0.265664
2025-09-20,HUF,INR,0.265044
2025-09-21,HUF,INR,0.26508
2025-09-22,HUF,INR,0.266721
2025-09-23,HUF,INR,0.268783
2025-09-24,HUF,INR,0.267162
2025-09-25,HUF,INR,0.265294
2025-09-26,HUF,INR,0.264782
2025-09-27,HUF,INR,0.265555
2025-09-28,HUF,INR,0.265495
2025-09-29,HUF,INR,0.26601
2025-09-30,HUF,INR,0.26691
2025-10-01,HUF,INR,0.267529
2025-10-02,HUF,INR,0.26751
2025-10-03,HUF,INR,0.267946
2025-10-04,HUF,INR,0.2684
2025-10-05,HUF,INR,0.268334
2025-10-06,HUF,INR,0.267284
2025-10-07,HUF,INR,0.264713
2025-10-08,HUF,INR,0.263062
2025-10-09,HUF,INR,0.263356
2025-10-10,HUF,INR,0.262626
2025-10-11,HUF,INR,0.262558
2025-10-12,HUF,INR,0.262574
2025-10-13,HUF,INR,0.262223
2025-10-14,HUF,INR,0.262166
2025-10-15,HUF,INR,0.2623
2025-10-16,HUF,INR,0.262971
2025-10-17,HUF,INR,0.263646
2025-10-18,HUF,INR,0.263314
2025-10-19,HUF,INR,0.263333
2025-10-20,HUF,INR,0.263288
2025-10-21,HUF,INR,0.262622
2025-10-22,HUF,INR,0.261679
2025-10-23,HUF,INR,0.261342
2025-10-24,HUF,INR,0.261584
2025-10-25,HUF,INR,0.261684
2025-10-26,HUF,INR,0.26172
2025-10-27,HUF,INR,0.263481
2025-10-28,HUF,INR,0.264903
2025-10-29,HUF,INR,0.264434
2025-10-30,HUF,INR,0.264247
2025-10-31,HUF,INR,0.264092
2025-11-01,HUF,INR,0.263885
2025-11-02,HUF,INR,0.26388
2025-11-03,HUF,INR,0.263978
2025-11-04,HUF,INR,0.26287
2025-11-05,HUF,INR,0.262862
2025-11-06,HUF,INR,0.264296
2025-11-07,HUF,INR,0.265804
2025-11-08,HUF,INR,0.266636
2025-11-09,HUF,INR,0.266603
2025-11-10,HUF,INR,0.267148
2025-11-11,HUF,INR,0.266405
2025-11-12,HUF,INR,0.2666
2025-11-13,HUF,INR,0.268146
2025-11-14,HUF,INR,0.268254
2025-11-15,HUF,INR,0.268137
2025-11-16,HUF,INR,0.268132
