date,base,quote,rate
2021-01-28,HUF,RUB,0.255891
2021-01-29,HUF,RUB,0.257016
2021-01-30,HUF,RUB,0.257868
2021-01-31,HUF,RUB,0.257849
2021-02-01,HUF,RUB,0.257443
2021-02-02,HUF,RUB,0.257255
2021-02-03,HUF,RUB,0.257296
2021-02-04,HUF,RUB,0.255215
2021-02-05,HUF,RUB,0.252599
2021-02-06,HUF,RUB,0.252214
2021-02-07,HUF,RUB,0.252205
2021-02-08,HUF,RUB,0.250411
2021-02-09,HUF,RUB,0.24986
2021-02-10,HUF,RUB,0.250457
2021-02-11,HUF,RUB,0.25025
2021-02-12,HUF,RUB,0.249596
2021-02-13,HUF,RUB,0.248915
2021-02-14,HUF,RUB,0.248916
2021-02-15,HUF,RUB,0.248554
2021-02-16,HUF,RUB,0.248917
2021-02-17,HUF,RUB,0.248007
2021-02-18,HUF,RUB,0.24828
2021-02-19,HUF,RUB,0.249948
2021-02-20,HUF,RUB,0.250268
2021-02-21,HUF,RUB,0.250284
2021-02-22,HUF,RUB,0.251447
2021-02-23,HUF,RUB,0.250934
2021-02-24,HUF,RUB,0.249522
2021-02-25,HUF,RUB,0.25004
2021-02-26,HUF,RUB,0.249796
2021-02-27,HUF,RUB,0.248418
2021-02-28,HUF,RUB,0.248448
2021-03-01,HUF,RUB,0.246467
2021-03-02,HUF,RUB,0.245166
2021-03-03,HUF,RUB,0.244887
2021-03-04,HUF,RUB,0.243874
2021-03-05,HUF,RUB,0.242512
2021-03-06,HUF,RUB,0.24114
2021-03-07,HUF,RUB,0.24117
2021-03-08,HUF,RUB,0.240576
2021-03-09,HUF,RUB,0.23999
2021-03-10,HUF,RUB,0.239544
2021-03-11,HUF,RUB,0.24016
2021-03-12,HUF,RUB,0.239605
2021-03-13,HUF,RUB,0.238578
2021-03-14,HUF,RUB,0.238632
2021-03-15,HUF,RUB,0.23761
2021-03-16,HUF,RUB,0.236356
2021-03-17,HUF,RUB,0.238288
2021-03-18,HUF,RUB,0.240085
2021-03-19,HUF,RUB,0.239945
2021-03-20,HUF,RUB,0.239898
