date,base,quote,rate
2021-01-28,HUF,USD,0.00336504
2021-01-29,HUF,USD,0.0033844
2021-01-30,HUF,USD,0.00339536
2021-01-31,HUF,USD,0.00339528
2021-02-01,HUF,USD,0.00339258
2021-02-02,HUF,USD,0.00338858
2021-02-03,HUF,USD,0.00338524
2021-02-04,HUF,USD,0.00337187
2021-02-05,HUF,USD,0.00336796
2021-02-06,HUF,USD,0.00337864
2021-02-07,HUF,USD,0.00337846
2021-02-08,HUF,USD,0.00336388
2021-02-09,HUF,USD,0.00337338
2021-02-10,HUF,USD,0.00339126
2021-02-11,HUF,USD,0.00339314
2021-02-12,HUF,USD,0.0033781
2021-02-13,HUF,USD,0.0033796
2021-02-14,HUF,USD,0.00337962
2021-02-15,HUF,USD,0.00338682
2021-02-16,HUF,USD,0.00338724
2021-02-17,HUF,USD,0.00336051
2021-02-18,HUF,USD,0.0033642
2021-02-19,HUF,USD,0.00337835
2021-02-20,HUF,USD,0.00338051
2021-02-21,HUF,USD,0.00338047
2021-02-22,HUF,USD,0.00338143
2021-02-23,HUF,USD,0.00338678
2021-02-24,HUF,USD,0.00338257
2021-02-25,HUF,USD,0.00338245
2021-02-26,HUF,USD,0.00334884
2021-02-27,HUF,USD,0.00333202
2021-02-28,HUF,USD,0.0033322
2021-03-01,HUF,USD,0.003321
2021-03-02,HUF,USD,0.00330824
2021-03-03,HUF,USD,0.00331623
2021-03-04,HUF,USD,0.00329752
2021-03-05,HUF,USD,0.0032581
2021-03-06,HUF,USD,0.00324298
2021-03-07,HUF,USD,0.00324352
2021-03-08,HUF,USD,0.00323285
2021-03-09,HUF,USD,0.0032372
2021-03-10,HUF,USD,0.0032429
2021-03-11,HUF,USD,0.00326748
2021-03-12,HUF,USD,0.0032635
2021-03-13,HUF,USD,0.0032566
2021-03-14,HUF,USD,0.00325679
2021-03-15,HUF,USD,0.0032498
2021-03-16,HUF,USD,0.00324495
2021-03-17,HUF,USD,0.0032447
2021-03-18,HUF,USD,0.00324713
2021-03-19,HUF,USD,0.00323498
2021-03-20,HUF,USD,0.00323783
2021-03-21,HUF,USD,0.0032369
2021-03-22,HUF,USD,0.00324552
2021-03-23,HUF,USD,0.00324639
2021-03-24,HUF,USD,0.00323791
2021-03-25,HUF,USD,0.0032366
2021-03-26,HUF,USD,0.0032424
2021-03-27,HUF,USD,0.00325204
2021-03-28,HUF,USD,0.00325188
2021-03-29,HUF,USD,0.00324654
2021-03-30,HUF,USD,0.00323282
2021-03-31,HUF,USD,0.00323148
2021-04-01,HUF,USD,0.00324847
2021-04-02,HUF,USD,0.003258
2021-04-03,HUF,USD,0.00325924
2021-04-04,HUF,USD,0.00325867
2021-04-05,HUF,USD,0.00326581
2021-04-06,HUF,USD,0.00328099
2021-04-07,HUF,USD,0.003301
2021-04-08,HUF,USD,0.00331522
2021-04-09,HUF,USD,0.00332328
2021-04-10,HUF,USD,0.0033287
2021-04-11,HUF,USD,0.00332856
2021-04-12,HUF,USD,0.0033327
2021-04-13,HUF,USD,0.00332404
2021-04-14,HUF,USD,0.00333487
2021-04-15,HUF,USD,0.00333534
2021-04-16,HUF,USD,0.0033202
2021-04-17,HUF,USD,0.00331582
2021-04-18,HUF,USD,0.00331581
2021-04-19,HUF,USD,0.00332614
2021-04-20,HUF,USD,0.0033359
2021-04-21,HUF,USD,0.00332116
2021-04-22,HUF,USD,0.00331144
2021-04-23,HUF,USD,0.00331676
2021-04-24,HUF,USD,0.00333024
2021-04-25,HUF,USD,0.00332968
2021-04-26,HUF,USD,0.00332608
2021-04-27,HUF,USD,0.00332692
2021-04-28,HUF,USD,0.00333797
2021-04-29,HUF,USD,0.00335991
2021-04-30,HUF,USD,0.00335387
2021-05-01,HUF,USD,0.00333886
2021-05-02,HUF,USD,0.00333904
2021-05-03,HUF,USD,0.00334751
2021-05-04,HUF,USD,0.00334042
2021-05-05,HUF,USD,0.00333996
2021-05-06,HUF,USD,0.00335754
2021-05-07,HUF,USD,0.00337912
2021-05-08,HUF,USD,0.00338974
2021-05-09,HUF,USD,0.0033911
2021-05-10,HUF,USD,0.00339602
2021-05-11,HUF,USD,0.00339076
2021-05-12,HUF,USD,0.00338352
2021-05-13,HUF,USD,0.00338276
2021-05-14,HUF,USD,0.00340509
2021-05-15,HUF,USD,0.00341939
2021-05-16,HUF,USD,0.00341921
2021-05-17,HUF,USD,0.00344154
2021-05-18,HUF,USD,0.00347764
2021-05-19,HUF,USD,0.00348102
2021-05-20,HUF,USD,0.0034868
2021-05-21,HUF,USD,0.00349751
2021-05-22,HUF,USD,0.0034951
2021-05-23,HUF,USD,0.00349443
2021-05-24,HUF,USD,0.00350813
2021-05-25,HUF,USD,0.00351361
2021-05-26,HUF,USD,0.00349602
2021-05-27,HUF,USD,0.00349767
2021-05-28,HUF,USD,0.00350016
2021-05-29,HUF,USD,0.00350208
