date,base,quote,rate
2025-06-22,INR,AED,0.0424062
2025-06-23,INR,AED,0.0423844
2025-06-24,INR,AED,0.0426764
2025-06-25,INR,AED,0.0427022
2025-06-26,INR,AED,0.0428315
2025-06-27,INR,AED,0.0429432
2025-06-28,INR,AED,0.042955
2025-06-29,INR,AED,0.0429554
2025-06-30,INR,AED,0.042877
2025-07-01,INR,AED,0.0429021
2025-07-02,INR,AED,0.0428828
2025-07-03,INR,AED,0.0429797
2025-07-04,INR,AED,0.0429736
2025-07-05,INR,AED,0.042896
2025-07-06,INR,AED,0.042896
2025-07-07,INR,AED,0.0428091
2025-07-08,INR,AED,0.0428415
2025-07-09,INR,AED,0.0428382
2025-07-10,INR,AED,0.0428646
2025-07-11,INR,AED,0.0427994
2025-07-12,INR,AED,0.0427928
2025-07-13,INR,AED,0.0427928
2025-07-14,INR,AED,0.0427541
2025-07-15,INR,AED,0.0427518
2025-07-16,INR,AED,0.0427492
2025-07-17,INR,AED,0.042708
2025-07-18,INR,AED,0.0426448
2025-07-19,INR,AED,0.0426344
2025-07-20,INR,AED,0.0426344
2025-07-21,INR,AED,0.0425858
2025-07-22,INR,AED,0.0425462
2025-07-23,INR,AED,0.0425215
2025-07-24,INR,AED,0.0425164
2025-07-25,INR,AED,0.0424571
2025-07-26,INR,AED,0.0424567
2025-07-27,INR,AED,0.0424568
2025-07-28,INR,AED,0.042394
2025-07-29,INR,AED,0.0422558
2025-07-30,INR,AED,0.0419958
2025-07-31,INR,AED,0.0419391
2025-08-01,INR,AED,0.0420474
2025-08-02,INR,AED,0.042112
2025-08-03,INR,AED,0.0421091
2025-08-04,INR,AED,0.041914
2025-08-05,INR,AED,0.0418243
2025-08-06,INR,AED,0.041866
2025-08-07,INR,AED,0.0419423
2025-08-08,INR,AED,0.0419293
2025-08-09,INR,AED,0.0418794
2025-08-10,INR,AED,0.0418837
2025-08-11,INR,AED,0.0419161
2025-08-12,INR,AED,0.0419089
2025-08-13,INR,AED,0.041967
2025-08-14,INR,AED,0.0419374
2025-08-15,INR,AED,0.0419548
2025-08-16,INR,AED,0.041971
2025-08-17,INR,AED,0.0419698
2025-08-18,INR,AED,0.0420342
2025-08-19,INR,AED,0.0421596
2025-08-20,INR,AED,0.0421886
2025-08-21,INR,AED,0.0421288
2025-08-22,INR,AED,0.0420315
2025-08-23,INR,AED,0.0420469
2025-08-24,INR,AED,0.0420462
2025-08-25,INR,AED,0.0419676
2025-08-26,INR,AED,0.041896
2025-08-27,INR,AED,0.0418704
2025-08-28,INR,AED,0.0419235
2025-08-29,INR,AED,0.0417194
2025-08-30,INR,AED,0.0416576
2025-08-31,INR,AED,0.0416564
2025-09-01,INR,AED,0.041678
2025-09-02,INR,AED,0.041707
2025-09-03,INR,AED,0.0417056
2025-09-04,INR,AED,0.0416646
2025-09-05,INR,AED,0.0416458
2025-09-06,INR,AED,0.0416443
2025-09-07,INR,AED,0.0416438
2025-09-08,INR,AED,0.0417172
2025-09-09,INR,AED,0.0416668
2025-09-10,INR,AED,0.0416852
2025-09-11,INR,AED,0.0416015
2025-09-12,INR,AED,0.0415966
2025-09-13,INR,AED,0.0416068
2025-09-14,INR,AED,0.0416059
2025-09-15,INR,AED,0.0416484
2025-09-16,INR,AED,0.0417258
2025-09-17,INR,AED,0.0418206
2025-09-18,INR,AED,0.0416848
2025-09-19,INR,AED,0.041663
2025-09-20,INR,AED,0.0416882
2025-09-21,INR,AED,0.0416883
2025-09-22,INR,AED,0.0416164
2025-09-23,INR,AED,0.0414149
2025-09-24,INR,AED,0.0413812
2025-09-25,INR,AED,0.0413964
2025-09-26,INR,AED,0.0414074
