date,base,quote,rate
2025-06-24,INR,CHF,0.00939525
2025-06-25,INR,CHF,0.00936436
2025-06-26,INR,CHF,0.00934341
2025-06-27,INR,CHF,0.00934942
2025-06-28,INR,CHF,0.00934492
2025-06-29,INR,CHF,0.00934459
2025-06-30,INR,CHF,0.00929742
2025-07-01,INR,CHF,0.00924352
2025-07-02,INR,CHF,0.00924661
2025-07-03,INR,CHF,0.0092864
2025-07-04,INR,CHF,0.00928714
2025-07-05,INR,CHF,0.0092753
2025-07-06,INR,CHF,0.00927546
2025-07-07,INR,CHF,0.00928463
2025-07-08,INR,CHF,0.00929354
2025-07-09,INR,CHF,0.00928137
2025-07-10,INR,CHF,0.00928365
2025-07-11,INR,CHF,0.00928526
2025-07-12,INR,CHF,0.00928032
2025-07-13,INR,CHF,0.009281
2025-07-14,INR,CHF,0.00927956
2025-07-15,INR,CHF,0.00929716
2025-07-16,INR,CHF,0.0093295
2025-07-17,INR,CHF,0.00934724
2025-07-18,INR,CHF,0.00930857
2025-07-19,INR,CHF,0.00930596
2025-07-20,INR,CHF,0.00930502
2025-07-21,INR,CHF,0.00927092
2025-07-22,INR,CHF,0.00921926
2025-07-23,INR,CHF,0.0091826
2025-07-24,INR,CHF,0.00918994
2025-07-25,INR,CHF,0.00920042
2025-07-26,INR,CHF,0.0091887
2025-07-27,INR,CHF,0.0091895
2025-07-28,INR,CHF,0.00923287
2025-07-29,INR,CHF,0.00926443
2025-07-30,INR,CHF,0.0092442
2025-07-31,INR,CHF,0.00928088
2025-08-01,INR,CHF,0.0092756
2025-08-02,INR,CHF,0.00921866
2025-08-03,INR,CHF,0.00921806
2025-08-04,INR,CHF,0.0092126
2025-08-05,INR,CHF,0.00920845
2025-08-06,INR,CHF,0.00919825
2025-08-07,INR,CHF,0.00921028
2025-08-08,INR,CHF,0.00921846
2025-08-09,INR,CHF,0.00921494
2025-08-10,INR,CHF,0.00921546
2025-08-11,INR,CHF,0.00924436
2025-08-12,INR,CHF,0.00923532
2025-08-13,INR,CHF,0.00919866
2025-08-14,INR,CHF,0.00921102
2025-08-15,INR,CHF,0.00921039
2025-08-16,INR,CHF,0.00922042
2025-08-17,INR,CHF,0.00921984
2025-08-18,INR,CHF,0.00923505
2025-08-19,INR,CHF,0.00926162
2025-08-20,INR,CHF,0.00926182
2025-08-21,INR,CHF,0.00925326
2025-08-22,INR,CHF,0.00922338
2025-08-23,INR,CHF,0.00917413
2025-08-24,INR,CHF,0.00917475
2025-08-25,INR,CHF,0.00918322
2025-08-26,INR,CHF,0.00917792
2025-08-27,INR,CHF,0.00916906
2025-08-28,INR,CHF,0.00914784
2025-08-29,INR,CHF,0.00910196
2025-08-30,INR,CHF,0.00907976
2025-08-31,INR,CHF,0.00907942
2025-09-01,INR,CHF,0.00908119
2025-09-02,INR,CHF,0.00912348
2025-09-03,INR,CHF,0.00913536
2025-09-04,INR,CHF,0.00913474
2025-09-05,INR,CHF,0.00908393
2025-09-06,INR,CHF,0.00904794
2025-09-07,INR,CHF,0.00904898
2025-09-08,INR,CHF,0.00903465
2025-09-09,INR,CHF,0.00901476
2025-09-10,INR,CHF,0.00905598
2025-09-11,INR,CHF,0.0090355
2025-09-12,INR,CHF,0.00902306
2025-09-13,INR,CHF,0.0090243
2025-09-14,INR,CHF,0.00902414
2025-09-15,INR,CHF,0.00901956
2025-09-16,INR,CHF,0.0089761
2025-09-17,INR,CHF,0.0089636
2025-09-18,INR,CHF,0.00897515
2025-09-19,INR,CHF,0.00901298
2025-09-20,INR,CHF,0.00902812
2025-09-21,INR,CHF,0.00902823
2025-09-22,INR,CHF,0.00900063
2025-09-23,INR,CHF,0.00893132
2025-09-24,INR,CHF,0.00894592
2025-09-25,INR,CHF,0.00898908
2025-09-26,INR,CHF,0.00900682
2025-09-27,INR,CHF,0.00900144
2025-09-28,INR,CHF,0.0090008
2025-09-29,INR,CHF,0.0089829
2025-09-30,INR,CHF,0.00897152
2025-10-01,INR,CHF,0.00897984
2025-10-02,INR,CHF,0.00898295
2025-10-03,INR,CHF,0.00897306
2025-10-04,INR,CHF,0.00896151
2025-10-05,INR,CHF,0.00896432
2025-10-06,INR,CHF,0.00897341
2025-10-07,INR,CHF,0.00898343
2025-10-08,INR,CHF,0.00902376
2025-10-09,INR,CHF,0.00904649
2025-10-10,INR,CHF,0.00906144
2025-10-11,INR,CHF,0.00900404
2025-10-12,INR,CHF,0.00900774
