date,base,quote,rate
2020-12-20,INR,EUR,0.0111022
2020-12-21,INR,EUR,0.0111013
2020-12-22,INR,EUR,0.0110864
2020-12-23,INR,EUR,0.01112
2020-12-24,INR,EUR,0.0111472
2020-12-25,INR,EUR,0.0111604
2020-12-26,INR,EUR,0.0111604
2020-12-27,INR,EUR,0.0111594
2020-12-28,INR,EUR,0.0111376
2020-12-29,INR,EUR,0.0111301
2020-12-30,INR,EUR,0.0111194
2020-12-31,INR,EUR,0.0111658
2021-01-01,INR,EUR,0.0112123
2021-01-02,INR,EUR,0.0112123
2021-01-03,INR,EUR,0.0112106
2021-01-04,INR,EUR,0.0111696
2021-01-05,INR,EUR,0.0111366
2021-01-06,INR,EUR,0.0111052
2021-01-07,INR,EUR,0.0111023
2021-01-08,INR,EUR,0.0111364
2021-01-09,INR,EUR,0.011152
2021-01-10,INR,EUR,0.0111528
2021-01-11,INR,EUR,0.0111856
2021-01-12,INR,EUR,0.0112102
2021-01-13,INR,EUR,0.0112158
2021-01-14,INR,EUR,0.0112539
2021-01-15,INR,EUR,0.011283
2021-01-16,INR,EUR,0.0113036
2021-01-17,INR,EUR,0.0113036
2021-01-18,INR,EUR,0.0113037
2021-01-19,INR,EUR,0.0112736
2021-01-20,INR,EUR,0.0112939
2021-01-21,INR,EUR,0.0112842
2021-01-22,INR,EUR,0.011252
2021-01-23,INR,EUR,0.0112502
2021-01-24,INR,EUR,0.0112504
2021-01-25,INR,EUR,0.0112703
2021-01-26,INR,EUR,0.0112776
2021-01-27,INR,EUR,0.0112939
2021-01-28,INR,EUR,0.0112971
2021-01-29,INR,EUR,0.0113001
2021-01-30,INR,EUR,0.011286
2021-01-31,INR,EUR,0.0112868
2021-02-01,INR,EUR,0.0113044
2021-02-02,INR,EUR,0.0113576
2021-02-03,INR,EUR,0.0113926
2021-02-04,INR,EUR,0.0114289
2021-02-05,INR,EUR,0.0114302
2021-02-06,INR,EUR,0.0113974
2021-02-07,INR,EUR,0.0113978
2021-02-08,INR,EUR,0.011386
2021-02-09,INR,EUR,0.011338
2021-02-10,INR,EUR,0.011317
2021-02-11,INR,EUR,0.0113292
2021-02-12,INR,EUR,0.0113528
2021-02-13,INR,EUR,0.0113621
2021-02-14,INR,EUR,0.0113619
2021-02-15,INR,EUR,0.0113468
2021-02-16,INR,EUR,0.011324
2021-02-17,INR,EUR,0.0113834
2021-02-18,INR,EUR,0.0114045
2021-02-19,INR,EUR,0.011378
2021-02-20,INR,EUR,0.0113702
2021-02-21,INR,EUR,0.01137
2021-02-22,INR,EUR,0.0113656
2021-02-23,INR,EUR,0.0113549
2021-02-24,INR,EUR,0.0113713
2021-02-25,INR,EUR,0.0112917
2021-02-26,INR,EUR,0.0112082
2021-02-27,INR,EUR,0.0112229
2021-02-28,INR,EUR,0.0112224
2021-03-01,INR,EUR,0.011279
2021-03-02,INR,EUR,0.0113136
2021-03-03,INR,EUR,0.0113392
2021-03-04,INR,EUR,0.0114053
2021-03-05,INR,EUR,0.0114662
2021-03-06,INR,EUR,0.0114706
2021-03-07,INR,EUR,0.0114699
2021-03-08,INR,EUR,0.0114872
2021-03-09,INR,EUR,0.0115264
2021-03-10,INR,EUR,0.0115407
2021-03-11,INR,EUR,0.0115126
2021-03-12,INR,EUR,0.0115034
2021-03-13,INR,EUR,0.011503
2021-03-14,INR,EUR,0.0115034
2021-03-15,INR,EUR,0.0115322
2021-03-16,INR,EUR,0.011553
2021-03-17,INR,EUR,0.0115518
2021-03-18,INR,EUR,0.0115224
2021-03-19,INR,EUR,0.0115594
2021-03-20,INR,EUR,0.0115718
2021-03-21,INR,EUR,0.0115742
2021-03-22,INR,EUR,0.0115706
2021-03-23,INR,EUR,0.0115798
2021-03-24,INR,EUR,0.0116032
2021-03-25,INR,EUR,0.0116388
2021-03-26,INR,EUR,0.0116776
2021-03-27,INR,EUR,0.0116747
2021-03-28,INR,EUR,0.0116752
2021-03-29,INR,EUR,0.0116627
2021-03-30,INR,EUR,0.0116216
2021-03-31,INR,EUR,0.0116332
2021-04-01,INR,EUR,0.0116076
2021-04-02,INR,EUR,0.0115814
2021-04-03,INR,EUR,0.011583
2021-04-04,INR,EUR,0.0115828
2021-04-05,INR,EUR,0.0115764
2021-04-06,INR,EUR,0.0115148
2021-04-07,INR,EUR,0.0113477
2021-04-08,INR,EUR,0.011285
2021-04-09,INR,EUR,0.0112523
2021-04-10,INR,EUR,0.0112492
2021-04-11,INR,EUR,0.0112493
2021-04-12,INR,EUR,0.0112072
2021-04-13,INR,EUR,0.0111478
2021-04-14,INR,EUR,0.0111172
2021-04-15,INR,EUR,0.0111375
2021-04-16,INR,EUR,0.0111957
2021-04-17,INR,EUR,0.011187
2021-04-18,INR,EUR,0.0111881
2021-04-19,INR,EUR,0.0111196
2021-04-20,INR,EUR,0.0110472
2021-04-21,INR,EUR,0.0110207
2021-04-22,INR,EUR,0.0110627
2021-04-23,INR,EUR,0.0110567
2021-04-24,INR,EUR,0.0110349
2021-04-25,INR,EUR,0.0110354
2021-04-26,INR,EUR,0.0110482
2021-04-27,INR,EUR,0.011085
2021-04-28,INR,EUR,0.0111036
2021-04-29,INR,EUR,0.0111234
2021-04-30,INR,EUR,0.0111732
2021-05-01,INR,EUR,0.0112137
2021-05-02,INR,EUR,0.0112127
2021-05-03,INR,EUR,0.011183
2021-05-04,INR,EUR,0.011219
2021-05-05,INR,EUR,0.0112528
2021-05-06,INR,EUR,0.0112546
2021-05-07,INR,EUR,0.0112394
2021-05-08,INR,EUR,0.0112118
2021-05-09,INR,EUR,0.0112111
2021-05-10,INR,EUR,0.0112014
2021-05-11,INR,EUR,0.0112022
2021-05-12,INR,EUR,0.0112286
2021-05-13,INR,EUR,0.0112482
2021-05-14,INR,EUR,0.0112502
2021-05-15,INR,EUR,0.0112322
2021-05-16,INR,EUR,0.011232
2021-05-17,INR,EUR,0.0112266
2021-05-18,INR,EUR,0.011202
2021-05-19,INR,EUR,0.0111872
2021-05-20,INR,EUR,0.0112064
2021-05-21,INR,EUR,0.0112318
2021-05-22,INR,EUR,0.0112584
2021-05-23,INR,EUR,0.0112586
2021-05-24,INR,EUR,0.0112385
2021-05-25,INR,EUR,0.0112162
2021-05-26,INR,EUR,0.0112474
