date,base,quote,rate
2025-06-24,INR,GBP,0.00854608
2025-06-25,INR,GBP,0.00853068
2025-06-26,INR,GBP,0.00849724
2025-06-27,INR,GBP,0.00851936
2025-06-28,INR,GBP,0.00852444
2025-06-29,INR,GBP,0.00852462
2025-06-30,INR,GBP,0.00851298
2025-07-01,INR,GBP,0.00849928
2025-07-02,INR,GBP,0.00853631
2025-07-03,INR,GBP,0.00857414
2025-07-04,INR,GBP,0.00856858
2025-07-05,INR,GBP,0.00855724
2025-07-06,INR,GBP,0.0085568
2025-07-07,INR,GBP,0.0085595
2025-07-08,INR,GBP,0.00857658
2025-07-09,INR,GBP,0.00858324
2025-07-10,INR,GBP,0.00858855
2025-07-11,INR,GBP,0.00861572
2025-07-12,INR,GBP,0.00863618
2025-07-13,INR,GBP,0.00863634
2025-07-14,INR,GBP,0.00864668
2025-07-15,INR,GBP,0.00867478
2025-07-16,INR,GBP,0.0086832
2025-07-17,INR,GBP,0.00867513
2025-07-18,INR,GBP,0.00864478
2025-07-19,INR,GBP,0.00865646
2025-07-20,INR,GBP,0.00865593
2025-07-21,INR,GBP,0.00861403
2025-07-22,INR,GBP,0.00858223
2025-07-23,INR,GBP,0.00854446
2025-07-24,INR,GBP,0.00854658
2025-07-25,INR,GBP,0.00858934
2025-07-26,INR,GBP,0.00860294
2025-07-27,INR,GBP,0.00860294
2025-07-28,INR,GBP,0.00861074
2025-07-29,INR,GBP,0.00862136
2025-07-30,INR,GBP,0.00858558
2025-07-31,INR,GBP,0.00862874
2025-08-01,INR,GBP,0.00865686
2025-08-02,INR,GBP,0.00863438
2025-08-03,INR,GBP,0.00863356
2025-08-04,INR,GBP,0.00858929
2025-08-05,INR,GBP,0.0085685
2025-08-06,INR,GBP,0.00855394
2025-08-07,INR,GBP,0.0085231
2025-08-08,INR,GBP,0.00849224
2025-08-09,INR,GBP,0.00847646
2025-08-10,INR,GBP,0.00847786
2025-08-11,INR,GBP,0.00849088
2025-08-12,INR,GBP,0.00847087
2025-08-13,INR,GBP,0.00843245
2025-08-14,INR,GBP,0.0084214
2025-08-15,INR,GBP,0.0084285
2025-08-16,INR,GBP,0.00843178
2025-08-17,INR,GBP,0.00843114
2025-08-18,INR,GBP,0.00845648
2025-08-19,INR,GBP,0.00850152
2025-08-20,INR,GBP,0.00852496
2025-08-21,INR,GBP,0.0085342
2025-08-22,INR,GBP,0.00850296
2025-08-23,INR,GBP,0.00846252
2025-08-24,INR,GBP,0.00846316
2025-08-25,INR,GBP,0.00846982
2025-08-26,INR,GBP,0.00846678
2025-08-27,INR,GBP,0.00846535
2025-08-28,INR,GBP,0.00844949
2025-08-29,INR,GBP,0.00841894
2025-08-30,INR,GBP,0.00839885
2025-08-31,INR,GBP,0.00839863
2025-09-01,INR,GBP,0.00838528
2025-09-02,INR,GBP,0.00845394
2025-09-03,INR,GBP,0.00846803
2025-09-04,INR,GBP,0.00844435
2025-09-05,INR,GBP,0.00840656
2025-09-06,INR,GBP,0.00839342
2025-09-07,INR,GBP,0.00839438
2025-09-08,INR,GBP,0.00839798
2025-09-09,INR,GBP,0.00837168
2025-09-10,INR,GBP,0.0083854
2025-09-11,INR,GBP,0.00836311
2025-09-12,INR,GBP,0.00835456
2025-09-13,INR,GBP,0.00835394
2025-09-14,INR,GBP,0.00835408
2025-09-15,INR,GBP,0.00834488
2025-09-16,INR,GBP,0.0083306
2025-09-17,INR,GBP,0.00834358
2025-09-18,INR,GBP,0.0083505
2025-09-19,INR,GBP,0.00840313
2025-09-20,INR,GBP,0.00842613
2025-09-21,INR,GBP,0.00842622
2025-09-22,INR,GBP,0.00839726
2025-09-23,INR,GBP,0.00834269
2025-09-24,INR,GBP,0.0083631
2025-09-25,INR,GBP,0.0084099
2025-09-26,INR,GBP,0.00842934
2025-09-27,INR,GBP,0.00841477
2025-09-28,INR,GBP,0.00841468
2025-09-29,INR,GBP,0.00839082
2025-09-30,INR,GBP,0.00837745
2025-10-01,INR,GBP,0.0083677
2025-10-02,INR,GBP,0.00837115
2025-10-03,INR,GBP,0.00837142
2025-10-04,INR,GBP,0.00836022
2025-10-05,INR,GBP,0.00836356
2025-10-06,INR,GBP,0.0083727
2025-10-07,INR,GBP,0.0083832
2025-10-08,INR,GBP,0.0084046
2025-10-09,INR,GBP,0.00843182
2025-10-10,INR,GBP,0.00846436
2025-10-11,INR,GBP,0.00843308
2025-10-12,INR,GBP,0.00843424
2025-10-13,INR,GBP,0.00845264
2025-10-14,INR,GBP,0.00846458
2025-10-15,INR,GBP,0.00848676
2025-10-16,INR,GBP,0.008471
2025-10-17,INR,GBP,0.00846318
2025-10-18,INR,GBP,0.00846366
2025-10-19,INR,GBP,0.00846366
2025-10-20,INR,GBP,0.0084765
2025-10-21,INR,GBP,0.00849292
2025-10-22,INR,GBP,0.0085345
2025-10-23,INR,GBP,0.00853777
2025-10-24,INR,GBP,0.00855338
2025-10-25,INR,GBP,0.00855452
2025-10-26,INR,GBP,0.0085534
2025-10-27,INR,GBP,0.00851082
2025-10-28,INR,GBP,0.00851314
2025-10-29,INR,GBP,0.00856643
2025-10-30,INR,GBP,0.00856773
2025-10-31,INR,GBP,0.00857708
2025-11-01,INR,GBP,0.00856757
2025-11-02,INR,GBP,0.00856826
2025-11-03,INR,GBP,0.00857678
2025-11-04,INR,GBP,0.00862553
2025-11-05,INR,GBP,0.00865412
2025-11-06,INR,GBP,0.00861808
2025-11-07,INR,GBP,0.00858462
2025-11-08,INR,GBP,0.00856886
2025-11-09,INR,GBP,0.00856944
2025-11-10,INR,GBP,0.00856402
2025-11-11,INR,GBP,0.00858196
2025-11-12,INR,GBP,0.00859598
2025-11-13,INR,GBP,0.00856602
2025-11-14,INR,GBP,0.00856843
2025-11-15,INR,GBP,0.00855936
2025-11-16,INR,GBP,0.00856007
2025-11-17,INR,GBP,0.00857184
2025-11-18,INR,GBP,0.00858362
2025-11-19,INR,GBP,0.0086198
2025-11-20,INR,GBP,0.00862846
2025-11-21,INR,GBP,0.00856172
2025-11-22,INR,GBP,0.00851837
2025-11-23,INR,GBP,0.00851848
2025-11-24,INR,GBP,0.00855587
2025-11-25,INR,GBP,0.00853366
2025-11-26,INR,GBP,0.00849194
2025-11-27,INR,GBP,0.00845666
2025-11-28,INR,GBP,0.0084547
2025-11-29,INR,GBP,0.00845814
2025-11-30,INR,GBP,0.00845828
2025-12-01,INR,GBP,0.00844116
2025-12-02,INR,GBP,0.00842586
2025-12-03,INR,GBP,0.00834864
2025-12-04,INR,GBP,0.00832851
