date,base,quote,rate
2020-12-20,INR,HKD,0.105464
2020-12-21,INR,HKD,0.105058
2020-12-22,INR,HKD,0.104912
2020-12-23,INR,HKD,0.105058
2020-12-24,INR,HKD,0.105392
2020-12-25,INR,HKD,0.105438
2020-12-26,INR,HKD,0.105438
2020-12-27,INR,HKD,0.105436
2020-12-28,INR,HKD,0.105478
2020-12-29,INR,HKD,0.105678
2020-12-30,INR,HKD,0.105888
2020-12-31,INR,HKD,0.106169
2021-01-01,INR,HKD,0.106182
2021-01-02,INR,HKD,0.106182
2021-01-03,INR,HKD,0.106182
2021-01-04,INR,HKD,0.106207
2021-01-05,INR,HKD,0.106012
2021-01-06,INR,HKD,0.106023
2021-01-07,INR,HKD,0.105775
2021-01-08,INR,HKD,0.105714
2021-01-09,INR,HKD,0.10571
2021-01-10,INR,HKD,0.105708
2021-01-11,INR,HKD,0.105549
2021-01-12,INR,HKD,0.105758
2021-01-13,INR,HKD,0.10595
2021-01-14,INR,HKD,0.106022
2021-01-15,INR,HKD,0.106008
2021-01-16,INR,HKD,0.105872
2021-01-17,INR,HKD,0.105872
2021-01-18,INR,HKD,0.105811
2021-01-19,INR,HKD,0.105883
2021-01-20,INR,HKD,0.106126
2021-01-21,INR,HKD,0.10622
2021-01-22,INR,HKD,0.106157
2021-01-23,INR,HKD,0.106152
2021-01-24,INR,HKD,0.106152
2021-01-25,INR,HKD,0.10619
2021-01-26,INR,HKD,0.106186
2021-01-27,INR,HKD,0.106174
2021-01-28,INR,HKD,0.10607
2021-01-29,INR,HKD,0.106214
2021-01-30,INR,HKD,0.106207
2021-01-31,INR,HKD,0.106207
2021-02-01,INR,HKD,0.106006
2021-02-02,INR,HKD,0.1061
2021-02-03,INR,HKD,0.106245
2021-02-04,INR,HKD,0.106256
2021-02-05,INR,HKD,0.106325
2021-02-06,INR,HKD,0.106472
2021-02-07,INR,HKD,0.106471
2021-02-08,INR,HKD,0.106284
2021-02-09,INR,HKD,0.1063
2021-02-10,INR,HKD,0.10638
2021-02-11,INR,HKD,0.106523
2021-02-12,INR,HKD,0.106644
2021-02-13,INR,HKD,0.106769
2021-02-14,INR,HKD,0.106769
2021-02-15,INR,HKD,0.106721
2021-02-16,INR,HKD,0.106484
2021-02-17,INR,HKD,0.106451
2021-02-18,INR,HKD,0.106688
2021-02-19,INR,HKD,0.106866
2021-02-20,INR,HKD,0.10683
2021-02-21,INR,HKD,0.10683
2021-02-22,INR,HKD,0.106951
2021-02-23,INR,HKD,0.107031
2021-02-24,INR,HKD,0.107164
2021-02-25,INR,HKD,0.106764
2021-02-26,INR,HKD,0.105366
2021-02-27,INR,HKD,0.105086
2021-02-28,INR,HKD,0.105086
2021-03-01,INR,HKD,0.105512
2021-03-02,INR,HKD,0.105713
2021-03-03,INR,HKD,0.106211
2021-03-04,INR,HKD,0.10642
2021-03-05,INR,HKD,0.106222
2021-03-06,INR,HKD,0.106084
2021-03-07,INR,HKD,0.106085
2021-03-08,INR,HKD,0.105994
2021-03-09,INR,HKD,0.10634
2021-03-10,INR,HKD,0.106588
2021-03-11,INR,HKD,0.106798
2021-03-12,INR,HKD,0.10669
2021-03-13,INR,HKD,0.106732
2021-03-14,INR,HKD,0.106733
2021-03-15,INR,HKD,0.106852
2021-03-16,INR,HKD,0.106929
2021-03-17,INR,HKD,0.106946
2021-03-18,INR,HKD,0.106832
2021-03-19,INR,HKD,0.106884
2021-03-20,INR,HKD,0.106965
2021-03-21,INR,HKD,0.106966
2021-03-22,INR,HKD,0.10705
2021-03-23,INR,HKD,0.106922
2021-03-24,INR,HKD,0.106633
2021-03-25,INR,HKD,0.106682
2021-03-26,INR,HKD,0.10693
2021-03-27,INR,HKD,0.106977
2021-03-28,INR,HKD,0.106977
2021-03-29,INR,HKD,0.106753
2021-03-30,INR,HKD,0.10606
2021-03-31,INR,HKD,0.106067
2021-04-01,INR,HKD,0.106038
2021-04-02,INR,HKD,0.10599
2021-04-03,INR,HKD,0.105926
2021-04-04,INR,HKD,0.105926
2021-04-05,INR,HKD,0.106052
2021-04-06,INR,HKD,0.105955
2021-04-07,INR,HKD,0.104906
2021-04-08,INR,HKD,0.104394
2021-04-09,INR,HKD,0.10413
2021-04-10,INR,HKD,0.10412
2021-04-11,INR,HKD,0.104119
2021-04-12,INR,HKD,0.103716
2021-04-13,INR,HKD,0.103278
2021-04-14,INR,HKD,0.103352
2021-04-15,INR,HKD,0.103574
2021-04-16,INR,HKD,0.104166
2021-04-17,INR,HKD,0.104173
2021-04-18,INR,HKD,0.104172
2021-04-19,INR,HKD,0.103742
2021-04-20,INR,HKD,0.103319
2021-04-21,INR,HKD,0.10288
2021-04-22,INR,HKD,0.103272
2021-04-23,INR,HKD,0.103478
2021-04-24,INR,HKD,0.10358
2021-04-25,INR,HKD,0.103582
2021-04-26,INR,HKD,0.10368
2021-04-27,INR,HKD,0.103916
2021-04-28,INR,HKD,0.104195
2021-04-29,INR,HKD,0.104694
2021-04-30,INR,HKD,0.104755
2021-05-01,INR,HKD,0.104695
2021-05-02,INR,HKD,0.104694
2021-05-03,INR,HKD,0.104634
2021-05-04,INR,HKD,0.104782
2021-05-05,INR,HKD,0.104965
2021-05-06,INR,HKD,0.105255
2021-05-07,INR,HKD,0.105708
2021-05-08,INR,HKD,0.105906
2021-05-09,INR,HKD,0.105906
2021-05-10,INR,HKD,0.105734
2021-05-11,INR,HKD,0.105731
2021-05-12,INR,HKD,0.105577
2021-05-13,INR,HKD,0.105538
2021-05-14,INR,HKD,0.105892
2021-05-15,INR,HKD,0.105965
2021-05-16,INR,HKD,0.105965
2021-05-17,INR,HKD,0.105914
2021-05-18,INR,HKD,0.106146
2021-05-19,INR,HKD,0.106058
2021-05-20,INR,HKD,0.10616
2021-05-21,INR,HKD,0.106434
2021-05-22,INR,HKD,0.10648
2021-05-23,INR,HKD,0.10648
2021-05-24,INR,HKD,0.106492
2021-05-25,INR,HKD,0.106602
2021-05-26,INR,HKD,0.106736
2021-05-27,INR,HKD,0.106852
2021-05-28,INR,HKD,0.107106
2021-05-29,INR,HKD,0.107204
2021-05-30,INR,HKD,0.107204
2021-05-31,INR,HKD,0.107042
2021-06-01,INR,HKD,0.10666
2021-06-02,INR,HKD,0.106316
2021-06-03,INR,HKD,0.106329
2021-06-04,INR,HKD,0.106422
2021-06-05,INR,HKD,0.10651
2021-06-06,INR,HKD,0.106511
2021-06-07,INR,HKD,0.10661
2021-06-08,INR,HKD,0.106506
2021-06-09,INR,HKD,0.106394
2021-06-10,INR,HKD,0.106334
2021-06-11,INR,HKD,0.106222
2021-06-12,INR,HKD,0.10614
2021-06-13,INR,HKD,0.106141
2021-06-14,INR,HKD,0.106062
2021-06-15,INR,HKD,0.10591
2021-06-16,INR,HKD,0.105738
2021-06-17,INR,HKD,0.104908
2021-06-18,INR,HKD,0.104821
2021-06-19,INR,HKD,0.104788
2021-06-20,INR,HKD,0.104788
2021-06-21,INR,HKD,0.104753
2021-06-22,INR,HKD,0.104672
2021-06-23,INR,HKD,0.104674
2021-06-24,INR,HKD,0.10474
2021-06-25,INR,HKD,0.104716
2021-06-26,INR,HKD,0.104634
2021-06-27,INR,HKD,0.104634
2021-06-28,INR,HKD,0.104626
2021-06-29,INR,HKD,0.104634
2021-06-30,INR,HKD,0.104534
2021-07-01,INR,HKD,0.104319
2021-07-02,INR,HKD,0.104162
2021-07-03,INR,HKD,0.104308
2021-07-04,INR,HKD,0.104308
2021-07-05,INR,HKD,0.104498
2021-07-06,INR,HKD,0.104235
2021-07-07,INR,HKD,0.103982
2021-07-08,INR,HKD,0.103962
2021-07-09,INR,HKD,0.104191
2021-07-10,INR,HKD,0.104315
2021-07-11,INR,HKD,0.104316
2021-07-12,INR,HKD,0.104254
2021-07-13,INR,HKD,0.104229
2021-07-14,INR,HKD,0.104238
2021-07-15,INR,HKD,0.104293
2021-07-16,INR,HKD,0.104203
2021-07-17,INR,HKD,0.10412
2021-07-18,INR,HKD,0.10412
2021-07-19,INR,HKD,0.103842
2021-07-20,INR,HKD,0.104127
2021-07-21,INR,HKD,0.104389
2021-07-22,INR,HKD,0.10451
2021-07-23,INR,HKD,0.104498
2021-07-24,INR,HKD,0.104499
2021-07-25,INR,HKD,0.1045
2021-07-26,INR,HKD,0.104628
2021-07-27,INR,HKD,0.104624
2021-07-28,INR,HKD,0.104639
2021-07-29,INR,HKD,0.104784
2021-07-30,INR,HKD,0.104676
2021-07-31,INR,HKD,0.104606
2021-08-01,INR,HKD,0.104606
2021-08-02,INR,HKD,0.104662
2021-08-03,INR,HKD,0.104842
2021-08-04,INR,HKD,0.104944
2021-08-05,INR,HKD,0.105018
2021-08-06,INR,HKD,0.105006
2021-08-07,INR,HKD,0.104942
2021-08-08,INR,HKD,0.104942
2021-08-09,INR,HKD,0.104801
2021-08-10,INR,HKD,0.104664
2021-08-11,INR,HKD,0.104781
2021-08-12,INR,HKD,0.104902
2021-08-13,INR,HKD,0.104955
2021-08-14,INR,HKD,0.105003
2021-08-15,INR,HKD,0.105003
2021-08-16,INR,HKD,0.105018
2021-08-17,INR,HKD,0.104932
2021-08-18,INR,HKD,0.10496
2021-08-19,INR,HKD,0.104862
2021-08-20,INR,HKD,0.104865
2021-08-21,INR,HKD,0.104963
2021-08-22,INR,HKD,0.104962
2021-08-23,INR,HKD,0.105104
2021-08-24,INR,HKD,0.105128
2021-08-25,INR,HKD,0.105016
2021-08-26,INR,HKD,0.105066
2021-08-27,INR,HKD,0.105644
2021-08-28,INR,HKD,0.106001
2021-08-29,INR,HKD,0.106001
2021-08-30,INR,HKD,0.106258
2021-08-31,INR,HKD,0.106556
2021-09-01,INR,HKD,0.106592
2021-09-02,INR,HKD,0.106542
2021-09-03,INR,HKD,0.10652
2021-09-04,INR,HKD,0.106581
2021-09-05,INR,HKD,0.10658
2021-09-06,INR,HKD,0.106439
2021-09-07,INR,HKD,0.106069
2021-09-08,INR,HKD,0.10567
2021-09-09,INR,HKD,0.105722
2021-09-10,INR,HKD,0.105956
2021-09-11,INR,HKD,0.10591
2021-09-12,INR,HKD,0.10591
2021-09-13,INR,HKD,0.105769
2021-09-14,INR,HKD,0.105724
2021-09-15,INR,HKD,0.105859
2021-09-16,INR,HKD,0.10597
2021-09-17,INR,HKD,0.105885
2021-09-18,INR,HKD,0.105755
2021-09-19,INR,HKD,0.105754
2021-09-20,INR,HKD,0.105748
2021-09-21,INR,HKD,0.105718
2021-09-22,INR,HKD,0.10553
2021-09-23,INR,HKD,0.105584
2021-09-24,INR,HKD,0.105586
2021-09-25,INR,HKD,0.105548
2021-09-26,INR,HKD,0.105548
2021-09-27,INR,HKD,0.105534
2021-09-28,INR,HKD,0.105123
2021-09-29,INR,HKD,0.104874
2021-09-30,INR,HKD,0.104927
2021-10-01,INR,HKD,0.105028
2021-10-02,INR,HKD,0.105118
2021-10-03,INR,HKD,0.10512
2021-10-04,INR,HKD,0.104774
2021-10-05,INR,HKD,0.104489
2021-10-06,INR,HKD,0.104175
2021-10-07,INR,HKD,0.104116
2021-10-08,INR,HKD,0.103832
2021-10-09,INR,HKD,0.103823
2021-10-10,INR,HKD,0.103824
2021-10-11,INR,HKD,0.10337
2021-10-12,INR,HKD,0.103144
2021-10-13,INR,HKD,0.103306
2021-10-14,INR,HKD,0.103544
2021-10-15,INR,HKD,0.103778
2021-10-16,INR,HKD,0.103698
2021-10-17,INR,HKD,0.103699
2021-10-18,INR,HKD,0.103392
2021-10-19,INR,HKD,0.103597
2021-10-20,INR,HKD,0.103801
2021-10-21,INR,HKD,0.103914
2021-10-22,INR,HKD,0.103856
2021-10-23,INR,HKD,0.103664
2021-10-24,INR,HKD,0.103664
2021-10-25,INR,HKD,0.103592
2021-10-26,INR,HKD,0.103639
2021-10-27,INR,HKD,0.10368
2021-10-28,INR,HKD,0.103882
2021-10-29,INR,HKD,0.103834
2021-10-30,INR,HKD,0.103768
2021-10-31,INR,HKD,0.103768
2021-11-01,INR,HKD,0.103859
2021-11-02,INR,HKD,0.104159
2021-11-03,INR,HKD,0.104466
2021-11-04,INR,HKD,0.104535
2021-11-05,INR,HKD,0.104762
2021-11-06,INR,HKD,0.104891
2021-11-07,INR,HKD,0.104892
2021-11-08,INR,HKD,0.10517
2021-11-09,INR,HKD,0.105246
2021-11-10,INR,HKD,0.1049
2021-11-11,INR,HKD,0.104792
2021-11-12,INR,HKD,0.104814
2021-11-13,INR,HKD,0.104842
2021-11-14,INR,HKD,0.104842
2021-11-15,INR,HKD,0.104788
2021-11-16,INR,HKD,0.10469
2021-11-17,INR,HKD,0.104849
2021-11-18,INR,HKD,0.105026
2021-11-19,INR,HKD,0.104922
2021-11-20,INR,HKD,0.104873
2021-11-21,INR,HKD,0.104873
2021-11-22,INR,HKD,0.10475
2021-11-23,INR,HKD,0.104673
2021-11-24,INR,HKD,0.104682
2021-11-25,INR,HKD,0.10468
2021-11-26,INR,HKD,0.10424
2021-11-27,INR,HKD,0.104041
2021-11-28,INR,HKD,0.104041
2021-11-29,INR,HKD,0.103966
2021-11-30,INR,HKD,0.103913
2021-12-01,INR,HKD,0.104016
2021-12-02,INR,HKD,0.103976
2021-12-03,INR,HKD,0.103803
2021-12-04,INR,HKD,0.103672
2021-12-05,INR,HKD,0.103674
2021-12-06,INR,HKD,0.103564
2021-12-07,INR,HKD,0.103455
2021-12-08,INR,HKD,0.103395
2021-12-09,INR,HKD,0.103253
2021-12-10,INR,HKD,0.103107
2021-12-11,INR,HKD,0.103051
