date,base,quote,rate
2020-12-20,INR,KZT,5.70896
2020-12-21,INR,KZT,5.70279
2020-12-22,INR,KZT,5.68784
2020-12-23,INR,KZT,5.71412
2020-12-24,INR,KZT,5.71726
2020-12-25,INR,KZT,5.7137
2020-12-26,INR,KZT,5.71302
2020-12-27,INR,KZT,5.71286
2020-12-28,INR,KZT,5.71482
2020-12-29,INR,KZT,5.72834
2020-12-30,INR,KZT,5.74896
2020-12-31,INR,KZT,5.76746
2021-01-01,INR,KZT,5.78551
2021-01-02,INR,KZT,5.78523
2021-01-03,INR,KZT,5.78482
2021-01-04,INR,KZT,5.7763
2021-01-05,INR,KZT,5.77024
2021-01-06,INR,KZT,5.74135
2021-01-07,INR,KZT,5.72064
2021-01-08,INR,KZT,5.71748
2021-01-09,INR,KZT,5.71472
2021-01-10,INR,KZT,5.71472
2021-01-11,INR,KZT,5.72006
2021-01-12,INR,KZT,5.73122
2021-01-13,INR,KZT,5.72458
2021-01-14,INR,KZT,5.73766
2021-01-15,INR,KZT,5.73652
2021-01-16,INR,KZT,5.72652
2021-01-17,INR,KZT,5.72652
2021-01-18,INR,KZT,5.74088
2021-01-19,INR,KZT,5.73811
2021-01-20,INR,KZT,5.73845
2021-01-21,INR,KZT,5.73911
2021-01-22,INR,KZT,5.75048
2021-01-23,INR,KZT,5.76439
2021-01-24,INR,KZT,5.76439
2021-01-25,INR,KZT,5.76722
2021-01-26,INR,KZT,5.7787
2021-01-27,INR,KZT,5.78118
2021-01-28,INR,KZT,5.79588
2021-01-29,INR,KZT,5.80564
2021-01-30,INR,KZT,5.80027
2021-01-31,INR,KZT,5.80027
2021-02-01,INR,KZT,5.79918
2021-02-02,INR,KZT,5.80069
2021-02-03,INR,KZT,5.80424
2021-02-04,INR,KZT,5.78815
2021-02-05,INR,KZT,5.77667
2021-02-06,INR,KZT,5.77466
2021-02-07,INR,KZT,5.77466
2021-02-08,INR,KZT,5.74395
2021-02-09,INR,KZT,5.73661
2021-02-10,INR,KZT,5.73656
2021-02-11,INR,KZT,5.74486
2021-02-12,INR,KZT,5.76378
2021-02-13,INR,KZT,5.77568
2021-02-14,INR,KZT,5.77563
2021-02-15,INR,KZT,5.75173
2021-02-16,INR,KZT,5.7257
2021-02-17,INR,KZT,5.73404
2021-02-18,INR,KZT,5.73581
2021-02-19,INR,KZT,5.74846
2021-02-20,INR,KZT,5.75228
2021-02-21,INR,KZT,5.75228
2021-02-22,INR,KZT,5.75425
2021-02-23,INR,KZT,5.73814
2021-02-24,INR,KZT,5.73896
2021-02-25,INR,KZT,5.71741
2021-02-26,INR,KZT,5.66178
2021-02-27,INR,KZT,5.65807
2021-02-28,INR,KZT,5.65807
2021-03-01,INR,KZT,5.69046
2021-03-02,INR,KZT,5.71985
2021-03-03,INR,KZT,5.7426
2021-03-04,INR,KZT,5.76016
2021-03-05,INR,KZT,5.75088
2021-03-06,INR,KZT,5.72725
2021-03-07,INR,KZT,5.72725
2021-03-08,INR,KZT,5.73082
2021-03-09,INR,KZT,5.75432
2021-03-10,INR,KZT,5.77034
2021-03-11,INR,KZT,5.77462
2021-03-12,INR,KZT,5.76058
2021-03-13,INR,KZT,5.7599
2021-03-14,INR,KZT,5.76043
2021-03-15,INR,KZT,5.76486
2021-03-16,INR,KZT,5.76846
2021-03-17,INR,KZT,5.77217
2021-03-18,INR,KZT,5.76877
2021-03-19,INR,KZT,5.78952
2021-03-20,INR,KZT,5.79706
2021-03-21,INR,KZT,5.79715
2021-03-22,INR,KZT,5.8067
2021-03-23,INR,KZT,5.79468
2021-03-24,INR,KZT,5.78445
2021-03-25,INR,KZT,5.81222
2021-03-26,INR,KZT,5.84307
2021-03-27,INR,KZT,5.84332
2021-03-28,INR,KZT,5.84332
2021-03-29,INR,KZT,5.82804
2021-03-30,INR,KZT,5.79492
2021-03-31,INR,KZT,5.80512
2021-04-01,INR,KZT,5.82206
2021-04-02,INR,KZT,5.81558
2021-04-03,INR,KZT,5.81304
2021-04-04,INR,KZT,5.813
2021-04-05,INR,KZT,5.82861
2021-04-06,INR,KZT,5.83916
2021-04-07,INR,KZT,5.81354
2021-04-08,INR,KZT,5.81954
2021-04-09,INR,KZT,5.79644
2021-04-10,INR,KZT,5.79948
2021-04-11,INR,KZT,5.79948
2021-04-12,INR,KZT,5.78026
2021-04-13,INR,KZT,5.7625
2021-04-14,INR,KZT,5.74842
2021-04-15,INR,KZT,5.75568
2021-04-16,INR,KZT,5.77447
2021-04-17,INR,KZT,5.76738
2021-04-18,INR,KZT,5.76784
2021-04-19,INR,KZT,5.75514
2021-04-20,INR,KZT,5.72934
2021-04-21,INR,KZT,5.7203
2021-04-22,INR,KZT,5.75089
2021-04-23,INR,KZT,5.74696
2021-04-24,INR,KZT,5.74614
2021-04-25,INR,KZT,5.74614
2021-04-26,INR,KZT,5.75016
2021-04-27,INR,KZT,5.75738
2021-04-28,INR,KZT,5.76573
2021-04-29,INR,KZT,5.7716
2021-04-30,INR,KZT,5.7923
2021-05-01,INR,KZT,5.79645
2021-05-02,INR,KZT,5.79645
2021-05-03,INR,KZT,5.80351
2021-05-04,INR,KZT,5.78736
2021-05-05,INR,KZT,5.77131
2021-05-06,INR,KZT,5.78202
2021-05-07,INR,KZT,5.80838
2021-05-08,INR,KZT,5.81666
2021-05-09,INR,KZT,5.81666
2021-05-10,INR,KZT,5.79598
2021-05-11,INR,KZT,5.81602
2021-05-12,INR,KZT,5.8052
2021-05-13,INR,KZT,5.81916
2021-05-14,INR,KZT,5.84128
2021-05-15,INR,KZT,5.84216
2021-05-16,INR,KZT,5.84201
2021-05-17,INR,KZT,5.83214
2021-05-18,INR,KZT,5.83636
2021-05-19,INR,KZT,5.8428
2021-05-20,INR,KZT,5.86286
2021-05-21,INR,KZT,5.87804
2021-05-22,INR,KZT,5.87948
2021-05-23,INR,KZT,5.87948
2021-05-24,INR,KZT,5.87494
2021-05-25,INR,KZT,5.86849
2021-05-26,INR,KZT,5.88336
2021-05-27,INR,KZT,5.90744
2021-05-28,INR,KZT,5.91774
2021-05-29,INR,KZT,5.91798
2021-05-30,INR,KZT,5.91798
2021-05-31,INR,KZT,5.90748
2021-06-01,INR,KZT,5.87993
2021-06-02,INR,KZT,5.87155
2021-06-03,INR,KZT,5.8642
2021-06-04,INR,KZT,5.87474
2021-06-05,INR,KZT,5.8706
2021-06-06,INR,KZT,5.8706
2021-06-07,INR,KZT,5.86609
2021-06-08,INR,KZT,5.86704
2021-06-09,INR,KZT,5.85916
2021-06-10,INR,KZT,5.8581
2021-06-11,INR,KZT,5.84903
2021-06-12,INR,KZT,5.84388
2021-06-13,INR,KZT,5.84394
2021-06-14,INR,KZT,5.84542
2021-06-15,INR,KZT,5.82925
2021-06-16,INR,KZT,5.81116
2021-06-17,INR,KZT,5.78818
2021-06-18,INR,KZT,5.77994
2021-06-19,INR,KZT,5.77914
2021-06-20,INR,KZT,5.77894
2021-06-21,INR,KZT,5.77845
2021-06-22,INR,KZT,5.76225
2021-06-23,INR,KZT,5.76335
2021-06-24,INR,KZT,5.77584
2021-06-25,INR,KZT,5.7643
2021-06-26,INR,KZT,5.75268
2021-06-27,INR,KZT,5.75278
2021-06-28,INR,KZT,5.75306
2021-06-29,INR,KZT,5.77236
2021-06-30,INR,KZT,5.7597
2021-07-01,INR,KZT,5.73826
2021-07-02,INR,KZT,5.72562
2021-07-03,INR,KZT,5.73151
2021-07-04,INR,KZT,5.73151
2021-07-05,INR,KZT,5.7321
2021-07-06,INR,KZT,5.72509
2021-07-07,INR,KZT,5.7285
2021-07-08,INR,KZT,5.75686
2021-07-09,INR,KZT,5.76209
