date,base,quote,rate
2020-12-20,INR,RUB,0.999169
2020-12-21,INR,RUB,1.01138
2020-12-22,INR,RUB,1.01966
2020-12-23,INR,RUB,1.02116
2020-12-24,INR,RUB,1.01278
2020-12-25,INR,RUB,1.0067
2020-12-26,INR,RUB,1.00713
2020-12-27,INR,RUB,1.00692
2020-12-28,INR,RUB,1.00482
2020-12-29,INR,RUB,1.00636
2020-12-30,INR,RUB,1.01374
2020-12-31,INR,RUB,1.01872
2021-01-01,INR,RUB,1.01326
2021-01-02,INR,RUB,1.013
2021-01-03,INR,RUB,1.01302
2021-01-04,INR,RUB,1.01294
2021-01-05,INR,RUB,1.0169
2021-01-06,INR,RUB,1.01074
2021-01-07,INR,RUB,1.01378
2021-01-08,INR,RUB,1.01292
2021-01-09,INR,RUB,1.00966
2021-01-10,INR,RUB,1.00966
2021-01-11,INR,RUB,1.01496
2021-01-12,INR,RUB,1.0103
2021-01-13,INR,RUB,1.00654
2021-01-14,INR,RUB,1.00482
2021-01-15,INR,RUB,1.00466
2021-01-16,INR,RUB,1.00392
2021-01-17,INR,RUB,1.00404
2021-01-18,INR,RUB,1.00956
2021-01-19,INR,RUB,1.0078
2021-01-20,INR,RUB,1.00698
2021-01-21,INR,RUB,1.00926
2021-01-22,INR,RUB,1.02273
2021-01-23,INR,RUB,1.03088
2021-01-24,INR,RUB,1.03096
2021-01-25,INR,RUB,1.03214
2021-01-26,INR,RUB,1.03138
2021-01-27,INR,RUB,1.03324
2021-01-28,INR,RUB,1.0404
2021-01-29,INR,RUB,1.04038
2021-01-30,INR,RUB,1.04036
2021-01-31,INR,RUB,1.04031
2021-02-01,INR,RUB,1.03756
2021-02-02,INR,RUB,1.03906
2021-02-03,INR,RUB,1.04177
2021-02-04,INR,RUB,1.03742
2021-02-05,INR,RUB,1.0286
2021-02-06,INR,RUB,1.02514
2021-02-07,INR,RUB,1.02516
2021-02-08,INR,RUB,1.02057
2021-02-09,INR,RUB,1.01568
2021-02-10,INR,RUB,1.01345
2021-02-11,INR,RUB,1.01336
2021-02-12,INR,RUB,1.01634
2021-02-13,INR,RUB,1.01429
2021-02-14,INR,RUB,1.01428
2021-02-15,INR,RUB,1.01024
2021-02-16,INR,RUB,1.00938
2021-02-17,INR,RUB,1.01336
2021-02-18,INR,RUB,1.01562
2021-02-19,INR,RUB,1.01978
2021-02-20,INR,RUB,1.02009
2021-02-21,INR,RUB,1.02016
2021-02-22,INR,RUB,1.02574
2021-02-23,INR,RUB,1.02278
2021-02-24,INR,RUB,1.01942
2021-02-25,INR,RUB,1.01783
2021-02-26,INR,RUB,1.01333
2021-02-27,INR,RUB,1.01009
2021-02-28,INR,RUB,1.01016
2021-03-01,INR,RUB,1.0095
2021-03-02,INR,RUB,1.0099
2021-03-03,INR,RUB,1.0111
2021-03-04,INR,RUB,1.01444
2021-03-05,INR,RUB,1.01853
2021-03-06,INR,RUB,1.01609
2021-03-07,INR,RUB,1.01605
2021-03-08,INR,RUB,1.01544
2021-03-09,INR,RUB,1.01538
2021-03-10,INR,RUB,1.01433
2021-03-11,INR,RUB,1.01158
2021-03-12,INR,RUB,1.0091
2021-03-13,INR,RUB,1.00725
2021-03-14,INR,RUB,1.00742
2021-03-15,INR,RUB,1.00618
2021-03-16,INR,RUB,1.00298
2021-03-17,INR,RUB,1.01134
2021-03-18,INR,RUB,1.01727
2021-03-19,INR,RUB,1.02086
2021-03-20,INR,RUB,1.02064
2021-03-21,INR,RUB,1.02064
2021-03-22,INR,RUB,1.02852
2021-03-23,INR,RUB,1.04272
2021-03-24,INR,RUB,1.04812
2021-03-25,INR,RUB,1.04759
2021-03-26,INR,RUB,1.04492
2021-03-27,INR,RUB,1.04442
2021-03-28,INR,RUB,1.0443
2021-03-29,INR,RUB,1.04112
2021-03-30,INR,RUB,1.03426
2021-03-31,INR,RUB,1.03207
2021-04-01,INR,RUB,1.03682
2021-04-02,INR,RUB,1.04015
2021-04-03,INR,RUB,1.04119
2021-04-04,INR,RUB,1.0412
2021-04-05,INR,RUB,1.04166
2021-04-06,INR,RUB,1.04623
2021-04-07,INR,RUB,1.04201
2021-04-08,INR,RUB,1.03226
2021-04-09,INR,RUB,1.03385
2021-04-10,INR,RUB,1.03644
2021-04-11,INR,RUB,1.03646
2021-04-12,INR,RUB,1.03234
2021-04-13,INR,RUB,1.02042
2021-04-14,INR,RUB,1.00841
2021-04-15,INR,RUB,1.01956
2021-04-16,INR,RUB,1.0174
2021-04-17,INR,RUB,1.0135
2021-04-18,INR,RUB,1.01358
2021-04-19,INR,RUB,1.0179
2021-04-20,INR,RUB,1.01892
2021-04-21,INR,RUB,1.01706
2021-04-22,INR,RUB,1.01163
2021-04-23,INR,RUB,1.00144
2021-04-24,INR,RUB,0.999473
2021-04-25,INR,RUB,0.999516
2021-04-26,INR,RUB,1.0011
2021-04-27,INR,RUB,1.00329
2021-04-28,INR,RUB,1.00277
2021-04-29,INR,RUB,1.00436
2021-04-30,INR,RUB,1.01162
2021-05-01,INR,RUB,1.01484
2021-05-02,INR,RUB,1.01461
2021-05-03,INR,RUB,1.01296
2021-05-04,INR,RUB,1.01152
2021-05-05,INR,RUB,1.0105
2021-05-06,INR,RUB,1.00966
2021-05-07,INR,RUB,1.00708
2021-05-08,INR,RUB,1.00578
2021-05-09,INR,RUB,1.00575
2021-05-10,INR,RUB,1.00728
2021-05-11,INR,RUB,1.00934
2021-05-12,INR,RUB,1.01077
2021-05-13,INR,RUB,1.00898
2021-05-14,INR,RUB,1.00878
2021-05-15,INR,RUB,1.00945
2021-05-16,INR,RUB,1.0095
2021-05-17,INR,RUB,1.0084
2021-05-18,INR,RUB,1.00798
2021-05-19,INR,RUB,1.00704
2021-05-20,INR,RUB,1.00704
2021-05-21,INR,RUB,1.00801
2021-05-22,INR,RUB,1.00974
2021-05-23,INR,RUB,1.00974
2021-05-24,INR,RUB,1.00901
2021-05-25,INR,RUB,1.00857
2021-05-26,INR,RUB,1.01068
2021-05-27,INR,RUB,1.01188
2021-05-28,INR,RUB,1.01312
2021-05-29,INR,RUB,1.01096
2021-05-30,INR,RUB,1.01094
2021-05-31,INR,RUB,1.012
2021-06-01,INR,RUB,1.00966
2021-06-02,INR,RUB,1.00548
2021-06-03,INR,RUB,1.0034
2021-06-04,INR,RUB,1.00232
2021-06-05,INR,RUB,1.00021
2021-06-06,INR,RUB,1.00026
2021-06-07,INR,RUB,1.00107
2021-06-08,INR,RUB,0.995992
2021-06-09,INR,RUB,0.990238
2021-06-10,INR,RUB,0.987497
2021-06-11,INR,RUB,0.98379
2021-06-12,INR,RUB,0.983962
2021-06-13,INR,RUB,0.984046
2021-06-14,INR,RUB,0.985748
2021-06-15,INR,RUB,0.983678
2021-06-16,INR,RUB,0.983059
2021-06-17,INR,RUB,0.97871
2021-06-18,INR,RUB,0.978862
2021-06-19,INR,RUB,0.982732
2021-06-20,INR,RUB,0.982666
2021-06-21,INR,RUB,0.985744
2021-06-22,INR,RUB,0.984983
2021-06-23,INR,RUB,0.980106
2021-06-24,INR,RUB,0.976336
2021-06-25,INR,RUB,0.974253
2021-06-26,INR,RUB,0.973324
2021-06-27,INR,RUB,0.973378
2021-06-28,INR,RUB,0.973205
2021-06-29,INR,RUB,0.978068
2021-06-30,INR,RUB,0.98237
2021-07-01,INR,RUB,0.983416
2021-07-02,INR,RUB,0.984367
2021-07-03,INR,RUB,0.983044
2021-07-04,INR,RUB,0.983102
2021-07-05,INR,RUB,0.987268
2021-07-06,INR,RUB,0.990424
2021-07-07,INR,RUB,0.996927
2021-07-08,INR,RUB,1.00186
2021-07-09,INR,RUB,0.998616
2021-07-10,INR,RUB,0.999414
2021-07-11,INR,RUB,0.999295
2021-07-12,INR,RUB,0.999596
2021-07-13,INR,RUB,0.996468
2021-07-14,INR,RUB,0.995654
2021-07-15,INR,RUB,0.996929
2021-07-16,INR,RUB,0.995155
2021-07-17,INR,RUB,0.992931
2021-07-18,INR,RUB,0.992996
2021-07-19,INR,RUB,0.995703
2021-07-20,INR,RUB,0.998174
2021-07-21,INR,RUB,0.99682
2021-07-22,INR,RUB,0.992838
2021-07-23,INR,RUB,0.991636
2021-07-24,INR,RUB,0.994313
2021-07-25,INR,RUB,0.993953
2021-07-26,INR,RUB,0.993608
2021-07-27,INR,RUB,0.991431
2021-07-28,INR,RUB,0.989824
2021-07-29,INR,RUB,0.987394
2021-07-30,INR,RUB,0.984844
2021-07-31,INR,RUB,0.98458
2021-08-01,INR,RUB,0.98458
2021-08-02,INR,RUB,0.983073
2021-08-03,INR,RUB,0.983692
2021-08-04,INR,RUB,0.98549
2021-08-05,INR,RUB,0.987634
2021-08-06,INR,RUB,0.989094
2021-08-07,INR,RUB,0.988652
2021-08-08,INR,RUB,0.988437
2021-08-09,INR,RUB,0.990476
2021-08-10,INR,RUB,0.99232
2021-08-11,INR,RUB,0.993736
2021-08-12,INR,RUB,0.991115
2021-08-13,INR,RUB,0.989786
2021-08-14,INR,RUB,0.989148
2021-08-15,INR,RUB,0.989138
2021-08-16,INR,RUB,0.989388
2021-08-17,INR,RUB,0.989814
2021-08-18,INR,RUB,0.992762
2021-08-19,INR,RUB,0.997914
2021-08-20,INR,RUB,1.00051
2021-08-21,INR,RUB,1.00073
2021-08-22,INR,RUB,1.00068
2021-08-23,INR,RUB,0.999685
2021-08-24,INR,RUB,0.997488
2021-08-25,INR,RUB,0.996525
2021-08-26,INR,RUB,1.00008
2021-08-27,INR,RUB,1.00196
2021-08-28,INR,RUB,0.997018
2021-08-29,INR,RUB,0.997266
2021-08-30,INR,RUB,1.00312
2021-08-31,INR,RUB,1.00408
2021-09-01,INR,RUB,1.00206
2021-09-02,INR,RUB,0.999224
2021-09-03,INR,RUB,0.99797
2021-09-04,INR,RUB,0.99879
2021-09-05,INR,RUB,0.998766
2021-09-06,INR,RUB,0.998917
2021-09-07,INR,RUB,0.998682
2021-09-08,INR,RUB,0.996316
2021-09-09,INR,RUB,0.993145
2021-09-10,INR,RUB,0.99386
2021-09-11,INR,RUB,0.996567
2021-09-12,INR,RUB,0.996547
2021-09-13,INR,RUB,0.991287
2021-09-14,INR,RUB,0.98955
2021-09-15,INR,RUB,0.988216
2021-09-16,INR,RUB,0.986344
2021-09-17,INR,RUB,0.988862
2021-09-18,INR,RUB,0.990374
2021-09-19,INR,RUB,0.990308
2021-09-20,INR,RUB,0.995601
2021-09-21,INR,RUB,0.993979
2021-09-22,INR,RUB,0.987841
2021-09-23,INR,RUB,0.987309
2021-09-24,INR,RUB,0.98724
2021-09-25,INR,RUB,0.983039
2021-09-26,INR,RUB,0.983319
2021-09-27,INR,RUB,0.984502
2021-09-28,INR,RUB,0.981928
2021-09-29,INR,RUB,0.981012
2021-09-30,INR,RUB,0.980536
2021-10-01,INR,RUB,0.982676
2021-10-02,INR,RUB,0.981262
2021-10-03,INR,RUB,0.98142
2021-10-04,INR,RUB,0.978166
2021-10-05,INR,RUB,0.972696
2021-10-06,INR,RUB,0.969445
2021-10-07,INR,RUB,0.963746
2021-10-08,INR,RUB,0.958543
2021-10-09,INR,RUB,0.958078
2021-10-10,INR,RUB,0.957967
2021-10-11,INR,RUB,0.953416
2021-10-12,INR,RUB,0.952489
2021-10-13,INR,RUB,0.954812
2021-10-14,INR,RUB,0.953735
2021-10-15,INR,RUB,0.949612
2021-10-16,INR,RUB,0.946467
2021-10-17,INR,RUB,0.946488
2021-10-18,INR,RUB,0.946509
2021-10-19,INR,RUB,0.945286
2021-10-20,INR,RUB,0.946653
2021-10-21,INR,RUB,0.949714
2021-10-22,INR,RUB,0.943196
2021-10-23,INR,RUB,0.93749
2021-10-24,INR,RUB,0.937626
2021-10-25,INR,RUB,0.933116
2021-10-26,INR,RUB,0.927476
2021-10-27,INR,RUB,0.93446
2021-10-28,INR,RUB,0.940543
2021-10-29,INR,RUB,0.943125
2021-10-30,INR,RUB,0.94626
2021-10-31,INR,RUB,0.946248
2021-11-01,INR,RUB,0.950114
2021-11-02,INR,RUB,0.958766
2021-11-03,INR,RUB,0.96397
2021-11-04,INR,RUB,0.961156
2021-11-05,INR,RUB,0.961345
2021-11-06,INR,RUB,0.958918
2021-11-07,INR,RUB,0.958891
2021-11-08,INR,RUB,0.96294
2021-11-09,INR,RUB,0.959328
2021-11-10,INR,RUB,0.95492
2021-11-11,INR,RUB,0.959054
2021-11-12,INR,RUB,0.97219
2021-11-13,INR,RUB,0.980923
2021-11-14,INR,RUB,0.98081
2021-11-15,INR,RUB,0.975655
2021-11-16,INR,RUB,0.979566
2021-11-17,INR,RUB,0.979752
2021-11-18,INR,RUB,0.9829
2021-11-19,INR,RUB,0.986528
2021-11-20,INR,RUB,0.989355
2021-11-21,INR,RUB,0.989355
2021-11-22,INR,RUB,0.998235
2021-11-23,INR,RUB,1.00387
2021-11-24,INR,RUB,1.00221
2021-11-25,INR,RUB,1.0029
2021-11-26,INR,RUB,1.00818
2021-11-27,INR,RUB,1.00846
2021-11-28,INR,RUB,1.0084
2021-11-29,INR,RUB,0.996692
2021-11-30,INR,RUB,0.992322
2021-12-01,INR,RUB,0.988032
2021-12-02,INR,RUB,0.985847
2021-12-03,INR,RUB,0.982699
2021-12-04,INR,RUB,0.983831
2021-12-05,INR,RUB,0.983704
2021-12-06,INR,RUB,0.982014
2021-12-07,INR,RUB,0.984704
2021-12-08,INR,RUB,0.977862
2021-12-09,INR,RUB,0.975191
2021-12-10,INR,RUB,0.972058
2021-12-11,INR,RUB,0.970143
2021-12-12,INR,RUB,0.97015
2021-12-13,INR,RUB,0.970201
2021-12-14,INR,RUB,0.969796
2021-12-15,INR,RUB,0.969454
2021-12-16,INR,RUB,0.967002
2021-12-17,INR,RUB,0.971945
2021-12-18,INR,RUB,0.975919
2021-12-19,INR,RUB,0.975922
2021-12-20,INR,RUB,0.979002
2021-12-21,INR,RUB,0.978268
2021-12-22,INR,RUB,0.977492
2021-12-23,INR,RUB,0.976895
2021-12-24,INR,RUB,0.97928
2021-12-25,INR,RUB,0.98145
2021-12-26,INR,RUB,0.981454
2021-12-27,INR,RUB,0.980124
2021-12-28,INR,RUB,0.984825
2021-12-29,INR,RUB,0.990103
2021-12-30,INR,RUB,1.00104
2021-12-31,INR,RUB,1.00682
2022-01-01,INR,RUB,1.00409
2022-01-02,INR,RUB,1.00414
2022-01-03,INR,RUB,1.00457
2022-01-04,INR,RUB,1.00608
2022-01-05,INR,RUB,1.01992
2022-01-06,INR,RUB,1.02947
2022-01-07,INR,RUB,1.02111
2022-01-08,INR,RUB,1.02073
2022-01-09,INR,RUB,1.02072
2022-01-10,INR,RUB,1.01572
2022-01-11,INR,RUB,1.01246
2022-01-12,INR,RUB,1.0104
2022-01-13,INR,RUB,1.0207
2022-01-14,INR,RUB,1.02966
2022-01-15,INR,RUB,1.0287
2022-01-16,INR,RUB,1.02885
2022-01-17,INR,RUB,1.0276
2022-01-18,INR,RUB,1.02765
2022-01-19,INR,RUB,1.02814
2022-01-20,INR,RUB,1.0277
2022-01-21,INR,RUB,1.03516
2022-01-22,INR,RUB,1.04368
2022-01-23,INR,RUB,1.04368
2022-01-24,INR,RUB,1.04978
2022-01-25,INR,RUB,1.05432
2022-01-26,INR,RUB,1.05684
2022-01-27,INR,RUB,1.04518
2022-01-28,INR,RUB,1.03794
2022-01-29,INR,RUB,1.04171
2022-01-30,INR,RUB,1.04162
2022-01-31,INR,RUB,1.03737
2022-02-01,INR,RUB,1.03017
2022-02-02,INR,RUB,1.02065
2022-02-03,INR,RUB,1.02197
2022-02-04,INR,RUB,1.01886
2022-02-05,INR,RUB,1.01513
2022-02-06,INR,RUB,1.01513
2022-02-07,INR,RUB,1.01338
2022-02-08,INR,RUB,1.00749
2022-02-09,INR,RUB,1.00055
2022-02-10,INR,RUB,0.99689
2022-02-11,INR,RUB,1.00562
2022-02-12,INR,RUB,1.01664
2022-02-13,INR,RUB,1.01664
2022-02-14,INR,RUB,1.0184
2022-02-15,INR,RUB,1.00688
2022-02-16,INR,RUB,1.00219
2022-02-17,INR,RUB,1.01196
2022-02-18,INR,RUB,1.02356
2022-02-19,INR,RUB,1.0372
2022-02-20,INR,RUB,1.03734
2022-02-21,INR,RUB,1.05076
2022-02-22,INR,RUB,1.06458
2022-02-23,INR,RUB,1.07102
2022-02-24,INR,RUB,1.13165
2022-02-25,INR,RUB,1.11513
2022-02-26,INR,RUB,1.11742
2022-02-27,INR,RUB,1.11739
2022-02-28,INR,RUB,1.27323
2022-03-01,INR,RUB,1.40676
2022-03-02,INR,RUB,1.41836
2022-03-03,INR,RUB,1.42283
2022-03-04,INR,RUB,1.45996
2022-03-05,INR,RUB,1.60874
2022-03-06,INR,RUB,1.6089
2022-03-07,INR,RUB,1.66982
2022-03-08,INR,RUB,1.71284
2022-03-09,INR,RUB,1.68765
2022-03-10,INR,RUB,1.70698
2022-03-11,INR,RUB,1.67792
2022-03-12,INR,RUB,1.7505
2022-03-13,INR,RUB,1.74527
2022-03-14,INR,RUB,1.58392
2022-03-15,INR,RUB,1.47172
2022-03-16,INR,RUB,1.3856
2022-03-17,INR,RUB,1.34574
2022-03-18,INR,RUB,1.38113
2022-03-19,INR,RUB,1.4102
2022-03-20,INR,RUB,1.40965
2022-03-21,INR,RUB,1.38432
2022-03-22,INR,RUB,1.38728
2022-03-23,INR,RUB,1.33298
2022-03-24,INR,RUB,1.30298
2022-03-25,INR,RUB,1.32179
2022-03-26,INR,RUB,1.33971
2022-03-27,INR,RUB,1.34141
2022-03-28,INR,RUB,1.29199
2022-03-29,INR,RUB,1.19297
2022-03-30,INR,RUB,1.13192
2022-03-31,INR,RUB,1.09005
2022-04-01,INR,RUB,1.10662
2022-04-02,INR,RUB,1.13236
2022-04-03,INR,RUB,1.13217
2022-04-04,INR,RUB,1.12246
2022-04-05,INR,RUB,1.1158
2022-04-06,INR,RUB,1.10529
2022-04-07,INR,RUB,1.0585
2022-04-08,INR,RUB,1.04952
2022-04-09,INR,RUB,1.05892
2022-04-10,INR,RUB,1.05962
2022-04-11,INR,RUB,1.09222
2022-04-12,INR,RUB,1.11144
2022-04-13,INR,RUB,1.09701
2022-04-14,INR,RUB,1.08532
2022-04-15,INR,RUB,1.0796
2022-04-16,INR,RUB,1.06008
2022-04-17,INR,RUB,1.06008
2022-04-18,INR,RUB,1.07472
2022-04-19,INR,RUB,1.05729
2022-04-20,INR,RUB,1.0714
2022-04-21,INR,RUB,1.06373
2022-04-22,INR,RUB,1.02964
2022-04-23,INR,RUB,1.01328
2022-04-24,INR,RUB,1.01328
2022-04-25,INR,RUB,0.988479
2022-04-26,INR,RUB,0.978389
2022-04-27,INR,RUB,0.97538
2022-04-28,INR,RUB,0.955444
2022-04-29,INR,RUB,0.938004
2022-04-30,INR,RUB,0.933965
2022-05-01,INR,RUB,0.936047
2022-05-02,INR,RUB,0.931542
2022-05-03,INR,RUB,0.90691
2022-05-04,INR,RUB,0.880348
2022-05-05,INR,RUB,0.860757
2022-05-06,INR,RUB,0.873328
2022-05-07,INR,RUB,0.898066
2022-05-08,INR,RUB,0.898066
2022-05-09,INR,RUB,0.900036
2022-05-10,INR,RUB,0.903136
2022-05-11,INR,RUB,0.884408
