date,base,quote,rate
2020-12-20,INR,USD,0.0136044
2020-12-21,INR,USD,0.0135508
2020-12-22,INR,USD,0.0135321
2020-12-23,INR,USD,0.013551
2020-12-24,INR,USD,0.0135938
2020-12-25,INR,USD,0.0135988
2020-12-26,INR,USD,0.0135988
2020-12-27,INR,USD,0.0135986
2020-12-28,INR,USD,0.0136044
2020-12-29,INR,USD,0.0136296
2020-12-30,INR,USD,0.0136582
2020-12-31,INR,USD,0.0136944
2021-01-01,INR,USD,0.0136964
2021-01-02,INR,USD,0.0136964
2021-01-03,INR,USD,0.0136964
2021-01-04,INR,USD,0.0136986
2021-01-05,INR,USD,0.0136738
2021-01-06,INR,USD,0.013675
2021-01-07,INR,USD,0.0136428
2021-01-08,INR,USD,0.0136333
2021-01-09,INR,USD,0.0136286
2021-01-10,INR,USD,0.0136286
2021-01-11,INR,USD,0.0136105
2021-01-12,INR,USD,0.0136379
2021-01-13,INR,USD,0.013664
2021-01-14,INR,USD,0.0136741
2021-01-15,INR,USD,0.0136721
2021-01-16,INR,USD,0.0136543
2021-01-17,INR,USD,0.0136543
2021-01-18,INR,USD,0.0136471
2021-01-19,INR,USD,0.0136582
2021-01-20,INR,USD,0.0136906
2021-01-21,INR,USD,0.0137026
2021-01-22,INR,USD,0.0136941
2021-01-23,INR,USD,0.0136934
2021-01-24,INR,USD,0.0136934
2021-01-25,INR,USD,0.013699
2021-01-26,INR,USD,0.0136981
2021-01-27,INR,USD,0.0136965
2021-01-28,INR,USD,0.0136816
2021-01-29,INR,USD,0.0136997
2021-01-30,INR,USD,0.0136984
2021-01-31,INR,USD,0.0136984
2021-02-01,INR,USD,0.013673
2021-02-02,INR,USD,0.0136866
2021-02-03,INR,USD,0.0137066
2021-02-04,INR,USD,0.0137064
2021-02-05,INR,USD,0.0137146
2021-02-06,INR,USD,0.0137327
2021-02-07,INR,USD,0.0137327
2021-02-08,INR,USD,0.0137098
2021-02-09,INR,USD,0.0137127
2021-02-10,INR,USD,0.0137224
2021-02-11,INR,USD,0.0137401
2021-02-12,INR,USD,0.0137555
2021-02-13,INR,USD,0.0137713
2021-02-14,INR,USD,0.0137713
2021-02-15,INR,USD,0.0137656
2021-02-16,INR,USD,0.0137356
2021-02-17,INR,USD,0.013731
2021-02-18,INR,USD,0.0137615
2021-02-19,INR,USD,0.0137836
2021-02-20,INR,USD,0.0137789
2021-02-21,INR,USD,0.0137789
2021-02-22,INR,USD,0.013794
2021-02-23,INR,USD,0.0138041
2021-02-24,INR,USD,0.0138195
2021-02-25,INR,USD,0.0137689
2021-02-26,INR,USD,0.013585
2021-02-27,INR,USD,0.0135484
2021-02-28,INR,USD,0.0135484
2021-03-01,INR,USD,0.0136025
2021-03-02,INR,USD,0.0136274
2021-03-03,INR,USD,0.0136923
2021-03-04,INR,USD,0.0137168
2021-03-05,INR,USD,0.0136837
2021-03-06,INR,USD,0.013665
2021-03-07,INR,USD,0.013665
2021-03-08,INR,USD,0.0136454
2021-03-09,INR,USD,0.0136964
2021-03-10,INR,USD,0.0137318
2021-03-11,INR,USD,0.013763
2021-03-12,INR,USD,0.0137442
2021-03-13,INR,USD,0.013749
2021-03-14,INR,USD,0.013749
2021-03-15,INR,USD,0.0137617
2021-03-16,INR,USD,0.0137699
2021-03-17,INR,USD,0.0137712
2021-03-18,INR,USD,0.0137585
2021-03-19,INR,USD,0.0137635
2021-03-20,INR,USD,0.0137753
2021-03-21,INR,USD,0.0137753
2021-03-22,INR,USD,0.0137847
2021-03-23,INR,USD,0.0137663
2021-03-24,INR,USD,0.0137266
2021-03-25,INR,USD,0.0137318
2021-03-26,INR,USD,0.0137636
2021-03-27,INR,USD,0.0137696
2021-03-28,INR,USD,0.0137696
2021-03-29,INR,USD,0.0137344
2021-03-30,INR,USD,0.0136419
2021-03-31,INR,USD,0.0136431
2021-04-01,INR,USD,0.0136378
2021-04-02,INR,USD,0.0136308
2021-04-03,INR,USD,0.0136218
2021-04-04,INR,USD,0.0136218
2021-04-05,INR,USD,0.0136386
2021-04-06,INR,USD,0.0136254
2021-04-07,INR,USD,0.0134788
2021-04-08,INR,USD,0.0134186
2021-04-09,INR,USD,0.0133877
2021-04-10,INR,USD,0.0133864
2021-04-11,INR,USD,0.0133864
2021-04-12,INR,USD,0.0133388
2021-04-13,INR,USD,0.013286
2021-04-14,INR,USD,0.0133046
2021-04-15,INR,USD,0.0133351
2021-04-16,INR,USD,0.0134065
2021-04-17,INR,USD,0.0134045
2021-04-18,INR,USD,0.0134045
2021-04-19,INR,USD,0.0133546
2021-04-20,INR,USD,0.0133082
2021-04-21,INR,USD,0.0132524
2021-04-22,INR,USD,0.0133076
2021-04-23,INR,USD,0.0133332
2021-04-24,INR,USD,0.013349
2021-04-25,INR,USD,0.013349
2021-04-26,INR,USD,0.0133608
2021-04-27,INR,USD,0.0133886
2021-04-28,INR,USD,0.0134226
2021-04-29,INR,USD,0.0134865
2021-04-30,INR,USD,0.0134898
2021-05-01,INR,USD,0.0134788
2021-05-02,INR,USD,0.0134788
2021-05-03,INR,USD,0.0134718
2021-05-04,INR,USD,0.0134902
2021-05-05,INR,USD,0.0135108
2021-05-06,INR,USD,0.0135488
2021-05-07,INR,USD,0.0136104
2021-05-08,INR,USD,0.013637
2021-05-09,INR,USD,0.013637
2021-05-10,INR,USD,0.0136151
2021-05-11,INR,USD,0.0136124
2021-05-12,INR,USD,0.0135936
2021-05-13,INR,USD,0.0135869
2021-05-14,INR,USD,0.0136336
2021-05-15,INR,USD,0.0136422
2021-05-16,INR,USD,0.0136422
2021-05-17,INR,USD,0.0136366
2021-05-18,INR,USD,0.0136688
2021-05-19,INR,USD,0.013659
2021-05-20,INR,USD,0.0136746
2021-05-21,INR,USD,0.013709
2021-05-22,INR,USD,0.0137146
2021-05-23,INR,USD,0.0137146
2021-05-24,INR,USD,0.0137147
2021-05-25,INR,USD,0.0137322
2021-05-26,INR,USD,0.0137504
2021-05-27,INR,USD,0.0137674
2021-05-28,INR,USD,0.013801
2021-05-29,INR,USD,0.0138122
2021-05-30,INR,USD,0.0138122
2021-05-31,INR,USD,0.0137922
2021-06-01,INR,USD,0.0137458
2021-06-02,INR,USD,0.0137021
2021-06-03,INR,USD,0.0137054
2021-06-04,INR,USD,0.0137188
2021-06-05,INR,USD,0.013731
2021-06-06,INR,USD,0.013731
2021-06-07,INR,USD,0.0137416
2021-06-08,INR,USD,0.0137262
2021-06-09,INR,USD,0.0137115
2021-06-10,INR,USD,0.0137028
2021-06-11,INR,USD,0.0136882
2021-06-12,INR,USD,0.0136758
2021-06-13,INR,USD,0.0136758
2021-06-14,INR,USD,0.0136649
2021-06-15,INR,USD,0.013644
