date,base,quote,rate
2020-12-20,JPY,HKD,0.0750262
2020-12-21,JPY,HKD,0.0749338
2020-12-22,JPY,HKD,0.0749114
2020-12-23,JPY,HKD,0.0748991
2020-12-24,JPY,HKD,0.0748158
2020-12-25,JPY,HKD,0.0747792
2020-12-26,JPY,HKD,0.0747792
2020-12-27,JPY,HKD,0.0747866
2020-12-28,JPY,HKD,0.0748071
2020-12-29,JPY,HKD,0.0748219
2020-12-30,JPY,HKD,0.0750854
2020-12-31,JPY,HKD,0.0751474
2021-01-01,JPY,HKD,0.0750354
2021-01-02,JPY,HKD,0.0750354
2021-01-03,JPY,HKD,0.0750398
2021-01-04,JPY,HKD,0.0752555
2021-01-05,JPY,HKD,0.07537
2021-01-06,JPY,HKD,0.075312
2021-01-07,JPY,HKD,0.0748834
2021-01-08,JPY,HKD,0.0746344
2021-01-09,JPY,HKD,0.0746097
2021-01-10,JPY,HKD,0.0746084
2021-01-11,JPY,HKD,0.0744457
2021-01-12,JPY,HKD,0.0744783
2021-01-13,JPY,HKD,0.0747054
2021-01-14,JPY,HKD,0.0746098
2021-01-15,JPY,HKD,0.0747138
2021-01-16,JPY,HKD,0.0746435
2021-01-17,JPY,HKD,0.074645
2021-01-18,JPY,HKD,0.0747428
2021-01-19,JPY,HKD,0.074589
2021-01-20,JPY,HKD,0.0747481
2021-01-21,JPY,HKD,0.0748972
2021-01-22,JPY,HKD,0.0747554
2021-01-23,JPY,HKD,0.0747098
2021-01-24,JPY,HKD,0.0747069
2021-01-25,JPY,HKD,0.0746956
2021-01-26,JPY,HKD,0.0747503
2021-01-27,JPY,HKD,0.0746172
2021-01-28,JPY,HKD,0.0743372
2021-01-29,JPY,HKD,0.0740922
2021-01-30,JPY,HKD,0.0740452
2021-01-31,JPY,HKD,0.0740418
2021-02-01,JPY,HKD,0.0739487
2021-02-02,JPY,HKD,0.073832
2021-02-03,JPY,HKD,0.0738008
2021-02-04,JPY,HKD,0.0736195
2021-02-05,JPY,HKD,0.073492
2021-02-06,JPY,HKD,0.0735791
2021-02-07,JPY,HKD,0.0735776
2021-02-08,JPY,HKD,0.0735446
2021-02-09,JPY,HKD,0.0740132
2021-02-10,JPY,HKD,0.0740926
2021-02-11,JPY,HKD,0.0740588
2021-02-12,JPY,HKD,0.0738868
2021-02-13,JPY,HKD,0.0738902
2021-02-14,JPY,HKD,0.073886
2021-02-15,JPY,HKD,0.073665
2021-02-16,JPY,HKD,0.0733775
2021-02-17,JPY,HKD,0.073171
2021-02-18,JPY,HKD,0.0733084
2021-02-19,JPY,HKD,0.07347
2021-02-20,JPY,HKD,0.0735395
2021-02-21,JPY,HKD,0.0735348
2021-02-22,JPY,HKD,0.0735666
2021-02-23,JPY,HKD,0.0737195
2021-02-24,JPY,HKD,0.0733388
2021-02-25,JPY,HKD,0.0730746
2021-02-26,JPY,HKD,0.0729332
2021-02-27,JPY,HKD,0.072787
2021-02-28,JPY,HKD,0.0727886
2021-03-01,JPY,HKD,0.0727176
2021-03-02,JPY,HKD,0.0726252
2021-03-03,JPY,HKD,0.0725518
2021-03-04,JPY,HKD,0.0722192
2021-03-05,JPY,HKD,0.0717198
2021-03-06,JPY,HKD,0.0716569
2021-03-07,JPY,HKD,0.0716546
2021-03-08,JPY,HKD,0.0715034
2021-03-09,JPY,HKD,0.0713588
2021-03-10,JPY,HKD,0.071451
2021-03-11,JPY,HKD,0.0714976
2021-03-12,JPY,HKD,0.0712566
2021-03-13,JPY,HKD,0.071204
2021-03-14,JPY,HKD,0.0712013
2021-03-15,JPY,HKD,0.0711429
2021-03-16,JPY,HKD,0.0711916
2021-03-17,JPY,HKD,0.0711936
2021-03-18,JPY,HKD,0.0712376
2021-03-19,JPY,HKD,0.0713218
2021-03-20,JPY,HKD,0.0713164
2021-03-21,JPY,HKD,0.071324
2021-03-22,JPY,HKD,0.0713958
2021-03-23,JPY,HKD,0.0714695
2021-03-24,JPY,HKD,0.07148
2021-03-25,JPY,HKD,0.0712326
2021-03-26,JPY,HKD,0.0709431
2021-03-27,JPY,HKD,0.0708348
2021-03-28,JPY,HKD,0.0708308
2021-03-29,JPY,HKD,0.070871
2021-03-30,JPY,HKD,0.0705488
2021-03-31,JPY,HKD,0.0702295
2021-04-01,JPY,HKD,0.0702555
2021-04-02,JPY,HKD,0.0702979
2021-04-03,JPY,HKD,0.070262
2021-04-04,JPY,HKD,0.0702612
2021-04-05,JPY,HKD,0.0704324
2021-04-06,JPY,HKD,0.0706362
2021-04-07,JPY,HKD,0.0708875
2021-04-08,JPY,HKD,0.071091
2021-04-09,JPY,HKD,0.0709931
2021-04-10,JPY,HKD,0.0709218
2021-04-11,JPY,HKD,0.0709187
2021-04-12,JPY,HKD,0.0710425
2021-04-13,JPY,HKD,0.0711016
2021-04-14,JPY,HKD,0.0713102
2021-04-15,JPY,HKD,0.0713998
2021-04-16,JPY,HKD,0.0714029
2021-04-17,JPY,HKD,0.0714298
2021-04-18,JPY,HKD,0.0714322
2021-04-19,JPY,HKD,0.071737
2021-04-20,JPY,HKD,0.0717343
2021-04-21,JPY,HKD,0.0718326
2021-04-22,JPY,HKD,0.0718377
2021-04-23,JPY,HKD,0.0719336
2021-04-24,JPY,HKD,0.0719353
2021-04-25,JPY,HKD,0.071933
2021-04-26,JPY,HKD,0.071898
2021-04-27,JPY,HKD,0.0715732
2021-04-28,JPY,HKD,0.0713316
2021-04-29,JPY,HKD,0.0713272
2021-04-30,JPY,HKD,0.071214
2021-05-01,JPY,HKD,0.0710328
2021-05-02,JPY,HKD,0.0710356
2021-05-03,JPY,HKD,0.0710502
2021-05-04,JPY,HKD,0.0710716
2021-05-05,JPY,HKD,0.0710842
2021-05-06,JPY,HKD,0.071142
2021-05-07,JPY,HKD,0.0713315
2021-05-08,JPY,HKD,0.0715193
2021-05-09,JPY,HKD,0.0715219
2021-05-10,JPY,HKD,0.0713698
2021-05-11,JPY,HKD,0.0714396
2021-05-12,JPY,HKD,0.071162
2021-05-13,JPY,HKD,0.0708926
2021-05-14,JPY,HKD,0.0709842
2021-05-15,JPY,HKD,0.071034
2021-05-16,JPY,HKD,0.071034
2021-05-17,JPY,HKD,0.0711016
2021-05-18,JPY,HKD,0.0712453
2021-05-19,JPY,HKD,0.0712151
2021-05-20,JPY,HKD,0.0712559
2021-05-21,JPY,HKD,0.0713362
