date,base,quote,rate
2025-06-22,JPY,INR,0.5926
2025-06-23,JPY,INR,0.590316
2025-06-24,JPY,INR,0.5932
2025-06-25,JPY,INR,0.591896
2025-06-26,JPY,INR,0.593756
2025-06-27,JPY,INR,0.591562
2025-06-28,JPY,INR,0.591076
2025-06-29,JPY,INR,0.591147
2025-06-30,JPY,INR,0.594104
2025-07-01,JPY,INR,0.596808
2025-07-02,JPY,INR,0.595829
2025-07-03,JPY,INR,0.59204
2025-07-04,JPY,INR,0.591632
2025-07-05,JPY,INR,0.592655
2025-07-06,JPY,INR,0.592644
2025-07-07,JPY,INR,0.589856
2025-07-08,JPY,INR,0.585494
2025-07-09,JPY,INR,0.58479
2025-07-10,JPY,INR,0.585864
2025-07-11,JPY,INR,0.583402
2025-07-12,JPY,INR,0.582218
2025-07-13,JPY,INR,0.582276
2025-07-14,JPY,INR,0.582649
2025-07-15,JPY,INR,0.579622
2025-07-16,JPY,INR,0.578756
2025-07-17,JPY,INR,0.578882
2025-07-18,JPY,INR,0.579471
2025-07-19,JPY,INR,0.578812
2025-07-20,JPY,INR,0.579028
2025-07-21,JPY,INR,0.583683
2025-07-22,JPY,INR,0.586818
2025-07-23,JPY,INR,0.589252
2025-07-24,JPY,INR,0.58943
2025-07-25,JPY,INR,0.586308
2025-07-26,JPY,INR,0.585853
2025-07-27,JPY,INR,0.585812
2025-07-28,JPY,INR,0.584554
2025-07-29,JPY,INR,0.585346
2025-07-30,JPY,INR,0.588594
2025-07-31,JPY,INR,0.584108
2025-08-01,JPY,INR,0.585274
2025-08-02,JPY,INR,0.591646
2025-08-03,JPY,INR,0.591773
2025-08-04,JPY,INR,0.594548
2025-08-05,JPY,INR,0.59567
2025-08-06,JPY,INR,0.59504
2025-08-07,JPY,INR,0.594606
2025-08-08,JPY,INR,0.593657
2025-08-09,JPY,INR,0.59359
2025-08-10,JPY,INR,0.593564
2025-08-11,JPY,INR,0.592784
2025-08-12,JPY,INR,0.591646
2025-08-13,JPY,INR,0.593268
2025-08-14,JPY,INR,0.595434
2025-08-15,JPY,INR,0.59503
2025-08-16,JPY,INR,0.594699
2025-08-17,JPY,INR,0.59468
