date,base,quote,rate
2020-12-20,JPY,USD,0.00967798
2020-12-21,JPY,USD,0.00966522
2020-12-22,JPY,USD,0.00966244
2020-12-23,JPY,USD,0.00966097
2020-12-24,JPY,USD,0.00964993
2020-12-25,JPY,USD,0.0096446
2020-12-26,JPY,USD,0.0096446
2020-12-27,JPY,USD,0.00964557
2020-12-28,JPY,USD,0.0096485
2020-12-29,JPY,USD,0.00964995
2020-12-30,JPY,USD,0.00968516
2020-12-31,JPY,USD,0.00969305
2021-01-01,JPY,USD,0.00967886
2021-01-02,JPY,USD,0.00967886
2021-01-03,JPY,USD,0.00967937
2021-01-04,JPY,USD,0.00970652
2021-01-05,JPY,USD,0.00972138
2021-01-06,JPY,USD,0.00971388
2021-01-07,JPY,USD,0.00965838
2021-01-08,JPY,USD,0.00962515
2021-01-09,JPY,USD,0.00961908
2021-01-10,JPY,USD,0.00961906
2021-01-11,JPY,USD,0.00959973
2021-01-12,JPY,USD,0.0096042
2021-01-13,JPY,USD,0.00963458
2021-01-14,JPY,USD,0.00962266
2021-01-15,JPY,USD,0.00963596
2021-01-16,JPY,USD,0.00962686
2021-01-17,JPY,USD,0.00962704
2021-01-18,JPY,USD,0.00964001
2021-01-19,JPY,USD,0.00962143
2021-01-20,JPY,USD,0.00964282
2021-01-21,JPY,USD,0.00966198
2021-01-22,JPY,USD,0.00964328
2021-01-23,JPY,USD,0.0096374
2021-01-24,JPY,USD,0.00963702
2021-01-25,JPY,USD,0.00963604
2021-01-26,JPY,USD,0.00964297
2021-01-27,JPY,USD,0.00962565
2021-01-28,JPY,USD,0.00958845
2021-01-29,JPY,USD,0.00955656
2021-01-30,JPY,USD,0.00955028
2021-01-31,JPY,USD,0.00954984
2021-02-01,JPY,USD,0.00953815
2021-02-02,JPY,USD,0.0095241
2021-02-03,JPY,USD,0.00952098
2021-02-04,JPY,USD,0.00949642
2021-02-05,JPY,USD,0.00947959
2021-02-06,JPY,USD,0.00949028
2021-02-07,JPY,USD,0.0094901
2021-02-08,JPY,USD,0.0094866
2021-02-09,JPY,USD,0.00954774
2021-02-10,JPY,USD,0.0095575
2021-02-11,JPY,USD,0.00955264
2021-02-12,JPY,USD,0.00953022
2021-02-13,JPY,USD,0.00953053
2021-02-14,JPY,USD,0.00952998
2021-02-15,JPY,USD,0.0095018
2021-02-16,JPY,USD,0.00946506
2021-02-17,JPY,USD,0.00943828
2021-02-18,JPY,USD,0.0094559
2021-02-19,JPY,USD,0.00947614
