date,base,quote,rate
2021-01-28,KGS,CNY,0.0762498
2021-01-29,KGS,CNY,0.075962
2021-01-30,KGS,CNY,0.0757984
2021-01-31,KGS,CNY,0.0757984
2021-02-01,KGS,CNY,0.0762098
2021-02-02,KGS,CNY,0.0761646
2021-02-03,KGS,CNY,0.0761793
2021-02-04,KGS,CNY,0.076246
2021-02-05,KGS,CNY,0.0763024
2021-02-06,KGS,CNY,0.0762582
2021-02-07,KGS,CNY,0.0762582
2021-02-08,KGS,CNY,0.0761134
2021-02-09,KGS,CNY,0.0760188
2021-02-10,KGS,CNY,0.0763862
2021-02-11,KGS,CNY,0.0766972
2021-02-12,KGS,CNY,0.0765432
2021-02-13,KGS,CNY,0.0764187
2021-02-14,KGS,CNY,0.0764188
2021-02-15,KGS,CNY,0.0764451
2021-02-16,KGS,CNY,0.0765
2021-02-17,KGS,CNY,0.076524
2021-02-18,KGS,CNY,0.0765961
2021-02-19,KGS,CNY,0.0766837
2021-02-20,KGS,CNY,0.0766456
2021-02-21,KGS,CNY,0.0766456
2021-02-22,KGS,CNY,0.07642
2021-02-23,KGS,CNY,0.0763628
2021-02-24,KGS,CNY,0.0762962
2021-02-25,KGS,CNY,0.0762362
2021-02-26,KGS,CNY,0.0763626
2021-02-27,KGS,CNY,0.0764254
2021-02-28,KGS,CNY,0.0764254
2021-03-01,KGS,CNY,0.0762758
2021-03-02,KGS,CNY,0.0763086
2021-03-03,KGS,CNY,0.0762492
2021-03-04,KGS,CNY,0.07629
2021-03-05,KGS,CNY,0.0764889
2021-03-06,KGS,CNY,0.0766132
2021-03-07,KGS,CNY,0.0766132
2021-03-08,KGS,CNY,0.0768824
2021-03-09,KGS,CNY,0.0768304
2021-03-10,KGS,CNY,0.0767498
2021-03-11,KGS,CNY,0.0765848
2021-03-12,KGS,CNY,0.0766745
2021-03-13,KGS,CNY,0.0767513
2021-03-14,KGS,CNY,0.0767513
2021-03-15,KGS,CNY,0.0766764
2021-03-16,KGS,CNY,0.0766739
2021-03-17,KGS,CNY,0.0766908
2021-03-18,KGS,CNY,0.076683
2021-03-19,KGS,CNY,0.0767594
2021-03-20,KGS,CNY,0.076757
2021-03-21,KGS,CNY,0.076757
2021-03-22,KGS,CNY,0.0767492
2021-03-23,KGS,CNY,0.0768039
2021-03-24,KGS,CNY,0.0769222
2021-03-25,KGS,CNY,0.077118
2021-03-26,KGS,CNY,0.077147
2021-03-27,KGS,CNY,0.077141
2021-03-28,KGS,CNY,0.077141
2021-03-29,KGS,CNY,0.0773756
2021-03-30,KGS,CNY,0.0775049
2021-03-31,KGS,CNY,0.0773277
2021-04-01,KGS,CNY,0.0774484
2021-04-02,KGS,CNY,0.077418
