date,base,quote,rate
2021-01-28,KGS,EUR,0.00973724
2021-01-29,KGS,EUR,0.0097269
2021-01-30,KGS,EUR,0.00971568
2021-01-31,KGS,EUR,0.00971635
2021-02-01,KGS,EUR,0.00974966
2021-02-02,KGS,EUR,0.00978614
2021-02-03,KGS,EUR,0.00980212
2021-02-04,KGS,EUR,0.00983355
2021-02-05,KGS,EUR,0.00982846
2021-02-06,KGS,EUR,0.00978712
2021-02-07,KGS,EUR,0.00978744
2021-02-08,KGS,EUR,0.00979396
2021-02-09,KGS,EUR,0.00975874
2021-02-10,KGS,EUR,0.00977142
2021-02-11,KGS,EUR,0.00979262
2021-02-12,KGS,EUR,0.00978191
2021-02-13,KGS,EUR,0.00976276
2021-02-14,KGS,EUR,0.0097626
2021-02-15,KGS,EUR,0.00975668
2021-02-16,KGS,EUR,0.00976628
2021-02-17,KGS,EUR,0.00982285
2021-02-18,KGS,EUR,0.00980886
2021-02-19,KGS,EUR,0.0097578
2021-02-20,KGS,EUR,0.00975
2021-02-21,KGS,EUR,0.00974978
2021-02-22,KGS,EUR,0.0097346
2021-02-23,KGS,EUR,0.00971784
2021-02-24,KGS,EUR,0.00972282
2021-02-25,KGS,EUR,0.00968764
2021-02-26,KGS,EUR,0.00973858
2021-02-27,KGS,EUR,0.00977416
2021-02-28,KGS,EUR,0.00977367
2021-03-01,KGS,EUR,0.0097817
2021-03-02,KGS,EUR,0.00979026
2021-03-03,KGS,EUR,0.0097653
2021-03-04,KGS,EUR,0.00980532
2021-03-05,KGS,EUR,0.0098814
2021-03-06,KGS,EUR,0.00989881
2021-03-07,KGS,EUR,0.00989814
2021-03-08,KGS,EUR,0.00992733
2021-03-09,KGS,EUR,0.0099241
2021-03-10,KGS,EUR,0.00991082
2021-03-11,KGS,EUR,0.00986419
2021-03-12,KGS,EUR,0.00986978
2021-03-13,KGS,EUR,0.00986611
2021-03-14,KGS,EUR,0.00986644
2021-03-15,KGS,EUR,0.00988205
2021-03-16,KGS,EUR,0.00989382
2021-03-17,KGS,EUR,0.00989188
2021-03-18,KGS,EUR,0.00987584
2021-03-19,KGS,EUR,0.00990398
2021-03-20,KGS,EUR,0.00990613
2021-03-21,KGS,EUR,0.00990822
2021-03-22,KGS,EUR,0.00989832
2021-03-23,KGS,EUR,0.00991948
2021-03-24,KGS,EUR,0.00996836
2021-03-25,KGS,EUR,0.00999512
2021-03-26,KGS,EUR,0.0100052
2021-03-27,KGS,EUR,0.00999844
2021-03-28,KGS,EUR,0.00999883
2021-03-29,KGS,EUR,0.0100152
2021-03-30,KGS,EUR,0.0100486
2021-03-31,KGS,EUR,0.0100566
2021-04-01,KGS,EUR,0.0100372
2021-04-02,KGS,EUR,0.0100195
2021-04-03,KGS,EUR,0.0100275
2021-04-04,KGS,EUR,0.0100274
2021-04-05,KGS,EUR,0.0100095
2021-04-06,KGS,EUR,0.00996674
2021-04-07,KGS,EUR,0.00992949
2021-04-08,KGS,EUR,0.00991844
2021-04-09,KGS,EUR,0.00991264
2021-04-10,KGS,EUR,0.0099114
2021-04-11,KGS,EUR,0.00991146
2021-04-12,KGS,EUR,0.00990866
2021-04-13,KGS,EUR,0.00989521
2021-04-14,KGS,EUR,0.00985416
2021-04-15,KGS,EUR,0.00985023
2021-04-16,KGS,EUR,0.0098488
2021-04-17,KGS,EUR,0.00984164
2021-04-18,KGS,EUR,0.0098426
2021-04-19,KGS,EUR,0.00981934
2021-04-20,KGS,EUR,0.00978927
2021-04-21,KGS,EUR,0.00980714
2021-04-22,KGS,EUR,0.00980364
2021-04-23,KGS,EUR,0.00977992
2021-04-24,KGS,EUR,0.00974978
