date,base,quote,rate
2021-01-28,KGS,GBP,0.00861498
2021-01-29,KGS,GBP,0.0086022
2021-01-30,KGS,GBP,0.00860427
2021-01-31,KGS,GBP,0.00860446
2021-02-01,KGS,GBP,0.0086064
2021-02-02,KGS,GBP,0.00862738
2021-02-03,KGS,GBP,0.00863815
2021-02-04,KGS,GBP,0.00864752
2021-02-05,KGS,GBP,0.00860541
2021-02-06,KGS,GBP,0.00858385
2021-02-07,KGS,GBP,0.00858418
2021-02-08,KGS,GBP,0.00859173
2021-02-09,KGS,GBP,0.00856176
2021-02-10,KGS,GBP,0.00856478
2021-02-11,KGS,GBP,0.0085898
2021-02-12,KGS,GBP,0.00857845
2021-02-13,KGS,GBP,0.00854322
2021-02-14,KGS,GBP,0.00854272
2021-02-15,KGS,GBP,0.00851462
2021-02-16,KGS,GBP,0.00851066
2021-02-17,KGS,GBP,0.00854301
2021-02-18,KGS,GBP,0.00850309
2021-02-19,KGS,GBP,0.0084471
2021-02-20,KGS,GBP,0.0084328
2021-02-21,KGS,GBP,0.00843252
2021-02-22,KGS,GBP,0.00841557
2021-02-23,KGS,GBP,0.00838576
2021-02-24,KGS,GBP,0.00835536
2021-02-25,KGS,GBP,0.00836952
2021-02-26,KGS,GBP,0.00846126
2021-02-27,KGS,GBP,0.00847196
2021-02-28,KGS,GBP,0.00847096
2021-03-01,KGS,GBP,0.00845603
2021-03-02,KGS,GBP,0.00847182
2021-03-03,KGS,GBP,0.00844586
2021-03-04,KGS,GBP,0.00846086
2021-03-05,KGS,GBP,0.00851589
2021-03-06,KGS,GBP,0.00852432
2021-03-07,KGS,GBP,0.00852374
2021-03-08,KGS,GBP,0.00852712
2021-03-09,KGS,GBP,0.00850159
2021-03-10,KGS,GBP,0.00848742
2021-03-11,KGS,GBP,0.00844896
2021-03-12,KGS,GBP,0.00846276
2021-03-13,KGS,GBP,0.00847124
2021-03-14,KGS,GBP,0.00847096
2021-03-15,KGS,GBP,0.0084765
2021-03-16,KGS,GBP,0.00849879
2021-03-17,KGS,GBP,0.00847783
2021-03-18,KGS,GBP,0.00845576
2021-03-19,KGS,GBP,0.00848672
2021-03-20,KGS,GBP,0.00850354
2021-03-21,KGS,GBP,0.00850566
2021-03-22,KGS,GBP,0.00851321
2021-03-23,KGS,GBP,0.00854797
2021-03-24,KGS,GBP,0.00860158
2021-03-25,KGS,GBP,0.00859942
2021-03-26,KGS,GBP,0.00856005
2021-03-27,KGS,GBP,0.00854998
2021-03-28,KGS,GBP,0.00855007
2021-03-29,KGS,GBP,0.00855456
2021-03-30,KGS,GBP,0.00857951
2021-03-31,KGS,GBP,0.0085672
2021-04-01,KGS,GBP,0.00854514
2021-04-02,KGS,GBP,0.00852432
2021-04-03,KGS,GBP,0.00852346
2021-04-04,KGS,GBP,0.00852422
2021-04-05,KGS,GBP,0.00850182
2021-04-06,KGS,GBP,0.00851165
2021-04-07,KGS,GBP,0.0085561
2021-04-08,KGS,GBP,0.00857924
2021-04-09,KGS,GBP,0.00859652
2021-04-10,KGS,GBP,0.00860525
2021-04-11,KGS,GBP,0.00860512
2021-04-12,KGS,GBP,0.00858918
2021-04-13,KGS,GBP,0.00858124
2021-04-14,KGS,GBP,0.00855986
2021-04-15,KGS,GBP,0.0085566
2021-04-16,KGS,GBP,0.00854962
2021-04-17,KGS,GBP,0.0085197
2021-04-18,KGS,GBP,0.00852066
2021-04-19,KGS,GBP,0.00847362
2021-04-20,KGS,GBP,0.00844302
2021-04-21,KGS,GBP,0.00846642
2021-04-22,KGS,GBP,0.00849294
2021-04-23,KGS,GBP,0.00850468
2021-04-24,KGS,GBP,0.00850004
2021-04-25,KGS,GBP,0.00850007
2021-04-26,KGS,GBP,0.00848534
2021-04-27,KGS,GBP,0.00848598
2021-04-28,KGS,GBP,0.00848388
2021-04-29,KGS,GBP,0.00845329
2021-04-30,KGS,GBP,0.0084944
2021-05-01,KGS,GBP,0.00853456
2021-05-02,KGS,GBP,0.0085345
2021-05-03,KGS,GBP,0.00850194
2021-05-04,KGS,GBP,0.00849688
2021-05-05,KGS,GBP,0.00848196
2021-05-06,KGS,GBP,0.00848508
2021-05-07,KGS,GBP,0.00845894
2021-05-08,KGS,GBP,0.0084343
2021-05-09,KGS,GBP,0.00843182
2021-05-10,KGS,GBP,0.00837302
2021-05-11,KGS,GBP,0.00834924
2021-05-12,KGS,GBP,0.0083705
2021-05-13,KGS,GBP,0.00840534
2021-05-14,KGS,GBP,0.00839319
2021-05-15,KGS,GBP,0.00838301
2021-05-16,KGS,GBP,0.00838277
2021-05-17,KGS,GBP,0.00839206
2021-05-18,KGS,GBP,0.00836416
2021-05-19,KGS,GBP,0.00839806
2021-05-20,KGS,GBP,0.00841842
2021-05-21,KGS,GBP,0.00841202
2021-05-22,KGS,GBP,0.00843575
2021-05-23,KGS,GBP,0.00843587
2021-05-24,KGS,GBP,0.00844471
2021-05-25,KGS,GBP,0.00846621
2021-05-26,KGS,GBP,0.00850792
2021-05-27,KGS,GBP,0.00848902
2021-05-28,KGS,GBP,0.00844065
2021-05-29,KGS,GBP,0.00842681
2021-05-30,KGS,GBP,0.00842707
2021-05-31,KGS,GBP,0.0084258
2021-06-01,KGS,GBP,0.00838514
2021-06-02,KGS,GBP,0.00836513
2021-06-03,KGS,GBP,0.00835994
2021-06-04,KGS,GBP,0.00835416
2021-06-05,KGS,GBP,0.00834082
2021-06-06,KGS,GBP,0.00834082
2021-06-07,KGS,GBP,0.00834234
2021-06-08,KGS,GBP,0.00834932
2021-06-09,KGS,GBP,0.00835974
2021-06-10,KGS,GBP,0.00838268
2021-06-11,KGS,GBP,0.00837234
2021-06-12,KGS,GBP,0.00838214
2021-06-13,KGS,GBP,0.00838158
2021-06-14,KGS,GBP,0.00837382
2021-06-15,KGS,GBP,0.00838724
2021-06-16,KGS,GBP,0.0084014
2021-06-17,KGS,GBP,0.00846855
2021-06-18,KGS,GBP,0.00852548
2021-06-19,KGS,GBP,0.00856454
2021-06-20,KGS,GBP,0.00856388
2021-06-21,KGS,GBP,0.0085258
2021-06-22,KGS,GBP,0.00850024
2021-06-23,KGS,GBP,0.00846612
2021-06-24,KGS,GBP,0.00847418
2021-06-25,KGS,GBP,0.00849374
2021-06-26,KGS,GBP,0.00850706
2021-06-27,KGS,GBP,0.00850681
2021-06-28,KGS,GBP,0.00850256
2021-06-29,KGS,GBP,0.00852873
2021-06-30,KGS,GBP,0.0085348
2021-07-01,KGS,GBP,0.0085568
2021-07-02,KGS,GBP,0.00855644
2021-07-03,KGS,GBP,0.00852826
2021-07-04,KGS,GBP,0.00852818
