date,base,quote,rate
2025-08-05,KGS,KZT,6.15876
2025-08-06,KGS,KZT,6.14543
2025-08-07,KGS,KZT,6.15266
2025-08-08,KGS,KZT,6.17408
2025-08-09,KGS,KZT,6.17932
2025-08-10,KGS,KZT,6.17933
2025-08-11,KGS,KZT,6.20394
2025-08-12,KGS,KZT,6.20656
2025-08-13,KGS,KZT,6.1737
2025-08-14,KGS,KZT,6.16705
2025-08-15,KGS,KZT,6.18544
2025-08-16,KGS,KZT,6.19324
2025-08-17,KGS,KZT,6.19332
2025-08-18,KGS,KZT,6.17672
2025-08-19,KGS,KZT,6.16114
2025-08-20,KGS,KZT,6.15648
2025-08-21,KGS,KZT,6.1488
2025-08-22,KGS,KZT,6.15131
2025-08-23,KGS,KZT,6.14711
2025-08-24,KGS,KZT,6.14713
2025-08-25,KGS,KZT,6.1192
2025-08-26,KGS,KZT,6.12972
2025-08-27,KGS,KZT,6.15266
2025-08-28,KGS,KZT,6.16136
2025-08-29,KGS,KZT,6.16041
2025-08-30,KGS,KZT,6.16384
2025-08-31,KGS,KZT,6.1638
2025-09-01,KGS,KZT,6.15868
2025-09-02,KGS,KZT,6.17434
2025-09-03,KGS,KZT,6.1767
2025-09-04,KGS,KZT,6.17393
2025-09-05,KGS,KZT,6.15443
2025-09-06,KGS,KZT,6.14114
2025-09-07,KGS,KZT,6.14114
2025-09-08,KGS,KZT,6.12058
2025-09-09,KGS,KZT,6.12616
2025-09-10,KGS,KZT,6.15813
2025-09-11,KGS,KZT,6.16406
2025-09-12,KGS,KZT,6.17136
2025-09-13,KGS,KZT,6.18492
2025-09-14,KGS,KZT,6.18496
2025-09-15,KGS,KZT,6.18352
2025-09-16,KGS,KZT,6.18116
2025-09-17,KGS,KZT,6.18098
2025-09-18,KGS,KZT,6.19197
2025-09-19,KGS,KZT,6.19364
2025-09-20,KGS,KZT,6.19111
2025-09-21,KGS,KZT,6.19111
2025-09-22,KGS,KZT,6.21057
2025-09-23,KGS,KZT,6.22542
2025-09-24,KGS,KZT,6.2112
2025-09-25,KGS,KZT,6.20178
2025-09-26,KGS,KZT,6.22709
2025-09-27,KGS,KZT,6.21891
2025-09-28,KGS,KZT,6.21892
2025-09-29,KGS,KZT,6.25212
2025-09-30,KGS,KZT,6.28096
2025-10-01,KGS,KZT,6.27352
2025-10-02,KGS,KZT,6.2587
2025-10-03,KGS,KZT,6.25864
2025-10-04,KGS,KZT,6.2599
2025-10-05,KGS,KZT,6.2599
2025-10-06,KGS,KZT,6.23919
2025-10-07,KGS,KZT,6.19446
2025-10-08,KGS,KZT,6.18253
2025-10-09,KGS,KZT,6.19312
2025-10-10,KGS,KZT,6.17208
2025-10-11,KGS,KZT,6.138
2025-10-12,KGS,KZT,6.13866
2025-10-13,KGS,KZT,6.14377
2025-10-14,KGS,KZT,6.16301
2025-10-15,KGS,KZT,6.15805
2025-10-16,KGS,KZT,6.14676
2025-10-17,KGS,KZT,6.13952
2025-10-18,KGS,KZT,6.16899
2025-10-19,KGS,KZT,6.16898
2025-10-20,KGS,KZT,6.15772
2025-10-21,KGS,KZT,6.15778
2025-10-22,KGS,KZT,6.15936
2025-10-23,KGS,KZT,6.15123
2025-10-24,KGS,KZT,6.1495
2025-10-25,KGS,KZT,6.15322
2025-10-26,KGS,KZT,6.15293
